Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,,,,,,255.0,09:33:13
,,,,,,,,,,255.0,09:33:13
,,,,,,,,,,255.0,09:33:14
,,,,,,,,,,255.0,09:33:14
,,,,,,,,,,249.0,09:33:15
,,,,,,,,,,249.0,09:33:15
,,,,,,,,,,249.0,09:33:16
,,,,,,,,,,249.0,09:33:16
,,,,,,,,98.0,76.0,42.0,09:33:17
,,,,,,,,98.0,76.0,42.0,09:33:17
,,,,,,,,98.0,76.0,42.0,09:33:18
,,,,,,,,98.0,76.0,42.0,09:33:18
,,,,,,,,97.0,74.0,42.0,09:33:19
,,,,,,,,97.0,74.0,42.0,09:33:19
,,,,,,,,97.0,74.0,42.0,09:33:20
,,,,,,,,97.0,74.0,42.0,09:33:20
,,,,,,,,98.0,76.0,21.0,09:33:21
,,,,,,,,98.0,76.0,21.0,09:33:21
,,,,,,,,98.0,76.0,21.0,09:33:22
,,,,,,,,98.0,76.0,21.0,09:33:22
,,,,,,,,98.0,77.0,122.0,09:33:23
,,,,57.0,,,,98.0,77.0,122.0,09:33:23
,,,,,,,,98.0,77.0,122.0,09:33:24
,,,,,,,,98.0,77.0,122.0,09:33:24
,,,,,,,,97.0,77.0,28.0,09:33:25
,,,,36.0,,,,97.0,77.0,28.0,09:33:25
,,,,42.0,,,,97.0,77.0,28.0,09:33:26
,113.21244,140.33715,98.265667,42.0,,,,97.0,77.0,28.0,09:33:26
,113.213081,140.33715,98.26566,45.0,,,,97.0,77.0,30.0,09:33:27
,113.211815,140.33715,98.265673,,,,,97.0,77.0,30.0,09:33:27
,113.210533,140.827192,98.284837,,,,,97.0,77.0,30.0,09:33:28
,113.210091,140.827192,98.284841,,,,,97.0,77.0,30.0,09:33:28
,113.210091,140.827192,98.284841,,,,,97.0,77.0,18.0,09:33:29
,112.951248,140.827192,98.287456,,,,,97.0,77.0,18.0,09:33:29
,112.951248,140.827192,98.287456,,,,,97.0,77.0,18.0,09:33:30
,,140.33715,100.0,,,,,97.0,77.0,18.0,09:33:30
,,140.33715,100.0,,,,,97.0,76.0,15.0,09:33:31
,,,,,,,,97.0,76.0,15.0,09:33:31
,,,,,,,,97.0,76.0,15.0,09:33:32
,,,,,,,,97.0,76.0,15.0,09:33:32
,,,,,,,,98.0,76.0,20.0,09:33:33
,,,,,,,,98.0,76.0,20.0,09:33:33
,,,,,,,,98.0,76.0,20.0,09:33:34
,,,,,,,,98.0,76.0,20.0,09:33:34
,,,,,,,,98.0,77.0,27.0,09:33:35
,,,,,,,,98.0,77.0,27.0,09:33:35
,,,,,,,,98.0,77.0,27.0,09:33:36
,,,,,,,,98.0,77.0,27.0,09:33:36
,,,,,,,,99.0,77.0,23.0,09:33:37
,,,,,,,,99.0,77.0,23.0,09:33:37
,,,,,,,,99.0,77.0,23.0,09:33:38
,,,,,,,,99.0,77.0,23.0,09:33:38
,,,,,,,,99.0,78.0,17.0,09:33:39
,,,,,,,,99.0,78.0,17.0,09:33:39
,,,,,,,,99.0,78.0,17.0,09:33:40
,,,,,,,,99.0,78.0,17.0,09:33:40
,,,,,,,,99.0,78.0,15.0,09:33:41
,,,,,,,,99.0,78.0,15.0,09:33:41
,,,,,,,,99.0,78.0,15.0,09:33:42
,,,,,,,,99.0,78.0,15.0,09:33:42
,,,,,,,,98.0,80.0,15.0,09:33:43
,,,,,,,,98.0,80.0,15.0,09:33:43
,,,,,,,,98.0,80.0,15.0,09:33:44
,,,,,,,,98.0,80.0,15.0,09:33:44
,,,,,,,,98.0,80.0,15.0,09:33:45
,,,,,,,,98.0,80.0,15.0,09:33:45
,,,,,,,,98.0,80.0,15.0,09:33:46
,,,,,,,,98.0,80.0,19.0,09:33:46
,,,,,,,,98.0,80.0,14.0,09:33:47
,,,,,,,,98.0,80.0,14.0,09:33:47
,,,,,,,,98.0,80.0,14.0,09:33:48
,5.824211,,,56.0,,,,98.0,80.0,14.0,09:33:48
,5.824211,,,56.0,,,,98.0,78.0,14.0,09:33:49
,5.824211,156.065695,99.823883,56.0,,,,98.0,78.0,14.0,09:33:49
,5.824211,156.065695,99.823883,56.0,,,,98.0,78.0,14.0,09:33:50
,5.824211,156.065695,99.823883,56.0,,,,98.0,78.0,14.0,09:33:50
,5.824211,156.065695,99.823883,56.0,,,,99.0,77.0,18.0,09:33:51
,5.824211,156.065695,99.823883,56.0,,,,99.0,77.0,18.0,09:33:51
,5.824211,156.065695,99.823883,56.0,,,,99.0,77.0,18.0,09:33:52
,5.824211,156.065695,99.823883,56.0,,,,99.0,77.0,18.0,09:33:52
,5.824211,156.065695,99.823883,56.0,,,,99.0,76.0,29.0,09:33:53
,5.824211,155.879193,99.823328,56.0,,,,99.0,76.0,29.0,09:33:53
,5.824211,155.879193,99.823328,56.0,,,,99.0,76.0,29.0,09:33:54
,5.824211,155.85028,99.823241,56.0,,,,99.0,76.0,29.0,09:33:54
,,,,,,,,99.0,76.0,30.0,09:33:55
,,,,,,,,99.0,76.0,30.0,09:33:55
,,,,,,,,99.0,76.0,30.0,09:33:56
,,,,,,,,99.0,76.0,30.0,09:33:56
,,,,,,,,100.0,76.0,29.0,09:33:57
,,,,,,,,100.0,76.0,29.0,09:33:57
,,,,,,,,100.0,76.0,29.0,09:33:58
,,,,,,,,100.0,76.0,29.0,09:33:58
,,,,,,,,100.0,78.0,30.0,09:33:59
,,,,,,,,100.0,78.0,30.0,09:33:59
,,,,,,,,100.0,78.0,30.0,09:34:00
,,,,,,,,100.0,78.0,30.0,09:34:00
,,,,,,,,100.0,80.0,17.0,09:34:01
,,,,,,,,100.0,80.0,17.0,09:34:01
,,,,,,,,100.0,80.0,17.0,09:34:02
,,,,,,,,100.0,80.0,17.0,09:34:02
,,,,,,,,100.0,82.0,10.0,09:34:03
,,,,,,,,100.0,82.0,10.0,09:34:03
,,,,,,,,100.0,82.0,10.0,09:34:04
,,,,,,,,100.0,82.0,10.0,09:34:04
,,,,,,,,99.0,83.0,10.0,09:34:05
,,,,,,,,99.0,83.0,10.0,09:34:05
,,,,,,,,99.0,83.0,10.0,09:34:06
,,,,,,,,99.0,83.0,10.0,09:34:06
,,,,,,,,99.0,83.0,11.0,09:34:07
,,,,,,,,99.0,83.0,11.0,09:34:07
,,,,,,,,99.0,83.0,11.0,09:34:08
,,,,,,,,99.0,83.0,11.0,09:34:08
,,,,,,,,99.0,80.0,15.0,09:34:09
,,,,,,,,99.0,80.0,15.0,09:34:09
,,,,,,,,99.0,80.0,15.0,09:34:10
,,,,,,,,99.0,80.0,15.0,09:34:10
,,,,,,,,99.0,82.0,33.0,09:34:11
,,,,,,,,99.0,82.0,33.0,09:34:11
,,,,,,,,99.0,82.0,33.0,09:34:12
,,,,,,,,99.0,82.0,33.0,09:34:12
,,,,,,,,99.0,83.0,24.0,09:34:13
,,,,,,,,99.0,83.0,24.0,09:34:13
,,,,,,,,99.0,83.0,24.0,09:34:14
,,,,,,,,99.0,83.0,24.0,09:34:14
,,,,,,,,99.0,83.0,20.0,09:34:15
,,,,,,,,99.0,83.0,20.0,09:34:15
,,,,,,,,99.0,83.0,20.0,09:34:16
,,,,,,,,99.0,83.0,20.0,09:34:16
,,,,,,,,99.0,83.0,17.0,09:34:17
,,,,,,,,99.0,83.0,17.0,09:34:17
,,,,,,,,99.0,83.0,17.0,09:34:18
,,,,,,,,99.0,83.0,17.0,09:34:18
,,,,,,,,99.0,82.0,12.0,09:34:19
,,,,,,,,99.0,82.0,12.0,09:34:19
,,,,,,,,99.0,82.0,12.0,09:34:20
,,,,,,,,99.0,82.0,12.0,09:34:20
,,,,,,,,99.0,81.0,31.0,09:34:21
,,,,,,,,99.0,81.0,31.0,09:34:21
,,,,,,,,99.0,81.0,31.0,09:34:22
,,,,,,,,99.0,81.0,31.0,09:34:22
,,,,,,,,99.0,81.0,25.0,09:34:23
,,,,,,,,99.0,81.0,25.0,09:34:23
,,,,,,,,99.0,81.0,25.0,09:34:24
,,,,,,,,99.0,81.0,25.0,09:34:24
,,,,,,,,99.0,81.0,31.0,09:34:25
,,,,,,,,99.0,81.0,31.0,09:34:25
,,,,,,,,99.0,81.0,31.0,09:34:26
,,,,,,,,99.0,81.0,31.0,09:34:26
,,,,,,,,100.0,80.0,19.0,09:34:27
,,,,,,,,100.0,80.0,19.0,09:34:27
,,,,,,,,100.0,80.0,19.0,09:34:28
,,,,,,,,100.0,80.0,19.0,09:34:28
,,,,,,,,100.0,78.0,19.0,09:34:29
,,,,,,,,100.0,78.0,19.0,09:34:29
,,,,,,,,100.0,78.0,19.0,09:34:30
,,,,,,,,100.0,78.0,19.0,09:34:30
,,,,,,,,100.0,75.0,13.0,09:34:31
,,,,,,,,100.0,75.0,13.0,09:34:31
,,,,,,,,100.0,75.0,13.0,09:34:32
,,,,,,,,100.0,75.0,13.0,09:34:32
,,,,,,,,100.0,76.0,13.0,09:34:33
,,,,,,,,100.0,76.0,13.0,09:34:33
,,,,,,,,100.0,76.0,13.0,09:34:34
,,,,,,,,100.0,76.0,13.0,09:34:34
,,,,,,,,100.0,76.0,13.0,09:34:35
,,,,,,,,100.0,76.0,13.0,09:34:35
,,,,,,,,100.0,76.0,13.0,09:34:36
,,,,,,,,100.0,76.0,15.0,09:34:36
,,,,,,,,100.0,75.0,15.0,09:34:37
,,,,,,,,100.0,75.0,15.0,09:34:37
,,,,,,,,100.0,75.0,15.0,09:34:38
,,,,,,,,100.0,75.0,15.0,09:34:38
,,,,,,,,99.0,74.0,15.0,09:34:39
,,,,,,,,99.0,74.0,15.0,09:34:39
,,,,,,,,99.0,74.0,15.0,09:34:40
,,,,,,,,99.0,74.0,15.0,09:34:40
,,,,,,,,100.0,74.0,15.0,09:34:41
,,,,,,,,100.0,74.0,15.0,09:34:41
,,,,,,,,100.0,74.0,15.0,09:34:42
,,,,,,,,100.0,74.0,15.0,09:34:42
,,,,,,,,100.0,75.0,12.0,09:34:43
,,,,,,,,100.0,75.0,12.0,09:34:43
,,,,,,,,100.0,75.0,12.0,09:34:44
,,,,,,,,100.0,75.0,12.0,09:34:44
,,,,,,,,100.0,76.0,16.0,09:34:45
