Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,93.0,,0.7,,,,14:29:09
,,,,,93.0,,0.7,,,,14:29:10
,,,,,93.0,,2.2,,,,14:29:10
,,,,,93.0,,2.2,,,,14:29:11
,,,,,93.0,,0.2,,,,14:29:11
,,,,,93.0,,0.2,,,,14:29:12
,,,,,93.0,87.0,0.2,,,,14:29:12
,,,,,93.0,87.0,0.2,,,,14:29:13
,,,,,93.0,87.0,0.3,,,,14:29:13
,,,,,93.0,87.0,0.3,,,,14:29:14
,,,,,98.0,91.0,0.3,,,,14:29:14
,,,,,98.0,91.0,0.3,,,,14:29:15
,,,,,99.0,91.0,0.3,,,255.0,14:29:15
,,,,,99.0,91.0,0.3,,,255.0,14:29:16
,,,,,100.0,90.0,0.3,,,255.0,14:29:16
,,,,,100.0,90.0,0.3,,,255.0,14:29:17
,,,,,100.0,90.0,0.3,,,,14:29:17
,,,,,100.0,90.0,0.3,,,,14:29:18
,,,,,100.0,90.0,0.3,,,,14:29:18
,,,,,100.0,90.0,0.3,,,,14:29:19
,,,,,100.0,90.0,0.3,,,19.0,14:29:19
,,,,,100.0,90.0,0.3,,,19.0,14:29:20
,,,,,100.0,89.0,0.3,,,19.0,14:29:20
,,,,,100.0,89.0,0.3,,,19.0,14:29:21
,,,,,100.0,89.0,0.3,,,15.0,14:29:21
,,,,,100.0,89.0,0.3,,,15.0,14:29:22
,,,,,100.0,88.0,0.3,,,15.0,14:29:22
,,,,,100.0,88.0,0.3,,,15.0,14:29:23
,,,,,100.0,88.0,0.3,,,5.0,14:29:23
,,,,,100.0,88.0,0.3,,,5.0,14:29:24
,,,,,100.0,89.0,0.3,,,5.0,14:29:24
,,,,,100.0,89.0,0.3,,,5.0,14:29:25
,,,,,100.0,89.0,0.3,100.0,92.0,3.0,14:29:25
,,,,,100.0,89.0,0.3,100.0,92.0,3.0,14:29:26
,,,,,100.0,90.0,0.3,100.0,92.0,3.0,14:29:26
,,,,,100.0,90.0,0.3,100.0,92.0,3.0,14:29:27
,,,,,100.0,89.0,0.3,98.0,92.0,6.0,14:29:27
,,,,,100.0,89.0,0.3,98.0,92.0,6.0,14:29:28
,,,,,100.0,89.0,0.3,98.0,92.0,6.0,14:29:28
,,,,,100.0,89.0,0.3,98.0,92.0,6.0,14:29:29
,,,,,100.0,89.0,0.3,98.0,92.0,27.0,14:29:29
,,,,,100.0,89.0,0.3,98.0,92.0,27.0,14:29:30
,,,,,100.0,89.0,0.3,98.0,92.0,27.0,14:29:30
,,,,,100.0,89.0,0.3,98.0,92.0,27.0,14:29:31
,,,,,100.0,89.0,0.3,97.0,92.0,49.0,14:29:31
,,,,,100.0,89.0,0.3,97.0,92.0,49.0,14:29:32
,,,,,100.0,89.0,0.3,97.0,92.0,49.0,14:29:32
,,,,,100.0,89.0,0.3,97.0,92.0,49.0,14:29:33
,,,,,100.0,90.0,0.3,96.0,92.0,19.0,14:29:33
,,,,,100.0,90.0,0.3,96.0,92.0,19.0,14:29:34
,,,,,100.0,89.0,0.3,96.0,92.0,19.0,14:29:34
,,,,,100.0,89.0,0.3,96.0,92.0,19.0,14:29:35
,,,,,100.0,89.0,0.3,95.0,92.0,14.0,14:29:35
,,,,,100.0,89.0,0.3,95.0,92.0,14.0,14:29:36
,,,,,100.0,88.0,0.3,95.0,92.0,14.0,14:29:36
,,,,,100.0,88.0,0.3,95.0,92.0,14.0,14:29:37
,,,,,100.0,93.0,0.3,94.0,92.0,15.0,14:29:37
,,,,,100.0,93.0,0.3,94.0,92.0,15.0,14:29:38
,,,,,100.0,92.0,0.3,94.0,92.0,15.0,14:29:38
