Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,,,,100.0,81.0,7.0,,,,15:34:33
,,,,,100.0,80.0,0.5,100.0,81.0,4.0,,,,15:34:34
,,,,,100.0,80.0,0.5,100.0,80.0,4.0,,,,15:34:34
,,,,,100.0,80.0,0.5,100.0,80.0,4.0,,,,15:34:35
,,,,,100.0,80.0,0.5,100.0,80.0,4.0,,,,15:34:35
,,,,,100.0,80.0,0.5,100.0,80.0,5.0,,,,15:34:36
,,,,,100.0,80.0,0.5,100.0,80.0,5.0,,,,15:34:36
,,,,,100.0,80.0,0.5,100.0,80.0,5.0,,,,15:34:37
,,,,,100.0,80.0,0.5,100.0,80.0,5.0,,,,15:34:37
,,,,,100.0,80.0,0.5,100.0,80.0,5.0,,,,15:34:38
,,,,,100.0,80.0,0.5,100.0,80.0,5.0,,,,15:34:38
,,,,,100.0,80.0,0.5,,,18.0,,,,15:34:39
,,,,,100.0,79.0,0.5,,,18.0,,,,15:34:39
,,,,,100.0,79.0,0.5,,,18.0,,,,15:34:40
,,,,,100.0,79.0,0.5,,,18.0,,,,15:34:40
,,,,,,,,,,255.0,,,,16:09:33
,,,,,,,,,,255.0,,,,16:09:33
,,,,,,,,,,255.0,,,,16:09:34
,,,,,,,,,,255.0,,,,16:09:35
,,,,,,,,,,44.0,,,,16:09:35
,,,,,,,,,,44.0,,,,16:09:35
,,,,,,,,,,44.0,,,,16:09:36
,,,,,,,,,,44.0,,,,16:09:37
,,,,,,,,,,44.0,,,,16:09:37
,,,,,,,,,,44.0,,,,16:09:37
,,,,,,,,,,44.0,,,,16:09:38
,,,,,,,,,,44.0,,,,16:09:39
,,,,,,,,99.0,59.0,38.0,,,,16:09:39
,,,,,,,,99.0,59.0,38.0,,,,16:09:39
,,,,,,,,99.0,59.0,38.0,,,,16:09:40
,,,,,,,,99.0,59.0,38.0,,,,16:09:41
,,,,,,,,98.0,61.0,22.0,,,,16:09:41
,,,,,,,,98.0,61.0,22.0,,,,16:09:41
,,,,,,,,98.0,61.0,22.0,,,,16:09:42
,,,,,,,,98.0,61.0,22.0,,,,16:09:43
,,,,,,,,98.0,61.0,20.0,,,,16:09:43
,,,,,,,,98.0,61.0,20.0,,,,16:09:43
,,,,,,,,98.0,61.0,20.0,,,,16:09:44
,,,,,,,,98.0,61.0,20.0,,,,16:09:45
,,,,,,,,98.0,61.0,22.0,,,,16:09:45
,,,,,,,,98.0,61.0,22.0,,,,16:09:45
,,,,,,,,98.0,61.0,22.0,,,,16:09:46
,,,,,,,,98.0,61.0,22.0,,,,16:09:47
,,,,,,,,98.0,61.0,21.0,,,,16:09:47
,,,,,,,,98.0,61.0,21.0,,,,16:09:47
,,,,,,,,98.0,61.0,21.0,,,,16:09:48
,,,,,,,,98.0,61.0,21.0,,,,16:09:49
,,,,,,,,98.0,60.0,19.0,,,,16:09:49
,,,,,,,,98.0,60.0,19.0,,,,16:09:50
,,,,,,,,98.0,60.0,19.0,,,,16:09:50
,,,,,,,,98.0,60.0,19.0,,,,16:09:51
,,,,,,,,98.0,58.0,21.0,,,,16:09:51
,,,,,,,,98.0,58.0,21.0,,,,16:09:51
,,,,,,,,98.0,58.0,21.0,,,,16:09:52
,,,,,,,,98.0,58.0,21.0,,,,16:09:53
,,,,,,,,98.0,58.0,19.0,,,,16:09:53
,,,,,,,,98.0,58.0,19.0,,,,16:09:53
,,,,,,,,98.0,58.0,19.0,,,,16:09:54
,,,,,,,,98.0,58.0,19.0,,,,16:09:55
,,,,,,,,98.0,57.0,20.0,,,,16:09:55
,,,,,,,,98.0,57.0,20.0,,,,16:09:55
,,,,,,,,98.0,57.0,20.0,,,,16:09:56
,,,,,,,,98.0,57.0,20.0,,,,16:09:57
,,,,,,,,98.0,57.0,20.0,,,,16:09:57
,,,,,,,,98.0,57.0,20.0,,,,16:09:57
,,,,,,,,98.0,57.0,20.0,,,,16:09:58
,,,,,,,,98.0,57.0,20.0,,,,16:09:59
,,,,,,,,98.0,57.0,20.0,,,,16:09:59
,,,,,,,,98.0,57.0,20.0,,,,16:09:59
,,,,,,,,98.0,57.0,20.0,,,,16:10:00
,,,,,,,,98.0,56.0,21.0,,,,16:10:00
,,,,,,,,98.0,56.0,21.0,,,,16:10:01
,,,,,,,,98.0,56.0,24.0,,,,16:10:01
,,,,,,,,98.0,56.0,24.0,,,,16:10:02
,,,,,,,,98.0,56.0,24.0,,,,16:10:02
,,,,,,,,98.0,56.0,24.0,,,,16:10:03
,,,,,,,,98.0,56.0,24.0,,,,16:10:03
,,,,,,,,98.0,56.0,24.0,,,,16:10:04
,,,,,,,,98.0,56.0,24.0,,,,16:10:04
,,,,,,,,98.0,57.0,33.0,,,,16:10:05
,,,,,,,,98.0,57.0,33.0,,,,16:10:05
,,,,,,,,98.0,57.0,33.0,,,,16:10:06
,,,,,,,,98.0,57.0,33.0,,,,16:10:07
,,,,,,,,99.0,57.0,35.0,,,,16:10:07
,,,,,,,,99.0,57.0,35.0,,,,16:10:07
,,,,,,,,99.0,57.0,35.0,,,,16:10:08
,,,,,,,,99.0,57.0,35.0,,,,16:10:09
,,,,,,,,99.0,57.0,35.0,,,,16:10:09
,,,,,,,,99.0,57.0,35.0,,,,16:10:09
,,,,,,,,99.0,57.0,35.0,,,,16:10:10
,,,,,,,,99.0,57.0,35.0,,,,16:10:11
,,,,,,,,99.0,57.0,37.0,,,,16:10:11
,,,,,,,,99.0,57.0,37.0,,,,16:10:11
,,,,,,,,99.0,57.0,37.0,,,,16:10:12
,,,,,,,,99.0,57.0,37.0,,,,16:10:13
,,,,,,,,99.0,57.0,31.0,,,,16:10:13
,,,,,,,,99.0,57.0,31.0,,,,16:10:13
,,,,,,,,99.0,57.0,31.0,,,,16:10:14
,,,,,,,,99.0,57.0,31.0,,,,16:10:15
,,,,,,,,98.0,57.0,31.0,,,,16:10:15
,,,,,,,,98.0,57.0,31.0,,,,16:10:15
,,,,,,,,98.0,57.0,31.0,,,,16:10:16
,,,,,,,,98.0,57.0,31.0,,,,16:10:17
,,,,,,,,98.0,57.0,31.0,,,,16:10:17
,,,,,,,,98.0,57.0,31.0,,,,16:10:17
,,,,,,,,98.0,57.0,31.0,,,,16:10:18
,,,,,,,,98.0,57.0,31.0,,,,16:10:19
,,,,,,,,98.0,56.0,47.0,,,,16:10:19
,,,,,,,,98.0,56.0,47.0,,,,16:10:19
,,,,,,,,98.0,56.0,47.0,,,,16:10:20
,,,,,,,,98.0,56.0,47.0,,,,16:10:21
,,,,,,,,98.0,56.0,42.0,,,,16:10:21
,,,,,,,,98.0,56.0,42.0,,,,16:10:21
,,,,,,,,98.0,56.0,42.0,,,,16:10:22
,,,,,,,,98.0,56.0,42.0,,,,16:10:23
,,,,,,,,98.0,56.0,35.0,,,,16:10:23
,,,,,,,,98.0,56.0,35.0,,,,16:10:23
,,,,,,,,98.0,56.0,35.0,,,,16:10:24
,,,,,,,,98.0,56.0,35.0,,,,16:10:25
,,,,,,,,98.0,56.0,33.0,,,,16:10:25
,,,,,,,,98.0,56.0,33.0,,,,16:10:25
,,,,,,,,98.0,56.0,33.0,,,,16:10:26
,,,,,,,,98.0,56.0,33.0,,,,16:10:27
,,,,,,,,98.0,56.0,29.0,,,,16:10:27
,,,,,,,,98.0,56.0,29.0,,,,16:10:27
,,,,,,,,98.0,56.0,29.0,,,,16:10:28
,,,,,,,,98.0,56.0,29.0,,,,16:10:29
,,,,,,,,98.0,56.0,34.0,,,,16:10:29
,,,,,,,,98.0,56.0,34.0,,,,16:10:29
,,,,,,,,98.0,56.0,34.0,,,,16:10:30
,,,,,,,,98.0,56.0,34.0,,,,16:10:31
,,,,,,,,98.0,56.0,34.0,,,,16:10:31
,,,,,,,,98.0,56.0,34.0,,,,16:10:31
,,,,,,,,98.0,56.0,34.0,,,,16:10:32
,,,,,,,,98.0,56.0,34.0,,,,16:10:33
,,,,,,,,98.0,56.0,34.0,,,,16:10:33
,,,,,,,,98.0,56.0,34.0,,,,16:10:33
,,,,,,,,98.0,56.0,34.0,,,,16:10:34
,,,,,,,,98.0,56.0,34.0,,,,16:10:35
,,,,,,,,98.0,56.0,33.0,,,,16:10:35
,,,,,,,,98.0,56.0,33.0,,,,16:10:35
,,,,,,,,98.0,56.0,33.0,,,,16:10:36
,,,,,,,,98.0,56.0,33.0,,,,16:10:37
,,,,,,,,98.0,56.0,33.0,,,,16:10:37
,,,,,,,,98.0,56.0,33.0,,,,16:10:37
,,,,,,,,98.0,56.0,33.0,,,,16:10:38
,,,,,,,,98.0,56.0,33.0,,,,16:10:39
,,,,,,,,98.0,55.0,33.0,,,,16:10:39
,,,,,,,,98.0,55.0,33.0,,,,16:10:39
,,,,,,,,98.0,55.0,33.0,,,,16:10:40
,,,,,,,,98.0,55.0,33.0,,,,16:10:41
,,,,,,,,98.0,55.0,35.0,,,,16:10:41
,,,,,,,,98.0,55.0,35.0,,,,16:10:41
,,,,,,,,98.0,55.0,35.0,,,,16:10:42
,,,,,,,,98.0,55.0,35.0,,,,16:10:43
,,,,,,,,98.0,55.0,37.0,,,,16:10:43
,,,,,,,,98.0,55.0,37.0,,,,16:10:43
,,,,,,,,98.0,55.0,37.0,,,,16:10:44
,,,,,,,,98.0,55.0,37.0,,,,16:10:45
,,,,,,,,98.0,54.0,37.0,,,,16:10:45
,,,,,,,,98.0,54.0,37.0,,,,16:10:45
,,,,,,,,98.0,54.0,37.0,,,,16:10:46
,,,,,,,,98.0,54.0,37.0,,,,16:10:47
,,,,,,,,98.0,55.0,39.0,,,,16:10:47
,,,,,,,,98.0,55.0,39.0,,,,16:10:47
,,,,,,,,98.0,55.0,39.0,,,,16:10:48
,,,,,,,,98.0,55.0,39.0,,,,16:10:49
,,,,,,,,98.0,55.0,39.0,,,,16:10:49
,,,,,,,,98.0,55.0,39.0,,,,16:10:49
,,,,,,,,98.0,55.0,39.0,,,,16:10:50
,,,,,,,,99.0,54.0,40.0,,,,16:10:50
,,,,,,,,99.0,54.0,40.0,,,,16:10:51
,,,,,,,,98.0,55.0,35.0,,,,16:10:51
,,,,,,,,98.0,55.0,35.0,,,,16:10:52
,,,,,,,,98.0,55.0,35.0,,,,16:10:52
,,,,,,,,98.0,55.0,35.0,,,,16:10:53
,,,,,,,,98.0,55.0,35.0,,,,16:10:53
,,,,,,,,98.0,55.0,35.0,,,,16:10:54
,,,,,,,,98.0,55.0,35.0,,,,16:10:54
,,,,,,,,98.0,56.0,28.0,,,,16:10:55
,,,,,,,,98.0,56.0,28.0,,,,16:10:55
,,,,,,,,98.0,56.0,28.0,,,,16:10:56
,,,,,,,,98.0,56.0,28.0,,,,16:10:57
,,,,,,,,98.0,56.0,28.0,,,,16:10:57
,,,,,,,,98.0,56.0,28.0,,,,16:10:57
,,,,,,,,98.0,56.0,28.0,,,,16:10:58
,,,,,,,,98.0,56.0,28.0,,,,16:10:59
,,,,,,,,98.0,58.0,24.0,,,,16:10:59
,,,,,,,,98.0,58.0,24.0,,,,16:10:59
,,,,,,,,98.0,58.0,24.0,,,,16:11:00
,,,,,,,,98.0,58.0,24.0,,,,16:11:01
,,,,,,,,98.0,59.0,17.0,,,,16:11:01
,,,,,,,,98.0,59.0,17.0,,,,16:11:01
,,,,,,,,98.0,59.0,17.0,,,,16:11:02
,,,,,,,,98.0,59.0,17.0,,,,16:11:03
,,,,,,,,98.0,59.0,18.0,,,,16:11:03
,,,,,,,,98.0,59.0,18.0,,,,16:11:04
,,,,,,,,98.0,59.0,18.0,,,,16:11:04
,,,,,,,,98.0,59.0,18.0,,,,16:11:05
,,,,,,,,98.0,59.0,22.0,,,,16:11:05
,,,,,,,,98.0,59.0,22.0,,,,16:11:06
,,,,,,,,98.0,59.0,22.0,,,,16:11:06
,,,,,,,,98.0,59.0,22.0,,,,16:11:07
,,,,,,,,98.0,59.0,19.0,,,,16:11:07
,,,,,,,,98.0,59.0,19.0,,,,16:11:08
,,,,,,,,98.0,59.0,19.0,,,,16:11:08
,,,,,,,,98.0,59.0,19.0,,,,16:11:09
,,,,,,,,98.0,59.0,19.0,,,,16:11:09
,,,,,,,,98.0,59.0,19.0,,,,16:11:09
,,,,,,,,98.0,59.0,19.0,,,,16:11:10
,,,,,,,,98.0,59.0,19.0,,,,16:11:11
,,,,,,,,98.0,60.0,21.0,,,,16:11:11
,,,,,,,,98.0,60.0,21.0,,,,16:11:11
,,,,,,,,98.0,60.0,21.0,,,,16:11:12
,,,,,,,,98.0,60.0,21.0,,,,16:11:13
,,,,,,,,98.0,60.0,17.0,,,,16:11:13
,,,,,,,,98.0,60.0,17.0,,,,16:11:13
,,,,,,,,98.0,60.0,17.0,,,,16:11:14
,,,,,,,,98.0,60.0,17.0,,,,16:11:15
,,,,,,,,98.0,59.0,15.0,,,,16:11:15
,,,,,,,,98.0,59.0,15.0,,,,16:11:15
,,,,,,,,98.0,59.0,15.0,,,,16:11:16
,,,,,,,,98.0,59.0,15.0,,,,16:11:17
,,,,,,,,98.0,59.0,15.0,,,,16:11:17
,,,,,,,,98.0,59.0,15.0,,,,16:11:17
,,,,,,,,98.0,59.0,15.0,,,,16:11:18
,,,,,,,,98.0,59.0,15.0,,,,16:11:19
,,,,,,,,98.0,57.0,13.0,,,,16:11:19
,,,,,,,,98.0,57.0,13.0,,,,16:11:19
,,,,,,,,98.0,57.0,13.0,,,,16:11:20
,,,,,,,,98.0,57.0,13.0,,,,16:11:21
,,,,,,,,98.0,58.0,12.0,,,,16:11:21
,,,,,,,,98.0,58.0,12.0,,,,16:11:21
,,,,,,,,98.0,58.0,12.0,,,,16:11:22
,,,,,,,,98.0,58.0,12.0,,,,16:11:23
,,,,,,,,97.0,58.0,16.0,,,,16:11:23
,,,,,,,,97.0,58.0,16.0,,,,16:11:23
,,,,,,,,97.0,58.0,16.0,,,,16:11:24
,,,,,,,,97.0,58.0,16.0,,,,16:11:25
,,,,,,,,97.0,58.0,14.0,,,,16:11:25
,,,,,,,,97.0,58.0,14.0,,,,16:11:25
,,,,,,,,97.0,58.0,14.0,,,,16:11:26
,,,,,,,,97.0,58.0,14.0,,,,16:11:27
,,,,,,,,98.0,58.0,17.0,,,,16:11:27
,,,,,,,,98.0,58.0,17.0,,,,16:11:27
,,,,,,,,98.0,58.0,17.0,,,,16:11:28
,,,,,,,,98.0,58.0,17.0,,,,16:11:29
,,,,,,,,98.0,57.0,21.0,,,,16:11:29
,,,,,,,,98.0,57.0,21.0,,,,16:11:29
,,,,,,,,98.0,57.0,21.0,,,,16:11:30
,,,,,,,,98.0,57.0,21.0,,,,16:11:31
,,,,,,,,99.0,55.0,25.0,,,,16:11:31
,,,,,94.0,,6.7,99.0,55.0,25.0,,,,16:11:31
,,,,,94.0,,6.7,99.0,55.0,25.0,,,,16:11:32
,,,,,94.0,,6.7,99.0,55.0,25.0,,,,16:11:33
,,,,,94.0,,6.7,99.0,55.0,22.0,,,,16:11:33
,,,,,93.0,,6.8,99.0,55.0,22.0,,,,16:11:33
,,,,,93.0,,6.8,99.0,55.0,22.0,,,,16:11:34
,,,,,91.0,,20.0,99.0,55.0,22.0,,,,16:11:35
,,,,,91.0,,20.0,99.0,55.0,25.0,,,,16:11:35
,,,,,93.0,,14.0,99.0,55.0,25.0,,,,16:11:35
,,,,,93.0,,14.0,99.0,55.0,25.0,,,,16:11:36
,,,,,94.0,,17.0,99.0,55.0,25.0,,,,16:11:37
,,,,,94.0,,17.0,99.0,55.0,25.0,,,,16:11:37
,,,,,94.0,120.0,17.0,99.0,55.0,25.0,,,,16:11:37
,,,,,94.0,120.0,17.0,99.0,55.0,25.0,,,,16:11:38
,,,,,94.0,120.0,20.0,99.0,55.0,25.0,,,,16:11:39
,,,,,94.0,120.0,20.0,99.0,55.0,25.0,,,,16:11:39
,,,,,95.0,123.0,20.0,99.0,55.0,25.0,,,,16:11:39
,,,,,95.0,123.0,20.0,99.0,55.0,25.0,,,,16:11:40
,,,,,95.0,123.0,20.0,100.0,56.0,30.0,,,,16:11:40
,,,,,97.0,123.0,20.0,100.0,56.0,30.0,,,,16:11:41
,,,,,97.0,123.0,20.0,99.0,55.0,32.0,,,,16:11:41
,,,,,97.0,125.0,20.0,99.0,55.0,32.0,,,,16:11:42
,,,,,97.0,125.0,20.0,99.0,55.0,32.0,,,,16:11:42
,,,,,97.0,130.0,20.0,99.0,55.0,32.0,,,,16:11:43
,,,,,97.0,130.0,20.0,99.0,55.0,31.0,,,,16:11:43
,,,,,97.0,130.0,20.0,99.0,55.0,31.0,,,,16:11:44
,,,,,97.0,135.0,20.0,99.0,55.0,31.0,,,,16:11:44
,,,,,97.0,135.0,20.0,99.0,57.0,32.0,,,,16:11:45
,,,,,97.0,123.0,1.5,99.0,57.0,32.0,,,,16:11:45
,,,,,97.0,123.0,1.5,99.0,57.0,32.0,,,,16:11:46
,,,,,96.0,121.0,2.2,99.0,57.0,32.0,,,,16:11:47
,,,,,96.0,121.0,2.2,99.0,59.0,36.0,,,,16:11:47
,,,,,96.0,120.0,2.5,99.0,59.0,36.0,,,,16:11:47
,,,,,96.0,120.0,2.5,99.0,59.0,36.0,,,,16:11:48
,,,,,96.0,120.0,2.6,99.0,59.0,36.0,,,,16:11:49
,,,,,96.0,120.0,2.6,99.0,58.0,36.0,,,,16:11:49
,,,,,96.0,120.0,2.6,99.0,58.0,36.0,,,,16:11:49
,,,,,96.0,120.0,2.6,99.0,58.0,36.0,,,,16:11:50
,,,,,97.0,86.0,2.7,99.0,58.0,36.0,,,,16:11:51
,,,,,97.0,86.0,2.7,99.0,58.0,27.0,,,,16:11:51
,,,,,97.0,79.0,2.7,99.0,58.0,27.0,,,,16:11:51
,,,,,97.0,79.0,2.7,99.0,58.0,27.0,,,,16:11:52
,,,,,98.0,65.0,2.6,99.0,58.0,27.0,,,,16:11:53
,,,,,98.0,65.0,2.6,99.0,59.0,24.0,,,,16:11:53
,,,,,99.0,64.0,2.0,99.0,59.0,24.0,,,,16:11:53
,,,,,99.0,64.0,2.0,99.0,59.0,24.0,,,,16:11:54
,,,,,99.0,59.0,1.7,99.0,59.0,24.0,,,,16:11:55
,,,,,99.0,59.0,1.7,99.0,59.0,21.0,,,,16:11:55
,,,,,99.0,59.0,1.7,99.0,59.0,21.0,,,,16:11:55
,,,,,99.0,59.0,1.7,99.0,59.0,21.0,,,,16:11:56
,,,,,99.0,61.0,1.7,99.0,59.0,21.0,,,,16:11:57
,,,,,99.0,61.0,1.7,99.0,59.0,21.0,,,,16:11:57
,,,,,99.0,60.0,1.7,99.0,59.0,21.0,,,,16:11:57
,,,,,99.0,60.0,1.7,99.0,59.0,21.0,,,,16:11:58
,,,,,99.0,59.0,1.7,99.0,59.0,21.0,,,,16:11:59
,,,,,99.0,59.0,1.7,98.0,56.0,20.0,,,,16:11:59
,,,,,99.0,58.0,1.7,98.0,56.0,20.0,,,,16:11:59
,,,,,99.0,58.0,1.7,98.0,56.0,20.0,,,,16:12:00
,,,,,99.0,58.0,1.7,98.0,56.0,20.0,,,,16:12:01
,,,,,99.0,58.0,1.7,98.0,55.0,21.0,,,,16:12:01
,,,,,99.0,58.0,1.7,98.0,55.0,21.0,,,,16:12:01
,,,,,99.0,58.0,1.7,98.0,55.0,21.0,,,,16:12:02
,,,,,99.0,57.0,1.7,98.0,55.0,21.0,,,,16:12:03
,,,,,99.0,57.0,1.7,99.0,55.0,35.0,,,,16:12:03
,,,,,99.0,56.0,1.7,99.0,55.0,35.0,,,,16:12:03
,,,,,99.0,56.0,1.7,99.0,55.0,35.0,,,,16:12:04
