Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,99.0,60.0,0.3,,,,,,,09:47:07
,,,,,99.0,60.0,0.3,100.0,61.0,1.0,,,,09:47:08
,,,,,99.0,60.0,0.3,100.0,57.0,2.0,,,,09:47:08
,,,,,99.0,60.0,0.3,100.0,57.0,2.0,,,,09:47:09
,,,,,100.0,61.0,0.3,100.0,54.0,1.0,,,,09:47:09
,,,,,100.0,62.0,0.3,100.0,54.0,1.0,,,,09:47:10
,,,,,100.0,60.0,0.3,100.0,54.0,1.0,,,,09:47:10
,,,,,100.0,59.0,0.3,100.0,54.0,1.0,,,,09:47:11
,38.953758,140.571448,99.157097,,100.0,59.0,0.3,100.0,54.0,1.0,,,,09:47:11
,38.761745,140.571448,99.159904,,100.0,58.0,0.3,100.0,55.0,1.0,,,,09:47:12
,38.761745,140.562755,99.159747,,100.0,58.0,0.3,100.0,54.0,1.0,,,,09:47:12
,38.761745,140.562755,99.159747,,100.0,58.0,0.3,100.0,54.0,1.0,,,,09:47:13
,38.854866,140.512686,99.157483,,100.0,58.0,0.3,100.0,53.0,1.0,,,,09:47:13
,38.61689,140.512686,99.16097,,100.0,58.0,0.3,100.0,53.0,1.0,,,,09:47:14
,,140.512686,100.0,,100.0,58.0,0.3,100.0,53.0,1.0,,,,09:47:14
,,140.512686,100.0,,100.0,58.0,0.3,100.0,53.0,1.0,,,,09:47:15
,,140.512686,100.0,,100.0,56.0,0.2,100.0,53.0,1.0,,,,09:47:15
,,140.512686,100.0,,100.0,54.0,0.2,100.0,53.0,1.0,,,,09:47:16
,,140.512686,100.0,,100.0,54.0,0.2,100.0,53.0,1.0,,,,09:47:16
,,140.512686,100.0,,100.0,54.0,0.2,100.0,53.0,1.0,,,,09:47:17
,,140.512686,100.0,,100.0,54.0,0.2,100.0,54.0,1.0,,,,09:47:17
,,140.512686,100.0,,100.0,55.0,0.2,100.0,54.0,1.0,,,,09:47:18
,,140.512686,100.0,,100.0,55.0,0.2,100.0,54.0,1.0,,,,09:47:18
,,140.512686,100.0,,100.0,54.0,0.2,100.0,54.0,1.0,,,,09:47:19
,,140.512686,100.0,,100.0,53.0,0.2,100.0,55.0,1.0,,,,09:47:19
,,140.512686,100.0,,100.0,53.0,0.2,100.0,55.0,1.0,,,,09:47:20
,,140.512686,100.0,,100.0,53.0,0.2,100.0,55.0,1.0,,,,09:47:20
,,140.512686,100.0,,100.0,54.0,0.2,100.0,55.0,1.0,,,,09:47:21
,,140.512686,100.0,,100.0,54.0,0.2,100.0,54.0,2.0,,,,09:47:21
,,140.512686,100.0,,100.0,54.0,0.2,100.0,54.0,2.0,,,,09:47:22
,,140.512686,100.0,,100.0,55.0,0.2,100.0,54.0,2.0,,,,09:47:22
,,140.512686,100.0,,100.0,55.0,0.2,100.0,54.0,2.0,,,,09:47:23
,,140.512686,100.0,,100.0,54.0,0.2,100.0,54.0,2.0,,,,09:47:23
,,140.512686,100.0,,100.0,54.0,0.2,100.0,54.0,2.0,,,,09:47:24
,,140.512686,100.0,,100.0,54.0,0.2,100.0,54.0,2.0,,,,09:47:24
,,140.512686,100.0,,100.0,54.0,0.2,100.0,54.0,1.0,,,,09:47:25
,,140.512686,100.0,,100.0,54.0,0.2,100.0,54.0,1.0,,,,09:47:25
,,140.512686,100.0,,100.0,54.0,0.2,100.0,54.0,1.0,,,,09:47:26
,,140.512686,100.0,,100.0,54.0,0.2,100.0,54.0,1.0,,,,09:47:26
,,140.512686,100.0,,100.0,54.0,0.2,100.0,55.0,1.0,,,,09:47:27
,,140.512686,100.0,,100.0,54.0,0.2,100.0,55.0,1.0,,,,09:47:27
,,140.512686,100.0,,100.0,54.0,0.2,100.0,55.0,1.0,,,,09:47:28
,,140.512686,100.0,,100.0,54.0,0.2,100.0,55.0,1.0,,,,09:47:28
,,140.512686,100.0,,100.0,54.0,0.2,100.0,55.0,1.0,,,,09:47:29
,,140.512686,100.0,,100.0,55.0,0.2,100.0,55.0,1.0,,,,09:47:29
,,140.512686,100.0,,100.0,55.0,0.2,100.0,55.0,1.0,,,,09:47:30
,,140.512686,100.0,,100.0,55.0,0.2,100.0,55.0,1.0,,,,09:47:30
,,140.512686,100.0,,100.0,55.0,0.2,100.0,55.0,1.0,,,,09:47:31
,,140.512686,100.0,,100.0,55.0,0.2,100.0,55.0,1.0,,,,09:47:31
,,140.512686,100.0,,100.0,55.0,0.2,100.0,55.0,1.0,,,,09:47:32
,,140.512686,100.0,,100.0,54.0,0.2,100.0,55.0,1.0,,,,09:47:32
