Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,,,,100.0,79.0,23.0,,,,10:08:48
,,,,,,,,,,255.0,,,,10:17:35
,,,,,,,,,,255.0,,,,10:17:35
,,,,,,,,,,255.0,,,,10:17:36
,,,,,,,,,,255.0,,,,10:17:36
,,,,,,,,99.0,,15.0,,,,10:17:37
,,,,,,,,99.0,,15.0,,,,10:17:37
,,,,,,,,99.0,,15.0,,,,10:17:38
,,,,,,,,99.0,,15.0,,,,10:17:38
,,,,,,,,98.0,66.0,24.0,,,,10:17:39
,,,,,,,,98.0,66.0,24.0,,,,10:17:39
,,,,,,,,98.0,66.0,24.0,,,,10:17:40
,,,,,,,,98.0,66.0,24.0,,,,10:17:40
,,,,,,,,98.0,68.0,11.0,,,,10:17:41
,,,,,,,,98.0,68.0,11.0,,,,10:17:41
,,,,,,,,98.0,68.0,11.0,,,,10:17:42
,,,,,,,,98.0,68.0,11.0,,,,10:17:42
,,,,,,,,97.0,73.0,12.0,,,,10:17:43
,,,,,,,,97.0,73.0,12.0,,,,10:17:43
,,,,,98.0,,2.9,97.0,73.0,12.0,,,,10:17:44
,,,,,98.0,,2.9,97.0,73.0,12.0,,,,10:17:44
,,,,,98.0,85.0,1.6,97.0,77.0,9.0,,,,10:17:45
,,,,,98.0,85.0,1.6,97.0,77.0,9.0,,,,10:17:45
,,,,,98.0,85.0,2.0,97.0,77.0,9.0,,,,10:17:46
,,,,,98.0,85.0,2.0,97.0,77.0,9.0,,,,10:17:46
,,,,,98.0,86.0,2.1,97.0,80.0,10.0,,,,10:17:47
,,,,,98.0,86.0,2.1,97.0,80.0,10.0,,,,10:17:47
,,,,,98.0,87.0,2.2,97.0,80.0,10.0,,,,10:17:48
,,,,,98.0,87.0,2.2,97.0,80.0,10.0,,,,10:17:48
,,,,,98.0,87.0,2.2,98.0,81.0,10.0,,,,10:17:49
,,,,,98.0,87.0,2.2,98.0,81.0,10.0,,,,10:17:49
,,,,,98.0,87.0,2.2,98.0,81.0,10.0,,,,10:17:50
,,,,,98.0,87.0,2.2,98.0,81.0,10.0,,,,10:17:50
,,,,,97.0,87.0,2.2,98.0,82.0,9.0,,,,10:17:51
,,,,,97.0,87.0,2.2,98.0,82.0,9.0,,,,10:17:51
,,,,,97.0,87.0,2.2,98.0,82.0,9.0,,,,10:17:52
,,,,,97.0,87.0,2.2,98.0,82.0,9.0,,,,10:17:52
,,,,,97.0,87.0,2.3,98.0,82.0,9.0,,,,10:17:53
,,,,,97.0,87.0,2.3,98.0,82.0,9.0,,,,10:17:53
,,,,,97.0,87.0,2.3,98.0,82.0,9.0,,,,10:17:54
,,,,,97.0,87.0,2.3,98.0,82.0,9.0,,,,10:17:54
,,,,,97.0,87.0,2.3,98.0,80.0,9.0,,,,10:17:55
,,,,,97.0,87.0,2.3,98.0,80.0,9.0,,,,10:17:55
,,,,,97.0,84.0,2.3,98.0,80.0,9.0,,,,10:17:56
,,,,,97.0,84.0,2.3,98.0,80.0,9.0,,,,10:17:56
,,,,,97.0,83.0,2.3,98.0,79.0,8.0,,,,10:17:57
,,,,,97.0,83.0,2.3,98.0,79.0,8.0,,,,10:17:57
,,,,,97.0,81.0,2.3,98.0,79.0,8.0,,,,10:17:58
,,,,,97.0,81.0,2.3,98.0,79.0,8.0,,,,10:17:58
,,,,,97.0,80.0,2.3,98.0,79.0,8.0,,,,10:17:59
,,,,,97.0,80.0,2.3,98.0,79.0,8.0,,,,10:17:59
,,,,,97.0,80.0,2.3,98.0,79.0,8.0,,,,10:18:00
,,,,,97.0,80.0,2.3,98.0,79.0,8.0,,,,10:18:00
,,,,,98.0,78.0,2.3,98.0,79.0,8.0,,,,10:18:01
,,,,,98.0,78.0,2.3,98.0,79.0,8.0,,,,10:18:01
,,,,,98.0,77.0,2.3,98.0,79.0,8.0,,,,10:18:02
,,,,,98.0,77.0,2.3,98.0,79.0,8.0,,,,10:18:02
,,,,,98.0,75.0,2.3,98.0,79.0,8.0,,,,10:18:03
,,,,,98.0,75.0,2.3,98.0,79.0,8.0,,,,10:18:03
,,,,,98.0,75.0,2.5,98.0,79.0,8.0,,,,10:18:04
,,,,,98.0,75.0,2.5,98.0,79.0,8.0,,,,10:18:04
,,,,,98.0,74.0,3.0,98.0,79.0,8.0,,,,10:18:05
,,,,,98.0,74.0,3.0,98.0,79.0,8.0,,,,10:18:05
,,,,,98.0,74.0,3.0,98.0,79.0,8.0,,,,10:18:06
,,,,,98.0,74.0,3.0,98.0,79.0,8.0,,,,10:18:06
,,,,,98.0,74.0,3.7,98.0,79.0,8.0,,,,10:18:07
,,,,,98.0,74.0,3.7,98.0,79.0,8.0,,,,10:18:07
,,,,,98.0,75.0,3.9,98.0,79.0,8.0,,,,10:18:08
,,,,,98.0,75.0,3.9,98.0,79.0,8.0,,,,10:18:08
,,,,,98.0,75.0,4.0,99.0,75.0,9.0,,,,10:18:09
,,,,,98.0,75.0,4.0,99.0,78.0,15.0,,,,10:18:09
,,,,,98.0,76.0,4.0,99.0,78.0,15.0,,,,10:18:10
,,,,,98.0,76.0,4.0,99.0,78.0,15.0,,,,10:18:10
,,,,,98.0,76.0,4.0,99.0,78.0,15.0,,,,10:18:11
,,,,,98.0,76.0,4.0,99.0,78.0,15.0,,,,10:18:11
,,,,,98.0,76.0,4.0,99.0,78.0,15.0,,,,10:18:12
,,,,,98.0,76.0,4.0,99.0,78.0,15.0,,,,10:18:12
,,,,,98.0,78.0,4.1,99.0,78.0,15.0,,,,10:18:13
,,,,,98.0,78.0,4.1,99.0,78.0,15.0,,,,10:18:13
,,,,,99.0,78.0,4.5,99.0,78.0,15.0,,,,10:18:14
,,,,,99.0,78.0,4.5,99.0,78.0,15.0,,,,10:18:14
,,,,,99.0,77.0,4.8,99.0,78.0,15.0,,,,10:18:15
,,,,,99.0,77.0,4.8,99.0,78.0,15.0,,,,10:18:15
,,,,,99.0,77.0,5.2,99.0,78.0,15.0,,,,10:18:16
,,,,,99.0,77.0,5.2,99.0,78.0,15.0,,,,10:18:16
,,,,,99.0,77.0,5.2,99.0,78.0,15.0,,,,10:18:17
,,,,,99.0,77.0,5.2,99.0,78.0,15.0,,,,10:18:17
