Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,,,,97.0,66.0,32.0,10:17:42
,,,,,98.0,61.0,2.0,97.0,66.0,28.0,10:17:43
,,,,,98.0,61.0,2.0,97.0,67.0,26.0,10:17:43
,,,,,98.0,65.0,2.0,97.0,67.0,26.0,10:17:44
,,,,,98.0,65.0,2.0,97.0,67.0,26.0,10:17:44
,,,,,98.0,65.0,2.0,97.0,68.0,26.0,10:17:45
,,,,,98.0,65.0,2.0,97.0,68.0,26.0,10:17:45
,,,,,98.0,66.0,2.0,97.0,68.0,26.0,10:17:46
,,,,,98.0,67.0,2.0,97.0,68.0,26.0,10:17:46
,,,,,98.0,68.0,2.0,97.0,69.0,36.0,10:17:47
,,,,,98.0,68.0,2.0,97.0,69.0,36.0,10:17:47
,,,,,98.0,68.0,2.0,97.0,69.0,36.0,10:17:48
,,,,,98.0,68.0,2.0,97.0,69.0,36.0,10:17:48
,,,,,98.0,69.0,2.0,98.0,71.0,34.0,10:17:49
,,,,,98.0,69.0,2.0,98.0,71.0,34.0,10:17:49
,,,,,98.0,70.0,2.0,98.0,71.0,34.0,10:17:50
,,,,,98.0,70.0,2.0,98.0,71.0,34.0,10:17:50
,,,,,98.0,72.0,2.0,98.0,71.0,44.0,10:17:51
,,,,,98.0,72.0,2.0,98.0,71.0,44.0,10:17:51
,,,,,98.0,75.0,1.9,98.0,71.0,44.0,10:17:52
,,,,,98.0,75.0,1.9,98.0,71.0,44.0,10:17:52
,,,,,98.0,76.0,1.9,98.0,70.0,48.0,10:17:53
,,,,,98.0,76.0,1.9,98.0,70.0,48.0,10:17:53
,,,,,98.0,76.0,1.9,98.0,70.0,48.0,10:17:54
,,,,,98.0,76.0,1.9,98.0,70.0,48.0,10:17:54
,,,,,98.0,76.0,1.9,98.0,69.0,52.0,10:17:55
,,,,,98.0,76.0,1.9,98.0,69.0,52.0,10:17:55
,,,,,98.0,76.0,1.9,98.0,69.0,52.0,10:17:56
,,,,,98.0,76.0,1.9,98.0,69.0,52.0,10:17:56
,,,,,98.0,75.0,1.9,98.0,69.0,52.0,10:17:57
,,,,,98.0,75.0,1.9,98.0,69.0,52.0,10:17:57
,,,,,98.0,75.0,1.9,98.0,69.0,52.0,10:17:58
,,,,,98.0,75.0,1.9,98.0,69.0,52.0,10:17:58
,,,,,98.0,75.0,1.9,99.0,64.0,57.0,10:17:59
,,,,,98.0,75.0,1.9,99.0,64.0,57.0,10:17:59
,,,,,98.0,73.0,1.9,99.0,64.0,57.0,10:18:00
,,,,,98.0,73.0,1.9,99.0,64.0,57.0,10:18:00
,,,,,98.0,73.0,1.9,99.0,61.0,62.0,10:18:01
,,,,,98.0,73.0,1.9,99.0,61.0,62.0,10:18:01
,,,,,98.0,72.0,1.9,99.0,61.0,62.0,10:18:02
,,,,,98.0,72.0,1.9,99.0,61.0,62.0,10:18:02
,,,,,98.0,70.0,1.9,99.0,59.0,63.0,10:18:03
,,,,,98.0,70.0,1.9,99.0,59.0,63.0,10:18:03
,,,,,98.0,67.0,1.9,99.0,59.0,63.0,10:18:04
,,,,,98.0,67.0,1.9,99.0,59.0,63.0,10:18:04
,,,,,98.0,67.0,1.9,99.0,59.0,64.0,10:18:05
,,,,,98.0,67.0,1.9,99.0,59.0,64.0,10:18:05
,,,,,98.0,65.0,1.9,99.0,59.0,64.0,10:18:06
,,,,,98.0,65.0,1.9,99.0,59.0,64.0,10:18:06
,,,,,98.0,64.0,1.9,99.0,61.0,56.0,10:18:07
,,,,,98.0,64.0,1.9,99.0,61.0,56.0,10:18:07
,,,,,98.0,63.0,1.9,99.0,61.0,56.0,10:18:08
,,,,,98.0,63.0,1.9,99.0,61.0,56.0,10:18:08
,,,,,99.0,60.0,1.9,99.0,60.0,47.0,10:18:09
,,,,,99.0,60.0,1.9,99.0,60.0,47.0,10:18:09
,,,,,99.0,59.0,1.8,99.0,60.0,47.0,10:18:10
,,,,,99.0,59.0,1.8,99.0,60.0,47.0,10:18:10
,,,,,99.0,59.0,1.8,99.0,61.0,47.0,10:18:11
