Sample,ETCO2,ETO2,ScalcO2,RR,dev55_SpO2,dev55_HR,dev55_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,,,,100.0,84.0,73.0,14:11:28
,,,,,98.0,74.0,9.4,100.0,84.0,73.0,14:11:29
,,,,,98.0,74.0,9.4,97.0,74.0,80.0,14:11:29
,,,,,98.0,75.0,9.6,97.0,75.0,85.0,14:11:30
,,,,,98.0,74.0,9.7,97.0,73.0,82.0,14:11:30
,,,,,98.0,74.0,9.8,97.0,73.0,88.0,14:11:31
,,,,,98.0,75.0,9.8,97.0,73.0,89.0,14:11:31
,,,,,98.0,75.0,10.0,97.0,73.0,89.0,14:11:32
,,,,,98.0,75.0,10.0,97.0,72.0,89.0,14:11:32
,,,,,98.0,75.0,10.0,97.0,72.0,89.0,14:11:33
,5.701197,301.365013,99.975068,34.0,98.0,74.0,10.0,97.0,72.0,89.0,14:11:33
,5.701197,301.365013,99.975068,34.0,98.0,74.0,10.0,97.0,72.0,89.0,14:11:34
,5.701197,301.365013,99.975068,34.0,98.0,74.0,10.0,97.0,71.0,96.0,14:11:34
,5.701197,301.365013,99.975068,34.0,98.0,74.0,10.0,97.0,71.0,96.0,14:11:35
,,,,,98.0,73.0,11.0,97.0,71.0,96.0,14:11:35
,,,,,98.0,73.0,11.0,97.0,71.0,96.0,14:11:36
,,,,,98.0,72.0,11.0,97.0,70.0,92.0,14:11:36
,,,,,98.0,72.0,11.0,97.0,70.0,92.0,14:11:37
,,,,,98.0,71.0,11.0,97.0,70.0,92.0,14:11:37
,,,,,98.0,71.0,11.0,97.0,70.0,92.0,14:11:38
,,,,,98.0,71.0,11.0,97.0,71.0,87.0,14:11:38
,,,,,98.0,71.0,11.0,97.0,71.0,87.0,14:11:39
,,,,,98.0,71.0,11.0,97.0,71.0,87.0,14:11:39
,,,,,98.0,71.0,11.0,97.0,71.0,87.0,14:11:40
,,,,,98.0,71.0,11.0,97.0,71.0,90.0,14:11:40
,,,,,98.0,71.0,11.0,97.0,71.0,90.0,14:11:41
,,,,,98.0,70.0,11.0,97.0,71.0,90.0,14:11:41
,,,,,98.0,70.0,11.0,97.0,71.0,90.0,14:11:42
,,,,,98.0,70.0,11.0,97.0,72.0,84.0,14:11:42
,,,,,98.0,70.0,11.0,97.0,72.0,84.0,14:11:43
,,,,,98.0,70.0,11.0,97.0,72.0,84.0,14:11:43
,,,,,98.0,70.0,11.0,97.0,72.0,84.0,14:11:44
,,,,,98.0,71.0,11.0,97.0,72.0,78.0,14:11:44
,,,,,98.0,71.0,11.0,97.0,72.0,78.0,14:11:45
,,,,,98.0,71.0,11.0,97.0,72.0,78.0,14:11:45
,,,,,98.0,71.0,11.0,97.0,72.0,78.0,14:11:46
,,,,,98.0,72.0,11.0,97.0,72.0,83.0,14:11:46
,,,,,98.0,72.0,11.0,97.0,72.0,83.0,14:11:47
,,,,,98.0,72.0,11.0,97.0,72.0,83.0,14:11:47
,,,,,98.0,72.0,11.0,97.0,72.0,83.0,14:11:48
,,,,,,,11.0,97.0,73.0,73.0,14:11:48
,,,,,,,11.0,97.0,73.0,73.0,14:11:49
,,,,,,,,97.0,73.0,73.0,14:11:49
,,,,,,,,97.0,73.0,73.0,14:11:50
,,,,,,,,97.0,75.0,72.0,14:11:50
,,,,,,,,97.0,75.0,72.0,14:11:51
,,,,,,,,97.0,75.0,72.0,14:11:51
,,,,,,,,97.0,75.0,72.0,14:11:52
,,,,,,,,97.0,75.0,79.0,14:11:52
,,,,,,,,97.0,75.0,79.0,14:11:53
,,,,,,,,97.0,75.0,79.0,14:11:53
,,,,,,,,97.0,75.0,79.0,14:11:54
,,,,,,,,,,255.0,14:11:54
,,,,,,,,,,255.0,14:11:55
,,,,,98.0,,,,,255.0,14:11:55
,,,,,98.0,,,,,255.0,14:11:56
,,,,,98.0,68.0,5.7,,,255.0,14:11:56
,,,,,98.0,68.0,5.7,,,255.0,14:11:57
,,,,,98.0,72.0,8.5,,,255.0,14:11:57
,,,,,98.0,72.0,8.5,,,255.0,14:11:58
,,,,,98.0,72.0,8.5,,,111.0,14:11:58
,,,,,98.0,72.0,8.5,,,111.0,14:11:59
,,,,,98.0,72.0,8.5,,,111.0,14:11:59
,,,,,98.0,72.0,8.5,,,111.0,14:12:00
,,,,,98.0,72.0,8.8,98.0,72.0,100.0,14:12:00
,,,,,98.0,72.0,8.8,98.0,72.0,100.0,14:12:01
,,,,,98.0,72.0,8.9,98.0,72.0,100.0,14:12:01
,,,,,98.0,72.0,8.9,98.0,72.0,100.0,14:12:02
,,,,,98.0,72.0,8.8,98.0,73.0,96.0,14:12:02
,,,,,98.0,72.0,8.8,98.0,73.0,96.0,14:12:03
,,,,,98.0,73.0,11.0,98.0,73.0,96.0,14:12:03
,,,,,98.0,73.0,11.0,98.0,73.0,96.0,14:12:04
,,,,,98.0,73.0,12.0,98.0,73.0,91.0,14:12:04
,,,,,98.0,73.0,12.0,98.0,73.0,91.0,14:12:05
,,,,,98.0,74.0,12.0,98.0,73.0,91.0,14:12:05
,,,,,98.0,74.0,12.0,98.0,73.0,91.0,14:12:06
,,,,,98.0,78.0,12.0,98.0,74.0,90.0,14:12:06
,,,,,98.0,78.0,12.0,98.0,74.0,90.0,14:12:07
,,,,,98.0,80.0,12.0,98.0,74.0,90.0,14:12:07
,,,,,98.0,80.0,12.0,98.0,74.0,90.0,14:12:08
,,,,,98.0,80.0,12.0,98.0,73.0,106.0,14:12:08
,,,,,98.0,80.0,12.0,98.0,73.0,106.0,14:12:09
,,,,,98.0,80.0,12.0,98.0,73.0,106.0,14:12:09
,,,,,98.0,80.0,12.0,98.0,73.0,106.0,14:12:10
,,,,,98.0,80.0,12.0,98.0,73.0,89.0,14:12:10
,,,,,98.0,80.0,12.0,98.0,73.0,89.0,14:12:11
,,,,,98.0,78.0,12.0,98.0,73.0,89.0,14:12:11
,,,,,98.0,78.0,12.0,98.0,73.0,89.0,14:12:12
,,,,,98.0,77.0,12.0,98.0,73.0,89.0,14:12:12
,,,,,98.0,77.0,12.0,98.0,73.0,89.0,14:12:13
,,,,,98.0,74.0,13.0,98.0,73.0,89.0,14:12:13
,,,,,98.0,74.0,13.0,98.0,73.0,91.0,14:12:14
,,,,,98.0,74.0,13.0,98.0,71.0,105.0,14:12:14
,,,,,98.0,74.0,13.0,98.0,71.0,105.0,14:12:15
,,,,,98.0,74.0,13.0,98.0,71.0,105.0,14:12:15
,,,,,98.0,74.0,13.0,98.0,71.0,105.0,14:12:16
,,,,,98.0,74.0,13.0,98.0,68.0,114.0,14:12:16
,,,,,98.0,71.0,13.0,98.0,68.0,114.0,14:12:17
,,,,,98.0,71.0,13.0,98.0,68.0,114.0,14:12:17
,,,,,98.0,70.0,13.0,98.0,68.0,114.0,14:12:18
,,,,,98.0,70.0,13.0,98.0,68.0,112.0,14:12:18
,,,,,98.0,69.0,14.0,98.0,68.0,112.0,14:12:19
,,,,,98.0,69.0,14.0,98.0,68.0,112.0,14:12:19
,,,,,98.0,68.0,14.0,98.0,68.0,112.0,14:12:20
,,,,,98.0,68.0,14.0,98.0,66.0,113.0,14:12:20
,,,,,98.0,68.0,14.0,98.0,66.0,113.0,14:12:21
,,,,,98.0,68.0,14.0,98.0,66.0,113.0,14:12:21
,,,,,98.0,68.0,14.0,98.0,66.0,113.0,14:12:22
,,,,,98.0,68.0,14.0,98.0,65.0,115.0,14:12:22
,,,,,98.0,67.0,15.0,98.0,65.0,115.0,14:12:23
,,,,,98.0,67.0,15.0,98.0,65.0,115.0,14:12:23
,,,,,98.0,65.0,15.0,98.0,65.0,115.0,14:12:24
,,,,,98.0,65.0,15.0,98.0,63.0,128.0,14:12:24
,,,,,98.0,64.0,15.0,98.0,63.0,128.0,14:12:25
,,,,,98.0,64.0,15.0,98.0,63.0,128.0,14:12:25
,,,,,98.0,61.0,16.0,98.0,63.0,128.0,14:12:26
,,,,,98.0,61.0,16.0,98.0,61.0,118.0,14:12:26
,,,,,98.0,61.0,16.0,98.0,61.0,118.0,14:12:27
,,,,,98.0,61.0,16.0,98.0,61.0,118.0,14:12:27
,,,,,98.0,61.0,16.0,98.0,61.0,118.0,14:12:28
,,,,,98.0,61.0,16.0,98.0,61.0,116.0,14:12:28
,,,,,98.0,60.0,16.0,98.0,61.0,116.0,14:12:29
,,,,,98.0,60.0,16.0,98.0,61.0,116.0,14:12:29
,,,,,98.0,59.0,17.0,98.0,61.0,116.0,14:12:30
,,,,,98.0,59.0,17.0,98.0,59.0,112.0,14:12:30
,,,,,98.0,59.0,17.0,98.0,59.0,112.0,14:12:31
,,,,,98.0,59.0,17.0,98.0,59.0,112.0,14:12:31
,,,,,98.0,59.0,16.0,98.0,59.0,112.0,14:12:32
,,,,,98.0,59.0,16.0,98.0,59.0,106.0,14:12:32
,,,,,98.0,59.0,15.0,98.0,59.0,106.0,14:12:33
,,,,,98.0,59.0,15.0,98.0,59.0,106.0,14:12:33
,,,,,98.0,57.0,15.0,98.0,59.0,106.0,14:12:34
,,,,,98.0,57.0,15.0,98.0,60.0,97.0,14:12:34
,,,,,98.0,57.0,15.0,98.0,60.0,97.0,14:12:35
,,,,,98.0,57.0,15.0,98.0,60.0,97.0,14:12:35
