Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,90.0,49.0,,,,,,,,15:48:04
,,,,,90.0,49.0,,,,,,,,15:48:05
,,,,,100.0,51.0,,,,,,,,15:48:26
,,,,,100.0,51.0,,,,,,,,15:48:27
,,,,,100.0,51.0,2.8,,,,,,,15:48:27
,,,,,100.0,51.0,2.8,,,,,,,15:48:28
,,,,,100.0,51.0,1.7,,,,,,,15:48:28
,,,,,100.0,51.0,1.7,,,,,,,15:48:29
,,,,,100.0,49.0,2.4,,,,,,,15:48:29
,,,,,100.0,49.0,2.4,,,,,,,15:48:30
,,,,,100.0,49.0,2.2,,,,,,,15:48:30
,,,,,100.0,49.0,2.2,,,,,,,15:48:31
,,,,,100.0,49.0,2.2,,,,,,,15:48:31
,,,,,100.0,49.0,2.2,,,,,,,15:48:32
,,,,,100.0,49.0,2.4,,,,,,,15:48:32
,,,,,100.0,49.0,2.4,,,,,,,15:48:33
,,,,,100.0,49.0,2.9,,,,,,,15:48:33
,,,,,100.0,49.0,2.9,,,,,,,15:48:34
,,,,,100.0,47.0,3.0,,,,,,,15:48:34
,,,,,100.0,47.0,3.0,,,,,,,15:48:35
,,,,,100.0,46.0,3.0,,,,,,,15:48:35
,,,,,100.0,46.0,3.0,,,,,,,15:48:36
,,,,,100.0,46.0,3.0,,,,,,,15:48:36
,,,,,100.0,46.0,3.0,,,,,,,15:48:37
,,,,,100.0,46.0,3.0,,,,,,,15:48:37
,,,,,100.0,46.0,3.0,,,,,,,15:48:38
,,,,,100.0,47.0,3.0,,,,,,,15:48:38
,,,,,100.0,47.0,3.0,,,,,,,15:48:39
,,,,,100.0,47.0,2.9,,,,,,,15:48:39
,,,,,100.0,47.0,2.9,,,,,,,15:48:40
,,,,,100.0,47.0,2.9,,,,,,,15:48:40
,,,,,100.0,47.0,2.9,,,,,,,15:48:41
,,,,,100.0,47.0,2.8,,,,,,,15:48:41
,,,,,100.0,47.0,2.8,,,,,,,15:48:42
,,,,,100.0,47.0,2.8,,,,,,,15:48:42
,,,,,100.0,47.0,2.8,,,,,,,15:48:43
,,,,,100.0,47.0,2.8,,,,,,,15:48:43
,,,,,100.0,47.0,2.8,,,,,,,15:48:44
,,,,,100.0,47.0,2.8,,,,,,,15:48:44
,,,,,100.0,47.0,2.8,,,,,,,15:48:45
,,,,,100.0,47.0,2.8,,,,,,,15:48:45
,,,,,100.0,47.0,2.8,,,,,,,15:48:46
,,,,,100.0,47.0,2.8,,,,,,,15:48:46
,,,,,100.0,47.0,2.8,,,,,,,15:48:47
,,,,,100.0,47.0,2.8,,,,,,,15:48:47
,,,,,100.0,47.0,2.8,,,,,,,15:48:48
