Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,99.0,80.0,3.1,98,84.0,37.0,14:27:01
,,,,,99.0,81.0,3.1,98,84.0,30.0,14:27:01
,,,,,99.0,82.0,3.1,98,83.0,27.0,14:27:02
,,,,,99.0,83.0,3.1,98,83.0,27.0,14:27:02
,,,,,99.0,86.0,3.1,98,83.0,27.0,14:27:03
,,,,,99.0,85.0,3.1,98,83.0,27.0,14:27:03
,,,,,99.0,85.0,3.1,98,82.0,28.0,14:27:04
,,,,,99.0,85.0,3.1,98,82.0,28.0,14:27:04
,,,,,99.0,85.0,3.0,98,82.0,28.0,14:27:05
,,,,,99.0,85.0,3.0,98,82.0,28.0,14:27:05
,,,,,99.0,84.0,3.0,98,82.0,28.0,14:27:06
,,,,,99.0,84.0,3.0,98,82.0,28.0,14:27:06
,,,,,99.0,83.0,3.0,98,82.0,28.0,14:27:07
,,,,,99.0,83.0,3.0,98,82.0,28.0,14:27:07
,,,,51.0,99.0,83.0,3.0,98,82.0,28.0,14:27:08
,,,,50.0,99.0,83.0,3.0,98,82.0,28.0,14:27:08
,,,,50.0,99.0,82.0,3.0,98,82.0,28.0,14:27:09
,,,,50.0,99.0,82.0,3.0,98,82.0,28.0,14:27:09
,,,,,99.0,82.0,3.0,98,82.0,28.0,14:27:10
,,,,,99.0,82.0,3.0,98,82.0,28.0,14:27:10
,39.365196,,,,99.0,83.0,3.0,98,82.0,28.0,14:27:11
,39.142246,167.167441,99.601948,,99.0,83.0,3.0,98,82.0,28.0,14:27:11
,39.251438,167.167441,99.601234,,99.0,84.0,2.9,98,82.0,28.0,14:27:12
,39.107864,167.279688,99.602978,,99.0,84.0,2.9,98,82.0,28.0,14:27:12
,39.416435,167.279688,99.600966,,99.0,82.0,2.9,98,82.0,28.0,14:27:13
,40.022404,167.279688,99.59703,,99.0,82.0,2.9,98,82.0,28.0,14:27:13
,39.736229,167.325141,99.599215,,99.0,81.0,3.0,98,82.0,28.0,14:27:14
,39.926926,167.325141,99.597979,,99.0,81.0,3.0,98,82.0,28.0,14:27:14
,39.773663,167.540543,99.600528,,99.0,82.0,3.0,98,82.0,28.0,14:27:15
,39.75008,167.541768,99.600689,,99.0,82.0,3.0,98,82.0,28.0,14:27:15
,39.954643,167.577541,99.599627,,99.0,82.0,3.0,98,82.0,28.0,14:27:16
,39.919861,167.620221,99.600159,,99.0,82.0,3.0,98,82.0,28.0,14:27:16
,39.845264,167.620221,99.600639,,99.0,84.0,3.0,98,82.0,28.0,14:27:17
,39.823608,167.620221,99.600779,,99.0,84.0,3.0,98,82.0,28.0,14:27:17
,39.918789,167.620221,99.600166,,99.0,83.0,3.0,98,82.0,28.0,14:27:18
,39.93795,167.620221,99.600042,,99.0,83.0,3.0,98,82.0,28.0,14:27:18
,39.984783,167.620221,99.599741,,99.0,81.0,2.9,98,82.0,28.0,14:27:19
,39.9622,167.719776,99.600603,,99.0,81.0,2.9,98,82.0,28.0,14:27:19
,39.949684,167.691862,99.600483,,99.0,81.0,2.9,98,82.0,28.0,14:27:20
,40.252838,167.765246,99.599067,,99.0,81.0,2.9,98,82.0,28.0,14:27:20
,40.327621,167.767253,99.598603,,99.0,82.0,2.9,98,82.0,28.0,14:27:21
,40.229145,167.767253,99.599234,,99.0,82.0,2.9,98,82.0,28.0,14:27:21
,40.430199,167.767253,99.597948,,99.0,82.0,2.9,98,82.0,28.0,14:27:22
,40.430199,167.767253,99.597948,,99.0,82.0,2.9,98,82.0,28.0,14:27:22
,40.153244,167.767253,99.59972,,99.0,81.0,2.9,98,82.0,28.0,14:27:23
,40.153244,164.817576,99.577674,,99.0,81.0,2.9,98,82.0,28.0,14:27:23
,,,,,99.0,80.0,2.9,98,82.0,28.0,14:27:24
,,,,,99.0,80.0,2.9,98,82.0,28.0,14:27:24
,,,,,99.0,80.0,2.8,98,82.0,28.0,14:27:25
,,,,,99.0,80.0,2.8,98,82.0,28.0,14:27:25
,,,,,99.0,82.0,2.8,98,82.0,28.0,14:27:26
,,,,,99.0,82.0,2.8,98,82.0,28.0,14:27:26
,,,,2147483648.0,99.0,82.0,2.8,98,82.0,28.0,14:27:27
,,,,,99.0,82.0,2.8,98,82.0,28.0,14:27:27
,,,,,99.0,82.0,2.8,98,82.0,28.0,14:27:28
,,,,,99.0,82.0,2.8,98,82.0,28.0,14:27:28
,,,,,99.0,83.0,2.7,98,82.0,28.0,14:27:29
,,,,,99.0,83.0,2.7,98,82.0,28.0,14:27:29
,,,,,99.0,81.0,2.7,98,82.0,28.0,14:27:30
,,,,,99.0,81.0,2.7,98,82.0,28.0,14:27:30
,,,,,99.0,78.0,2.7,98,82.0,28.0,14:27:31
,,,,,99.0,78.0,2.7,98,82.0,28.0,14:27:31
,,,,,99.0,77.0,2.7,98,82.0,28.0,14:27:32
,,,,,99.0,77.0,2.7,98,82.0,28.0,14:27:32
,,,,,99.0,77.0,2.7,98,82.0,28.0,14:27:33
,,,,,99.0,77.0,2.7,98,82.0,28.0,14:27:33
,,,,,99.0,78.0,2.7,98,82.0,28.0,14:27:34
,,,,,99.0,78.0,2.7,98,82.0,28.0,14:27:34
,,,,,99.0,79.0,2.7,98,82.0,28.0,14:27:35
,,,,,99.0,79.0,2.7,98,82.0,28.0,14:27:35
,,,,,99.0,79.0,2.7,98,82.0,28.0,14:27:36
,,,,,99.0,79.0,2.7,98,82.0,28.0,14:27:36
,,,,,99.0,80.0,2.7,98,82.0,28.0,14:27:37
,,,,,99.0,80.0,2.7,98,82.0,28.0,14:27:37
,,,,,99.0,80.0,2.8,98,82.0,28.0,14:27:38
,,,,,99.0,80.0,2.8,98,82.0,28.0,14:27:38
,,,,,99.0,80.0,2.8,98,82.0,28.0,14:27:39
,,,,,99.0,80.0,2.8,98,80.0,32.0,14:27:39
,,,,,99.0,81.0,2.8,98,80.0,37.0,14:27:40
,,,,,99.0,81.0,2.8,98,80.0,37.0,14:27:40
,,,,,99.0,81.0,2.8,98,80.0,37.0,14:27:41
,,,,,99.0,81.0,2.8,98,80.0,37.0,14:27:41
,,,,,99.0,80.0,2.9,98,80.0,37.0,14:27:42
,,,,,99.0,80.0,2.9,98,80.0,37.0,14:27:42
,,,,,99.0,78.0,2.9,98,80.0,37.0,14:27:43
,,,,,99.0,78.0,2.9,98,80.0,37.0,14:27:43
,,,,,99.0,78.0,2.9,98,80.0,37.0,14:27:44
,,,,,99.0,78.0,2.9,98,80.0,37.0,14:27:44
,,,,,99.0,80.0,2.9,98,80.0,37.0,14:27:45
,,,,2147483648.0,99.0,80.0,2.9,98,80.0,37.0,14:27:45
,,,,,99.0,80.0,2.9,98,80.0,37.0,14:27:46
,,,,,99.0,80.0,2.9,98,80.0,37.0,14:27:46
,,,,,99.0,80.0,3.0,98,80.0,37.0,14:27:47
,,,,,99.0,80.0,3.0,98,80.0,37.0,14:27:47
,,,,,99.0,80.0,3.0,98,80.0,37.0,14:27:48
,,,,,99.0,80.0,3.0,98,80.0,37.0,14:27:48
,,,,,99.0,82.0,3.1,98,80.0,37.0,14:27:49
,,,,,99.0,82.0,3.1,98,80.0,37.0,14:27:49
,,,,,99.0,82.0,3.1,98,80.0,37.0,14:27:50
,,,,,99.0,82.0,3.1,98,80.0,37.0,14:27:50
,,,,,99.0,81.0,3.1,98,80.0,37.0,14:27:51
,,,,,99.0,81.0,3.1,98,80.0,37.0,14:27:51
,,,,,99.0,82.0,3.2,98,80.0,37.0,14:27:52
,,,,,99.0,82.0,3.2,98,80.0,37.0,14:27:52
,,,,,99.0,82.0,3.2,98,80.0,37.0,14:27:53
,,,,,99.0,82.0,3.2,98,80.0,37.0,14:27:53
,,,,,99.0,81.0,3.2,98,80.0,37.0,14:27:54
,,,,,99.0,81.0,3.2,98,80.0,37.0,14:27:54
,,,,,99.0,81.0,3.2,98,80.0,37.0,14:27:55
,,,,,99.0,81.0,3.2,98,80.0,37.0,14:27:55
,,,,,99.0,82.0,3.2,98,80.0,37.0,14:27:56
,,,,,99.0,82.0,3.2,98,80.0,37.0,14:27:56
,,,,,99.0,82.0,3.2,98,80.0,37.0,14:27:57
,,,,,99.0,82.0,3.2,98,80.0,37.0,14:27:57
,,,,,99.0,82.0,3.2,98,80.0,37.0,14:27:58
,,,,,99.0,82.0,3.2,98,80.0,37.0,14:27:58
,,,,,99.0,85.0,3.2,98,80.0,37.0,14:27:59
,,,,2147483648.0,99.0,85.0,3.2,98,80.0,37.0,14:27:59
,,,,,99.0,87.0,3.2,98,80.0,37.0,14:28:00
,,,,,99.0,87.0,3.2,98,80.0,37.0,14:28:00
,,,,,99.0,87.0,3.2,98,80.0,37.0,14:28:01
,,,,,99.0,87.0,3.2,98,80.0,37.0,14:28:01
,,,,,99.0,89.0,3.2,98,80.0,37.0,14:28:02
,,,,,99.0,89.0,3.2,98,80.0,37.0,14:28:02
,,,,,99.0,87.0,3.2,98,80.0,37.0,14:28:03
,,,,,99.0,87.0,3.2,98,80.0,37.0,14:28:03
,,,,,99.0,86.0,3.1,98,80.0,37.0,14:28:04
,,,,,99.0,86.0,3.1,98,80.0,37.0,14:28:04
,,,,,99.0,85.0,3.1,98,80.0,37.0,14:28:05
,,,,,99.0,85.0,3.1,98,80.0,37.0,14:28:05
,,,,,99.0,84.0,3.0,98,80.0,37.0,14:28:06
,,,,,99.0,84.0,3.0,98,80.0,37.0,14:28:06
,,,,,99.0,84.0,3.0,98,80.0,37.0,14:28:07
,,,,,99.0,84.0,3.0,98,80.0,37.0,14:28:07
,,,,,99.0,84.0,3.0,98,80.0,37.0,14:28:08
,,,,,99.0,84.0,3.0,98,80.0,37.0,14:28:08
,,,,,99.0,83.0,2.9,98,80.0,37.0,14:28:09
,,,,,99.0,83.0,2.9,98,80.0,37.0,14:28:09
,,,,,99.0,83.0,2.9,98,82.0,28.0,14:28:10
,,,,,99.0,83.0,2.9,98,82.0,28.0,14:28:10
,,,,,99.0,83.0,2.9,98,82.0,28.0,14:28:11
,,,,,99.0,83.0,2.9,98,82.0,28.0,14:28:11
,,,,,99.0,84.0,2.9,98,82.0,28.0,14:28:12
,,,,,99.0,84.0,2.9,98,82.0,28.0,14:28:12
,,,,,99.0,84.0,2.9,98,82.0,28.0,14:28:13
,,,,,99.0,84.0,2.9,98,82.0,28.0,14:28:13
,,,,,99.0,83.0,2.9,98,82.0,28.0,14:28:14
,,,,,99.0,83.0,2.9,98,82.0,28.0,14:28:14
,,,,,99.0,82.0,2.9,98,82.0,28.0,14:28:15
,,,,,99.0,82.0,2.9,98,82.0,28.0,14:28:15
,,,,,99.0,81.0,2.9,98,82.0,28.0,14:28:16
,,,,,99.0,81.0,2.9,98,82.0,28.0,14:28:16
,,,,,99.0,80.0,2.9,98,82.0,28.0,14:28:17
,,,,,99.0,80.0,2.9,98,82.0,28.0,14:28:17
,,,,,99.0,80.0,2.9,98,82.0,28.0,14:28:18
,,,,,99.0,80.0,2.9,98,82.0,28.0,14:28:18
,,,,,99.0,80.0,2.9,98,82.0,28.0,14:28:19
,,,,,99.0,80.0,2.9,98,82.0,28.0,14:28:19
,,,,,99.0,81.0,2.9,98,82.0,28.0,14:28:20
,,,,,99.0,81.0,2.9,98,82.0,28.0,14:28:20
,,,,,99.0,81.0,2.8,98,82.0,28.0,14:28:21
,,,,,99.0,81.0,2.8,98,82.0,28.0,14:28:21
,,,,,99.0,80.0,2.8,98,82.0,28.0,14:28:22
,,,,,99.0,80.0,2.8,98,82.0,28.0,14:28:22
,,,,,99.0,79.0,2.8,98,82.0,28.0,14:28:23
,,,,,99.0,79.0,2.8,98,82.0,28.0,14:28:23
,,,,,99.0,79.0,2.8,98,82.0,28.0,14:28:24
,,,,,99.0,79.0,2.8,98,82.0,28.0,14:28:24
,,,,,99.0,77.0,2.8,98,82.0,28.0,14:28:25
,,,,,99.0,77.0,2.8,98,82.0,28.0,14:28:25
,,,,,99.0,78.0,2.8,98,82.0,28.0,14:28:26
,,,,,99.0,78.0,2.8,98,82.0,28.0,14:28:26
,,,,,99.0,78.0,2.8,98,82.0,28.0,14:28:27
,,,,,99.0,78.0,2.8,98,82.0,28.0,14:28:27
,,,,,99.0,78.0,2.8,98,82.0,28.0,14:28:28
,,,,,99.0,78.0,2.8,98,82.0,28.0,14:28:28
,,,,,99.0,79.0,2.8,98,82.0,28.0,14:28:29
,,,,,99.0,79.0,2.8,99,81.0,41.0,14:28:29
,,,,,99.0,79.0,2.8,99,78.0,25.0,14:28:30
,,,,,99.0,79.0,2.8,99,78.0,25.0,14:28:30
,,,,,99.0,79.0,2.8,99,78.0,25.0,14:28:31
,,,,,99.0,79.0,2.8,99,78.0,25.0,14:28:31
,,,,,99.0,79.0,2.9,99,78.0,25.0,14:28:32
,,,,,99.0,79.0,2.9,99,78.0,25.0,14:28:32
,,,,,99.0,78.0,2.9,99,78.0,25.0,14:28:33
,,,,,99.0,78.0,2.9,99,78.0,25.0,14:28:33
,,,,,99.0,79.0,2.9,99,78.0,25.0,14:28:34
,,,,,99.0,79.0,2.9,99,78.0,25.0,14:28:34
,,,,,99.0,79.0,2.9,99,78.0,25.0,14:28:35
,,,,,99.0,79.0,2.9,99,78.0,25.0,14:28:35
,,,,,99.0,79.0,2.9,99,78.0,25.0,14:28:36
,,,,,99.0,79.0,2.9,99,78.0,25.0,14:28:36
,,,,,99.0,78.0,2.9,99,78.0,25.0,14:28:37
,,,,,99.0,78.0,2.9,99,78.0,25.0,14:28:37
,,,,,99.0,77.0,2.9,99,78.0,25.0,14:28:38
,,,,,99.0,77.0,2.9,99,78.0,25.0,14:28:38
,,,,,99.0,78.0,2.9,99,78.0,25.0,14:28:39
,,,,,99.0,78.0,2.9,99,78.0,25.0,14:28:39
