Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,30.507381,,,,,,,,,,,,,08:57:22
,30.507381,,,,,,,,,,,,,08:57:23
,30.507381,123.320732,98.946812,,,,,,,,,,,08:57:23
,30.507381,123.320732,98.946812,,,,,,,,,,,08:57:24
,26.43572,123.320732,99.04725,27.5,,,,,,,,,,08:57:24
,26.43572,123.320732,99.04725,27.5,,,,,,,,,,08:57:25
,26.43572,124.306974,99.069274,27.5,,,,,,,,,,08:57:25
,26.43572,124.306974,99.069274,27.5,,,,,,,,,,08:57:26
,26.43572,124.306974,99.069274,27.5,,,,,,,,,,08:57:26
,26.43572,124.306974,99.069274,27.5,,,,,,,,,,08:57:27
,26.43572,124.306974,99.069274,27.5,,,,,,,,,,08:57:27
,26.43572,124.306974,99.069274,27.5,,,,,,,,,,08:57:28
,26.43572,124.306974,99.069274,27.5,,,,,,,,,,08:57:28
,26.43572,124.306974,99.069274,27.5,,,,,,,,,,08:57:29
,26.43572,124.306974,99.069274,27.5,,,,,,,,,,08:57:29
,26.43572,124.306974,99.069274,27.5,,,,,,,,,,08:57:30
,26.43572,124.306974,99.069274,27.5,,,,,,,,,,08:57:30
,26.43572,124.306974,99.069274,27.5,,,,,,,,,,08:57:31
,26.43572,124.306974,99.069274,27.5,,,,,,,,,,08:57:31
,26.43572,124.306974,99.069274,27.5,,,,,,,,,,08:57:32
,,,,,,,,,,255.0,,,,08:57:38
,,,,,,,,,,255.0,,,,08:57:38
,,,,,,,,,,255.0,,,,08:57:39
,,,,,,,,,,255.0,,,,08:57:39
,,,,,,,,,,255.0,,,,08:57:40
,,,,,,,,,,255.0,,,,08:57:40
,,,,,,,,,,255.0,,,,08:57:41
,,,,,,,,,,255.0,,,,08:57:41
,,,,,,,,,,255.0,,,,08:57:42
,,,,,,,,97.0,,22.0,,,,08:57:43
,,,,,,,,97.0,,22.0,,,,08:57:43
,,,,,,,,97.0,,22.0,,,,08:57:44
,,,,,,,,100.0,65.0,20.0,,,,08:57:44
,,,,,,,,100.0,65.0,20.0,,,,08:57:45
,,,,,,,,100.0,65.0,20.0,,,,08:57:45
,,,,,,,,100.0,65.0,20.0,,,,08:57:46
,,,,,,,,100.0,81.0,14.0,,,,08:57:47
,,,,,,,,100.0,81.0,14.0,,,,08:57:47
,,,,,,,,100.0,81.0,14.0,,,,08:57:48
,,,,,,,,100.0,81.0,191.0,,,,08:57:48
,,,,,,,,100.0,81.0,191.0,,,,08:57:49
,,,,,,,,100.0,81.0,191.0,,,,08:57:49
,,,,,,,,100.0,81.0,191.0,,,,08:57:50
,,,,,,,,100.0,81.0,141.0,,,,08:57:51
,,,,,,,,100.0,81.0,141.0,,,,08:57:51
,,,,,,,,100.0,81.0,141.0,,,,08:57:52
,34.88998,668.192703,99.992466,,,,,,,,,,,08:59:05
,34.849052,669.035174,99.992497,,,,,,,,,,,08:59:05
,34.96212,669.251358,99.992496,,,,,,,,,,,08:59:06
,34.844372,669.556113,99.992514,,,,,,,,,,,08:59:07
,35.022671,669.838176,99.992511,117.5,,,,,,,,,,08:59:07
,35.022671,669.838176,99.992511,117.5,,,,,,,,,,08:59:08
,35.022671,669.838176,99.992511,,,,,,,,,,,08:59:08
,35.020073,606.94773,99.989971,120.0,,,,,,,,,,08:59:09
,34.983154,606.94773,99.989974,117.5,,,,,,,,,,08:59:09
,34.949406,606.94773,99.989978,,,,,,,,,,,08:59:10
,34.892151,668.181938,99.992465,,,,,,,,,,,08:59:11
,35.087872,668.689221,99.992469,,,,,,,,,,,08:59:11
,35.11639,669.228937,99.992485,,,,,,,,,,,08:59:12
,35.043621,669.228937,99.99249,,,,,,,,,,,08:59:12
,35.219952,669.228937,99.992478,,,,,,,,,,,08:59:13
,35.206451,669.228937,99.992479,,,,,,,,,,,08:59:13
,35.148376,669.475223,99.992491,145.0,,,,,,,,,,08:59:14
,35.013077,669.777122,99.99251,,,,,,,,,,,08:59:15
,35.488285,669.486324,99.992468,,,,,,,,,,,08:59:15
,35.275154,669.537565,99.992484,,,,,,,,,,,08:59:16
,35.340656,669.561511,99.992481,,,,,,,,,,,08:59:16
,35.247135,669.816605,99.992496,,,,,,,,,,,08:59:17
,35.477303,669.623921,99.992474,,,,,,,,,,,08:59:17
,35.325478,669.465349,99.992479,,,,,,,,,,,08:59:18
,35.4991,669.801469,99.992478,,,,,,,,,,,08:59:19
,35.607391,669.653688,99.992466,,,,,,,,,,,08:59:19
,35.408321,669.697927,99.992481,,,,,,,,,,,08:59:20
,35.425907,669.767941,99.992482,107.5,,,,,,,,,,08:59:20
,,669.767941,100.0,,,,,,,,,,,08:59:21
,,669.767941,100.0,,,,,,,,,,,08:59:21
,,669.767941,100.0,,,,,,,,,,,08:59:22
,,669.767941,100.0,,,,,,,,,,,08:59:23
,,669.767941,100.0,,,,,,,,,,,08:59:23
,,669.767941,100.0,,,,,,,,,,,08:59:24
,,669.767941,100.0,,,,,,,,,,,08:59:24
,,669.767941,100.0,,,,,,,,,,,08:59:25
,,669.767941,100.0,,,,,,,,,,,08:59:25
,,669.767941,100.0,,,,,,,,,,,08:59:26
,,669.767941,100.0,,,,,,,,,,,08:59:27
,,669.767941,100.0,,,,,,,,,,,08:59:27
,,669.767941,100.0,,,,,,,,,,,08:59:28
,,669.767941,100.0,,,,,,,,,,,08:59:28
,,669.767941,100.0,,,,,,,,,,,08:59:29
,,669.767941,100.0,,,,,,,,,,,08:59:29
,,669.767941,100.0,,,,,,,,,,,08:59:30
,,669.767941,100.0,,,,,,,,,,,08:59:31
,,669.767941,100.0,,,,,,,,,,,08:59:31
,,669.767941,100.0,,,,,,,,,,,08:59:32
,,669.767941,100.0,,,,,,,,,,,08:59:32
