Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,35.0,,,,,,,,,,09:52:24
,21.665771,144.405963,99.475724,35.0,,,,,,,,,,09:52:25
,21.665771,144.405963,99.475724,35.0,,,,,,,,,,09:52:25
,21.665771,144.405963,99.475724,35.0,,,,,,,,,,09:52:26
,21.665771,144.405963,99.475724,35.0,,,,,,,,,,09:52:26
,20.422709,144.622454,99.498328,32.5,,,,,,,,,,09:52:27
,,144.622454,100.0,,,,,,,,,,,09:52:27
,,144.622454,100.0,,,,,,,,,,,09:52:28
,,144.622454,100.0,,,,,,,,,,,09:52:28
,,144.622454,100.0,,,,,,,,,,,09:52:29
,,144.622454,100.0,,,,,,,,,,,09:52:29
,,,,137.5,,,,,,,,,,09:52:40
,24.84634,,,,,,,,,,,,,09:52:43
,24.84634,,,,,,,,,,,,,09:52:44
,23.587828,,,,,,,,,,,,,09:52:44
,24.124718,143.855834,99.430108,,,,,,,,,,,09:52:45
,25.344183,143.855834,99.410884,,,,,,,,,,,09:52:45
,25.053915,143.911286,99.41609,,,,,,,,,,,09:52:46
,25.103636,143.845029,99.414522,,,,,,,,,,,09:52:46
,24.747919,143.766161,99.419186,,,,,,,,,,,09:52:47
,24.747919,143.766161,99.419186,,,,,,,,,,,09:52:47
,24.747919,143.766161,99.419186,,,,,,,,,,,09:52:48
,24.719942,143.766161,99.419628,,,,,,,,,,,09:52:48
,24.780413,143.766161,99.418673,,,,,,,,,,,09:52:49
,24.646807,143.766161,99.420784,,,,,,,,,,,09:52:49
,24.646807,143.924083,99.42264,,,,,,,,,,,09:52:50
,24.248098,143.924083,99.428941,,,,,,,,,,,09:52:50
,24.928551,143.774383,99.416434,42.5,,,,,,,,,,09:52:51
,23.646564,143.970122,99.439035,,,,,,,,,,,09:52:51
,,143.970122,100.0,,,,,,,,,,,09:52:52
,,143.970122,100.0,,,,,,,,,,,09:52:52
,,143.970122,100.0,,,,,,,,,,,09:52:53
,,143.970122,100.0,,,,,,,,,,,09:52:53
,,143.970122,100.0,,,,,,,,,,,09:52:54
,,143.970122,100.0,,,,,,,,,,,09:52:54
,,143.970122,100.0,,,,,,,,,,,09:52:55
,,143.970122,100.0,,,,,,,,,,,09:52:55
,,143.970122,100.0,,,,,,,,,,,09:52:56
,,143.970122,100.0,,,,,,,,,,,09:52:56
,,143.970122,100.0,,,,,,,,,,,09:52:57
,,143.970122,100.0,,,,,,,,,,,09:52:57
,,143.970122,100.0,,,,,,,,,,,09:52:58
,,143.970122,100.0,,,,,,,,,,,09:52:58
,,143.970122,100.0,,,,,,,,,,,09:52:59
,,143.970122,100.0,,,,,,,,,,,09:52:59
,,143.970122,100.0,,,,,,,,,,,09:53:00
,,143.970122,100.0,,,,,,,,,,,09:53:00
,,143.970122,100.0,,,,,,,,,,,09:53:01
,,143.970122,100.0,,,,,,,,,,,09:53:01
,,143.970122,100.0,,,,,,,,,,,09:53:02
,,143.970122,100.0,,,,,,,,,,,09:53:02
,,143.970122,100.0,,,,,,,,,,,09:53:03
,,143.970122,100.0,,,,,,,,,,,09:53:03
,,143.970122,100.0,,,,,,,,,,,09:53:04
,,143.970122,100.0,,,,,,,,,,,09:53:04
,,143.970122,100.0,,,,,,,,,,,09:53:05
,,143.970122,100.0,,,,,,,,,,,09:53:05
,,143.970122,100.0,,,,,,,,,,,09:53:06
,,143.970122,100.0,,,,,,,,,,,09:53:06
,,143.970122,100.0,,,,,,,,,,,09:53:07
,,143.970122,100.0,,,,,,,,,,,09:53:07
