Sample,ETCO2,ETO2,ScalcO2,RR,dev55_SpO2,dev55_HR,dev55_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,95.0,33.0,2.8,98.0,71.0,41,10:17:29
,,,,,95.0,33.0,3.6,98.0,71.0,41,10:17:30
,,,,,95.0,33.0,3.2,98.0,71.0,41,10:17:30
,,,,,97.0,71.0,3.0,98.0,71.0,41,10:17:31
,,,,,97.0,72.0,3.0,98.0,72.0,35,10:17:31
,,,,,98.0,72.0,3.0,98.0,72.0,34,10:17:32
,,,,,98.0,74.0,3.1,98.0,73.0,41,10:17:32
,,,,,98.0,74.0,3.1,98.0,73.0,41,10:17:33
,,,,,97.0,74.0,3.1,98.0,72.0,37,10:17:33
,,,,,97.0,74.0,3.1,98.0,72.0,37,10:17:34
,,,,,97.0,74.0,3.2,98.0,72.0,37,10:17:34
,,,,,97.0,75.0,3.2,98.0,72.0,41,10:17:35
,,,,,97.0,74.0,3.3,98.0,72.0,41,10:17:35
,,,,,97.0,74.0,3.3,98.0,72.0,41,10:17:36
,,,,,97.0,73.0,3.3,98.0,72.0,41,10:17:36
,,,,,97.0,73.0,3.2,98.0,73.0,31,10:17:37
,,,,,97.0,73.0,3.2,98.0,73.0,31,10:17:37
,,,,,97.0,73.0,3.1,98.0,73.0,31,10:17:38
,,,,,97.0,73.0,3.1,98.0,73.0,31,10:17:38
,,,,,97.0,73.0,3.1,98.0,74.0,24,10:17:39
,,,,,97.0,73.0,3.1,98.0,74.0,24,10:17:39
,,,,,97.0,73.0,2.7,98.0,74.0,24,10:17:40
,,,,,97.0,73.0,2.7,98.0,74.0,24,10:17:40
,,,,,97.0,73.0,2.7,98.0,74.0,24,10:17:41
,,,,,97.0,73.0,2.7,98.0,74.0,24,10:17:41
,,,,,97.0,74.0,2.6,98.0,74.0,24,10:17:42
,,,,,97.0,74.0,2.6,98.0,74.0,24,10:17:42
,,,,,97.0,74.0,2.4,98.0,75.0,27,10:17:43
,,,,,97.0,74.0,2.4,98.0,75.0,27,10:17:43
,,,,,97.0,74.0,2.5,98.0,75.0,27,10:17:44
,,,,,97.0,74.0,2.5,98.0,75.0,27,10:17:44
,,,,,98.0,75.0,2.4,98.0,75.0,22,10:17:45
,,,,,98.0,75.0,2.4,98.0,75.0,22,10:17:45
,,,,,98.0,75.0,2.4,98.0,75.0,22,10:17:46
,,,,,98.0,75.0,2.4,98.0,75.0,22,10:17:46
,,,,,98.0,76.0,2.4,98.0,76.0,26,10:17:47
,,,,,98.0,76.0,2.4,98.0,76.0,26,10:17:47
,,,,,98.0,77.0,2.4,98.0,76.0,26,10:17:48
,,,,,98.0,77.0,2.4,98.0,76.0,24,10:17:49
