Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,,,,,,255.0,,,,15:45:35
,,,,,,,,,,255.0,,,,15:45:35
,,,,,,,,,,255.0,,,,15:45:36
,,,,,,,,,,255.0,,,,15:45:36
,,,,,,,,,,117.0,,,,15:45:37
,,,,,,,0.9,,,117.0,,,,15:45:37
,,,,,,,0.9,,,117.0,,,,15:45:38
,,,,,98.0,91.0,0.5,,,117.0,,,,15:45:38
,,,,,98.0,91.0,0.5,,,117.0,,,,15:45:39
,,,,,98.0,91.0,0.7,,,117.0,,,,15:45:39
,,,,,98.0,91.0,0.7,,,117.0,,,,15:45:40
,,,,,98.0,91.0,0.7,,,117.0,,,,15:45:40
,,,,,98.0,91.0,0.7,,,18.0,,,,15:45:41
,,,,,98.0,88.0,0.8,,,18.0,,,,15:45:41
,,,,,98.0,88.0,0.8,,,18.0,,,,15:45:42
,,,,,98.0,87.0,0.8,,,18.0,,,,15:45:42
,,,,,98.0,87.0,0.8,94.0,77.0,38.0,,,,15:45:43
,,,,,98.0,85.0,0.9,94.0,77.0,38.0,,,,15:45:43
,,,,,98.0,85.0,0.9,94.0,77.0,38.0,,,,15:45:44
,,,,,99.0,82.0,0.9,94.0,77.0,38.0,,,,15:45:44
,,,,,99.0,82.0,0.9,95.0,79.0,71.0,,,,15:45:45
,,,,,99.0,82.0,0.9,95.0,79.0,71.0,,,,15:45:45
,,,,,99.0,82.0,0.9,95.0,79.0,71.0,,,,15:45:46
,,,,,99.0,82.0,0.9,95.0,79.0,71.0,,,,15:45:46
,,,,,99.0,82.0,0.9,95.0,81.0,72.0,,,,15:45:47
,,,,,99.0,82.0,0.9,95.0,81.0,72.0,,,,15:45:47
,,,,,99.0,82.0,0.9,95.0,81.0,72.0,,,,15:45:48
,,,,,99.0,82.0,0.9,95.0,81.0,72.0,,,,15:45:48
,,,,,99.0,82.0,0.9,94.0,81.0,64.0,,,,15:45:49
,,,,,99.0,81.0,0.9,94.0,81.0,64.0,,,,15:45:49
,,,,,99.0,81.0,0.9,94.0,81.0,64.0,,,,15:45:50
,,,,,99.0,79.0,0.9,94.0,81.0,64.0,,,,15:45:50
,,,,,99.0,79.0,0.9,94.0,77.0,33.0,,,,15:45:51
,,,,,99.0,79.0,0.9,94.0,77.0,33.0,,,,15:45:51
,,,,,99.0,79.0,0.9,94.0,77.0,33.0,,,,15:45:52
,,,,,99.0,77.0,0.9,94.0,77.0,33.0,,,,15:45:52
,,,,,99.0,77.0,0.9,95.0,77.0,22.0,,,,15:45:53
,,,,,99.0,75.0,0.9,95.0,77.0,22.0,,,,15:45:53
,,,,,99.0,75.0,0.9,95.0,77.0,22.0,,,,15:45:54
,,,,,99.0,73.0,0.9,95.0,77.0,22.0,,,,15:45:54
,,,,,99.0,73.0,0.9,96.0,78.0,21.0,,,,15:45:55
,,,,,98.0,73.0,0.9,96.0,78.0,21.0,,,,15:45:55
,,,,,98.0,73.0,0.9,96.0,78.0,21.0,,,,15:45:56
,,,,,98.0,73.0,0.9,96.0,78.0,21.0,,,,15:45:56
,,,,,98.0,73.0,0.9,98.0,79.0,22.0,,,,15:45:57
,,,,,98.0,73.0,0.9,98.0,79.0,22.0,,,,15:45:57
,,,,,98.0,73.0,0.9,98.0,79.0,22.0,,,,15:45:58
,,,,,98.0,75.0,0.9,98.0,79.0,22.0,,,,15:45:58
,,,,,98.0,75.0,0.9,98.0,76.0,25.0,,,,15:45:59
,,,,,98.0,76.0,1.0,98.0,76.0,25.0,,,,15:45:59
,,,,,98.0,76.0,1.0,98.0,76.0,25.0,,,,15:46:00
,,,,,98.0,76.0,1.0,98.0,76.0,25.0,,,,15:46:00
,,,,,98.0,76.0,1.0,98.0,72.0,20.0,,,,15:46:01
,,,,,99.0,75.0,1.0,98.0,72.0,20.0,,,,15:46:01
,,,,,99.0,75.0,1.0,98.0,72.0,20.0,,,,15:46:02
,,,,,99.0,75.0,1.0,98.0,72.0,20.0,,,,15:46:02
,,,,,99.0,75.0,1.0,98.0,70.0,19.0,,,,15:46:03
,,,,,99.0,79.0,1.0,98.0,70.0,19.0,,,,15:46:03
,,,,,99.0,79.0,1.0,98.0,70.0,19.0,,,,15:46:04
,,,,,99.0,71.0,0.9,98.0,70.0,19.0,,,,15:46:04
,,,,,99.0,71.0,0.9,98.0,68.0,18.0,,,,15:46:05
,,,,,99.0,69.0,0.9,98.0,68.0,18.0,,,,15:46:05
,,,,,99.0,69.0,0.9,98.0,68.0,18.0,,,,15:46:06
,,,,,99.0,68.0,0.8,98.0,68.0,18.0,,,,15:46:06
,,,,,99.0,68.0,0.8,98.0,68.0,17.0,,,,15:46:07
,,,,,99.0,66.0,0.9,98.0,68.0,17.0,,,,15:46:07
,,,,,99.0,66.0,0.9,98.0,68.0,17.0,,,,15:46:08
,,,,,99.0,66.0,0.9,98.0,68.0,17.0,,,,15:46:08
,,,,,99.0,66.0,0.9,98.0,68.0,17.0,,,,15:46:09
,,,,,99.0,65.0,0.9,98.0,68.0,17.0,,,,15:46:09
,,,,,99.0,65.0,0.9,98.0,68.0,17.0,,,,15:46:10
,,,,,99.0,65.0,0.8,99.0,69.0,16.0,,,,15:46:10
,,,,,99.0,65.0,0.8,99.0,70.0,18.0,,,,15:46:11
,,,,,99.0,68.0,0.8,99.0,70.0,18.0,,,,15:46:11
,,,,,99.0,68.0,0.8,99.0,70.0,18.0,,,,15:46:12
,,,,,99.0,69.0,0.8,99.0,70.0,18.0,,,,15:46:12
,,,,,99.0,69.0,0.8,99.0,70.0,17.0,,,,15:46:13
,,,,,99.0,71.0,0.9,99.0,70.0,17.0,,,,15:46:13
,,,,,99.0,71.0,0.9,99.0,70.0,17.0,,,,15:46:14
,,,,,99.0,71.0,0.9,99.0,70.0,17.0,,,,15:46:14
,,,,,99.0,71.0,0.9,99.0,77.0,14.0,,,,15:46:15
,,,,,99.0,73.0,0.9,99.0,77.0,14.0,,,,15:46:15
,,,,,99.0,73.0,0.9,99.0,77.0,14.0,,,,15:46:16
,,,,,99.0,75.0,0.9,99.0,77.0,14.0,,,,15:46:16
,,,,,99.0,75.0,0.9,99.0,78.0,15.0,,,,15:46:17
,,,,,99.0,76.0,0.9,99.0,78.0,15.0,,,,15:46:17
,,,,,99.0,76.0,0.9,99.0,78.0,15.0,,,,15:46:18
,,,,,99.0,78.0,0.9,99.0,78.0,15.0,,,,15:46:18
,,,,,99.0,78.0,0.9,100.0,80.0,16.0,,,,15:46:19
,,,,,99.0,82.0,0.9,100.0,80.0,16.0,,,,15:46:19
,,,,,99.0,82.0,0.9,100.0,80.0,16.0,,,,15:46:20
,,,,,99.0,82.0,0.9,100.0,80.0,16.0,,,,15:46:20
,,,,,99.0,82.0,0.9,100.0,82.0,21.0,,,,15:46:21
,,,,,99.0,84.0,0.9,100.0,82.0,21.0,,,,15:46:21
,,,,,99.0,84.0,0.9,100.0,82.0,21.0,,,,15:46:22
,,,,,99.0,86.0,0.9,100.0,82.0,21.0,,,,15:46:22
,,,,,99.0,86.0,0.9,100.0,83.0,18.0,,,,15:46:23
,,,,,99.0,86.0,0.9,100.0,83.0,18.0,,,,15:46:23
,,,,,99.0,86.0,0.9,100.0,83.0,18.0,,,,15:46:24
,,,,,99.0,85.0,0.8,100.0,83.0,18.0,,,,15:46:24
,,,,,99.0,85.0,0.8,100.0,85.0,22.0,,,,15:46:25
,,,,,99.0,85.0,0.8,100.0,85.0,22.0,,,,15:46:25
,,,,,99.0,85.0,0.8,100.0,85.0,22.0,,,,15:46:26
,,,,,99.0,85.0,0.8,100.0,85.0,22.0,,,,15:46:26
,,,,,99.0,85.0,0.8,100.0,85.0,22.0,,,,15:46:27
,,,,,100.0,86.0,0.7,100.0,85.0,22.0,,,,15:46:27
,,,,,100.0,86.0,0.7,100.0,85.0,22.0,,,,15:46:28
,,,,,100.0,86.0,0.7,100.0,85.0,22.0,,,,15:46:28
,,,,,100.0,86.0,0.7,100.0,87.0,16.0,,,,15:46:29
,,,,,100.0,88.0,0.7,100.0,87.0,16.0,,,,15:46:29
,,,,,100.0,88.0,0.7,100.0,87.0,16.0,,,,15:46:30
,,,,,100.0,89.0,0.7,100.0,87.0,16.0,,,,15:46:30
,,,,,100.0,89.0,0.7,100.0,89.0,20.0,,,,15:46:31
,,,,,100.0,89.0,0.7,100.0,89.0,20.0,,,,15:46:31
,,,,,100.0,89.0,0.7,100.0,89.0,20.0,,,,15:46:32
,,,,,100.0,98.0,0.7,100.0,89.0,20.0,,,,15:46:32
,,,,,100.0,98.0,0.7,100.0,91.0,21.0,,,,15:46:33
,,,,,100.0,105.0,0.7,100.0,91.0,21.0,,,,15:46:33
,,,,,100.0,105.0,0.7,100.0,91.0,21.0,,,,15:46:34
,,,,,100.0,104.0,0.7,100.0,91.0,21.0,,,,15:46:34
,,,,,100.0,104.0,0.7,100.0,91.0,16.0,,,,15:46:35
,,,,,100.0,101.0,0.7,100.0,91.0,16.0,,,,15:46:35
,,,,,100.0,101.0,0.7,100.0,91.0,16.0,,,,15:46:36
,,,,,100.0,101.0,0.7,100.0,91.0,16.0,,,,15:46:36
,,,,,100.0,101.0,0.7,99.0,92.0,15.0,,,,15:46:37
,,,,,100.0,99.0,0.7,99.0,92.0,15.0,,,,15:46:37
,,,,,100.0,99.0,0.7,99.0,92.0,15.0,,,,15:46:38
,,,,,100.0,95.0,0.7,99.0,92.0,15.0,,,,15:46:38
,,,,,100.0,95.0,0.7,99.0,93.0,13.0,,,,15:46:39
,,,,,100.0,95.0,0.7,99.0,93.0,13.0,,,,15:46:39
,,,,,100.0,95.0,0.7,99.0,93.0,13.0,,,,15:46:40
,,,,,100.0,95.0,0.6,99.0,93.0,13.0,,,,15:46:40
,,,,,100.0,95.0,0.6,99.0,92.0,13.0,,,,15:46:41
,,,,,100.0,94.0,0.6,99.0,92.0,13.0,,,,15:46:41
,,,,,100.0,94.0,0.6,99.0,92.0,13.0,,,,15:46:42
,,,,,100.0,94.0,0.6,99.0,92.0,13.0,,,,15:46:42
,,,,,100.0,94.0,0.6,99.0,89.0,14.0,,,,15:46:43
,,,,,100.0,92.0,0.6,99.0,89.0,14.0,,,,15:46:43
,,,,,100.0,92.0,0.6,99.0,89.0,14.0,,,,15:46:44
,,,,,100.0,92.0,0.7,99.0,89.0,14.0,,,,15:46:44
,,,,,100.0,92.0,0.7,99.0,85.0,13.0,,,,15:46:45
,,,,,100.0,91.0,0.7,99.0,85.0,13.0,,,,15:46:45
,,,,,100.0,91.0,0.7,99.0,85.0,13.0,,,,15:46:46
,,,,,100.0,90.0,0.7,99.0,85.0,13.0,,,,15:46:46
,,,,,100.0,90.0,0.7,99.0,84.0,13.0,,,,15:46:47
,,,,,100.0,85.0,0.8,99.0,84.0,13.0,,,,15:46:47
,,,,,100.0,85.0,0.8,99.0,84.0,13.0,,,,15:46:48
,,,,,100.0,85.0,0.8,99.0,84.0,13.0,,,,15:46:48
,,,,,100.0,85.0,0.8,99.0,79.0,13.0,,,,15:46:49
,,,,,100.0,85.0,0.9,99.0,79.0,13.0,,,,15:46:49
,,,,,100.0,85.0,0.9,99.0,79.0,13.0,,,,15:46:50
,,,,,100.0,83.0,0.8,99.0,79.0,13.0,,,,15:46:50
,,,,,100.0,83.0,0.8,99.0,78.0,13.0,,,,15:46:51
,,,,,100.0,80.0,0.8,99.0,78.0,13.0,,,,15:46:51
,,,,,100.0,80.0,0.8,99.0,78.0,13.0,,,,15:46:52
,,,,,100.0,80.0,0.8,99.0,78.0,13.0,,,,15:46:52
,,,,,100.0,80.0,0.8,99.0,75.0,17.0,,,,15:46:53
,,,,,100.0,80.0,0.7,99.0,75.0,17.0,,,,15:46:53
,,,,,100.0,80.0,0.7,99.0,75.0,17.0,,,,15:46:54
,,,,,99.0,79.0,0.7,99.0,75.0,17.0,,,,15:46:54
,,,,,99.0,79.0,0.7,100.0,74.0,13.0,,,,15:46:55
,,,,,99.0,75.0,0.7,100.0,74.0,13.0,,,,15:46:55
,,,,,99.0,75.0,0.7,100.0,74.0,13.0,,,,15:46:56
,,,,,99.0,71.0,0.8,100.0,74.0,13.0,,,,15:46:56
,,,,,99.0,71.0,0.8,100.0,72.0,13.0,,,,15:46:57
,,,,,99.0,72.0,0.8,100.0,72.0,13.0,,,,15:46:57
,,,,,99.0,72.0,0.8,100.0,72.0,13.0,,,,15:46:58
,,,,,99.0,72.0,0.8,100.0,72.0,13.0,,,,15:46:58
,,,,,99.0,72.0,0.8,100.0,72.0,13.0,,,,15:46:59
