Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,75.0,,11.0,,,,,,,10:22:18
,,,,,75.0,,11.0,,,,,,,10:22:19
,,,,,75.0,,13.0,,,,,,,10:22:19
,,,,,75.0,,13.0,,,,,,,10:22:20
,,,,,75.0,,16.0,,,,,,,10:22:20
,,,,,75.0,,16.0,,,,,,,10:22:21
,,,,,75.0,41.0,2.3,,,,,,,10:22:21
,,,,,75.0,41.0,2.3,,,,,,,10:22:22
,,,,,75.0,41.0,2.3,,,,,,,10:22:22
,,,,,75.0,41.0,2.3,,,,,,,10:22:23
,,,,,75.0,39.0,1.6,,,,,,,10:22:23
,,,,,75.0,39.0,1.6,,,,,,,10:22:24
,,,,,90.0,39.0,2.2,,,,,,,10:22:24
,,,,,90.0,39.0,2.2,,,,,,,10:22:25
,,,,,98.0,40.0,2.4,,,,,,,10:22:25
,,,,,98.0,40.0,2.4,,,,,,,10:22:26
,,,,,100.0,41.0,2.5,,,,,,,10:22:26
,,,,,100.0,41.0,2.5,,,,,,,10:22:27
,,,,,100.0,41.0,2.5,,,,,,,10:22:27
,,,,,100.0,41.0,2.5,,,,,,,10:22:28
,,,,,100.0,41.0,2.5,,,,,,,10:22:28
,,,,,100.0,41.0,2.5,,,,,,,10:22:29
,,,,,100.0,41.0,2.5,,,75.0,,,,10:22:29
,,,,,100.0,41.0,2.5,,,75.0,,,,10:22:30
,,,,,100.0,41.0,2.5,,,75.0,,,,10:22:30
,,,,,100.0,41.0,2.5,,,75.0,,,,10:22:31
,,,,,100.0,41.0,2.5,,,255.0,,,,10:22:31
,,,,,100.0,41.0,2.5,,,255.0,,,,10:22:32
,,,,,100.0,42.0,2.5,,,255.0,,,,10:22:32
,,,,,100.0,42.0,2.5,,,255.0,,,,10:22:33
,,,,,100.0,42.0,2.5,,,20.0,,,,10:22:33
,,,,,100.0,42.0,2.5,,,20.0,,,,10:22:34
,,,,,100.0,42.0,2.5,,,20.0,,,,10:22:34
,,,,,100.0,42.0,2.5,,,20.0,,,,10:22:35
,,,,,100.0,42.0,2.2,,,20.0,,,,10:22:35
,,,,,100.0,42.0,2.2,,,20.0,,,,10:22:36
,,,,,99.0,42.0,2.1,,,20.0,,,,10:22:36
,,,,,99.0,42.0,2.1,,,20.0,,,,10:22:37
,,,,,99.0,43.0,2.0,,,15.0,,,,10:22:37
,,,,,99.0,43.0,2.0,,,15.0,,,,10:22:38
,,,,,99.0,43.0,1.7,,,15.0,,,,10:22:38
,,,,,99.0,43.0,1.7,,,15.0,,,,10:22:39
,,,,,99.0,44.0,1.7,98.0,40.0,13.0,,,,10:22:39
,,,,,99.0,44.0,1.7,98.0,40.0,13.0,,,,10:22:40
,,,,,100.0,45.0,2.0,98.0,40.0,13.0,,,,10:22:40
,,,,,100.0,45.0,2.0,98.0,40.0,13.0,,,,10:22:41
,,,,,100.0,45.0,2.0,99.0,41.0,14.0,,,,10:22:41
,,,,,100.0,45.0,2.0,99.0,41.0,14.0,,,,10:22:42
,,,,,100.0,45.0,2.0,99.0,41.0,14.0,,,,10:22:42
,,,,,100.0,45.0,2.0,99.0,41.0,14.0,,,,10:22:43
,,,,,100.0,45.0,2.0,99.0,44.0,17.0,,,,10:22:43
,,,,,100.0,45.0,2.0,99.0,44.0,17.0,,,,10:22:44
,,,,,100.0,45.0,2.0,99.0,44.0,17.0,,,,10:22:44
,,,,,100.0,45.0,2.0,99.0,44.0,17.0,,,,10:22:45
,,,,,100.0,46.0,2.0,99.0,48.0,18.0,,,,10:22:45
,,,,,100.0,46.0,2.0,99.0,48.0,18.0,,,,10:22:46
,,,,,99.0,47.0,2.0,99.0,48.0,18.0,,,,10:22:46
,,,,,99.0,47.0,2.0,99.0,48.0,18.0,,,,10:22:47
,,,,,99.0,48.0,2.0,99.0,50.0,15.0,,,,10:22:47
,,,,,99.0,48.0,2.0,99.0,50.0,15.0,,,,10:22:48
,,,,,99.0,50.0,2.0,99.0,50.0,15.0,,,,10:22:48
,,,,,99.0,50.0,2.0,99.0,50.0,15.0,,,,10:22:49
,,,,,99.0,50.0,2.0,99.0,49.0,15.0,,,,10:22:49
,,,,,99.0,50.0,2.0,99.0,49.0,15.0,,,,10:22:50
,,,,,99.0,50.0,2.0,99.0,49.0,15.0,,,,10:22:50
,,,,,99.0,50.0,2.0,99.0,49.0,15.0,,,,10:22:51
,,,,,99.0,50.0,2.0,99.0,48.0,12.0,,,,10:22:51
,,,,,99.0,50.0,2.0,99.0,48.0,12.0,,,,10:22:52
,,,,,99.0,49.0,2.0,99.0,48.0,12.0,,,,10:22:52
,,,,,99.0,49.0,2.0,99.0,48.0,12.0,,,,10:22:53
,,,,,99.0,49.0,1.9,99.0,47.0,12.0,,,,10:22:53
,,,,,99.0,49.0,1.9,99.0,47.0,12.0,,,,10:22:54
,,,,,99.0,49.0,1.8,99.0,47.0,12.0,,,,10:22:54
,,,,,99.0,49.0,1.8,99.0,47.0,12.0,,,,10:22:55
,,,,,99.0,49.0,1.8,99.0,46.0,17.0,,,,10:22:55
,,,,,99.0,49.0,1.8,99.0,46.0,17.0,,,,10:22:56
,,,,,99.0,49.0,1.8,99.0,46.0,17.0,,,,10:22:56
,,,,,99.0,49.0,1.8,99.0,46.0,17.0,,,,10:22:57
,,,,,99.0,50.0,1.8,99.0,46.0,18.0,,,,10:22:57
,,,,,99.0,50.0,1.8,99.0,46.0,18.0,,,,10:22:58
,,,,,99.0,49.0,1.8,99.0,46.0,18.0,,,,10:22:58
,,,,,99.0,49.0,1.8,99.0,46.0,18.0,,,,10:22:59
,,,,,99.0,49.0,1.8,98.0,46.0,17.0,,,,10:22:59
,,,,,99.0,49.0,1.8,98.0,46.0,17.0,,,,10:23:00
,,,,,99.0,49.0,1.8,98.0,46.0,17.0,,,,10:23:00
,,,,,99.0,49.0,1.8,98.0,46.0,17.0,,,,10:23:01
,,,,,99.0,48.0,1.8,98.0,47.0,16.0,,,,10:23:01
,,,,,99.0,48.0,1.8,98.0,47.0,16.0,,,,10:23:02
,,,,,99.0,48.0,1.8,98.0,47.0,16.0,,,,10:23:02
,,,,,99.0,48.0,1.8,98.0,47.0,16.0,,,,10:23:03
,,,,,99.0,47.0,1.8,98.0,47.0,13.0,,,,10:23:03
,,,,,99.0,47.0,1.8,98.0,47.0,13.0,,,,10:23:04
,,,,,99.0,46.0,1.8,98.0,47.0,13.0,,,,10:23:04
,,,,,99.0,46.0,1.8,98.0,47.0,13.0,,,,10:23:05
,,,,,99.0,46.0,1.8,99.0,47.0,13.0,,,,10:23:05
,,,,,99.0,46.0,1.8,99.0,47.0,13.0,,,,10:23:06
,,,,,99.0,46.0,1.8,99.0,47.0,13.0,,,,10:23:06
,,,,,99.0,46.0,1.8,99.0,47.0,13.0,,,,10:23:07
,,,,,99.0,46.0,1.8,98.0,47.0,14.0,,,,10:23:07
,,,,,99.0,46.0,1.8,98.0,47.0,14.0,,,,10:23:08
,,,,,99.0,46.0,1.8,98.0,47.0,14.0,,,,10:23:08
,,,,,99.0,46.0,1.8,98.0,47.0,14.0,,,,10:23:09
,,,,,99.0,47.0,1.7,98.0,47.0,15.0,,,,10:23:09
,,,,,99.0,47.0,1.7,98.0,47.0,15.0,,,,10:23:10
,,,,,99.0,47.0,1.7,98.0,47.0,15.0,,,,10:23:10
,,,,,99.0,47.0,1.7,98.0,47.0,15.0,,,,10:23:11
,,,,,99.0,47.0,1.7,98.0,46.0,18.0,,,,10:23:11
,,,,,99.0,47.0,1.7,98.0,46.0,18.0,,,,10:23:12
,,,,,99.0,47.0,1.7,98.0,46.0,18.0,,,,10:23:12
,,,,,99.0,47.0,1.7,98.0,46.0,18.0,,,,10:23:13
,,,,,99.0,47.0,1.7,98.0,46.0,20.0,,,,10:23:13
,,,,,99.0,47.0,1.7,98.0,46.0,20.0,,,,10:23:14
,,,,,99.0,47.0,1.7,98.0,46.0,20.0,,,,10:23:14
,,,,,99.0,47.0,1.7,98.0,46.0,20.0,,,,10:23:15
,,,,,99.0,47.0,1.7,98.0,46.0,20.0,,,,10:23:15
,,,,,99.0,47.0,1.7,98.0,46.0,20.0,,,,10:23:16
,,,,,99.0,47.0,1.7,98.0,46.0,20.0,,,,10:23:16
,,,,,99.0,47.0,1.7,99.0,48.0,26.0,,,,10:23:17
,,,,,99.0,47.0,1.7,99.0,48.0,26.0,,,,10:23:17
,,,,,99.0,48.0,1.7,99.0,48.0,26.0,,,,10:23:18
,,,,,99.0,48.0,1.7,99.0,48.0,26.0,,,,10:23:18
,,,,,99.0,48.0,1.7,99.0,48.0,26.0,,,,10:23:19
,,,,,99.0,48.0,1.7,99.0,47.0,22.0,,,,10:23:19
,,,,,99.0,48.0,1.7,99.0,47.0,22.0,,,,10:23:20
,,,,,100.0,47.0,1.7,99.0,47.0,22.0,,,,10:23:20
,,,,,100.0,47.0,1.7,99.0,47.0,22.0,,,,10:23:21
,,,,,100.0,48.0,1.7,99.0,47.0,22.0,,,,10:23:21
,,,,,100.0,48.0,1.7,99.0,47.0,22.0,,,,10:23:22
,,,,,100.0,47.0,1.7,99.0,47.0,22.0,,,,10:23:22
,,,,,100.0,47.0,1.7,99.0,47.0,22.0,,,,10:23:23
,,,,,100.0,47.0,1.7,99.0,47.0,25.0,,,,10:23:23
,,,,,100.0,47.0,1.7,99.0,47.0,25.0,,,,10:23:24
,,,,,100.0,47.0,1.7,99.0,47.0,25.0,,,,10:23:24
,,,,,100.0,47.0,1.7,99.0,47.0,25.0,,,,10:23:25
