Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,113.217064,,,,,,,,,,,,,14:45:44
,113.219246,,,,,,,,,,,,,14:45:44
,113.219757,,,,,,,,,,,,,14:45:45
,113.218414,,,,,,,,,,,,,14:45:45
,113.218491,102.057493,95.42523,,,,,,,,,,,14:45:46
,113.220421,102.057493,95.425176,,,,,,,,,,,14:45:46
,,101.977762,100.0,,,,,,,,,,,14:45:47
,,101.977762,100.0,,,,,,,,,,,14:45:47
,,101.977762,100.0,,,,,,,,,,,14:45:48
,,101.977762,100.0,,,,,,,,,,,14:45:48
,,,,115.0,,,,,,,,,,15:03:45
,,,,70.0,,,,,,,,,,15:03:46
,35.295746,,,70.0,,,,,,,,,,15:03:47
,35.295746,,,82.5,,,,,,,,,,15:03:47
,35.291363,,,82.5,,,,,,,,,,15:03:48
,35.291363,141.114856,99.236791,100.0,,,,,,,,,,15:03:48
,35.291363,141.114856,99.236791,100.0,,,,,,,,,,15:03:49
,35.291363,141.114856,99.236791,100.0,,,,,,,,,,15:03:49
,35.291363,141.114856,99.236791,80.0,,,,,,,,,,15:03:50
,22.982576,141.114856,99.428507,80.0,,,,,,,,,,15:03:50
,22.982576,141.114856,99.428507,80.0,,,,,,,,,,15:03:51
,13.165132,141.114856,99.607932,80.0,,,,,,,,,,15:03:51
,12.075222,141.114856,99.630221,90.0,,,,,,,,,,15:03:52
,11.616285,141.114856,99.639801,112.5,,,,,,,,,,15:03:52
,11.211771,141.114856,99.648348,117.5,,,,,,,,,,15:03:53
,10.596823,145.246604,99.687296,117.5,,,,,,,,,,15:03:53
,10.596823,145.246604,99.687296,117.5,,,,,,,,,,15:03:54
,10.358785,145.464153,99.693294,102.5,,,,,,,,,,15:03:54
,10.483139,145.464153,99.690825,95.0,,,,,,,,,,15:03:55
,10.667865,145.519295,99.6875,102.5,,,,,,,,,,15:03:55
,10.667865,145.485318,99.6873,102.5,,,,,,,,,,15:03:56
,10.667865,145.485318,99.6873,80.0,,,,,,,,,,15:03:56
,8.438492,145.485318,99.73288,80.0,,,,,,,,,,15:03:57
,8.138961,145.485318,99.739292,92.5,,,,,,,,,,15:03:57
,8.001242,146.122317,99.745274,100.0,,,,,,,,,,15:03:58
,8.138961,146.122317,99.742338,92.5,,,,,,,,,,15:03:58
,8.138961,146.122317,99.742338,92.5,,,,,,,,,,15:03:59
,7.405952,146.163485,99.758344,72.5,,,,,,,,,,15:03:59
