Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,100.0,62.0,1.2,,,,,,,09:38:08
,,,,,100.0,62.0,1.2,99.0,65.0,10.0,,,,09:38:08
,,,,,100.0,62.0,1.2,99.0,65.0,12.0,96.0,74.0,66.0,09:38:09
,,,,,100.0,62.0,1.3,99.0,66.0,11.0,96.0,72.0,67.0,09:38:09
,,,,,99.0,62.0,1.3,99.0,66.0,10.0,96.0,70.0,69.0,09:38:10
,,,,,99.0,63.0,1.3,100.0,67.0,11.0,96.0,69.0,69.0,09:38:10
,,,,,99.0,64.0,1.3,100.0,67.0,12.0,96.0,68.0,71.0,09:38:11
,,,,,99.0,64.0,1.3,100.0,65.0,11.0,97.0,68.0,70.0,09:38:11
,,,,,100.0,64.0,1.3,100.0,64.0,10.0,97.0,68.0,69.0,09:38:12
,,,,,100.0,65.0,1.3,99.0,64.0,11.0,97.0,68.0,69.0,09:38:12
,,,,,100.0,65.0,1.3,99.0,62.0,11.0,97.0,65.0,66.0,09:38:13
,,,,,100.0,66.0,1.3,99.0,62.0,11.0,97.0,65.0,61.0,09:38:13
,,,,,99.0,66.0,1.3,99.0,62.0,11.0,97.0,65.0,61.0,09:38:14
,,,,,99.0,66.0,1.3,100.0,62.0,12.0,97.0,66.0,58.0,09:38:14
,,,,,99.0,67.0,1.3,100.0,60.0,14.0,98.0,66.0,54.0,09:38:15
,,,,,99.0,67.0,1.3,100.0,60.0,14.0,98.0,67.0,52.0,09:38:15
,,,,,99.0,67.0,1.3,100.0,60.0,14.0,98.0,67.0,52.0,09:38:16
,,,,,99.0,67.0,1.4,100.0,60.0,14.0,98.0,67.0,53.0,09:38:16
,,,,,99.0,66.0,1.4,100.0,60.0,14.0,98.0,67.0,53.0,09:38:17
,,,,,99.0,66.0,1.4,100.0,60.0,14.0,98.0,66.0,53.0,09:38:17
,,,,,99.0,65.0,1.4,100.0,60.0,14.0,98.0,66.0,54.0,09:38:18
,,,,,99.0,64.0,1.5,100.0,63.0,14.0,98.0,66.0,54.0,09:38:18
,,,,,99.0,63.0,1.5,100.0,63.0,14.0,98.0,66.0,54.0,09:38:19
,,,,,99.0,63.0,1.5,100.0,63.0,14.0,98.0,65.0,54.0,09:38:19
,,,,,99.0,63.0,1.5,100.0,63.0,14.0,98.0,63.0,54.0,09:38:20
,,,,,99.0,62.0,1.5,100.0,64.0,13.0,97.0,63.0,53.0,09:38:20
,,,,,99.0,61.0,1.5,100.0,64.0,13.0,97.0,63.0,52.0,09:38:21
,,,,,99.0,61.0,1.5,100.0,64.0,13.0,97.0,62.0,52.0,09:38:21
,,,,,99.0,61.0,1.6,100.0,64.0,13.0,97.0,62.0,52.0,09:38:22
,,,,,99.0,62.0,1.6,100.0,64.0,13.0,97.0,62.0,52.0,09:38:22
,,,,,99.0,62.0,1.6,100.0,64.0,13.0,97.0,62.0,53.0,09:38:23
,,,,,99.0,62.0,1.6,100.0,64.0,13.0,97.0,62.0,55.0,09:38:23
,,,,,99.0,60.0,1.6,100.0,64.0,13.0,97.0,62.0,57.0,09:38:24
,,,,,99.0,60.0,1.6,100.0,63.0,13.0,97.0,62.0,59.0,09:38:24
,,,,,99.0,61.0,1.7,100.0,63.0,13.0,98.0,61.0,63.0,09:38:25
,,,,,99.0,61.0,1.7,100.0,63.0,13.0,98.0,62.0,64.0,09:38:25
,,,,,99.0,61.0,1.7,100.0,63.0,13.0,98.0,63.0,64.0,09:38:26
,,,,,99.0,63.0,1.7,100.0,64.0,13.0,98.0,63.0,65.0,09:38:26
,,,,,99.0,63.0,1.7,100.0,64.0,13.0,98.0,63.0,66.0,09:38:27
,,,,,99.0,63.0,1.7,100.0,64.0,13.0,98.0,63.0,64.0,09:38:27
,,,,,99.0,63.0,1.7,100.0,64.0,13.0,98.0,64.0,63.0,09:38:28
,,,,,99.0,64.0,1.8,100.0,64.0,13.0,98.0,63.0,62.0,09:38:28
,,,,,99.0,64.0,1.8,100.0,64.0,13.0,98.0,64.0,61.0,09:38:29
,,,,,99.0,66.0,1.8,100.0,64.0,13.0,98.0,64.0,59.0,09:38:29
,,,,,99.0,65.0,1.9,100.0,63.0,13.0,98.0,64.0,59.0,09:38:30
,,,,,99.0,65.0,1.9,99.0,64.0,13.0,98.0,64.0,59.0,09:38:30
,,,,,99.0,65.0,1.9,99.0,64.0,13.0,98.0,65.0,57.0,09:38:31
,,,,,99.0,65.0,1.9,99.0,64.0,13.0,98.0,65.0,57.0,09:38:31
,,,,,99.0,65.0,1.9,99.0,65.0,12.0,98.0,65.0,57.0,09:38:32
,,,,,99.0,65.0,1.9,99.0,65.0,12.0,98.0,65.0,57.0,09:38:32
,,,,,99.0,65.0,1.9,99.0,65.0,12.0,98.0,65.0,57.0,09:38:33
,,,,,99.0,65.0,1.9,99.0,65.0,12.0,98.0,65.0,57.0,09:38:33
,,,,,99.0,65.0,1.9,100.0,64.0,14.0,98.0,65.0,57.0,09:38:34
,,,,,99.0,65.0,2.0,100.0,64.0,14.0,98.0,65.0,59.0,09:38:34
,,,,,99.0,65.0,2.0,100.0,64.0,14.0,98.0,65.0,61.0,09:38:35
