Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,10.865219,,,43.0,,,,,,,,,,10:19:58
,,417.010281,100.0,47.0,,,,,,,,,,10:19:58
,13.369779,417.010281,99.979961,36.0,,,,,,,,,,10:19:59
,,420.495854,100.0,,,,,,,,,,,10:19:59
,,420.495854,100.0,,,,,,,,,,,10:20:00
,,420.495854,100.0,,,,,,,,,,,10:20:00
,14.730109,419.823486,99.979476,15.0,,,,,,,,,,10:20:01
,14.730109,419.823486,99.979476,15.0,,,,,,,,,,10:20:01
,14.730109,419.823486,99.979476,15.0,,,,,,,,,,10:20:02
,14.730109,419.823486,99.979476,19.0,,,,,,,,,,10:20:02
,13.671124,419.823486,99.980134,14.0,,,,,,,,,,10:20:03
,13.671124,423.259217,99.980572,14.0,,,,,,,,,,10:20:03
,13.352113,423.259217,99.980771,15.0,,,,,,,,,,10:20:04
,13.352113,466.514684,99.985257,15.0,,,,,,,,,,10:20:05
,13.352113,466.514684,99.985257,15.0,,,,,,,,,,10:20:05
,13.193809,466.514684,99.985329,15.0,,,,,,,,,,10:20:06
,13.193809,392.901435,99.976555,22.0,,,,,,,,,,10:20:06
,13.977573,392.901435,99.975934,16.0,,,,,,,,,,10:20:07
,13.977573,392.901435,99.975934,16.0,,,,,,,,,,10:20:07
,13.977573,392.901435,99.975934,16.0,,,,,,,,,,10:20:08
,13.977573,392.901435,99.975934,16.0,,,,,,,,,,10:20:08
,13.274408,392.901435,99.97649,16.0,,,,,,,,,,10:20:09
,14.064056,394.43571,99.976124,15.0,,,,,,,,,,10:20:09
,14.064056,394.43571,99.976124,15.0,,,,,,,,,,10:20:10
,12.020594,394.43571,99.977759,16.0,,,,,,,,,,10:20:10
,12.020594,394.43571,99.977759,16.0,,,,,,,,,,10:20:11
,12.020594,423.558651,99.981664,16.0,,,,,,,,,,10:20:11
,13.348318,423.558651,99.98081,16.0,,,,,,,,,,10:20:12
,13.348318,405.257879,99.978346,16.0,,,,,,,,,,10:20:12
,11.730506,405.257879,99.979557,17.0,,,,,,,,,,10:20:13
,11.730506,405.257879,99.979557,25.0,,,,,,,,,,10:20:13
,14.083355,412.603849,99.978892,13.0,,,,,,,,,,10:20:14
,14.201859,425.213875,99.980497,24.0,,,,,,,,,,10:20:14
,14.201859,424.397976,99.980393,11.0,,,,,,,,,,10:20:15
,14.201859,424.397976,99.980393,11.0,,,,,,,,,,10:20:15
,14.251993,424.397976,99.980363,23.0,,,,,,,,,,10:20:16
,12.614339,432.852706,99.982349,27.0,,,,,,,,,,10:20:16
,14.251993,432.852706,99.9814,11.0,,,,,,,,,,10:20:17
,14.251993,432.852706,99.9814,11.0,,,,,,,,,,10:20:17
,14.251993,432.852706,99.9814,11.0,,,,,,,,,,10:20:18
,11.606149,357.456958,99.971423,11.0,,,,,,,,,,10:20:18
,14.251993,357.456958,99.968489,11.0,,,,,,,,,,10:20:19
,14.251993,357.456958,99.968489,11.0,,,,,,,,,,10:20:19
,13.124181,365.156923,99.97142,10.0,,,,,,,,,,10:20:20
,13.124181,365.156923,99.97142,10.0,,,,,,,,,,10:20:20
,13.124181,365.156923,99.97142,10.0,,,,,,,,,,10:20:21
,13.124181,365.156923,99.97142,10.0,,,,,,,,,,10:20:21
,14.75084,386.103783,99.974121,10.0,,,,,,,,,,10:20:22
,14.75084,386.103783,99.974121,10.0,,,,,,,,,,10:20:22
,14.75084,386.103783,99.974121,10.0,,,,,,,,,,10:20:23
,14.75084,386.103783,99.974121,15.0,,,,,,,,,,10:20:23
,11.511381,399.583612,99.978941,15.0,,,,,,,,,,10:20:24
,11.511381,399.583612,99.978941,18.0,,,,,,,,,,10:20:24
