Sample,ETCO2,ETO2,ScalcO2,RR,dev55_SpO2,dev55_HR,dev55_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,,,6.9,,,,14:07:12
,,,,,,,6.9,,,,14:07:13
,,,,,97.0,,5.7,,,,14:07:13
,,,,,97.0,,5.7,,,,14:07:14
,,,,,97.0,,3.9,,,,14:07:14
,,,,,97.0,,3.9,,,,14:07:15
,,,,,97.0,,5.1,,,,14:07:15
,,,,,97.0,,5.1,,,,14:07:16
,,,,,97.0,,5.1,,,,14:07:16
,,,,,97.0,,5.1,,,,14:07:17
,,,,,97.0,76.0,5.9,,,,14:07:17
,,,,,97.0,76.0,5.9,,,,14:07:18
,,,,,97.0,73.0,6.0,,,,14:07:18
,,,,,97.0,73.0,6.0,,,,14:07:19
,,,,,97.0,71.0,6.1,,,,14:07:19
,,,,,97.0,71.0,6.1,,,,14:07:20
,,,,,97.0,71.0,5.9,,,,14:07:20
,,,,,97.0,71.0,5.9,,,,14:07:21
,,,,,97.0,71.0,5.8,,,,14:07:21
,,,,,97.0,71.0,5.8,,,,14:07:22
,,,,,97.0,71.0,5.8,,,,14:07:22
,,,,,97.0,71.0,5.8,,,,14:07:23
,,,,,97.0,70.0,5.7,,,,14:07:23
,,,,,97.0,70.0,5.7,,,,14:07:24
,,,,,97.0,69.0,6.0,,,,14:07:24
,,,,,97.0,69.0,6.0,,,,14:07:25
,,,,,97.0,69.0,6.5,,,,14:07:25
,,,,,97.0,69.0,6.5,,,,14:07:26
,,,,,97.0,69.0,6.7,,,,14:07:26
,,,,,97.0,69.0,6.7,,,,14:07:27
,,,,,97.0,69.0,6.6,,,,14:07:27
,,,,,97.0,69.0,6.6,,,,14:07:28
,,,,,97.0,69.0,6.5,,,,14:07:28
,,,,,97.0,69.0,6.5,,,,14:07:29
,,,,,97.0,70.0,6.2,,,,14:07:29
,,,,,97.0,70.0,6.2,,,,14:07:30
,,,,,97.0,70.0,6.0,,,,14:07:30
,,,,,97.0,70.0,6.0,,,,14:07:31
,,,,,97.0,70.0,6.0,,,,14:07:31
,,,,,97.0,70.0,6.0,,,,14:07:32
,,,,,97.0,70.0,6.0,,,,14:07:32
,,,,,97.0,70.0,6.0,,,,14:07:33
,,,,,97.0,72.0,6.0,,,,14:07:33
,,,,,97.0,72.0,6.0,,,,14:07:34
,,,,,,,,99.0,76.0,37.0,14:22:17
,,,,,,,,99.0,76.0,37.0,14:22:17
,,,,,,,,99.0,76.0,37.0,14:22:18
,,,,,,,,99.0,76.0,37.0,14:22:18
,,,,,,,,99.0,76.0,37.0,14:22:19
,,,,,,,,99.0,76.0,37.0,14:22:19
,,,,,,,,99.0,76.0,37.0,14:22:20
,,,,,,,,99.0,72.0,42.0,14:22:20
,,,,,,,,99.0,71.0,41.0,14:22:21
,,,,,,,,99.0,71.0,41.0,14:22:21
,,,,,,,,99.0,71.0,41.0,14:22:22
,,,,,,,,99.0,71.0,41.0,14:22:22
,,,,,,,,99.0,71.0,40.0,14:22:23
,,,,,,,,99.0,71.0,40.0,14:22:23
,,,,,,,,99.0,71.0,40.0,14:22:24
,,,,,,,,99.0,71.0,40.0,14:22:24
,,,,,,,,99.0,71.0,41.0,14:22:25
,,,,,,,,99.0,71.0,41.0,14:22:25
,,,,,,,,99.0,71.0,41.0,14:22:26
,,,,,,,,99.0,71.0,41.0,14:22:26
,,,,,,,,99.0,71.0,41.0,14:22:27
,,,,,,,,99.0,71.0,41.0,14:22:27
,,,,,,,,99.0,71.0,41.0,14:22:28
,,,,,,,,99.0,71.0,41.0,14:22:28
,,,,,,,,99.0,70.0,35.0,14:22:29
,,,,,,,,99.0,70.0,35.0,14:22:29
,,,,,,,,99.0,70.0,35.0,14:22:30
,,,,,,,,99.0,70.0,35.0,14:22:30
,,,,,,,,99.0,70.0,35.0,14:22:31
,,,,,,,,99.0,70.0,35.0,14:22:31
,,,,,,,,99.0,70.0,35.0,14:22:32
,,,,,,,,99.0,70.0,35.0,14:22:32
,,,,,,,,99.0,70.0,37.0,14:22:33
,,,,,,,,99.0,70.0,37.0,14:22:33
,,,,,,,,99.0,70.0,37.0,14:22:34
,,,,,,,,99.0,70.0,37.0,14:22:34
,,,,,,,,99.0,72.0,39.0,14:22:35
,,,,,,,,99.0,72.0,39.0,14:22:35
,,,,,,,,99.0,72.0,39.0,14:22:36
,,,,,,,,99.0,72.0,39.0,14:22:36
,,,,,,,,99.0,72.0,37.0,14:22:37
,,,,,,,,99.0,72.0,37.0,14:22:37
,,,,,,,,99.0,72.0,37.0,14:22:38
,,,,,,,,99.0,72.0,37.0,14:22:38
,,,,,,,,99.0,71.0,40.0,14:22:39
,,,,,,,,99.0,71.0,40.0,14:22:39
,,,,,,,,99.0,71.0,40.0,14:22:40
,,,,,,,,99.0,70.0,41.0,14:22:40
,,,,,,,,99.0,70.0,41.0,14:22:41
,,,,,,,,99.0,70.0,41.0,14:22:41
,,,,,,,,99.0,70.0,41.0,14:22:42
,,,,,,,,99.0,70.0,48.0,14:22:42
,,,,,,,,99.0,70.0,48.0,14:22:43
,,,,,,,,99.0,70.0,48.0,14:22:43
,,,,,,,,99.0,70.0,48.0,14:22:44
,,,,,,,,99.0,72.0,50.0,14:22:44
,,,,,,,,99.0,72.0,50.0,14:22:45
,,,,,,,,99.0,72.0,50.0,14:22:45
,,,,,,,,99.0,72.0,50.0,14:22:46
,,,,,,,,99.0,71.0,40.0,14:22:46
,,,,,,,,99.0,71.0,40.0,14:22:47
,,,,,,,,99.0,71.0,40.0,14:22:47
,,,,,,,,99.0,71.0,40.0,14:22:48
,,,,,,,,99.0,71.0,48.0,14:22:48
,,,,,,,,99.0,71.0,48.0,14:22:49
,,,,,,,,99.0,71.0,48.0,14:22:49
,,,,,,,,99.0,71.0,48.0,14:22:50
,,,,,,,,99.0,71.0,48.0,14:22:50
,,,,,,,,99.0,71.0,48.0,14:22:51
,,,,,,,,99.0,71.0,48.0,14:22:51
,,,,,,,,99.0,71.0,48.0,14:22:52
,,,,,,,,99.0,75.0,28.0,14:22:52
,,,,,,,,99.0,75.0,28.0,14:22:53
,,,,,,,,99.0,75.0,28.0,14:22:53
,,,,,,,,99.0,75.0,28.0,14:22:54
,,,,,,,,99.0,72.0,37.0,14:22:54
,,,,,,,,99.0,72.0,37.0,14:22:55
,,,,,,,,99.0,72.0,37.0,14:22:55
,,,,,,,,99.0,72.0,37.0,14:22:56
,,,,,,,,99.0,70.0,52.0,14:22:56
,,,,,,,,99.0,70.0,52.0,14:22:57
,,,,,,,,99.0,70.0,52.0,14:22:57
,,,,,,,,99.0,70.0,52.0,14:22:58
,,,,,,,,99.0,71.0,81.0,14:22:58
,,,,,,,,99.0,71.0,81.0,14:22:59
,,,,,,,,99.0,71.0,81.0,14:22:59
,,,,,100.0,,,99.0,71.0,81.0,14:23:00
,,,,,100.0,,,99.0,72.0,34.0,14:23:00
,,,,,100.0,77.0,2.2,99.0,72.0,34.0,14:23:01
,,,,,100.0,77.0,2.2,99.0,72.0,34.0,14:23:01
,,,,,100.0,77.0,3.0,99.0,72.0,34.0,14:23:02
,,,,,100.0,77.0,3.0,99.0,73.0,40.0,14:23:02
,,,,,100.0,77.0,3.3,99.0,73.0,40.0,14:23:03
,,,,,100.0,77.0,3.3,99.0,73.0,40.0,14:23:03
,,,,,100.0,77.0,3.3,99.0,73.0,40.0,14:23:04
,,,,,100.0,77.0,3.3,99.0,74.0,54.0,14:23:04
,,,,,100.0,77.0,3.6,99.0,74.0,54.0,14:23:05
,,,,,100.0,77.0,3.6,99.0,74.0,54.0,14:23:05
,,,,,100.0,77.0,3.7,99.0,74.0,54.0,14:23:06
,,,,,100.0,77.0,3.7,99.0,75.0,42.0,14:23:06
,,,,,100.0,77.0,4.4,99.0,75.0,42.0,14:23:07
,,,,,100.0,77.0,4.4,99.0,75.0,42.0,14:23:07
,,,,,100.0,77.0,4.6,99.0,75.0,42.0,14:23:08
,,,,,100.0,77.0,4.6,99.0,75.0,42.0,14:23:08
,,,,,100.0,76.0,4.6,99.0,75.0,42.0,14:23:09
,,,,,100.0,76.0,4.6,99.0,75.0,42.0,14:23:09
,,,,,100.0,76.0,4.7,99.0,79.0,34.0,14:23:10
,,,,,100.0,76.0,4.7,99.0,79.0,47.0,14:23:10
,,,,,99.0,79.0,4.6,99.0,79.0,47.0,14:23:11
,,,,,99.0,79.0,4.6,99.0,79.0,47.0,14:23:11
,,,,,99.0,81.0,4.4,99.0,79.0,47.0,14:23:12
,,,,,99.0,81.0,4.4,100.0,77.0,44.0,14:23:12
,,,,,99.0,81.0,4.3,100.0,77.0,44.0,14:23:13
,,,,,99.0,81.0,4.3,100.0,77.0,44.0,14:23:13
,,,,,99.0,81.0,4.3,100.0,77.0,44.0,14:23:14
,,,,,99.0,81.0,4.3,100.0,74.0,46.0,14:23:14
,,,,,100.0,80.0,4.3,100.0,74.0,46.0,14:23:15
,,,,,100.0,80.0,4.3,100.0,74.0,46.0,14:23:15
,,,,,100.0,78.0,4.3,100.0,74.0,46.0,14:23:16
,,,,,100.0,78.0,4.3,99.0,74.0,45.0,14:23:16
,,,,,100.0,77.0,4.5,99.0,74.0,45.0,14:23:17
,,,,,100.0,77.0,4.5,99.0,74.0,45.0,14:23:17
,,,,,100.0,76.0,4.7,99.0,74.0,45.0,14:23:18
,,,,,100.0,76.0,4.7,99.0,76.0,40.0,14:23:18
,,,,,100.0,76.0,4.6,99.0,76.0,40.0,14:23:19
,,,,,100.0,76.0,4.6,99.0,76.0,40.0,14:23:19
,,,,,100.0,76.0,4.6,99.0,76.0,40.0,14:23:20
,,,,,100.0,76.0,4.6,100.0,75.0,40.0,14:23:20
,,,,,100.0,76.0,4.2,100.0,75.0,40.0,14:23:21
,,,,,100.0,76.0,4.2,100.0,75.0,40.0,14:23:21
,,,,,100.0,75.0,4.0,100.0,75.0,40.0,14:23:22
,,,,,100.0,75.0,4.0,100.0,74.0,35.0,14:23:22
,,,,,100.0,75.0,3.9,100.0,74.0,35.0,14:23:23
,,,,,100.0,75.0,3.9,100.0,74.0,35.0,14:23:23
,,,,,100.0,75.0,3.9,100.0,74.0,35.0,14:23:24
,,,,,100.0,75.0,3.9,100.0,73.0,48.0,14:23:24
,,,,,100.0,75.0,3.8,100.0,73.0,48.0,14:23:25
,,,,,100.0,75.0,3.8,100.0,73.0,48.0,14:23:25
,,,,,100.0,75.0,3.8,100.0,73.0,48.0,14:23:26
,,,,,100.0,75.0,3.8,99.0,72.0,39.0,14:23:26
,,,,,100.0,76.0,3.8,99.0,72.0,39.0,14:23:27
,,,,,100.0,76.0,3.8,99.0,72.0,39.0,14:23:27
,,,,,100.0,76.0,3.8,99.0,72.0,39.0,14:23:28
,,,,,100.0,76.0,3.8,99.0,70.0,38.0,14:23:28
,,,,,100.0,76.0,3.8,99.0,70.0,38.0,14:23:29
,,,,,100.0,76.0,3.8,99.0,70.0,38.0,14:23:29
,,,,,100.0,73.0,3.8,99.0,70.0,38.0,14:23:30
,,,,,100.0,73.0,3.8,99.0,70.0,38.0,14:23:30
,,,,,100.0,73.0,4.0,99.0,70.0,38.0,14:23:31
,,,,,100.0,73.0,4.0,99.0,70.0,38.0,14:23:31
,,,,,100.0,71.0,4.0,99.0,70.0,38.0,14:23:32
,,,,,100.0,71.0,4.0,99.0,68.0,38.0,14:23:32
,,,,,100.0,70.0,4.2,99.0,68.0,38.0,14:23:33
,,,,,100.0,70.0,4.2,99.0,68.0,38.0,14:23:33
,,,,,100.0,68.0,4.4,99.0,68.0,38.0,14:23:34
,,,,,100.0,68.0,4.4,100.0,68.0,40.0,14:23:34
,,,,,100.0,67.0,4.5,100.0,68.0,40.0,14:23:35
,,,,,100.0,67.0,4.5,100.0,68.0,40.0,14:23:35
,,,,,100.0,67.0,4.6,100.0,68.0,40.0,14:23:36
,,,,,100.0,67.0,4.6,100.0,69.0,44.0,14:23:36
,,,,,100.0,67.0,4.6,100.0,69.0,44.0,14:23:37
,,,,,100.0,67.0,4.6,100.0,69.0,44.0,14:23:37
,,,,,100.0,67.0,4.6,100.0,69.0,44.0,14:23:38
,,,,,100.0,67.0,4.6,100.0,69.0,49.0,14:23:38
,,,,,100.0,67.0,4.6,100.0,69.0,49.0,14:23:39
,,,,,100.0,67.0,4.6,100.0,69.0,49.0,14:23:39
,,,,,100.0,67.0,4.6,100.0,69.0,49.0,14:23:40
,,,,,100.0,67.0,4.4,100.0,74.0,35.0,14:23:40
,,,,,100.0,67.0,4.4,100.0,74.0,35.0,14:23:41
,,,,,100.0,69.0,4.3,100.0,74.0,35.0,14:23:41
,,,,,100.0,69.0,4.3,100.0,74.0,35.0,14:23:42
,,,,,100.0,69.0,4.3,100.0,75.0,32.0,14:23:42
,,,,,100.0,69.0,4.3,100.0,75.0,32.0,14:23:43
,,,,,100.0,69.0,3.3,100.0,75.0,32.0,14:23:43
,,,,,100.0,69.0,3.3,100.0,75.0,32.0,14:23:44
,,,,,100.0,73.0,3.6,100.0,74.0,35.0,14:23:44
,,,,,100.0,73.0,3.6,100.0,74.0,35.0,14:23:45
,,,,,100.0,74.0,3.5,100.0,74.0,35.0,14:23:45
,,,,,100.0,74.0,3.5,100.0,74.0,35.0,14:23:46
,,,,,100.0,75.0,3.5,100.0,72.0,35.0,14:23:46
,,,,,100.0,75.0,3.5,100.0,72.0,35.0,14:23:47
,,,,,100.0,75.0,3.5,100.0,72.0,35.0,14:23:47
,,,,,100.0,75.0,3.5,100.0,72.0,35.0,14:23:48
,,,,,100.0,75.0,3.5,100.0,70.0,34.0,14:23:48
,,,,,100.0,75.0,3.5,100.0,70.0,34.0,14:23:49
,,,,,100.0,75.0,3.6,100.0,70.0,34.0,14:23:49
,,,,,100.0,75.0,3.6,100.0,70.0,34.0,14:23:50
,,,,,100.0,75.0,3.6,100.0,70.0,34.0,14:23:50
,,,,,100.0,75.0,3.6,100.0,70.0,34.0,14:23:51
,,,,,100.0,75.0,3.6,100.0,70.0,34.0,14:23:51
,,,,,100.0,75.0,3.6,100.0,70.0,34.0,14:23:52
,,,,,100.0,75.0,3.7,100.0,70.0,34.0,14:23:52
,,,,,100.0,75.0,3.7,100.0,70.0,34.0,14:23:53
,,,,,100.0,75.0,3.7,100.0,70.0,34.0,14:23:53
,,,,,100.0,75.0,3.7,100.0,70.0,34.0,14:23:54
,,,,,100.0,75.0,3.8,100.0,70.0,34.0,14:23:54
,,,,,100.0,75.0,3.8,100.0,70.0,34.0,14:23:55
,,,,,100.0,72.0,3.8,100.0,70.0,34.0,14:23:55
,,,,,100.0,72.0,3.8,100.0,70.0,34.0,14:23:56
,,,,,100.0,72.0,3.9,100.0,70.0,34.0,14:23:56
,,,,,100.0,72.0,3.9,100.0,70.0,34.0,14:23:57
,,,,,100.0,70.0,3.9,100.0,70.0,34.0,14:23:57
,,,,,100.0,70.0,3.9,100.0,70.0,34.0,14:23:58
,,,,,100.0,71.0,3.9,100.0,70.0,34.0,14:23:58
,,,,,100.0,71.0,3.9,100.0,70.0,34.0,14:23:59
,,,,,100.0,71.0,3.9,100.0,70.0,34.0,14:23:59
,,,,,100.0,71.0,3.9,100.0,70.0,34.0,14:24:00
,,,,,100.0,71.0,3.9,100.0,69.0,41.0,14:24:00
,,,,,100.0,71.0,3.9,99.0,68.0,39.0,14:24:01
,,,,,100.0,70.0,4.0,99.0,68.0,39.0,14:24:01
,,,,,100.0,70.0,4.0,99.0,68.0,39.0,14:24:02
,,,,,100.0,70.0,4.1,99.0,68.0,39.0,14:24:02
,,,,,100.0,70.0,4.1,99.0,68.0,51.0,14:24:03
,,,,,100.0,70.0,4.1,99.0,68.0,51.0,14:24:03
,,,,,100.0,70.0,4.1,99.0,68.0,51.0,14:24:04
,,,,,100.0,69.0,4.3,99.0,68.0,51.0,14:24:04
,,,,,100.0,69.0,4.3,99.0,73.0,35.0,14:24:05
,,,,,100.0,69.0,4.3,99.0,73.0,35.0,14:24:05
,,,,,100.0,69.0,4.3,99.0,73.0,35.0,14:24:06
,,,,,100.0,69.0,4.3,99.0,73.0,35.0,14:24:06
,,,,,100.0,69.0,4.3,99.0,71.0,48.0,14:24:07
,,,,,100.0,70.0,4.2,99.0,71.0,48.0,14:24:07
,,,,,100.0,70.0,4.2,99.0,71.0,48.0,14:24:08
,,,,,100.0,69.0,4.2,99.0,71.0,48.0,14:24:08
,,,,,100.0,69.0,4.2,99.0,69.0,70.0,14:24:09
,,,,,100.0,69.0,4.1,99.0,69.0,70.0,14:24:09
,,,,,100.0,69.0,4.1,99.0,69.0,70.0,14:24:10
,,,,,100.0,69.0,4.0,99.0,69.0,70.0,14:24:10
,,,,,100.0,69.0,4.0,99.0,69.0,70.0,14:24:11
,,,,,100.0,69.0,4.0,99.0,69.0,70.0,14:24:11
,,,,,100.0,69.0,4.0,99.0,69.0,70.0,14:24:12
,,,,,100.0,69.0,4.2,99.0,69.0,70.0,14:24:12
,,,,,100.0,69.0,4.2,99.0,71.0,46.0,14:24:13
,,,,,100.0,70.0,4.9,99.0,71.0,46.0,14:24:13
,,,,,100.0,70.0,4.9,99.0,71.0,46.0,14:24:14
,,,,,100.0,70.0,5.1,99.0,71.0,46.0,14:24:14
,,,,,100.0,70.0,5.1,99.0,71.0,54.0,14:24:15
,,,,,100.0,73.0,4.8,99.0,71.0,54.0,14:24:15
,,,,,100.0,73.0,4.8,99.0,71.0,54.0,14:24:16
,,,,,100.0,73.0,4.4,99.0,71.0,54.0,14:24:16
,,,,,100.0,73.0,4.4,99.0,70.0,79.0,14:24:17
,,,,,100.0,73.0,4.6,99.0,70.0,79.0,14:24:17
,,,,,100.0,73.0,4.6,99.0,70.0,79.0,14:24:18
,,,,,100.0,70.0,4.4,99.0,70.0,79.0,14:24:18
,,,,,100.0,70.0,4.4,99.0,70.0,51.0,14:24:19
,,,,,100.0,70.0,4.2,99.0,70.0,51.0,14:24:19
,,,,,100.0,70.0,4.2,99.0,70.0,51.0,14:24:20
,,,,,100.0,70.0,4.2,99.0,70.0,51.0,14:24:20
,,,,,100.0,70.0,4.2,99.0,73.0,45.0,14:24:21
,,,,,100.0,70.0,4.4,99.0,73.0,45.0,14:24:21
