Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,,,,,,57.0,,,,10:22:36
,,,,,,,,,,255.0,,,,10:22:37
,,,,,,,,,,76.0,,,,10:22:37
,,,,,,,,99.0,89.0,32.0,,,,10:22:38
,,,,,,,,99.0,89.0,32.0,,,,10:22:38
,,,,,,,,99.0,89.0,32.0,,,,10:22:39
,,,,,,,,99.0,89.0,32.0,,,,10:22:39
,,,,,,,,99.0,88.0,37.0,,,,10:22:40
,,,,,,,,99.0,87.0,37.0,,,,10:22:40
,,,,,,,,99.0,90.0,36.0,,,,10:22:41
,,,,,,,,99.0,90.0,38.0,,,,10:22:41
,,,,,,,,99.0,88.0,39.0,,,,10:22:42
,,,,,,,,99.0,86.0,35.0,,,,10:22:42
,,,,,,,,99.0,86.0,31.0,,,,10:22:43
,,,,,,,,99.0,85.0,29.0,,,,10:22:43
,,,,,,,,99.0,85.0,31.0,,,,10:22:44
,,,,,,,,99.0,88.0,32.0,,,,10:22:44
,,,,,,,,99.0,90.0,35.0,,,,10:22:45
,,,,,,,,99.0,89.0,32.0,,,,10:22:45
,,,,,,,,99.0,88.0,26.0,,,,10:22:46
,,,,,,,,99.0,87.0,17.0,,,,10:22:46
,,,,,,,,99.0,87.0,17.0,,,,10:22:47
,,,,,,,,99.0,92.0,18.0,,,,10:22:47
,,,,,,,,99.0,94.0,21.0,,,,10:22:48
,,,,,,,,99.0,95.0,26.0,,,,10:22:48
,,,,,,,,99.0,95.0,26.0,,,,10:22:49
,,,,,,,,99.0,96.0,27.0,,,,10:22:49
,,,,,,,,99.0,95.0,31.0,,,,10:22:50
,,,,,,,,99.0,93.0,33.0,,,,10:22:50
,,,,,,,,99.0,89.0,35.0,,,,10:22:51
,,,,,,,,99.0,88.0,35.0,,,,10:22:51
,,,,,,,,99.0,86.0,37.0,,,,10:22:52
,,,,,,,,99.0,86.0,37.0,,,,10:22:52
,,,,,,,,99.0,86.0,37.0,,,,10:22:53
,,,,,,,,99.0,86.0,37.0,,,,10:22:53
,,,,,,,,99.0,85.0,36.0,,,,10:22:54
,,,,,,,,99.0,85.0,38.0,,,,10:22:54
,,,,,,,,99.0,82.0,42.0,,,,10:22:55
,,,,,,,,99.0,82.0,42.0,,,,10:22:55
,,,,,,,,99.0,82.0,39.0,,,,10:22:56
,,,,,,,,99.0,84.0,42.0,,,,10:22:56
,,,,,,,,99.0,84.0,45.0,,,,10:22:57
,,,,,,,,98.0,85.0,51.0,,,,10:22:57
,,,,,,,,98.0,85.0,52.0,,,,10:22:58
,,,,,,,,98.0,84.0,49.0,,,,10:22:58
,,,,,,,,98.0,85.0,45.0,,,,10:22:59
,,,,,,,,98.0,87.0,42.0,,,,10:22:59
,,,,,,,,98.0,89.0,40.0,,,,10:23:00
,,,,,,,,98.0,90.0,39.0,,,,10:23:00
,,,,,,,,98.0,91.0,38.0,,,,10:23:01
,,,,,,,,98.0,90.0,36.0,,,,10:23:01
,,,,,,,,98.0,89.0,41.0,,,,10:23:02
,,,,,,,,99.0,88.0,46.0,,,,10:23:02
,,,,,,,,99.0,88.0,45.0,,,,10:23:03
,,,,,,,,99.0,89.0,40.0,,,,10:23:03
,,,,,,,,99.0,87.0,38.0,,,,10:23:04
,,,,,,,,99.0,87.0,39.0,,,,10:23:04
,,,,,,,,99.0,90.0,36.0,,,,10:23:05
,,,,,,,,99.0,91.0,36.0,,,,10:23:05
,,,,,,,,99.0,91.0,41.0,,,,10:23:06
,,,,,,,,99.0,91.0,41.0,,,,10:23:06
,,,,,,,,99.0,91.0,41.0,,,,10:23:07
,,,,,,,,99.0,91.0,41.0,,,,10:23:07
,,,,,,,,99.0,91.0,39.0,,,,10:23:08
,,,,,,,,99.0,90.0,41.0,,,,10:23:08
,,,,,,,,99.0,90.0,34.0,,,,10:23:09
,,,,,,,,99.0,91.0,31.0,,,,10:23:09
,,,,,,,,99.0,93.0,26.0,,,,10:23:10
,,,,,,,,99.0,95.0,25.0,,,,10:23:10
,,,,,,,,99.0,92.0,27.0,,,,10:23:11
,,,,,,,,99.0,90.0,27.0,,,,10:23:11
,,,,,,,,99.0,89.0,29.0,,,,10:23:12
,,,,,,,,99.0,90.0,27.0,,,,10:23:12
,,,,,,,,99.0,91.0,32.0,,,,10:23:13
,,,,,,,,99.0,89.0,35.0,,,,10:23:13
,,,,,,,,99.0,88.0,34.0,,,,10:23:14
,,,,,,,,99.0,89.0,35.0,,,,10:23:14
,,,,,,,,99.0,90.0,31.0,,,,10:23:15
,,,,,,,,99.0,91.0,28.0,,,,10:23:15
,,,,,,,,99.0,93.0,24.0,,,,10:23:16
,,,,,,,,99.0,96.0,22.0,,,,10:23:16
,,,,,,,,99.0,99.0,20.0,,,,10:23:17
,,,,,,,,99.0,96.0,23.0,,,,10:23:17
,,,,,,,,99.0,96.0,23.0,,,,10:23:18
,,,,,,,,99.0,96.0,23.0,,,,10:23:18
,,,,,,,,99.0,94.0,23.0,,,,10:23:19
,,,,,,,,99.0,94.0,23.0,,,,10:23:19
,,,,,,,,99.0,94.0,23.0,,,,10:23:20
