Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,,,,,,255.0,14:46:01
,,,,,,,,,,255.0,14:46:02
,,,,,,,,,,255.0,14:46:02
,,,,,,,,,,255.0,14:46:03
,,,,,,,,,,23.0,14:46:03
,,,,,,,,,,23.0,14:46:04
,,,,,,,,,,23.0,14:46:04
,,,,,,,,,,23.0,14:46:05
,,,,,,,,,,38.0,14:46:05
,,,,,,,,,,38.0,14:46:06
,,,,,,,,,,38.0,14:46:06
,,,,,,,,,,38.0,14:46:07
,,,,,,,,,,13.0,14:46:07
,,,,,,,,,,13.0,14:46:08
,,,,,,,,,,13.0,14:46:08
,,,,,,,,,,13.0,14:46:09
,,,,,,,,,,5.0,14:46:09
,,,,,,,,,,5.0,14:46:10
,,,,,,,,,,5.0,14:46:10
,,,,,,,,,,5.0,14:46:11
,,,,,,,,,,6.0,14:46:11
,,,,,,,,,,6.0,14:46:12
,,,,,,,,,,6.0,14:46:12
,,,,,,,,,,6.0,14:46:13
,,,,,,,,,,11.0,14:46:13
,,,,,,,,,,11.0,14:46:14
,,,,,,,,,,11.0,14:46:14
,,,,,,,,,,11.0,14:46:15
,,,,,,,,,,6.0,14:46:15
,,,,,,,,,,6.0,14:46:16
,,,,,,,,,,6.0,14:46:16
,,,,,,,,,,6.0,14:46:17
,,,,,,,,,,6.0,14:46:17
,,,,,,,,,,6.0,14:46:18
,,,,,,,,,,6.0,14:46:18
,,,,,,,,,,6.0,14:46:19
,,,,,,,,,,4.0,14:46:19
,,,,,,,,,,4.0,14:46:20
,,,,,,,,,,4.0,14:46:21
,,,,,,,,,,4.0,14:46:21
,,,,,,,,,,4.0,14:46:21
,,,,,,,,,,4.0,14:46:22
,,,,,,,,,,4.0,14:46:22
,,,,,,,,,,4.0,14:46:23
,,,,,,,,,,4.0,14:46:23
,,,,,,,,,,4.0,14:46:24
,,,,,,,,,,4.0,14:46:24
,,,,,,,,,,4.0,14:46:25
,,,,,,,,,,4.0,14:46:25
,,,,,,,,,,4.0,14:46:26
,,,,,,,,,,4.0,14:46:26
,,,,,,,,,,4.0,14:46:27
,,,,,,,,,,4.0,14:46:27
,,,,,,,,,,4.0,14:46:28
,,,,,,,,,,4.0,14:46:28
,,,,,,,,,,4.0,14:46:29
,,,,,,,,,,22.0,14:46:29
,,,,,,,,,,22.0,14:46:30
,,,,,,,,,,22.0,14:46:30
,,,,,,,,,,22.0,14:46:31
,,,,,,,,,,22.0,14:46:31
,,,,,,,,,,22.0,14:46:32
,,,,,,,,,,22.0,14:46:32
,,,,,,,,,,55.0,14:46:33
,,,,,,,,,,36.0,14:46:33
,,,,,,,,,,36.0,14:46:34
,,,,,,,,,,36.0,14:46:34
,,,,,,,,,,36.0,14:46:35
,,,,,,,,,,16.0,14:46:35
,,,,,,,,,,16.0,14:46:36
,,,,,,,,,,16.0,14:46:36
,,,,,,,,,,16.0,14:46:37
,,,,,,,,,,4.0,14:46:37
,,,,,,,,,,4.0,14:46:38
,,,,,,,,,,4.0,14:46:38
,,,,,,,,,,4.0,14:46:39
,,,,,,,,,,4.0,14:46:39
,,,,,,,,,,4.0,14:46:40
,,,,,,,,,,4.0,14:46:40
,,,,,,,,,,4.0,14:46:41
,,,,,,,,,,4.0,14:46:41
,,,,,,,,,,4.0,14:46:42
,,,,,,,,,,4.0,14:46:42
,,,,,,,,,,4.0,14:46:43
,,,,,,,,,,7.0,14:46:43
,,,,,,,,,,7.0,14:46:44
,,,,,,,,,,7.0,14:46:44
,,,,,,,,,,7.0,14:46:45
,,,,,,,,,,25.0,14:46:45
,,,,,,,,,,25.0,14:46:46
,,,,,,,,,,25.0,14:46:46
,,,,,,,,,,25.0,14:46:47
,,,,,,,,,,15.0,14:46:47
,,,,,,,,,,15.0,14:46:48
,,,,,,,,,,15.0,14:46:48
,,,,,,,,,,15.0,14:46:49
,,,,,,,,,,7.0,14:46:49
,,,,,,,,,,7.0,14:46:50
,,,,,,,,,,7.0,14:46:50
,,,,,,,,,,7.0,14:46:51
,,,,,,,,,,4.0,14:46:51
,,,,,,,,,,4.0,14:46:52
,,,,,,,,,,4.0,14:46:52
,,,,,,,,,,4.0,14:46:53
,,,,,,,,,,4.0,14:46:53
,,,,,,,,,,4.0,14:46:54
,,,,,,,,,,4.0,14:46:54
,,,,,,,,,,4.0,14:46:55
,,,,,,,,,,4.0,14:46:55
,,,,,,,,,,4.0,14:46:56
,,,,,,,,,,4.0,14:46:56
,,,,,,,,,,4.0,14:46:57
,,,,,,,,,,3.0,14:46:57
,,,,,,,,,,3.0,14:46:58
,,,,,,,,,,3.0,14:46:58
,,,,,,,,,,3.0,14:46:59
,,,,,,,,,,3.0,14:46:59
,,,,,,,,,,3.0,14:47:00
,,,,,,,,,,3.0,14:47:00
,,,,,,,,,,3.0,14:47:01
,,,,,,,,,,3.0,14:47:01
,,,,,,,,,,3.0,14:47:02
,,,,,,,,,,3.0,14:47:02
,,,,,,,,,,3.0,14:47:03
,,,,,,,,,,3.0,14:47:03
,,,,,,,,,,3.0,14:47:04
,,,,,,,,,,3.0,14:47:04
,,,,,,,,,,3.0,14:47:05
,,,,,,,,,,3.0,14:47:05
,,,,,,,,,,3.0,14:47:06
,,,,,,,,,,3.0,14:47:06
,,,,,,,,,,3.0,14:47:07
,,,,,,,,,,3.0,14:47:07
,,,,,,,,,,3.0,14:47:08
,,,,,,,,,,3.0,14:47:08
,,,,,,,,,,3.0,14:47:09
,,,,,,,,,,3.0,14:47:09
,,,,,,,,,,3.0,14:47:10
,,,,,,,,,,3.0,14:47:10
,,,,,,,,,,3.0,14:47:11
,,,,,,,,,,3.0,14:47:11
,,,,,,,,,,3.0,14:47:12
,,,,,,,,,,3.0,14:47:12
,,,,,,,,,,3.0,14:47:13
,,,,,,,,,,3.0,14:47:13
,,,,,,,,,,3.0,14:47:14
,,,,,,,,,,3.0,14:47:14
,,,,,,,,,,3.0,14:47:15
,,,,,,,,,,5.0,14:47:15
,,,,,,,,,,5.0,14:47:16
,,,,,,,,,,5.0,14:47:16
,,,,,,,,,,5.0,14:47:17
,,,,,,,,,,37.0,14:47:17
,,,,,,,,,,37.0,14:47:18
,,,,,,,,,,37.0,14:47:18
,,,,,,,,,,37.0,14:47:19
,,,,,,,,,,26.0,14:47:19
,,,,,,,,,,26.0,14:47:20
,,,,,,,,,,26.0,14:47:21
,,,,,,,,,,26.0,14:47:21
,,,,,,,,,,26.0,14:47:21
,,,,,,,,,,26.0,14:47:22
,,,,,,,,,,26.0,14:47:22
,,,,,,,,,,26.0,14:47:23
,,,,,,,,,,5.0,14:47:23
,,,,,,,,,,5.0,14:47:24
,,,,,,,,,,5.0,14:47:24
,,,,,,,,,,5.0,14:47:25
,,,,,,,,,,5.0,14:47:25
,,,,,,,,,,5.0,14:47:26
,,,,,,,,,,5.0,14:47:26
,,,,,,,,,,5.0,14:47:27
,,,,,,,,,,3.0,14:47:27
,,,,,,,,,,3.0,14:47:28
,,,,,,,,,,3.0,14:47:28
,,,,,,,,,,3.0,14:47:29
,,,,,,,,,,4.0,14:47:29
,,,,,,,,,,4.0,14:47:30
,,,,,,,,,,4.0,14:47:30
,,,,,,,,,,4.0,14:47:31
,,,,,,,,,,5.0,14:47:31
,,,,,,,,,,5.0,14:47:32
,,,,,,,,,,5.0,14:47:32
,,,,,,,,,,5.0,14:47:33
