Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,,,,100.0,110.0,8.0,13:22:13
,,,,,,,,,,255.0,13:23:19
,,,,,,,,,,255.0,13:23:20
,,,,,,,,,,255.0,13:23:20
,,,,,,,,,,255.0,13:23:21
,,,,,,,,,,14.0,13:23:21
,,,,,,,,,,14.0,13:23:22
,,,,,,,,,,14.0,13:23:22
,,,,,,,,,,14.0,13:23:23
,,,,,,,,98.0,71.0,31.0,13:23:23
,,,,,,,,98.0,71.0,31.0,13:23:24
,,,,,,,,98.0,71.0,31.0,13:23:24
,,,,,,,,98.0,71.0,31.0,13:23:25
,,,,,,,,98.0,68.0,20.0,13:23:25
,,,,,,,,98.0,68.0,20.0,13:23:26
,,,,,,,,98.0,68.0,20.0,13:23:26
,,,,,,,,98.0,68.0,20.0,13:23:27
,,,,,,,,98.0,64.0,19.0,13:23:27
,,,,,,,,98.0,64.0,19.0,13:23:28
,,,,,,,,98.0,64.0,19.0,13:23:28
,,,,,,,,98.0,64.0,19.0,13:23:29
,,,,,,,,98.0,64.0,23.0,13:23:29
,,,,,,,,98.0,64.0,23.0,13:23:30
,,,,,,,,98.0,64.0,23.0,13:23:30
,,,,,,,,98.0,64.0,23.0,13:23:31
,,,,,,,,98.0,66.0,20.0,13:23:31
,,,,,,,,98.0,66.0,20.0,13:23:32
,,,,,,,,98.0,66.0,20.0,13:23:32
,,,,,,,,98.0,66.0,20.0,13:23:33
,,,,,,,,98.0,67.0,27.0,13:23:33
,,,,,,,,98.0,67.0,27.0,13:23:34
,,,,,,,,98.0,67.0,27.0,13:23:34
,,,,,,,,98.0,67.0,27.0,13:23:35
,,,,,,,,98.0,67.0,27.0,13:23:35
,,,,,,,,98.0,67.0,27.0,13:23:36
,,,,,,,,98.0,67.0,27.0,13:23:36
,,,,,,,,98.0,67.0,27.0,13:23:37
,,,,,,,,98.0,64.0,20.0,13:23:37
,,,,,,,,98.0,64.0,20.0,13:23:38
,,,,,,,,98.0,64.0,20.0,13:23:38
,,,,,,,,98.0,64.0,20.0,13:23:39
,,,,,,,,98.0,63.0,19.0,13:23:39
,,,,,,,,98.0,63.0,19.0,13:23:40
,,,,,,,,98.0,63.0,19.0,13:23:40
,,,,,,,,98.0,63.0,19.0,13:23:41
,,,,,,,,98.0,63.0,24.0,13:23:41
,,,,,,,,98.0,63.0,24.0,13:23:42
,,,,,,,,98.0,63.0,24.0,13:23:42
,,,,,,,,98.0,63.0,24.0,13:23:43
