Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,,,,,,83.0,,,,09:10:28
,,,,,,,,,,83.0,,,,09:10:28
,,,,,,,,,,83.0,,,,09:10:29
,,,,,,,,,,83.0,,,,09:10:29
,,,,,,,,,,107.0,,,,09:10:30
,,,,,,,,,,107.0,,,,09:10:30
,,,,,,,,,,107.0,,,,09:10:31
,,,,,,,,,,107.0,,,,09:10:31
,,,,,,,,,,255.0,,,,09:10:32
,,,,,,,,,,255.0,,,,09:10:32
,,,,,,,,,,255.0,,,,09:10:33
,,,,,,,,,,255.0,,,,09:10:33
,,,,,,,,,,23.0,,,,09:10:34
,,,,,,,,,,23.0,,,,09:10:34
,,,,,,,,,,23.0,,,,09:10:35
,,,,,,,,,,23.0,,,,09:10:35
,,,,,,,,,,25.0,,,,09:10:36
,,,,,,,,,,25.0,,,,09:10:36
,,,,,,,,,,25.0,,,,09:10:37
,,,,,,,,,,25.0,,,,09:10:37
,,,,,,,,,,19.0,,,,09:10:38
,,,,,,,,,,19.0,,,,09:10:38
,,,,,88.0,,5.1,,,19.0,,,,09:10:39
,,,,,88.0,,5.1,,,19.0,,,,09:10:39
,,,,,88.0,,1.2,,,11.0,,,,09:10:40
,,,,,88.0,,1.2,,,11.0,,,,09:10:40
,,,,,86.0,,5.7,,,11.0,,,,09:10:41
,,,,,86.0,,5.7,,,11.0,,,,09:10:41
,,,,,87.0,,0.3,100.0,64.0,9.0,,,,09:10:42
,,,,,87.0,,0.3,100.0,64.0,9.0,,,,09:10:42
,,,,,96.0,63.0,0.4,100.0,64.0,9.0,,,,09:10:43
,,,,,96.0,63.0,0.4,100.0,64.0,9.0,,,,09:10:43
,,,,,99.0,63.0,0.5,100.0,64.0,8.0,,,,09:10:44
,,,,,99.0,63.0,0.5,100.0,64.0,8.0,,,,09:10:44
,,,,,99.0,61.0,0.6,100.0,64.0,8.0,,,,09:10:45
,,,,,99.0,61.0,0.6,100.0,64.0,8.0,,,,09:10:45
,,,,,99.0,61.0,0.6,100.0,64.0,8.0,,,,09:10:46
,,,,,99.0,61.0,0.6,100.0,64.0,8.0,,,,09:10:46
,,,,,100.0,61.0,0.6,100.0,64.0,8.0,,,,09:10:47
,,,,,100.0,61.0,0.6,100.0,64.0,8.0,,,,09:10:47
,,,,,100.0,63.0,0.7,100.0,66.0,9.0,,,,09:10:48
,,,,,100.0,64.0,0.6,100.0,66.0,9.0,,,,09:10:48
,,,,,100.0,64.0,0.6,100.0,66.0,9.0,,,,09:10:49
,,,,,100.0,65.0,0.6,100.0,65.0,9.0,,,,09:10:50
,,,,,100.0,65.0,0.6,100.0,65.0,9.0,,,,09:10:50
,,,,,100.0,65.0,0.6,100.0,65.0,9.0,,,,09:10:50
,,,,,100.0,65.0,0.6,100.0,65.0,9.0,,,,09:10:51
,,,,,100.0,65.0,0.6,100.0,66.0,8.0,,,,09:10:52
,,,,,100.0,65.0,0.6,100.0,66.0,8.0,,,,09:10:52
,,,,,100.0,65.0,0.6,100.0,66.0,8.0,,,,09:10:52
,,,,,100.0,65.0,0.6,100.0,66.0,8.0,,,,09:10:53
,,,,,100.0,65.0,0.6,100.0,66.0,8.0,,,,09:10:54
,,,,,100.0,65.0,0.6,100.0,66.0,8.0,,,,09:10:54
,,,,,100.0,66.0,0.6,100.0,66.0,8.0,,,,09:10:54
,,,,,100.0,66.0,0.6,100.0,66.0,8.0,,,,09:10:55
,,,,,100.0,66.0,0.6,100.0,66.0,8.0,,,,09:10:56
,,,,,100.0,66.0,0.6,100.0,66.0,8.0,,,,09:10:56
,,,,,100.0,66.0,0.6,100.0,66.0,8.0,,,,09:10:56
,,,,,100.0,67.0,0.6,100.0,64.0,9.0,,,,09:10:57
,,,,,100.0,67.0,0.6,100.0,64.0,9.0,,,,09:10:57
,,,,,100.0,66.0,0.6,100.0,64.0,9.0,,,,09:10:58
,,,,,100.0,66.0,0.6,100.0,64.0,9.0,,,,09:10:58
,,,,,100.0,64.0,0.7,100.0,64.0,9.0,,,,09:10:59
,,,,,100.0,64.0,0.7,100.0,64.0,9.0,,,,09:10:59
,,,,,100.0,63.0,0.7,100.0,65.0,10.0,,,,09:11:00
,,,,,100.0,63.0,0.7,100.0,65.0,10.0,,,,09:11:00
,,,,,100.0,63.0,0.7,100.0,65.0,10.0,,,,09:11:01
,,,,,100.0,63.0,0.7,100.0,65.0,10.0,,,,09:11:01
,,,,,100.0,64.0,0.7,100.0,68.0,8.0,,,,09:11:02
,,,,,100.0,64.0,0.7,100.0,68.0,8.0,,,,09:11:02
,,,,,100.0,64.0,0.7,100.0,68.0,8.0,,,,09:11:03
,,,,,100.0,64.0,0.7,100.0,68.0,8.0,,,,09:11:03
,,,,,100.0,66.0,0.7,100.0,69.0,8.0,,,,09:11:04
,,,,,100.0,66.0,0.7,100.0,69.0,8.0,,,,09:11:04
,,,,,100.0,67.0,0.6,100.0,69.0,8.0,,,,09:11:05
,,,,,100.0,67.0,0.6,100.0,69.0,8.0,,,,09:11:05
,,,,,100.0,67.0,0.6,100.0,67.0,10.0,,,,09:11:06
,,,,,100.0,67.0,0.6,100.0,67.0,10.0,,,,09:11:06
,,,,,100.0,68.0,0.6,100.0,67.0,10.0,,,,09:11:07
,,,,,100.0,68.0,0.6,100.0,67.0,10.0,,,,09:11:07
,,,,,100.0,68.0,0.6,100.0,66.0,10.0,,,,09:11:08
,,,,,100.0,68.0,0.6,100.0,66.0,10.0,,,,09:11:08
,,,,,100.0,68.0,0.6,100.0,66.0,10.0,,,,09:11:09
,,,,,100.0,68.0,0.6,100.0,66.0,10.0,,,,09:11:09
,,,,,100.0,68.0,0.6,100.0,65.0,9.0,,,,09:11:10
,,,,,100.0,68.0,0.6,100.0,65.0,9.0,,,,09:11:10
,,,,,100.0,68.0,0.7,100.0,65.0,9.0,,,,09:11:11
,,,,,100.0,68.0,0.7,100.0,65.0,9.0,,,,09:11:11
,,,,,100.0,68.0,0.7,100.0,65.0,8.0,,,,09:11:12
,,,,,100.0,68.0,0.7,100.0,65.0,8.0,,,,09:11:12
