Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,99.0,60.0,1.6,99.0,59.0,30.0,11:37:22
,,,,,99.0,60.0,1.6,99.0,61.0,33.0,11:37:23
,,,,,99.0,60.0,1.6,99.0,61.0,27.0,11:37:23
,,,,,99.0,60.0,1.6,99.0,61.0,25.0,11:37:24
,,,,,99.0,61.0,1.6,99.0,60.0,24.0,11:37:24
,,,,,99.0,61.0,1.6,99.0,61.0,24.0,11:37:25
,,,,,99.0,61.0,1.6,99.0,62.0,20.0,11:37:25
,,,,,99.0,61.0,1.6,99.0,62.0,20.0,11:37:26
,,,,,99.0,60.0,1.6,99.0,62.0,25.0,11:37:26
,,,,,99.0,61.0,1.7,99.0,62.0,25.0,11:37:27
,,,,,99.0,61.0,1.7,99.0,62.0,25.0,11:37:27
,,,,,99.0,61.0,1.7,99.0,62.0,25.0,11:37:28
,,,,,99.0,62.0,1.7,99.0,63.0,29.0,11:37:28
,,,,,99.0,62.0,1.7,99.0,64.0,31.0,11:37:29
,,,,,99.0,62.0,1.7,99.0,64.0,37.0,11:37:29
,,,,,99.0,62.0,1.7,99.0,63.0,40.0,11:37:30
,,,,,99.0,62.0,1.7,99.0,63.0,42.0,11:37:30
,,,,,99.0,62.0,1.7,99.0,63.0,44.0,11:37:31
,,,,,99.0,62.0,1.7,99.0,64.0,43.0,11:37:31
,,,,,99.0,63.0,1.7,99.0,64.0,48.0,11:37:32
,,,,,99.0,64.0,1.7,99.0,65.0,51.0,11:37:32
,,,,,99.0,64.0,1.7,99.0,64.0,52.0,11:37:33
,,,,,100.0,64.0,1.7,99.0,64.0,37.0,11:37:33
,,,,,100.0,65.0,1.8,99.0,64.0,37.0,11:37:34
,,,,,100.0,65.0,1.8,99.0,64.0,37.0,11:37:34
,,,,,100.0,65.0,1.8,99.0,64.0,37.0,11:37:35
,,,,,100.0,64.0,1.8,98.0,64.0,35.0,11:37:35
,,,,,100.0,65.0,1.8,98.0,64.0,35.0,11:37:36
,,,,,100.0,64.0,1.8,98.0,64.0,35.0,11:37:36
,,,,,100.0,64.0,1.8,98.0,64.0,35.0,11:37:37
,,,,,100.0,64.0,1.8,98.0,63.0,35.0,11:37:37
,,,,,99.0,64.0,1.8,98.0,63.0,35.0,11:37:38
,,,,,99.0,64.0,1.8,98.0,63.0,35.0,11:37:38
,,,,,99.0,64.0,1.9,98.0,63.0,35.0,11:37:39
,,,,,99.0,64.0,1.9,98.0,64.0,34.0,11:37:39
,,,,,99.0,65.0,2.0,98.0,64.0,34.0,11:37:40
,,,,,99.0,65.0,2.0,98.0,64.0,34.0,11:37:40
,,,,,99.0,65.0,2.1,98.0,64.0,34.0,11:37:41
,,,,,99.0,66.0,2.1,98.0,65.0,35.0,11:37:41
,,,,,99.0,65.0,2.1,98.0,65.0,35.0,11:37:42
,,,,,99.0,65.0,2.2,98.0,65.0,35.0,11:37:42
,,,,,99.0,65.0,2.3,98.0,65.0,35.0,11:37:43
,,,,,99.0,65.0,2.3,99.0,66.0,37.0,11:37:43
,,,,,99.0,65.0,2.4,99.0,66.0,37.0,11:37:44
,,,,,99.0,65.0,2.5,99.0,66.0,37.0,11:37:44
,,,,,99.0,64.0,2.6,99.0,66.0,37.0,11:37:45
,,,,,99.0,64.0,2.7,99.0,66.0,37.0,11:37:45
,,,,,99.0,64.0,2.7,99.0,66.0,37.0,11:37:46
,,,,,99.0,64.0,2.7,99.0,66.0,37.0,11:37:46
,,,,,99.0,65.0,2.8,99.0,66.0,37.0,11:37:47
,,,,,99.0,65.0,2.8,99.0,65.0,37.0,11:37:47
,,,,,99.0,66.0,2.8,99.0,65.0,37.0,11:37:48
,,,,,99.0,66.0,2.9,99.0,65.0,37.0,11:37:48
,,,,,99.0,66.0,2.9,99.0,65.0,37.0,11:37:49
,,,,,99.0,66.0,2.9,99.0,62.0,43.0,11:37:49
,,,,,99.0,66.0,2.9,99.0,62.0,43.0,11:37:50
,,,,,99.0,66.0,2.9,99.0,62.0,43.0,11:37:50
,,,,,99.0,66.0,2.9,99.0,62.0,43.0,11:37:51
,,,,,99.0,65.0,2.9,99.0,63.0,45.0,11:37:51
,,,,,99.0,65.0,2.9,99.0,63.0,45.0,11:37:52
,,,,,99.0,64.0,3.0,99.0,63.0,45.0,11:37:52
,,,,,99.0,64.0,3.0,99.0,63.0,45.0,11:37:53
,,,,,99.0,62.0,3.0,99.0,64.0,43.0,11:37:53
,,,,,99.0,62.0,3.0,99.0,64.0,43.0,11:37:54
,,,,,99.0,62.0,3.0,99.0,64.0,43.0,11:37:54
,,,,,99.0,62.0,3.0,99.0,64.0,43.0,11:37:55
,,,,,99.0,62.0,3.0,99.0,62.0,51.0,11:37:55
,,,,,99.0,62.0,3.0,99.0,62.0,51.0,11:37:56
,,,,,98.0,62.0,3.1,99.0,62.0,51.0,11:37:56
,,,,,98.0,62.0,3.1,99.0,62.0,51.0,11:37:57
,,,,,98.0,61.0,3.1,99.0,62.0,42.0,11:37:57
,,,,,98.0,61.0,3.1,99.0,62.0,42.0,11:37:58
,,,,,98.0,61.0,3.1,99.0,62.0,42.0,11:37:58
,,,,,98.0,61.0,3.1,99.0,62.0,42.0,11:37:59
,,,,,98.0,60.0,3.1,99.0,61.0,29.0,11:37:59
,,,,,98.0,60.0,3.1,99.0,61.0,29.0,11:38:00
,,,,,98.0,60.0,3.1,99.0,61.0,29.0,11:38:00
,,,,,98.0,60.0,3.1,99.0,61.0,29.0,11:38:01
,,,,,99.0,61.0,3.1,99.0,63.0,20.0,11:38:01
,,,,,99.0,61.0,3.1,99.0,63.0,20.0,11:38:02
,,,,,99.0,61.0,3.1,99.0,63.0,20.0,11:38:02
,,,,,99.0,61.0,3.1,99.0,63.0,20.0,11:38:03
,,,,,99.0,62.0,3.1,99.0,63.0,20.0,11:38:03
,,,,,99.0,62.0,3.1,99.0,63.0,20.0,11:38:04
,,,,,99.0,63.0,3.1,99.0,63.0,20.0,11:38:04
,,,,,99.0,63.0,3.1,99.0,66.0,18.0,11:38:05
,,,,,99.0,63.0,3.1,99.0,68.0,17.0,11:38:05
,,,,,99.0,63.0,3.1,99.0,68.0,17.0,11:38:06
,,,,,99.0,64.0,3.1,99.0,68.0,17.0,11:38:06
,,,,,99.0,64.0,3.1,99.0,68.0,17.0,11:38:07
,,,,,99.0,64.0,3.1,99.0,69.0,23.0,11:38:07
,,,,,99.0,64.0,3.1,99.0,69.0,23.0,11:38:08
,,,,,99.0,68.0,3.1,99.0,69.0,23.0,11:38:08
,,,,,99.0,68.0,3.1,99.0,69.0,23.0,11:38:09
,,,,,99.0,68.0,3.1,99.0,67.0,23.0,11:38:09
,,,,,99.0,68.0,3.1,99.0,67.0,23.0,11:38:10
,,,,,98.0,72.0,3.1,99.0,67.0,23.0,11:38:10
,,,,,98.0,72.0,3.1,99.0,67.0,23.0,11:38:11
