Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,93.0,,20.0,,,,,,,09:09:13
,,,,,93.0,,20.0,,,,,,,09:09:13
,,,,,93.0,,2.2,,,,,,,09:09:14
,,,,,93.0,,2.2,,,,,,,09:09:14
,,,,,93.0,,2.2,,,,,,,09:09:15
,,,,,93.0,,2.2,,,,,,,09:09:15
,,,,,93.0,95.0,2.7,,,,,,,09:09:16
,,,,,93.0,95.0,2.7,,,,,,,09:09:17
,,,,,96.0,95.0,2.9,,,,,,,09:09:17
,,,,,96.0,95.0,2.9,,,,,,,09:09:17
,,,,,97.0,96.0,2.9,,,,,,,09:09:18
,,,,,97.0,96.0,2.9,,,,,,,09:09:18
,,,,,98.0,97.0,2.8,,,,,,,09:09:19
,,,,,98.0,97.0,2.8,,,,,,,09:09:19
,,,,,98.0,97.0,2.8,,,,,,,09:09:20
,,,,,98.0,97.0,2.8,,,,,,,09:09:20
,,,,,98.0,99.0,2.6,,,,,,,09:09:21
,,,,,98.0,99.0,2.6,,,,,,,09:09:21
,,,,,98.0,98.0,2.4,,,,,,,09:09:22
,,,,,98.0,98.0,2.4,,,,,,,09:09:22
,,,,,98.0,98.0,1.9,,,,,,,09:09:23
,,,,,98.0,98.0,1.9,,,,,,,09:09:23
,,,,,98.0,97.0,2.0,,,,,,,09:09:24
,,,,,98.0,97.0,2.0,,,,,,,09:09:24
,,,,,98.0,97.0,1.8,,,,,,,09:09:25
,,,,,98.0,97.0,1.8,,,,,,,09:09:25
,,,,,98.0,97.0,1.8,,,,,,,09:09:26
,,,,,98.0,97.0,1.8,,,,,,,09:09:26
,,,,,98.0,97.0,1.8,,,,,,,09:09:26
,,,,,98.0,101.0,1.7,,,,,,,09:09:27
,,,,,98.0,101.0,1.7,,,,,,,09:09:27
,,,,,98.0,101.0,1.7,,,,,,,09:09:28
,,,,,98.0,101.0,1.7,,,,,,,09:09:28
,,,,,98.0,101.0,1.6,,,,,,,09:09:29
,,,,,98.0,101.0,1.6,,,,,,,09:09:29
,,,,,98.0,101.0,1.6,,,,,,,09:09:30
,,,,,98.0,101.0,1.6,,,,,,,09:09:30
,,,,,97.0,105.0,1.6,,,,,,,09:09:31
,,,,,97.0,105.0,1.6,,,,,,,09:09:31
,,,,,97.0,105.0,1.6,,,,,,,09:09:32
,,,,,97.0,105.0,1.6,,,,,,,09:09:32
,,,,,97.0,108.0,1.6,,,,,,,09:09:33
,,,,,97.0,108.0,1.6,,,,,,,09:09:33
,,,,,97.0,111.0,1.6,,,,,,,09:09:34
,,,,,97.0,111.0,1.6,,,,,,,09:09:34
,,,,,97.0,110.0,1.6,,,,,,,09:09:35
,,,,,97.0,110.0,1.6,,,,,,,09:09:35
,,,,,97.0,111.0,1.6,,,,,,,09:09:36
,,,,,97.0,111.0,1.6,,,,,,,09:09:36
,,,,,97.0,111.0,1.6,,,,,,,09:09:37
,,,,,97.0,111.0,1.6,,,,,,,09:09:37
,,,,,97.0,111.0,1.6,,,,,,,09:09:38
,,,,,97.0,111.0,1.6,,,,,,,09:09:38
,,,,,98.0,111.0,1.6,,,,,,,09:09:39
,,,,,98.0,111.0,1.6,,,,,,,09:09:39
,,,,,98.0,108.0,1.6,,,,,,,09:09:40
,,,,,98.0,108.0,1.6,,,,,,,09:09:40
,,,,,98.0,104.0,1.8,,,,,,,09:09:41
,,,,,98.0,104.0,1.8,,,,,,,09:09:41
,,,,,98.0,102.0,2.0,,,,,,,09:09:42
,,,,,98.0,102.0,2.0,,,,,,,09:09:42
,,,,,98.0,102.0,2.0,,,,,,,09:09:43
,,,,,98.0,102.0,2.0,,,,,,,09:09:43
,,,,,98.0,99.0,2.2,,,,,,,09:09:44
,,,,,98.0,99.0,2.2,,,,,,,09:09:44
,,,,,98.0,96.0,2.4,,,,,,,09:09:45
,,,,,98.0,96.0,2.4,,,,,,,09:09:45
,,,,,98.0,94.0,2.5,,,,,,,09:09:46
,,,,,98.0,94.0,2.5,,,,,,,09:09:46
,,,,,99.0,94.0,2.7,,,,,,,09:09:47
,,,,,99.0,94.0,2.7,,,,,,,09:09:47
,,,,,99.0,93.0,3.0,,,,,,,09:09:48
,,,,,99.0,93.0,3.0,,,,,,,09:09:48
,,,,,99.0,93.0,3.0,,,,,,,09:09:49
,,,,,99.0,93.0,3.0,,,,,,,09:09:49
,,,,,99.0,94.0,3.1,,,,,,,09:09:50
,,,,,99.0,94.0,3.1,,,,,,,09:09:50
,,,,,99.0,95.0,3.3,,,,,,,09:09:51
