Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,,,,96.0,74.0,137.0,,,,13:43:31
,,,,,,,,96.0,74.0,137.0,,,,13:43:32
,,,,,,,,96.0,74.0,137.0,,,,13:43:32
,,,,,,,,96.0,74.0,137.0,,,,13:43:33
,,,,,,,,96.0,74.0,132.0,,,,13:43:33
,,,,,,,,96.0,74.0,132.0,,,,13:43:34
,,,,,,,,96.0,74.0,132.0,,,,13:43:34
,,,,,,,,96.0,74.0,132.0,,,,13:43:35
,,,,,,,,96.0,76.0,129.0,,,,13:43:35
,,,,,,,,96.0,76.0,129.0,,,,13:43:36
,,,,,,,,96.0,76.0,129.0,,,,13:43:36
,,,,,,,,96.0,76.0,129.0,,,,13:43:37
,,,,,,,,96.0,76.0,133.0,,,,13:43:37
,,,,,,,,96.0,76.0,133.0,,,,13:43:38
,,,,,,,,96.0,76.0,133.0,,,,13:43:38
,,,,,,,,96.0,76.0,133.0,,,,13:43:39
,,,,,,,,96.0,76.0,135.0,,,,13:43:39
,,,,,,,,96.0,76.0,135.0,,,,13:43:40
,,,,,,,,96.0,76.0,135.0,,,,13:43:40
,,,,,,,,96.0,76.0,135.0,,,,13:43:41
,,,,,,,,96.0,76.0,129.0,,,,13:43:41
,,,,,,,,96.0,76.0,129.0,,,,13:43:42
,,,,,,,,96.0,76.0,129.0,,,,13:43:42
,,,,,,,,96.0,76.0,129.0,,,,13:43:43
,,,,,,,,96.0,76.0,126.0,,,,13:43:43
,,,,,,,,96.0,76.0,126.0,,,,13:43:44
,,,,,,,,96.0,76.0,126.0,,,,13:43:44
,,,,,,,,96.0,74.0,122.0,,,,13:43:45
,,,,,96.0,78.0,14.0,96.0,74.0,122.0,,,,13:43:45
,,,,,96.0,78.0,14.0,96.0,74.0,122.0,,,,13:43:46
,,,,,96.0,77.0,14.0,96.0,74.0,122.0,,,,13:43:46
,,,,,96.0,77.0,14.0,96.0,73.0,131.0,,,,13:43:47
,,,,,96.0,75.0,14.0,96.0,73.0,131.0,,,,13:43:47
,,,,,96.0,75.0,14.0,96.0,73.0,131.0,,,,13:43:48
,,,,,96.0,74.0,14.0,96.0,73.0,131.0,,,,13:43:48
,,,,,96.0,74.0,14.0,96.0,73.0,135.0,,,,13:43:49
,,,,,96.0,74.0,14.0,96.0,73.0,135.0,,,,13:43:49
,,,,,96.0,74.0,14.0,96.0,73.0,135.0,,,,13:43:50
,,,,,96.0,73.0,14.0,96.0,73.0,135.0,,,,13:43:50
,,,,,96.0,73.0,14.0,96.0,75.0,133.0,,,,13:43:51
,,,,,96.0,73.0,14.0,96.0,75.0,133.0,,,,13:43:51
,,,,,96.0,73.0,14.0,96.0,75.0,133.0,,,,13:43:52
,,,,,96.0,73.0,14.0,96.0,75.0,133.0,,,,13:43:52
,,,,,96.0,73.0,14.0,96.0,76.0,133.0,,,,13:43:53
,,,,,97.0,75.0,14.0,96.0,76.0,133.0,,,,13:43:53
,,,,,97.0,75.0,14.0,96.0,76.0,133.0,,,,13:43:54
,,,,,97.0,75.0,14.0,96.0,76.0,133.0,,,,13:43:54
,,,,,97.0,75.0,14.0,96.0,77.0,124.0,,,,13:43:55
,,,,,97.0,76.0,14.0,96.0,77.0,124.0,,,,13:43:55
,,,,,97.0,76.0,14.0,96.0,77.0,124.0,,,,13:43:56
,,,,,97.0,78.0,14.0,96.0,77.0,124.0,,,,13:43:56
,,,,,97.0,78.0,14.0,96.0,76.0,129.0,,,,13:43:57
,,,,,97.0,79.0,14.0,96.0,76.0,129.0,,,,13:43:57
,,,,,97.0,79.0,14.0,96.0,76.0,129.0,,,,13:43:58
,,,,,96.0,79.0,14.0,96.0,76.0,129.0,,,,13:43:58
,,,,,96.0,79.0,14.0,96.0,76.0,136.0,,,,13:43:59
,,,,,96.0,79.0,14.0,96.0,76.0,136.0,,,,13:43:59
,,,,,96.0,79.0,14.0,96.0,76.0,136.0,,,,13:44:00
,,,,,96.0,79.0,14.0,96.0,76.0,136.0,,,,13:44:00
,,,,,96.0,79.0,14.0,96.0,76.0,130.0,,,,13:44:01
,,,,,96.0,78.0,14.0,96.0,76.0,130.0,,,,13:44:01
,,,,,96.0,78.0,14.0,96.0,76.0,130.0,,,,13:44:02
,,,,,96.0,77.0,14.0,96.0,76.0,130.0,,,,13:44:02
,,,,,96.0,77.0,14.0,96.0,76.0,119.0,,,,13:44:03
,,,,,96.0,77.0,14.0,96.0,76.0,119.0,,,,13:44:03
,,,,,96.0,77.0,14.0,96.0,76.0,119.0,,,,13:44:04
,,,,,96.0,77.0,14.0,96.0,76.0,119.0,,,,13:44:04
,,,,,96.0,77.0,14.0,96.0,76.0,119.0,,,,13:44:05
,,,,,96.0,77.0,14.0,96.0,76.0,119.0,,,,13:44:05
,,,,,96.0,77.0,14.0,96.0,76.0,119.0,,,,13:44:05
,,,,,96.0,78.0,14.0,96.0,80.0,114.0,,,,13:44:06
,,,,,96.0,78.0,14.0,96.0,80.0,114.0,,,,13:44:06
,,,,,96.0,80.0,14.0,96.0,79.0,105.0,,,,13:44:07
,,,,,96.0,80.0,14.0,96.0,79.0,105.0,,,,13:44:07
,,,,,96.0,81.0,14.0,96.0,79.0,105.0,,,,13:44:08
