Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,,,,100.0,81.0,41.0,,,,13:04:31
,,,,,,,,,,255.0,,,,13:07:38
,,,,,,,,,,255.0,,,,13:07:38
,,,,,,,,,,255.0,,,,13:07:38
,,,,,,,,,,255.0,,,,13:07:39
,,,,,,,,,,255.0,,,,13:07:40
,,,,,,,,,,255.0,,,,13:07:40
,,,,,,,,,,255.0,,,,13:07:40
,,,,,,,,,,255.0,,,,13:07:41
,,,,,,,,,,34.0,,,,13:07:42
,,,,,,,,,,34.0,,,,13:07:42
,,,,,,,,,,34.0,,,,13:07:42
,,,,,,,,,,34.0,,,,13:07:43
,,,,,,,,97.0,77.0,52.0,,,,13:07:44
,,,,,,,,97.0,77.0,52.0,,,,13:07:44
,,,,,,,,97.0,77.0,52.0,,,,13:07:45
,,,,,,,,97.0,77.0,52.0,,,,13:07:45
,,,,,,,,97.0,78.0,29.0,,,,13:07:46
,,,,,,,,97.0,78.0,29.0,,,,13:07:46
,,,,,,,,97.0,78.0,29.0,,,,13:07:46
,,,,,,,,97.0,78.0,29.0,,,,13:07:47
,,,,,,,,97.0,78.0,83.0,,,,13:07:48
,,,,,,,,97.0,78.0,83.0,,,,13:07:48
,,,,,,,6.8,97.0,78.0,83.0,,,,13:07:48
,,,,,,,6.8,97.0,78.0,83.0,,,,13:07:49
,,,,,98.0,78.0,3.7,97.0,78.0,83.0,,,,13:07:49
,,,,,98.0,78.0,3.7,97.0,78.0,83.0,,,,13:07:50
,,,,,98.0,78.0,5.2,97.0,78.0,83.0,,,,13:07:50
,,,,,98.0,78.0,5.2,97.0,78.0,83.0,,,,13:07:51
,,,,,98.0,77.0,5.9,98.0,79.0,32.0,,,,13:07:52
,,,,,98.0,77.0,5.9,98.0,79.0,32.0,,,,13:07:52
,,,,,98.0,77.0,6.2,98.0,79.0,32.0,,,,13:07:52
,,,,,98.0,77.0,6.2,98.0,79.0,32.0,,,,13:07:53
,,,,,98.0,77.0,6.2,98.0,79.0,31.0,,,,13:07:54
,,,,,98.0,77.0,6.2,98.0,79.0,31.0,,,,13:07:54
,,,,,98.0,75.0,6.2,98.0,79.0,31.0,,,,13:07:54
,,,,,98.0,75.0,6.2,98.0,79.0,31.0,,,,13:07:55
,,,,,98.0,75.0,6.4,98.0,79.0,28.0,,,,13:07:56
,,,,,98.0,75.0,6.4,98.0,79.0,28.0,,,,13:07:56
,,,,,98.0,76.0,6.6,98.0,79.0,28.0,,,,13:07:56
,,,,,98.0,76.0,6.6,98.0,79.0,28.0,,,,13:07:57
,,,,,98.0,76.0,6.7,98.0,79.0,24.0,,,,13:07:57
,,,,,98.0,76.0,6.7,98.0,79.0,24.0,,,,13:07:58
,,,,,98.0,77.0,6.8,98.0,79.0,24.0,,,,13:07:58
,,,,,98.0,77.0,6.8,98.0,79.0,24.0,,,,13:07:59
,,,,,98.0,77.0,6.8,98.0,77.0,29.0,,,,13:08:00
,,,,,98.0,77.0,6.8,98.0,77.0,29.0,,,,13:08:00
,,,,,98.0,78.0,6.9,98.0,77.0,29.0,,,,13:08:00
,,,,,98.0,78.0,6.9,98.0,77.0,29.0,,,,13:08:01
,,,,,98.0,77.0,7.0,98.0,77.0,24.0,,,,13:08:02
,,,,,98.0,77.0,7.0,98.0,77.0,24.0,,,,13:08:02
,,,,,98.0,77.0,7.0,98.0,77.0,24.0,,,,13:08:02
,,,,,98.0,77.0,7.0,98.0,77.0,24.0,,,,13:08:03
,,,,,98.0,77.0,6.8,98.0,76.0,40.0,,,,13:08:04
,,,,,98.0,77.0,6.8,98.0,76.0,40.0,,,,13:08:04
,,,,,98.0,76.0,6.7,98.0,76.0,40.0,,,,13:08:04
,,,,,98.0,76.0,6.7,98.0,76.0,40.0,,,,13:08:05
,,,,,98.0,76.0,6.9,98.0,75.0,24.0,,,,13:08:06
,,,,,98.0,76.0,6.9,98.0,75.0,24.0,,,,13:08:06
,,,,,98.0,75.0,6.9,98.0,75.0,24.0,,,,13:08:06
,,,,,98.0,75.0,6.9,98.0,75.0,24.0,,,,13:08:07
,,,,,98.0,75.0,6.9,98.0,74.0,24.0,,,,13:08:08
,,,,,98.0,75.0,6.9,98.0,74.0,24.0,,,,13:08:08
,,,,,98.0,74.0,6.9,98.0,74.0,24.0,,,,13:08:08
,,,,,98.0,74.0,6.9,98.0,74.0,24.0,,,,13:08:09
,,,,,98.0,73.0,6.9,97.0,74.0,21.0,,,,13:08:10
,,,,,98.0,73.0,6.9,97.0,74.0,21.0,,,,13:08:10
,,,,,98.0,73.0,6.9,97.0,74.0,21.0,,,,13:08:10
,,,,,98.0,73.0,6.9,97.0,74.0,21.0,,,,13:08:11
,,,,,98.0,73.0,6.8,97.0,74.0,20.0,,,,13:08:12
,,,,,98.0,73.0,6.8,97.0,74.0,20.0,,,,13:08:12
,,,,,98.0,73.0,6.7,97.0,74.0,20.0,,,,13:08:12
,,,,,98.0,73.0,6.7,97.0,74.0,20.0,,,,13:08:13
,,,,,98.0,73.0,6.5,97.0,76.0,20.0,,,,13:08:14
,,,,,98.0,73.0,6.5,97.0,76.0,20.0,,,,13:08:14
,,,,,98.0,74.0,6.2,97.0,76.0,20.0,,,,13:08:14
,,,,,98.0,74.0,6.2,97.0,76.0,20.0,,,,13:08:15
,,,,,98.0,76.0,6.2,97.0,76.0,20.0,,,,13:08:16
,,,,,98.0,76.0,6.2,97.0,76.0,20.0,,,,13:08:16
,,,,,98.0,76.0,6.2,97.0,76.0,20.0,,,,13:08:16
,,,,,98.0,76.0,6.2,97.0,76.0,17.0,,,,13:08:17
,,,,,98.0,77.0,5.7,97.0,75.0,15.0,,,,13:08:17
,,,,,98.0,77.0,5.7,97.0,75.0,15.0,,,,13:08:18
,,,,,98.0,77.0,5.8,97.0,75.0,15.0,,,,13:08:18
,,,,,98.0,77.0,5.8,97.0,75.0,15.0,,,,13:08:19
,,,,,98.0,77.0,5.6,97.0,75.0,19.0,,,,13:08:20
,,,,,98.0,77.0,5.6,97.0,75.0,19.0,,,,13:08:20
,,,,,98.0,77.0,5.4,97.0,75.0,19.0,,,,13:08:20
,,,,,98.0,77.0,5.4,97.0,75.0,19.0,,,,13:08:21
,,,,,98.0,77.0,5.4,97.0,74.0,20.0,,,,13:08:22
,,,,,98.0,77.0,5.4,97.0,74.0,20.0,,,,13:08:22
,,,,,98.0,76.0,5.4,97.0,74.0,20.0,,,,13:08:22
,,,,,98.0,76.0,5.4,97.0,74.0,20.0,,,,13:08:23
,,,,,98.0,76.0,5.3,97.0,75.0,20.0,,,,13:08:24
,,,,,98.0,76.0,5.3,97.0,75.0,20.0,,,,13:08:24
,,,,,98.0,74.0,5.5,97.0,75.0,20.0,,,,13:08:24
,,,,,98.0,74.0,5.5,97.0,75.0,20.0,,,,13:08:25
,,,,,98.0,74.0,5.9,98.0,73.0,22.0,,,,13:08:26
,,,,,98.0,74.0,5.9,98.0,73.0,22.0,,,,13:08:26
,,,,,98.0,73.0,6.1,98.0,73.0,22.0,,,,13:08:26
,,,,,98.0,73.0,6.1,98.0,73.0,22.0,,,,13:08:27
,,,,,98.0,73.0,6.1,98.0,73.0,24.0,,,,13:08:28
,,,,,98.0,73.0,6.1,98.0,73.0,24.0,,,,13:08:28
,,,,,98.0,73.0,6.2,98.0,73.0,24.0,,,,13:08:28
