Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,,,,,,255.0,,,,09:15:01
,,,,,,,,,,255.0,,,,09:15:01
,,,,,,,,,,255.0,,,,09:15:02
,,,,,,,,,,255.0,,,,09:15:02
,,,,,,,,98.0,,82.0,,,,09:15:03
,,,,,,,,98.0,,82.0,,,,09:15:03
,,,,,,,,98.0,,82.0,,,,09:15:04
,,,,,,,,98.0,,82.0,,,,09:15:04
,,,,,,,,98.0,53.0,93.0,,,,09:15:05
,,,,,,,,98.0,53.0,93.0,,,,09:15:05
,,,,,,,,98.0,53.0,93.0,,,,09:15:06
,,,,,,,,98.0,53.0,93.0,,,,09:15:06
,,,,,,,,98.0,53.0,95.0,,,,09:15:07
,,,,,,,,98.0,53.0,95.0,,,,09:15:07
,,,,,,,,98.0,53.0,95.0,,,,09:15:08
,,,,,,,,98.0,53.0,95.0,,,,09:15:08
,,,,,,,,98.0,53.0,95.0,,,,09:15:09
,,,,,,,,98.0,53.0,95.0,,,,09:15:09
,,,,,,,,98.0,53.0,95.0,,,,09:15:10
,,,,,,,,98.0,53.0,95.0,,,,09:15:10
,,,,,,,,,,255.0,,,,09:16:15
,,,,,,,,,,255.0,,,,09:16:15
,,,,,,,,,,255.0,,,,09:16:16
,,,,,,,,,,255.0,,,,09:16:16
,,,,,,,,,,255.0,,,,09:16:17
,,,,,,,,,,255.0,,,,09:16:17
,,,,,,,,,,255.0,,,,09:16:18
,,,,,,,,,,255.0,,,,09:16:18
,,,,,,,,,,46.0,,,,09:16:19
,,,,,,,,,,46.0,,,,09:16:19
,,,,,,,,,,46.0,,,,09:16:20
,,,,,,,,,,46.0,,,,09:16:20
,,,,,,,,99.0,50.0,37.0,,,,09:16:21
,,,,,,,,99.0,50.0,37.0,,,,09:16:21
,,,,,,,,99.0,50.0,37.0,,,,09:16:22
,,,,,,,,99.0,50.0,37.0,,,,09:16:22
,,,,,,,,98.0,49.0,43.0,,,,09:16:23
,,,,,,,,98.0,49.0,43.0,,,,09:16:23
,,,,,,,,98.0,49.0,43.0,,,,09:16:24
,,,,,,,,98.0,49.0,43.0,,,,09:16:24
,,,,,,,,98.0,51.0,44.0,,,,09:16:25
,,,,,,,,98.0,51.0,44.0,,,,09:16:25
,,,,,,,,98.0,51.0,44.0,,,,09:16:26
,,,,,,,,98.0,51.0,44.0,,,,09:16:26
,,,,,,,,98.0,51.0,38.0,,,,09:16:27
,,,,,,,,98.0,51.0,38.0,,,,09:16:27
,,,,,,,,98.0,51.0,38.0,,,,09:16:28
,,,,,,,,98.0,51.0,38.0,,,,09:16:28
,,,,,,,,98.0,51.0,34.0,,,,09:16:29
,,,,,,,,98.0,51.0,34.0,,,,09:16:29
,,,,,,,,98.0,51.0,34.0,,,,09:16:30
,,,,,,,,98.0,51.0,34.0,,,,09:16:30
,,,,,,,,98.0,51.0,36.0,,,,09:16:31
,,,,,,,,98.0,51.0,36.0,,,,09:16:31
