Sample,ETCO2,ETO2,ScalcO2,RR,dev55_SpO2,dev55_HR,dev55_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,,,,98.0,68.0,14.0,15:24:43
,,,,,,,,98.0,68.0,14.0,15:24:44
,,,,,,,,98.0,68.0,14.0,15:24:44
,,,,,,,,98.0,68.0,14.0,15:24:45
,,,,,,,,98.0,68.0,14.0,15:24:45
,,,,,,,,98.0,68.0,14.0,15:24:46
,,,,,,,,98.0,68.0,14.0,15:24:46
,,,,,,,,98.0,68.0,14.0,15:24:47
,,,,,,,,98.0,68.0,14.0,15:24:47
,,,,,,,,98.0,68.0,14.0,15:24:48
,,,,,,,,98.0,68.0,14.0,15:24:48
,,,,,,,,98.0,68.0,14.0,15:24:49
,,,,,,,,98.0,68.0,14.0,15:24:49
,,,,,,,,98.0,68.0,14.0,15:24:50
,,,,,,,,98.0,68.0,14.0,15:24:50
,,,,,,,,98.0,68.0,14.0,15:24:51
,,,,,,,,98.0,68.0,14.0,15:24:51
,,,,,,,,98.0,68.0,14.0,15:24:52
,,,,,,,,98.0,68.0,14.0,15:24:52
,,,,,,,,98.0,68.0,14.0,15:24:53
,,,,,,,,98.0,68.0,14.0,15:24:53
,,,,,,,,98.0,68.0,14.0,15:24:54
,,,,,,,,98.0,68.0,14.0,15:24:54
,,,,,,,,98.0,68.0,14.0,15:24:55
,,,,,,,,98.0,68.0,14.0,15:24:55
,,,,,,,,98.0,68.0,14.0,15:24:56
,,,,,,,,98.0,68.0,14.0,15:24:56
,,,,,,,,98.0,68.0,14.0,15:24:57
,,,,,,,,98.0,68.0,14.0,15:24:57
,,,,,,,,98.0,68.0,14.0,15:24:58
,,,,,,,,98.0,68.0,14.0,15:24:58
,,,,,,,,98.0,68.0,14.0,15:24:59
,,,,,,,,98.0,68.0,14.0,15:24:59
,,,,,,,,98.0,68.0,14.0,15:25:00
,,,,,,,,98.0,68.0,14.0,15:25:00
,,,,,,,,98.0,68.0,14.0,15:25:01
,,,,,,,,98.0,68.0,14.0,15:25:01
,,,,,,,,98.0,68.0,14.0,15:25:02
,,,,,,,,98.0,68.0,14.0,15:25:02
,,,,,,,,98.0,68.0,14.0,15:25:03
,,,,,,,,98.0,68.0,14.0,15:25:03
,,,,,,,,98.0,68.0,14.0,15:25:04
,,,,,,,,98.0,68.0,14.0,15:25:04
,,,,,,,,98.0,68.0,14.0,15:25:05
,,,,,,,,98.0,68.0,14.0,15:25:05
,,,,,,,,98.0,68.0,14.0,15:25:06
,,,,,,,,98.0,68.0,14.0,15:25:06
,,,,,,,,98.0,68.0,14.0,15:25:07
,,,,,,,,98.0,68.0,14.0,15:25:07
,,,,,,,,98.0,68.0,14.0,15:25:08
,,,,,,,,98.0,68.0,14.0,15:25:08
,,,,,,,,98.0,68.0,14.0,15:25:09
,,,,,,,,98.0,68.0,14.0,15:25:09
,,,,,,,,98.0,68.0,14.0,15:25:10
,,,,,,,,98.0,68.0,14.0,15:25:10
,,,,,,,,98.0,68.0,14.0,15:25:11
,,,,,,,,98.0,68.0,14.0,15:25:11
,,,,,,,,98.0,68.0,14.0,15:25:12
,,,,,,,,98.0,68.0,14.0,15:25:12
,,,,,,,,98.0,68.0,14.0,15:25:13
,,,,,,,,98.0,68.0,14.0,15:25:13
,,,,,,,,98.0,68.0,14.0,15:25:14
,,,,,,,,98.0,68.0,14.0,15:25:14
,,,,,,,,98.0,68.0,14.0,15:25:15
,,,,,,,,98.0,68.0,14.0,15:25:15
,,,,,,,,98.0,68.0,14.0,15:25:16
,,,,,,,,98.0,68.0,14.0,15:25:16
,,,,,,,,98.0,68.0,14.0,15:25:17
,,,,,,,,98.0,68.0,14.0,15:25:17
,,,,,,,,98.0,68.0,14.0,15:25:18
,,,,,,,,98.0,68.0,14.0,15:25:18
,,,,,,,,98.0,68.0,14.0,15:25:19
,,,,,,,,98.0,68.0,14.0,15:25:19
,,,,,,,,98.0,68.0,14.0,15:25:20
,,,,,,,,98.0,68.0,14.0,15:25:20
,,,,,,,,98.0,68.0,14.0,15:25:21
,,,,,,,,98.0,68.0,14.0,15:25:21
,,,,,,,,98.0,68.0,14.0,15:25:22
,,,,,,,,98.0,68.0,14.0,15:25:22
,,,,,,,,98.0,68.0,14.0,15:25:23
,,,,,,,,98.0,68.0,14.0,15:25:23
,,,,,,,,98.0,68.0,14.0,15:25:24
,,,,,,,,98.0,68.0,14.0,15:25:24
,,,,,,,,98.0,68.0,14.0,15:25:25
,,,,,,,,98.0,68.0,14.0,15:25:25
,,,,,,,,98.0,68.0,14.0,15:25:26
,,,,,,,,98.0,68.0,14.0,15:25:26
,,,,,,,,98.0,68.0,14.0,15:25:27
,,,,,,,,98.0,68.0,14.0,15:25:27
,,,,,,,,98.0,68.0,14.0,15:25:28
,,,,,,,,98.0,68.0,14.0,15:25:28
,,,,,,,,98.0,68.0,14.0,15:25:29
,,,,,,,,98.0,68.0,14.0,15:25:29
,,,,,,,,98.0,68.0,14.0,15:25:30
,,,,,,,,98.0,68.0,14.0,15:25:30
,,,,,,,,98.0,68.0,14.0,15:25:31
,,,,,,,,98.0,68.0,14.0,15:25:31
,,,,,,,,98.0,68.0,14.0,15:25:32
,,,,,,,,98.0,68.0,14.0,15:25:32
,,,,,,,,98.0,68.0,14.0,15:25:33
,,,,,,,,98.0,68.0,14.0,15:25:33
,,,,,,,,98.0,68.0,14.0,15:25:34
,,,,,,,,98.0,68.0,14.0,15:25:34
,,,,,,,,98.0,68.0,14.0,15:25:35
,,,,,,,,98.0,68.0,14.0,15:25:35
,,,,,,,,98.0,68.0,14.0,15:25:36
,,,,,,,,98.0,68.0,14.0,15:25:36
,,,,,,,,98.0,68.0,14.0,15:25:37
,,,,,,,,98.0,68.0,14.0,15:25:37
,,,,,,,,98.0,68.0,14.0,15:25:38
,,,,,,,,98.0,68.0,14.0,15:25:38
,,,,,,,,98.0,68.0,14.0,15:25:39
,,,,,,,,98.0,68.0,14.0,15:25:39
,,,,,,,,98.0,68.0,14.0,15:25:40
,,,,,,,,98.0,68.0,14.0,15:25:40
,,,,,,,,98.0,68.0,14.0,15:25:41
,,,,,,,,98.0,68.0,14.0,15:25:41
,,,,,,,,98.0,68.0,14.0,15:25:42
,,,,,,,,98.0,68.0,14.0,15:25:42
,,,,,,,,98.0,68.0,14.0,15:25:43
,,,,,,,,98.0,68.0,14.0,15:25:43
,,,,,,,,98.0,68.0,14.0,15:25:44
,,,,,,,,98.0,68.0,14.0,15:25:44
,,,,,,,,98.0,68.0,14.0,15:25:45
,,,,,,,,98.0,68.0,14.0,15:25:45
,,,,,,,,98.0,68.0,14.0,15:25:46
,,,,,,,,98.0,68.0,14.0,15:25:46
