Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,79.0,88.0,0.8,100.0,59.0,7.0,14:35:01
,,,,,100.0,57.0,1.4,100.0,58.0,5.0,14:35:01
,,,,,100.0,54.0,1.4,100.0,60.0,6.0,14:35:02
,,,,,100.0,61.0,1.4,100.0,60.0,6.0,14:35:02
,,,,,100.0,62.0,1.4,100.0,60.0,6.0,14:35:03
,,,,,100.0,62.0,1.4,100.0,60.0,6.0,14:35:03
,,,,,100.0,55.0,1.4,97.0,60.0,6.0,14:35:04
,,,,,100.0,55.0,1.4,96.0,60.0,5.0,14:35:04
,,,,,100.0,55.0,1.4,96.0,60.0,5.0,14:35:05
,,,,,100.0,60.0,1.4,96.0,60.0,5.0,14:35:05
,,,,,100.0,60.0,1.4,96.0,60.0,5.0,14:35:06
,,,,,100.0,60.0,1.4,96.0,60.0,5.0,14:35:06
,,,,,100.0,56.0,1.4,96.0,60.0,5.0,14:35:07
,,,,,100.0,56.0,1.4,96.0,60.0,5.0,14:35:07
,,,,,100.0,59.0,1.4,96.0,60.0,5.0,14:35:08
,,,,,100.0,59.0,1.4,96.0,60.0,5.0,14:35:08
,,,,,100.0,58.0,1.4,96.0,60.0,5.0,14:35:09
,,,,,100.0,58.0,1.4,98.0,60.0,4.0,14:35:09
,,,,,100.0,56.0,1.4,98.0,60.0,4.0,14:35:10
,,,,,100.0,56.0,1.4,98.0,60.0,4.0,14:35:10
,,,,,100.0,56.0,1.4,98.0,60.0,4.0,14:35:11
,,,,,100.0,56.0,1.4,98.0,60.0,5.0,14:35:11
,,,,,100.0,56.0,1.4,98.0,60.0,5.0,14:35:12
,,,,,100.0,56.0,1.4,98.0,60.0,5.0,14:35:12
,,,,,100.0,58.0,1.4,98.0,60.0,5.0,14:35:13
,,,,,100.0,58.0,1.4,99.0,59.0,13.0,14:35:13
,,,,,100.0,58.0,1.4,99.0,59.0,13.0,14:35:14
,,,,,100.0,58.0,1.4,99.0,59.0,13.0,14:35:14
,,,,,100.0,58.0,1.4,99.0,59.0,13.0,14:35:15
,,,,,100.0,58.0,1.4,99.0,59.0,5.0,14:35:15
,,,,,100.0,59.0,1.4,99.0,59.0,5.0,14:35:16
,,,,,100.0,59.0,1.4,99.0,59.0,5.0,14:35:16
,,,,,100.0,61.0,1.4,99.0,59.0,5.0,14:35:17
,,,,,100.0,61.0,1.4,99.0,59.0,5.0,14:35:17
,,,,,100.0,61.0,1.4,99.0,59.0,5.0,14:35:18
,,,,,100.0,61.0,1.4,99.0,59.0,5.0,14:35:18
,,,,,100.0,61.0,1.4,99.0,59.0,5.0,14:35:19
,,,,,100.0,61.0,1.4,98.0,58.0,6.0,14:35:19
,,,,,100.0,61.0,1.4,98.0,58.0,6.0,14:35:20
,,,,,100.0,61.0,1.4,98.0,58.0,6.0,14:35:20
,,,,,100.0,63.0,1.4,98.0,58.0,6.0,14:35:21
,,,,,100.0,63.0,1.4,97.0,56.0,6.0,14:35:21
