Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,,,,100.0,76.0,51.0,,,,09:19:32
,,,,,,,,100.0,76.0,51.0,,,,09:19:32
,,,,,,,,100.0,76.0,51.0,,,,09:19:33
,,,,,,,,100.0,76.0,51.0,,,,09:19:34
,,,,,,,,100.0,76.0,51.0,,,,09:19:34
,,,,,,,,100.0,76.0,51.0,,,,09:19:34
,,,,,,,,100.0,76.0,51.0,,,,09:19:35
,,,,,,,,100.0,76.0,51.0,,,,09:19:36
,,,,,,,,99.0,76.0,59.0,,,,09:19:36
,,,,,,,,99.0,76.0,59.0,,,,09:19:36
,,,,,,,,99.0,76.0,59.0,,,,09:19:37
,,,,,,,,99.0,76.0,59.0,,,,09:19:38
,,,,,,,,99.0,76.0,59.0,,,,09:19:38
,,,,,,,,99.0,76.0,59.0,,,,09:19:38
,,,,,,,,99.0,76.0,59.0,,,,09:19:39
,,,,,,,,99.0,76.0,59.0,,,,09:19:40
,,,,,,,,99.0,75.0,64.0,,,,09:19:40
,,,,,,,,99.0,75.0,64.0,,,,09:19:40
,,,,,,,,99.0,75.0,64.0,,,,09:19:41
,,,,,,,,99.0,75.0,64.0,,,,09:19:42
,,,,,,,,99.0,75.0,64.0,,,,09:19:42
,,,,,,,,99.0,75.0,64.0,,,,09:19:42
,,,,,,,,99.0,75.0,64.0,,,,09:19:43
,,,,,,,,99.0,75.0,64.0,,,,09:19:44
,,,,,,,,99.0,78.0,59.0,,,,09:19:44
,,,,,,,,99.0,78.0,59.0,,,,09:19:44
,,,,,,,,99.0,78.0,59.0,,,,09:19:45
,,,,,,,,99.0,78.0,59.0,,,,09:19:46
,,,,,,,,99.0,78.0,133.0,,,,09:19:46
,,,,,,,,99.0,78.0,133.0,,,,09:19:46
,,,,,,,,99.0,78.0,133.0,,,,09:19:47
,,,,,,,,99.0,78.0,133.0,,,,09:19:48
,,,,,,,,99.0,78.0,130.0,,,,09:19:48
,,,,,,,,99.0,78.0,130.0,,,,09:19:48
,,,,,,,,99.0,78.0,130.0,,,,09:19:49
,,,,,,,,99.0,78.0,130.0,,,,09:19:50
,,,,,,,,98.0,79.0,143.0,,,,09:19:50
,,,,,,,,98.0,79.0,143.0,,,,09:19:50
,,,,,,,,98.0,79.0,143.0,,,,09:19:51
,,,,,99.0,79.0,6.9,98.0,80.0,171.0,,,,09:19:52
,,,,,99.0,79.0,6.9,98.0,80.0,171.0,,,,09:19:52
,,,,,99.0,79.0,7.1,98.0,80.0,171.0,,,,09:19:53
,,,,,99.0,79.0,7.1,98.0,80.0,171.0,,,,09:19:53
,,,,,99.0,80.0,7.3,98.0,81.0,185.0,,,,09:19:54
,,,,,99.0,80.0,7.3,98.0,81.0,185.0,,,,09:19:54
,,,,,99.0,80.0,7.3,98.0,81.0,185.0,,,,09:19:55
,,,,,99.0,80.0,7.3,98.0,81.0,185.0,,,,09:19:55
,,,,,99.0,80.0,7.3,98.0,82.0,62.0,,,,09:19:56
,,,,,99.0,80.0,7.3,98.0,82.0,62.0,,,,09:19:56
,,,,,98.0,82.0,7.4,98.0,82.0,62.0,,,,09:19:57
,,,,,98.0,82.0,7.4,98.0,82.0,62.0,,,,09:19:57
,,,,,98.0,84.0,7.5,98.0,83.0,60.0,,,,09:19:58
,,,,,98.0,84.0,7.5,98.0,83.0,60.0,,,,09:19:58
,,,,,98.0,86.0,7.5,98.0,83.0,60.0,,,,09:19:59
,,,,,98.0,86.0,7.5,98.0,83.0,60.0,,,,09:19:59
