Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,100.0,,,,,,,,,,13:35:01
,,,,97.5,,,,,,,,,,13:35:02
,,,,102.5,,,,,,,,,,13:35:02
,,,,102.5,,,,,,,,,,13:35:03
,,,,90.0,,,,,,,,,,13:35:03
,26.509619,,,85.0,,,,,,,,,,13:35:04
,26.509619,,,50.0,,,,,,,,,,13:35:04
,25.059738,144.04445,99.417578,100.0,,,,,,,,,,13:35:05
,24.131042,144.284867,99.434943,100.0,,,,,,,,,,13:35:05
,25.059738,143.923859,99.416149,50.0,,,,,,,,,,13:35:06
,25.059738,143.923859,99.416149,47.5,,,,,,,,,,13:35:06
,24.338512,144.12972,99.429892,47.5,,,,,,,,,,13:35:07
,24.338512,144.12972,99.429892,97.5,,,,,,,,,,13:35:07
,24.338512,144.12972,99.429892,47.5,,,,,,,,,,13:35:08
,26.080744,144.12972,99.402765,47.5,,,,,,,,,,13:35:08
,26.080744,143.935436,99.400396,47.5,,,,,,,,,,13:35:09
,24.29677,143.940407,99.428359,45.0,,,,,,,,,,13:35:09
,24.29677,143.940407,99.428359,45.0,,,,,,,,,,13:35:10
,24.133894,144.223443,99.434195,45.0,,,,,,,,,,13:35:10
,24.133894,144.223443,99.434195,45.0,,,,,,,,,,13:35:11
,24.133894,144.219394,99.434149,45.0,,,,,,,,,,13:35:11
,27.555967,144.219394,99.381399,45.0,,,,,,,,,,13:35:12
,25.65225,143.65018,99.40358,50.0,,,,,,,,,,13:35:12
,26.090769,143.65018,99.396739,47.5,,,,,,,,,,13:35:13
,26.090769,143.65018,99.396739,47.5,,,,,,,,,,13:35:13
,26.090769,143.692869,99.397265,47.5,,,,,,,,,,13:35:14
,25.662304,143.850709,99.405858,47.5,,,,,,,,,,13:35:14
,25.453016,143.629403,99.40645,52.5,,,,,,,,,,13:35:15
,25.453016,143.629403,99.40645,52.5,,,,,,,,,,13:35:15
,25.849899,143.710441,99.401229,57.5,,,,,,,,,,13:35:16
,25.453016,143.629403,99.40645,52.5,,,,,,,,,,13:35:16
,29.230829,143.586375,99.347963,50.0,,,,,,,,,,13:35:17
,29.230829,143.232538,99.34319,62.5,,,,,,,,,,13:35:17
,29.230829,143.232538,99.34319,47.5,,,,,,,,,,13:35:18
,25.875711,143.25701,99.395247,47.5,,,,,,,,,,13:35:18
,25.875711,143.277292,99.395498,60.0,,,,,,,,,,13:35:19
,24.906771,143.654554,99.415353,47.5,,,,,,,,,,13:35:19
,24.906771,143.654554,99.415353,57.5,,,,,,,,,,13:35:20
,24.220831,143.770148,99.427586,57.5,,,,,,,,,,13:35:20
,24.220831,143.770148,99.427586,57.5,,,,,,,,,,13:35:21
,23.963137,143.851181,99.432626,55.0,,,,,,,,,,13:35:21
,23.963137,143.851181,99.432626,55.0,,,,,,,,,,13:35:22
,23.963137,143.84033,99.432501,55.0,,,,,,,,,,13:35:22
,23.963137,143.84033,99.432501,55.0,,,,,,,,,,13:35:23
,24.060072,143.84033,99.430957,45.0,,,,,,,,,,13:35:23
,24.060072,143.864562,99.431237,45.0,,,,,,,,,,13:35:24
,24.060072,143.864562,99.431237,45.0,,,,,,,,,,13:35:25
,24.060072,143.864562,99.431237,42.5,,,,,,,,,,13:35:25
,30.93898,143.864562,99.326462,57.5,,,,,,,,,,13:35:26
,30.93898,143.864562,99.326462,27.5,,,,,,,,,,13:35:26
,30.93898,143.14677,99.316393,40.0,,,,,,4.0,,,,13:35:27
,26.54487,143.14677,99.383367,57.5,,,,,,4.0,,,,13:35:27
,26.54487,143.166302,99.383614,40.0,,,,,,4.0,,,,13:35:28
,24.740042,143.578852,99.417092,40.0,,,,,,4.0,,,,13:35:28
,24.740042,143.578852,99.417092,30.0,,,,,,4.0,,,,13:35:29
,24.740042,143.578852,99.417092,70.0,,,,,,4.0,,,,13:35:29
,26.798428,143.757437,99.387125,70.0,,,,,,4.0,,,,13:35:30
,26.798428,143.757437,99.387125,40.0,,,,,,4.0,,,,13:35:30
,26.798428,143.430141,99.383004,40.0,,,,,,,,,,13:35:31
,26.798428,143.430141,99.383004,40.0,,,,,,,,,,13:35:31
,26.798428,143.430141,99.383004,40.0,,,,,,,,,,13:35:32
,26.798428,143.430141,99.383004,32.5,,,,,,,,,,13:35:32
,26.798428,143.430141,99.383004,115.0,,,,,,,,,,13:35:33
,26.136391,143.780918,99.39764,110.0,,,,,,,,,,13:35:33
,26.136391,143.780918,99.39764,32.5,,,,,,,,,,13:35:34
,26.136391,143.543848,99.394715,90.0,,,,,,,,,,13:35:34
,24.265947,143.543848,99.424225,90.0,,,,,,,,,,13:35:35
,24.687576,143.93923,99.422176,100.0,,,,,,,,,,13:35:35
,24.687576,143.93923,99.422176,90.0,,,,,,,,,,13:35:36
,27.609568,143.93923,99.377033,95.0,,,,,,,,,,13:35:36
,26.136391,143.93923,99.399582,20.0,,,,,,,,,,13:35:37
,28.621681,143.31338,99.35351,20.0,,,,,,,,,,13:35:37
,28.621681,143.31338,99.35351,20.0,,,,,,,,,,13:35:38
,28.621681,143.31338,99.35351,17.5,,,,,,,,,,13:35:38
,28.621681,143.31338,99.35351,17.5,,,,,,,,,,13:35:39
,28.621681,143.31338,99.35351,17.5,,,,,,,,,,13:35:39
,25.280434,143.31338,99.405337,17.5,,,,,,,,,,13:35:40
,25.280434,143.803329,99.411252,17.5,,,,,,,,,,13:35:40
,25.280434,143.803329,99.411252,17.5,,,,,,,,,,13:35:41
,25.280434,143.803329,99.411252,17.5,,,,,,,,,,13:35:41
,25.223764,144.225442,99.417165,25.0,,,,,,,,,,13:35:42
