Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,100.0,72.0,2.3,,,,,,,10:12:49
,,,,52.0,,,,,,,,,,10:12:51
,,,,52.0,,,,,,,,,,10:12:51
,15.450315,,,17.0,,,,,,,,,,10:12:52
,15.737527,,,15.0,,,,,,,,,,10:12:53
,15.737527,464.032733,99.985725,15.0,,,,,,,,,,10:12:53
,16.123413,464.032733,99.985582,16.0,,,,,,,,,,10:12:54
,16.306801,469.739592,99.985998,15.0,,,,,,,,,,10:12:54
,15.737527,464.032733,99.985725,15.0,,,,,,,,,,10:12:55
,16.52775,464.032733,99.985434,13.0,,,,,,,,,,10:12:55
,,464.032733,100.0,,,,,,,,,,,10:12:56
,,464.032733,100.0,,,,,,,,,,,10:12:56
,,,,58.0,,,,,,,,,,10:13:30
,,,,57.0,,,,,,,,,,10:18:15
,,,,59.0,,,,,,,,,,10:18:38
,,,,58.0,,,,,,,,,,10:20:37
,,,,,,74.0,,,,,,,,10:23:37
,,,,,,74.0,,,,,,,,10:23:37
,,,,,,74.0,0.9,,,,,,,10:23:38
,,,,,,74.0,0.9,,,,,,,10:23:38
,,,,,98.0,72.0,1.3,,,,,,,10:23:39
,,,,,98.0,72.0,1.3,,,,,,,10:23:39
,,,,,98.0,72.0,1.5,,,,,,,10:23:40
,,,,,98.0,72.0,1.5,,,,,,,10:23:40
,,,,,98.0,72.0,1.7,,,,,,,10:23:41
,,,,,98.0,72.0,1.7,,,,,,,10:23:41
,,,,,98.0,72.0,1.8,,,,,,,10:23:42
,,,,,98.0,72.0,1.8,,,,,,,10:23:42
,,,,,98.0,72.0,1.8,,,,,,,10:23:43
,,,,,98.0,72.0,1.8,,,,,,,10:23:43
,,,,,98.0,72.0,2.0,,,,,,,10:23:44
,,,,,98.0,72.0,2.0,,,,,,,10:23:44
,,,,,98.0,71.0,2.4,,,,,,,10:23:45
,,,,,98.0,71.0,2.4,,,,,,,10:23:45
,,,,,98.0,70.0,2.4,,,,,,,10:23:46
,,,,,98.0,70.0,2.4,,,,,,,10:23:46
,,,,,98.0,70.0,2.5,,,,,,,10:23:47
,,,,,98.0,70.0,2.5,,,,,,,10:23:47
,,,,,98.0,70.0,2.5,,,,,,,10:23:48
,,,,,98.0,70.0,2.5,,,,,,,10:23:48
,,,,,98.0,71.0,2.5,,,,,,,10:23:49
,,,,,98.0,71.0,2.5,,,,,,,10:23:49
,,,,,98.0,72.0,2.5,,,,,,,10:23:50
,,,,,98.0,72.0,2.5,,,,,,,10:23:50
,,,,,98.0,72.0,2.6,,,,,,,10:23:51
,,,,,98.0,72.0,2.6,,,,,,,10:23:51
,,,,,98.0,73.0,2.6,,,,,,,10:23:52
,,,,,98.0,73.0,2.6,,,,,,,10:23:52
,,,,,98.0,73.0,2.6,,,,,,,10:23:53
,,,,,98.0,73.0,2.6,,,1.0,,,,10:23:53
,,,,,98.0,73.0,2.7,,,1.0,,,,10:23:54
,,,,,98.0,73.0,2.7,,,1.0,,,,10:23:54
,,,,,98.0,74.0,2.7,,,1.0,,,,10:23:55
,,,,,98.0,74.0,2.7,,,,,,,10:23:55
,,,,,98.0,74.0,2.7,,,,,,,10:23:56
,,,,,98.0,74.0,2.7,,,,,,,10:23:56
,,,,,98.0,74.0,2.7,,,,,,,10:23:57
,,,,,98.0,74.0,2.7,,,220.0,,,,10:23:57
,,,,,98.0,74.0,2.7,,,220.0,,,,10:23:58
,,,,,98.0,74.0,2.7,,,220.0,,,,10:23:58
,,,,,98.0,75.0,2.7,,,220.0,,,,10:23:59
,,,,,98.0,75.0,2.7,,,46.0,,,,10:23:59
,,,,,98.0,75.0,2.7,,,46.0,,,,10:24:00
,,,,,98.0,75.0,2.7,,,46.0,,,,10:24:00
,,,,,98.0,75.0,2.7,,,46.0,,,,10:24:01
,,,,,98.0,75.0,2.7,98.0,74.0,69.0,,,,10:24:01
,,,,,98.0,77.0,2.7,98.0,74.0,69.0,,,,10:24:02
,,,,,98.0,77.0,2.7,98.0,74.0,69.0,,,,10:24:02
,,,,,98.0,78.0,2.6,98.0,74.0,69.0,,,,10:24:03
,,,,,98.0,78.0,2.6,97.0,74.0,41.0,,,,10:24:03
,,,,,97.0,77.0,2.6,97.0,74.0,41.0,,,,10:24:04
,,,,,97.0,77.0,2.6,97.0,74.0,41.0,,,,10:24:04
,,,,,97.0,77.0,2.6,97.0,74.0,41.0,,,,10:24:05
,,,,,97.0,77.0,2.6,97.0,73.0,19.0,,,,10:24:05
,,,,,97.0,77.0,2.6,97.0,73.0,19.0,,,,10:24:06
,,,,,97.0,77.0,2.6,97.0,73.0,19.0,,,,10:24:06
,,,,,97.0,77.0,2.6,97.0,73.0,19.0,,,,10:24:07
,,,,,97.0,77.0,2.6,97.0,74.0,22.0,,,,10:24:07
,,,,,97.0,76.0,2.6,97.0,74.0,22.0,,,,10:24:08
,,,,,97.0,76.0,2.6,97.0,74.0,22.0,,,,10:24:08
,,,,,97.0,75.0,2.6,97.0,74.0,22.0,,,,10:24:09
,,,,,97.0,75.0,2.6,97.0,74.0,21.0,,,,10:24:09
,,,,,97.0,75.0,2.5,97.0,74.0,21.0,,,,10:24:10
,,,,,97.0,75.0,2.5,97.0,74.0,21.0,,,,10:24:10
,,,,,97.0,75.0,2.5,97.0,74.0,21.0,,,,10:24:11
,,,,,97.0,75.0,2.5,96.0,75.0,21.0,,,,10:24:11
,,,,,97.0,75.0,2.5,96.0,75.0,21.0,,,,10:24:12
,,,,,97.0,75.0,2.5,96.0,75.0,21.0,,,,10:24:12
,,,,,97.0,75.0,2.5,96.0,75.0,21.0,,,,10:24:13
,,,,,97.0,75.0,2.5,97.0,77.0,21.0,,,,10:24:13
,,,,,97.0,75.0,2.5,97.0,77.0,21.0,,,,10:24:14
,,,,,97.0,75.0,2.5,97.0,77.0,21.0,,,,10:24:14
,,,,,97.0,76.0,2.5,97.0,77.0,21.0,,,,10:24:15
,,,,,97.0,76.0,2.5,97.0,78.0,21.0,,,,10:24:15
,,,,,97.0,77.0,2.5,97.0,78.0,21.0,,,,10:24:16
,,,,,97.0,77.0,2.5,97.0,78.0,21.0,,,,10:24:16
,,,,,97.0,77.0,2.5,97.0,78.0,21.0,,,,10:24:17
,,,,,97.0,77.0,2.5,97.0,80.0,16.0,,,,10:24:17
,,,,,97.0,79.0,2.5,97.0,80.0,16.0,,,,10:24:18
,,,,,97.0,79.0,2.5,97.0,80.0,16.0,,,,10:24:18
,,,,,98.0,80.0,2.6,97.0,80.0,16.0,,,,10:24:19
,,,,,98.0,80.0,2.6,97.0,81.0,17.0,,,,10:24:19
,,,,,98.0,81.0,2.6,97.0,81.0,17.0,,,,10:24:20
,,,,,98.0,81.0,2.6,97.0,81.0,17.0,,,,10:24:20
,,,,,98.0,83.0,2.5,97.0,81.0,17.0,,,,10:24:21
,,,,,98.0,83.0,2.5,97.0,81.0,17.0,,,,10:24:21
,,,,,98.0,83.0,2.5,97.0,81.0,17.0,,,,10:24:22
,,,,,98.0,83.0,2.5,97.0,81.0,17.0,,,,10:24:22
,,,,,98.0,84.0,2.5,97.0,81.0,17.0,,,,10:24:23
,,,,,98.0,84.0,2.5,97.0,81.0,16.0,,,,10:24:23
,,,,,98.0,84.0,2.5,97.0,81.0,16.0,,,,10:24:24
,,,,,98.0,84.0,2.5,97.0,81.0,16.0,,,,10:24:24
,,,,,98.0,82.0,2.5,97.0,81.0,16.0,,,,10:24:25
,,,,,98.0,82.0,2.5,97.0,81.0,15.0,,,,10:24:25
,,,,,97.0,82.0,2.5,97.0,81.0,15.0,,,,10:24:26
,,,,,97.0,82.0,2.5,97.0,81.0,15.0,,,,10:24:26
,,,,,97.0,82.0,2.4,97.0,81.0,15.0,,,,10:24:27
,,,,,97.0,82.0,2.4,97.0,78.0,16.0,,,,10:24:27
,,,,,97.0,81.0,2.4,97.0,78.0,16.0,,,,10:24:28
,,,,,97.0,81.0,2.4,97.0,78.0,16.0,,,,10:24:28
,,,,,97.0,79.0,2.4,97.0,78.0,16.0,,,,10:24:29
,,,,,97.0,79.0,2.4,97.0,76.0,16.0,,,,10:24:29
,,,,,98.0,78.0,2.4,97.0,76.0,16.0,,,,10:24:30
,,,,,98.0,78.0,2.4,97.0,76.0,16.0,,,,10:24:30
,,,,,98.0,76.0,2.4,97.0,76.0,16.0,,,,10:24:31
,,,,,98.0,76.0,2.4,98.0,74.0,18.0,,,,10:24:31
,,,,,98.0,75.0,2.3,98.0,74.0,18.0,,,,10:24:32
,,,,,98.0,75.0,2.3,98.0,74.0,18.0,,,,10:24:32
,,,,,98.0,75.0,2.3,98.0,74.0,18.0,,,,10:24:33
,,,,,98.0,75.0,2.3,98.0,74.0,18.0,,,,10:24:33
,,,,,98.0,73.0,2.3,98.0,74.0,18.0,,,,10:24:34
,,,,,98.0,73.0,2.3,98.0,74.0,18.0,,,,10:24:34
,,,,,98.0,73.0,2.3,98.0,74.0,18.0,,,,10:24:35
,,,,,98.0,73.0,2.3,98.0,73.0,19.0,,,,10:24:35
,,,,,98.0,71.0,2.3,98.0,73.0,19.0,,,,10:24:36
,,,,,98.0,71.0,2.3,98.0,73.0,19.0,,,,10:24:36
,,,,,98.0,72.0,2.3,98.0,73.0,19.0,,,,10:24:37
,,,,,98.0,72.0,2.3,98.0,74.0,18.0,,,,10:24:37
,,,,,98.0,72.0,2.3,98.0,74.0,18.0,,,,10:24:38
,,,,,98.0,72.0,2.3,98.0,74.0,18.0,,,,10:24:38
,,,,,98.0,72.0,2.3,98.0,74.0,18.0,,,,10:24:39
,,,,,98.0,72.0,2.3,98.0,74.0,18.0,,,,10:24:39
