Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,,,2.6,,,,,,,10:14:15
,,,,,,,2.6,,,,,,,10:14:15
,,,,,94.0,,0.5,,,,,,,10:14:16
,,,,,94.0,,0.5,,,,,,,10:14:16
,,,,,94.0,,0.5,,,,,,,10:14:17
,,,,,94.0,,0.5,,,,,,,10:14:17
,,,,,94.0,66.0,0.6,,,,,,,10:14:18
,,,,,94.0,66.0,0.6,,,,,,,10:14:18
,,,,,94.0,66.0,0.6,,,,,,,10:14:19
,,,,,94.0,66.0,0.6,,,,,,,10:14:19
,,,,,94.0,67.0,0.9,,,,,,,10:14:20
,,,,,94.0,67.0,0.9,,,,,,,10:14:20
,,,,,94.0,67.0,1.0,,,,,,,10:14:21
,,,,,94.0,67.0,1.0,,,,,,,10:14:21
,,,,,95.0,66.0,1.1,,,,,,,10:14:22
,,,,,95.0,66.0,1.1,,,,,,,10:14:22
,,,,,97.0,66.0,2.2,,,,,,,10:14:23
,,,,,97.0,66.0,2.2,,,,,,,10:14:23
,,,,,97.0,66.0,2.6,,,,,,,10:14:24
,,,,,97.0,66.0,2.6,,,,,,,10:14:24
,,,,,98.0,66.0,2.5,,,255.0,,,,10:14:25
,,,,,98.0,66.0,2.5,,,255.0,,,,10:14:25
,,,,,99.0,65.0,1.9,,,255.0,,,,10:14:26
,,,,,99.0,65.0,1.9,,,255.0,,,,10:14:26
,,,,,99.0,65.0,1.6,,,255.0,,,,10:14:27
,,,,,99.0,65.0,1.6,,,43.0,,,,10:14:27
,,,,,99.0,65.0,1.6,,,43.0,,,,10:14:28
,,,,,99.0,65.0,1.6,,,43.0,,,,10:14:28
,,,,,100.0,66.0,1.4,,,43.0,,,,10:14:29
,,,,,100.0,66.0,1.4,,,23.0,,,,10:14:29
,,,,,100.0,66.0,1.4,,,23.0,,,,10:14:30
,,,,,100.0,66.0,1.4,,,23.0,,,,10:14:30
,,,,,100.0,66.0,1.4,,,23.0,100.0,,92.0,10:14:31
,,,,,100.0,66.0,1.4,99.0,76.0,31.0,100.0,,92.0,10:14:31
,,,,,100.0,65.0,1.3,99.0,76.0,31.0,100.0,,88.0,10:14:32
,,,,,100.0,65.0,1.3,99.0,76.0,31.0,100.0,,88.0,10:14:32
,,,,,100.0,66.0,1.2,99.0,76.0,31.0,100.0,70.0,86.0,10:14:33
,,,,,100.0,66.0,1.2,99.0,76.0,9.0,100.0,70.0,86.0,10:14:33
,,,,,100.0,67.0,1.2,99.0,76.0,9.0,100.0,70.0,88.0,10:14:34
,,,,,100.0,67.0,1.2,99.0,76.0,9.0,100.0,70.0,88.0,10:14:34
,,,,,100.0,68.0,1.2,99.0,76.0,9.0,100.0,70.0,88.0,10:14:35
,,,,,100.0,68.0,1.2,99.0,74.0,9.0,100.0,70.0,88.0,10:14:35
,,,,,100.0,68.0,1.2,99.0,74.0,9.0,100.0,70.0,88.0,10:14:36
,,,,,100.0,68.0,1.2,99.0,74.0,9.0,100.0,70.0,88.0,10:14:36
,,,,,99.0,69.0,1.2,99.0,74.0,9.0,100.0,69.0,90.0,10:14:37
,,,,,99.0,69.0,1.2,99.0,74.0,9.0,100.0,69.0,90.0,10:14:37
,,,,,99.0,69.0,1.2,99.0,74.0,9.0,100.0,69.0,90.0,10:14:38
,,,,,99.0,69.0,1.2,99.0,74.0,9.0,100.0,69.0,90.0,10:14:38
,,,,,99.0,69.0,1.2,99.0,74.0,9.0,100.0,69.0,89.0,10:14:39
,,,,,99.0,69.0,1.2,100.0,67.0,9.0,100.0,69.0,89.0,10:14:39
,,,,,99.0,68.0,1.2,100.0,67.0,9.0,100.0,69.0,88.0,10:14:40
,,,,,99.0,68.0,1.2,100.0,67.0,9.0,100.0,69.0,88.0,10:14:40
,,,,,99.0,68.0,1.2,100.0,67.0,9.0,100.0,68.0,89.0,10:14:41
,,,,,99.0,68.0,1.2,100.0,67.0,8.0,100.0,68.0,89.0,10:14:41
,,,,,99.0,68.0,1.2,100.0,67.0,8.0,100.0,68.0,90.0,10:14:42
,,,,,99.0,68.0,1.2,100.0,67.0,8.0,100.0,68.0,90.0,10:14:42
,,,,,100.0,68.0,1.2,100.0,67.0,8.0,100.0,68.0,91.0,10:14:43
,,,,,100.0,68.0,1.2,100.0,67.0,11.0,100.0,68.0,91.0,10:14:43
,,,,,100.0,68.0,1.2,100.0,67.0,11.0,100.0,68.0,87.0,10:14:44
,,,,,100.0,68.0,1.2,100.0,67.0,11.0,100.0,68.0,87.0,10:14:44
,,,,,100.0,67.0,1.3,100.0,67.0,11.0,100.0,67.0,85.0,10:14:45
,,,,,100.0,67.0,1.3,100.0,65.0,11.0,100.0,67.0,85.0,10:14:45
,,,,,100.0,66.0,1.3,100.0,65.0,11.0,100.0,67.0,86.0,10:14:46
,,,,,100.0,66.0,1.3,100.0,65.0,11.0,100.0,67.0,86.0,10:14:46
,,,,,100.0,66.0,1.3,100.0,65.0,11.0,100.0,66.0,87.0,10:14:47
,,,,,100.0,66.0,1.3,100.0,65.0,11.0,100.0,66.0,87.0,10:14:47
,,,,,100.0,66.0,1.3,100.0,65.0,11.0,100.0,65.0,87.0,10:14:48
,,,,,100.0,66.0,1.3,100.0,65.0,11.0,100.0,65.0,87.0,10:14:48
,,,,,100.0,65.0,1.4,100.0,65.0,11.0,100.0,65.0,89.0,10:14:49
,,,,,100.0,65.0,1.4,100.0,66.0,10.0,100.0,65.0,89.0,10:14:49
,,,,,100.0,65.0,1.4,100.0,66.0,10.0,100.0,65.0,89.0,10:14:50
,,,,,100.0,65.0,1.4,100.0,66.0,10.0,100.0,65.0,89.0,10:14:50
,,,,,100.0,67.0,1.4,100.0,66.0,10.0,100.0,65.0,87.0,10:14:51
,,,,,100.0,67.0,1.4,100.0,71.0,10.0,100.0,65.0,87.0,10:14:51
,,,,,100.0,68.0,1.3,100.0,71.0,10.0,100.0,66.0,87.0,10:14:52
,,,,,100.0,68.0,1.3,100.0,71.0,10.0,100.0,66.0,87.0,10:14:52
,,,,,100.0,68.0,1.3,100.0,71.0,10.0,100.0,66.0,87.0,10:14:53
,,,,,100.0,68.0,1.3,100.0,71.0,10.0,100.0,66.0,87.0,10:14:53
,,,,,100.0,70.0,1.3,100.0,71.0,10.0,100.0,67.0,84.0,10:14:54
,,,,,100.0,70.0,1.3,100.0,71.0,10.0,100.0,67.0,84.0,10:14:54
,,,,,100.0,71.0,1.2,100.0,71.0,10.0,100.0,68.0,83.0,10:14:55
,,,,,100.0,71.0,1.2,100.0,72.0,10.0,100.0,68.0,83.0,10:14:55
,,,,,100.0,72.0,1.2,100.0,72.0,10.0,100.0,68.0,82.0,10:14:56
,,,,,100.0,72.0,1.2,100.0,72.0,10.0,100.0,68.0,82.0,10:14:56
,,,,,100.0,73.0,1.2,100.0,72.0,10.0,100.0,68.0,80.0,10:14:57
,,,,,100.0,73.0,1.2,100.0,72.0,10.0,100.0,68.0,80.0,10:14:57
,,,,,100.0,74.0,1.2,100.0,72.0,10.0,100.0,69.0,78.0,10:14:58
,,,,,100.0,74.0,1.2,100.0,72.0,10.0,100.0,69.0,78.0,10:14:58
,,,,,100.0,74.0,1.2,100.0,72.0,10.0,100.0,70.0,73.0,10:14:59
,,,,,100.0,74.0,1.2,100.0,74.0,8.0,100.0,70.0,73.0,10:14:59
,,,,,100.0,75.0,1.2,100.0,74.0,8.0,100.0,71.0,72.0,10:15:00
,,,,,100.0,75.0,1.2,100.0,74.0,8.0,100.0,71.0,72.0,10:15:00
,,,,,100.0,76.0,1.1,100.0,74.0,8.0,100.0,72.0,71.0,10:15:01
,,,,,100.0,76.0,1.1,100.0,73.0,9.0,100.0,72.0,71.0,10:15:01
,,,,,100.0,75.0,1.1,100.0,73.0,9.0,100.0,73.0,72.0,10:15:02
,,,,,100.0,75.0,1.1,100.0,73.0,9.0,100.0,73.0,72.0,10:15:02
,,,,,100.0,74.0,1.1,100.0,73.0,9.0,100.0,73.0,70.0,10:15:03
,,,,,100.0,74.0,1.1,100.0,72.0,11.0,100.0,73.0,70.0,10:15:03
,,,,,100.0,73.0,1.1,100.0,72.0,11.0,100.0,73.0,70.0,10:15:04
