Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,95.0,,,,,,09:20:41
,,,,,95.0,,,,,,09:20:42
,,,,,99.0,,,,,,09:21:03
,,,,,99.0,,,,,,09:21:04
,,,,,99.0,78.0,0.5,,,,09:21:04
,,,,,99.0,78.0,0.5,,,,09:21:05
,,,,,99.0,78.0,0.7,,,,09:21:05
,,,,,99.0,78.0,0.7,,,,09:21:06
,,,,,99.0,78.0,0.7,,,,09:21:06
,,,,,99.0,78.0,0.7,,,,09:21:07
,,,,,100.0,78.0,0.7,,,,09:21:07
,,,,,100.0,78.0,0.7,,,,09:21:08
,,,,,100.0,78.0,0.7,,,,09:21:08
,,,,,100.0,78.0,0.7,,,,09:21:09
,,,,,100.0,77.0,0.7,,,,09:21:09
,,,,,100.0,77.0,0.7,,,,09:21:10
,,,,,100.0,74.0,0.6,,,,09:21:10
,,,,,100.0,74.0,0.6,,,,09:21:11
,,,,,100.0,74.0,0.5,,,,09:21:11
,,,,,100.0,74.0,0.5,,,,09:21:12
,,,,,100.0,74.0,0.5,,,,09:21:12
,,,,,100.0,74.0,0.5,,,,09:21:13
,,,,,100.0,74.0,0.5,,,,09:21:13
,,,,,100.0,74.0,0.5,,,,09:21:14
,,,,,100.0,74.0,0.5,,,,09:21:14
,,,,,100.0,74.0,0.5,,,,09:21:15
,,,,,100.0,74.0,0.5,,,,09:21:15
,,,,,100.0,74.0,0.5,,,,09:21:16
,,,,,100.0,74.0,0.5,,,,09:21:16
,,,,,100.0,74.0,0.5,,,,09:21:17
,,,,,100.0,73.0,0.5,,,,09:21:17
,,,,,100.0,73.0,0.5,,,,09:21:18
,,,,,100.0,73.0,0.5,,,,09:21:18
,,,,,100.0,73.0,0.5,,,,09:21:19
,,,,,100.0,73.0,0.5,,,,09:21:19
,,,,,100.0,73.0,0.5,,,,09:21:20
,,,,,100.0,74.0,0.5,,,,09:21:20
,,,,,100.0,74.0,0.5,,,,09:21:21
,,,,,,,,96.0,62.0,42.0,09:29:10
,,,,,,,,96.0,62.0,42.0,09:29:11
,,,,,98.0,65.0,,96.0,62.0,42.0,09:29:11
,,,,,98.0,65.0,,96.0,62.0,42.0,09:29:12
,,,,,98.0,65.0,3.0,96.0,62.0,42.0,09:29:12
,,,,,98.0,65.0,3.0,96.0,62.0,42.0,09:29:13
,,,,,98.0,64.0,3.6,96.0,62.0,42.0,09:29:13
,,,,,98.0,64.0,3.6,96.0,62.0,42.0,09:29:14
,,,,,98.0,64.0,4.1,96.0,62.0,42.0,09:29:14
,,,,,98.0,64.0,4.1,96.0,62.0,42.0,09:29:15
,,,,,98.0,64.0,4.4,96.0,62.0,42.0,09:29:15
,,,,,98.0,64.0,4.4,96.0,62.0,42.0,09:29:16
