Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,200.0,,,98.0,69.0,54.0,14:59:57
,,,,,100.0,69.0,4.5,98.0,69.0,55.0,14:59:58
,,,,,100.0,70.0,4.4,98.0,68.0,52.0,14:59:58
,,,,,100.0,70.0,4.4,98.0,68.0,50.0,14:59:59
,,,,,100.0,70.0,4.3,98.0,68.0,48.0,14:59:59
,,,,,100.0,70.0,4.2,98.0,67.0,50.0,15:00:00
,,,,,100.0,68.0,4.2,98.0,67.0,47.0,15:00:00
,,,,,100.0,67.0,4.2,98.0,67.0,52.0,15:00:01
,,,,,100.0,67.0,4.2,97.0,65.0,55.0,15:00:01
,,,,,100.0,67.0,4.2,97.0,65.0,48.0,15:00:02
,,,,,100.0,67.0,4.2,97.0,66.0,43.0,15:00:02
,,,,,100.0,68.0,4.2,97.0,64.0,46.0,15:00:03
,,,,,100.0,68.0,4.2,97.0,63.0,47.0,15:00:03
,,,,,99.0,67.0,4.2,97.0,64.0,46.0,15:00:04
,,,,,99.0,67.0,4.2,97.0,64.0,46.0,15:00:04
,,,,,99.0,67.0,4.2,97.0,64.0,46.0,15:00:05
,,,,,99.0,67.0,4.2,97.0,64.0,46.0,15:00:05
,,,,,99.0,68.0,4.2,97.0,65.0,46.0,15:00:06
,,,,,99.0,67.0,4.2,97.0,64.0,33.0,15:00:06
,,,,,99.0,66.0,4.2,97.0,64.0,31.0,15:00:07
,,,,,99.0,66.0,4.2,97.0,64.0,35.0,15:00:07
,,,,,99.0,65.0,4.2,97.0,66.0,33.0,15:00:08
,,,,,99.0,65.0,4.2,97.0,66.0,36.0,15:00:08
,,,,,99.0,66.0,4.2,97.0,64.0,35.0,15:00:09
,,,,,99.0,66.0,4.2,97.0,67.0,35.0,15:00:09
,,,,,99.0,66.0,4.2,97.0,71.0,30.0,15:00:10
,,,,,99.0,65.0,4.2,97.0,70.0,33.0,15:00:10
,,,,,99.0,63.0,4.2,97.0,68.0,34.0,15:00:11
,,,,,99.0,63.0,4.3,97.0,68.0,34.0,15:00:11
,,,,,99.0,64.0,4.3,97.0,71.0,32.0,15:00:12
,,,,,99.0,65.0,4.3,97.0,72.0,34.0,15:00:12
,,,,,99.0,65.0,4.3,97.0,72.0,27.0,15:00:13
,,,,,99.0,65.0,4.3,97.0,71.0,27.0,15:00:13
,,,,,99.0,65.0,4.3,97.0,72.0,29.0,15:00:14
,,,,,99.0,64.0,4.3,97.0,73.0,26.0,15:00:14
,,,,,99.0,63.0,4.3,97.0,75.0,26.0,15:00:15
,,,,,99.0,64.0,4.3,97.0,75.0,26.0,15:00:15
,,,,,99.0,64.0,4.3,97.0,74.0,25.0,15:00:16
,,,,,99.0,65.0,4.3,97.0,72.0,26.0,15:00:16
,,,,,99.0,66.0,4.2,97.0,73.0,28.0,15:00:17
,,,,,99.0,66.0,4.2,97.0,73.0,29.0,15:00:17
,,,,,99.0,65.0,4.1,97.0,73.0,29.0,15:00:18
,,,,,99.0,65.0,4.0,97.0,73.0,29.0,15:00:18
,,,,,99.0,65.0,4.0,97.0,73.0,29.0,15:00:19
,,,,,99.0,65.0,4.0,97.0,73.0,29.0,15:00:20
,,,,,99.0,66.0,3.9,97.0,72.0,27.0,15:00:20
,,,,,99.0,68.0,3.8,97.0,71.0,23.0,15:00:20
,,,,,99.0,70.0,3.8,97.0,71.0,24.0,15:00:21
,,,,,99.0,71.0,3.7,97.0,69.0,24.0,15:00:21
,,,,,99.0,71.0,3.7,97.0,68.0,27.0,15:00:22
,,,,,99.0,71.0,3.6,97.0,68.0,27.0,15:00:22
,,,,,99.0,69.0,3.5,97.0,70.0,25.0,15:00:23
,,,,,99.0,70.0,3.5,97.0,70.0,25.0,15:00:23
,,,,,99.0,71.0,3.4,97.0,67.0,28.0,15:00:24
,,,,,99.0,72.0,3.3,96.0,67.0,29.0,15:00:24
,,,,,99.0,72.0,3.3,,,,15:00:25
,,,,,99.0,72.0,3.3,,,,15:00:25
,,,,,99.0,70.0,3.2,,,,15:00:26
,,,,,99.0,74.0,3.2,,,,15:00:26
,,,,,99.0,74.0,3.2,,,,15:00:27
,,,,,99.0,74.0,3.1,,,,15:00:27
,,,,,99.0,74.0,3.1,,,,15:00:28
,,,,,99.0,73.0,3.1,,,,15:00:28
,,,,,99.0,73.0,3.1,,,,15:00:29
,,,,,99.0,73.0,3.0,,,,15:00:29
,,,,,99.0,73.0,3.0,,,,15:00:30
,,,,,99.0,74.0,3.0,,,,15:00:30
,,,,,99.0,74.0,3.0,,,,15:00:31
,,,,,99.0,76.0,3.0,,,,15:00:31
,,,,,99.0,76.0,3.0,,,,15:00:32
,,,,,99.0,76.0,2.9,,,,15:00:32
,,,,,99.0,76.0,2.9,,,,15:00:33
,,,,,99.0,75.0,2.9,,,,15:00:33
,,,,,99.0,74.0,2.9,,,,15:00:34
,,,,,99.0,73.0,2.9,,,,15:00:34
,,,,,99.0,73.0,2.9,,,,15:00:35
,,,,,99.0,72.0,2.8,,,,15:00:35
,,,,,99.0,72.0,2.8,,,,15:00:36
,,,,,99.0,72.0,2.8,,,,15:00:36
,,,,,99.0,73.0,2.8,,,,15:00:37
,,,,,99.0,73.0,2.8,,,,15:00:37
,,,,,99.0,72.0,2.8,,,,15:00:38
,,,,,99.0,72.0,2.8,,,,15:00:38
,,,,,99.0,72.0,2.8,,,,15:00:39
,,,,,99.0,72.0,2.8,,,,15:00:39
,,,,,99.0,71.0,2.8,,,,15:00:40
,,,,,99.0,71.0,2.7,,,,15:00:40
,,,,,99.0,70.0,2.7,,,,15:00:41
,,,,,99.0,70.0,2.7,,,,15:00:41
,,,,,99.0,69.0,2.7,,,,15:00:42
,,,,,99.0,68.0,2.7,,,,15:00:42
