Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,99.0,75.0,,,,,,,,13:13:55
,,,,,99.0,75.0,,,,,,,,13:13:56
,,,,,99.0,75.0,5.1,,,,,,,13:13:56
,,,,,99.0,75.0,5.1,,,,,,,13:13:57
,,,,,99.0,75.0,7.2,,,,,,,13:13:57
,,,,,99.0,75.0,7.2,,,,,,,13:13:58
,,,,,99.0,75.0,7.7,,,,,,,13:13:58
,,,,,99.0,75.0,7.7,,,,,,,13:13:59
,,,,,99.0,75.0,8.0,,,,,,,13:13:59
,,,,,99.0,75.0,8.0,,,,,,,13:14:00
,,,,,99.0,75.0,8.0,,,,,,,13:14:00
,,,,,99.0,75.0,8.0,,,,,,,13:14:01
,,,,,99.0,71.0,8.2,,,,,,,13:14:01
,,,,,99.0,71.0,8.2,,,,,,,13:14:02
,,,,,99.0,70.0,8.2,,,,,,,13:14:02
,,,,,99.0,70.0,8.2,,,,,,,13:14:03
,,,,,99.0,69.0,8.2,,,,,,,13:14:03
,,,,,99.0,69.0,8.2,,,,,,,13:14:04
,,,,,99.0,68.0,8.2,,,,,,,13:14:04
,,,,,99.0,68.0,8.2,,,,,,,13:14:05
,,,,,99.0,68.0,8.2,,,,,,,13:14:05
,,,,,99.0,68.0,8.2,,,,,,,13:14:06
,,,,,99.0,68.0,8.2,,,,,,,13:14:06
,,,,,99.0,68.0,8.2,,,,,,,13:14:07
,,,,,99.0,69.0,8.3,,,,,,,13:14:07
,,,,,99.0,69.0,8.3,,,,,,,13:14:08
,,,,,99.0,69.0,8.3,,,,,,,13:14:08
,,,,,99.0,69.0,8.3,,,,,,,13:14:09
,,,,,99.0,69.0,8.3,,,,,,,13:14:09
,,,,,99.0,69.0,8.3,,,,,,,13:14:10
,,,,,99.0,69.0,8.3,,,,,,,13:14:10
,,,,,99.0,69.0,8.3,,,,,,,13:14:11
,,,,,99.0,70.0,8.3,,,,,,,13:14:11
,,,,,99.0,70.0,8.3,,,,,,,13:14:12
,,,,,99.0,70.0,8.3,,,,,,,13:14:12
,,,,,99.0,70.0,8.3,,,,,,,13:14:13
,,,,,99.0,70.0,8.3,,,,,,,13:14:13
,,,,,99.0,70.0,8.3,,,,,,,13:14:14
,,,,,99.0,70.0,8.3,,,,,,,13:14:14
,,,,,99.0,70.0,8.3,,,,,,,13:14:14
,,,,,99.0,70.0,8.3,,,,,,,13:14:15
,,,,,99.0,69.0,8.3,,,,,,,13:14:15
,,,,,99.0,69.0,8.3,,,,,,,13:14:16
,,,,,99.0,69.0,8.3,,,,,,,13:14:16
,,,,,99.0,69.0,8.3,,,,,,,13:14:17
,,,,,99.0,69.0,8.3,,,,,,,13:14:18
,,,,,99.0,68.0,8.3,,,,,,,13:14:18
,,,,,99.0,68.0,8.3,,,,,,,13:14:19
,,,,,99.0,68.0,8.3,,,,,,,13:14:19
,,,,,99.0,68.0,8.3,,,,,,,13:14:20
,,,,,99.0,68.0,8.3,,,,,,,13:14:20
,,,,,99.0,68.0,8.3,,,,,,,13:14:21
,,,,,99.0,68.0,8.3,,,,,,,13:14:21
,,,,,99.0,68.0,8.3,,,,,,,13:14:22
,,,,,99.0,68.0,8.3,,,,,,,13:14:22
,,,,,99.0,68.0,8.3,,,,,,,13:14:23
,,,,,99.0,68.0,8.3,,,,,,,13:14:23
,,,,,99.0,68.0,8.3,,,,,,,13:14:24
,,,,,99.0,69.0,8.3,,,,,,,13:14:24
,,,,,99.0,69.0,8.3,,,,,,,13:14:25
,,,,,99.0,71.0,8.2,,,,,,,13:14:25
,,,,,99.0,71.0,8.2,,,,,,,13:14:26
,,,,,99.0,72.0,8.2,,,,,,,13:14:26
,,,,,99.0,72.0,8.2,,,,,,,13:14:27
,,,,,98.0,72.0,8.0,,,,,,,13:14:27
,,,,,98.0,72.0,8.0,,,,,,,13:14:28
,,,,,98.0,72.0,8.0,,,,,,,13:14:28
,,,,,98.0,72.0,8.0,,,,,,,13:14:29
,,,,,98.0,72.0,7.9,,,,,,,13:14:29
,,,,,98.0,72.0,7.9,,,,,,,13:14:30
,,,,,98.0,72.0,7.7,,,,,,,13:14:30
,,,,,98.0,72.0,7.7,,,,,,,13:14:31
,,,,,98.0,72.0,7.5,,,,,,,13:14:31
,,,,,98.0,72.0,7.5,,,,,,,13:14:32
,,,,,98.0,72.0,7.4,,,,,,,13:14:32
,,,,,98.0,72.0,7.4,,,,,,,13:14:33
,,,,,98.0,71.0,7.3,,,,,,,13:14:33
,,,,,98.0,71.0,7.3,,,,,,,13:14:34
,,,,,98.0,71.0,7.3,,,,,,,13:14:34
,,,,,98.0,71.0,7.3,,,,,,,13:14:35
,,,,,98.0,71.0,7.2,,,,,,,13:14:35
,,,,,98.0,71.0,7.2,,,,,,,13:14:36
,,,,,98.0,73.0,7.1,,,,,,,13:14:36
,,,,,98.0,73.0,7.1,,,,,,,13:14:37
,,,,,98.0,74.0,7.0,,,,,,,13:14:37
,,,,,98.0,74.0,7.0,,,,,,,13:14:38
,,,,,98.0,75.0,6.9,,,,,,,13:14:38
,,,,,98.0,75.0,6.9,,,,,,,13:14:39
,,,,,99.0,75.0,6.8,,,,,,,13:14:39
,,,,,99.0,75.0,6.8,,,,,,,13:14:40
,,,,,99.0,75.0,6.8,,,,,,,13:14:40
,,,,,99.0,75.0,6.8,,,,,,,13:14:41
,,,,,99.0,74.0,6.7,,,,,,,13:14:41
,,,,,99.0,74.0,6.7,,,,,,,13:14:42
,,,,,99.0,73.0,6.6,,,,,,,13:14:42
,,,,,99.0,73.0,6.6,,,,,,,13:14:43
,,,,,99.0,73.0,6.6,,,,,,,13:14:43
,,,,,99.0,73.0,6.6,,,,,,,13:14:44
,,,,,99.0,72.0,6.5,,,,,,,13:14:44
,,,,,99.0,72.0,6.5,,,,,,,13:14:45
,,,,,99.0,72.0,6.5,,,,,,,13:14:45
,,,,,99.0,72.0,6.5,,,,,,,13:14:46
,,,,,99.0,72.0,6.5,,,,,,,13:14:47
,,,,,99.0,71.0,6.5,,,,,,,13:14:48
,,,,,99.0,71.0,6.5,,,,,,,13:14:48
,,,,,99.0,71.0,6.5,,,,,,,13:14:49
,,,,,99.0,71.0,6.5,,,,,,,13:14:49
,,,,,99.0,73.0,6.6,,,,,,,13:14:50
,,,,,99.0,73.0,6.6,,,,,,,13:14:50
,,,,,99.0,73.0,6.6,,,,,,,13:14:51
,,,,,99.0,73.0,6.6,,,,,,,13:14:51
,,,,,99.0,73.0,6.6,,,,,,,13:14:52
,,,,,99.0,73.0,6.6,,,,,,,13:14:52
,,,,,99.0,74.0,6.6,,,,,,,13:14:53
,,,,,99.0,74.0,6.6,,,,,,,13:14:53
,,,,,99.0,73.0,6.5,,,,,,,13:14:54
,,,,,99.0,73.0,6.5,,,,,,,13:14:54
,,,,,99.0,74.0,6.5,,,,,,,13:14:55
,,,,,99.0,74.0,6.5,,,,,,,13:14:55
,,,,,99.0,72.0,6.5,,,,,,,13:14:56
,,,,,99.0,72.0,6.5,,,,,,,13:14:56
,,,,,99.0,72.0,6.5,,,,,,,13:14:57
,,,,,98.0,71.0,6.5,,,,,,,13:14:57
,,,,,98.0,71.0,6.5,,,,,,,13:14:58
,,,,,98.0,71.0,6.5,,,,,,,13:14:58
,,,,,98.0,71.0,6.5,,,,,,,13:14:59
,,,,,98.0,72.0,6.5,,,,,,,13:14:59
,,,,,98.0,72.0,6.5,,,,,,,13:15:00
,,,,,98.0,72.0,6.5,,,,,,,13:15:00
,,,,,98.0,72.0,6.5,,,,,,,13:15:01
,,,,,98.0,72.0,6.5,,,,,,,13:15:01
,,,,,98.0,72.0,6.5,,,,,,,13:15:02
,,,,,98.0,72.0,6.5,,,,,,,13:15:02
,,,,,98.0,72.0,6.5,,,,,,,13:15:03
,,,,,98.0,72.0,6.5,,,,,,,13:15:03
,,,,,98.0,71.0,6.5,,,,,,,13:15:04
,,,,,98.0,71.0,6.5,,,,,,,13:15:04
,,,,,98.0,71.0,6.5,,,,,,,13:15:04
,,,,,98.0,71.0,6.5,,,,,,,13:15:05
,,,,,98.0,71.0,6.6,,,,,,,13:15:05
,,,,,98.0,71.0,6.6,,,,,,,13:15:06
,,,,,98.0,70.0,6.7,,,,,,,13:15:06
,,,,,98.0,70.0,6.7,,,,,,,13:15:07
,,,,,98.0,70.0,6.7,,,,,,,13:15:07
,,,,,98.0,70.0,6.7,,,,,,,13:15:08
,,,,,98.0,70.0,6.7,,,,,,,13:15:08
,,,,,98.0,70.0,6.7,,,,,,,13:15:09
,,,,,99.0,70.0,6.8,,,,,,,13:15:09
,,,,,99.0,70.0,6.8,,,,,,,13:15:10
,,,,,99.0,71.0,6.9,,,,,,,13:15:10
,,,,,99.0,71.0,6.9,,,,,,,13:15:11
,,,,,99.0,71.0,7.0,,,,,,,13:15:11
,,,,,99.0,71.0,7.0,,,,,,,13:15:12
,,,,,99.0,71.0,7.1,,,,,,,13:15:12
,,,,,99.0,71.0,7.1,,,,,,,13:15:13
,,,,,99.0,71.0,7.1,,,,,,,13:15:13
,,,,,99.0,71.0,7.1,,,,,,,13:15:14
,,,,,99.0,71.0,7.1,,,,,,,13:15:14
,,,,,99.0,71.0,7.1,,,,,,,13:15:15
,,,,,99.0,71.0,7.2,,,,,,,13:15:15
,,,,,98.0,71.0,7.2,,,,,,,13:15:16
,,,,,98.0,71.0,7.2,,,,,,,13:15:17
,,,,,98.0,70.0,7.2,,,,,,,13:15:18
,,,,,98.0,70.0,7.3,,,,,,,13:15:18
,,,,,98.0,70.0,7.3,,,,,,,13:15:19
,,,,,98.0,70.0,7.3,,,,,,,13:15:19
,,,,,98.0,70.0,7.3,,,,,,,13:15:20
,,,,,98.0,69.0,7.3,,,,,,,13:15:20
,,,,,98.0,69.0,7.3,,,,,,,13:15:21
,,,,,98.0,70.0,7.3,,,,,,,13:15:21
,,,,,98.0,70.0,7.3,,,,,,,13:15:22
,,,,,98.0,70.0,7.4,,,,,,,13:15:22
,,,,,98.0,70.0,7.4,,,,,,,13:15:23
,,,,,98.0,70.0,7.4,,,,,,,13:15:23
,,,,,98.0,70.0,7.4,,,,,,,13:15:24
,,,,,98.0,71.0,7.5,,,,,,,13:15:24
,,,,,98.0,71.0,7.5,,,,,,,13:15:25
,,,,,98.0,71.0,7.5,,,,,,,13:15:25
,,,,,98.0,71.0,7.5,,,,,,,13:15:26
,,,,,98.0,71.0,7.5,,,,,,,13:15:26
,,,,,98.0,71.0,7.5,,,,,,,13:15:27
,,,,,98.0,72.0,7.6,,,,,,,13:15:27
,,,,,98.0,72.0,7.6,,,,,,,13:15:28
,,,,,98.0,74.0,7.7,,,,,,,13:15:28
,,,,,98.0,74.0,7.7,,,,,,,13:15:29
,,,,,98.0,75.0,7.7,,,,,,,13:15:29
,,,,,98.0,75.0,7.7,,,,,,,13:15:30
,,,,,98.0,74.0,7.7,,,,,,,13:15:30
,,,,,98.0,74.0,7.7,,,,,,,13:15:31
,,,,,98.0,74.0,7.7,,,,,,,13:15:31
,,,,,98.0,74.0,7.7,,,,,,,13:15:32
,,,,,98.0,73.0,7.7,,,,,,,13:15:32
,,,,,98.0,73.0,7.7,,,,,,,13:15:33
,,,,,98.0,72.0,7.7,,,,,,,13:15:33
,,,,,98.0,72.0,7.7,,,,,,,13:15:34
,,,,,98.0,71.0,7.7,,,,,,,13:15:34
,,,,,98.0,71.0,7.7,,,,,,,13:15:35
,,,,,98.0,70.0,7.7,,,,,,,13:15:35
,,,,,98.0,70.0,7.7,,,,,,,13:15:36
,,,,,98.0,70.0,7.7,,,,,,,13:15:36
,,,,,98.0,70.0,7.7,,,,,,,13:15:37
,,,,,98.0,68.0,7.7,,,,,,,13:15:37
,,,,,98.0,68.0,7.7,,,,,,,13:15:38
,,,,,98.0,67.0,7.6,,,,,,,13:15:38
,,,,,98.0,67.0,7.6,,,,,,,13:15:39
,,,,,98.0,65.0,7.5,,,,,,,13:15:39
,,,,,98.0,65.0,7.5,,,,,,,13:15:40
,,,,,98.0,65.0,7.3,,,,,,,13:15:40
,,,,,98.0,65.0,7.3,,,,,,,13:15:41
,,,,,98.0,65.0,7.2,,,,,,,13:15:41
,,,,,98.0,65.0,7.2,,,,,,,13:15:42
,,,,,98.0,65.0,7.2,,,,,,,13:15:42
,,,,,98.0,65.0,7.2,,,,,,,13:15:43
,,,,,98.0,65.0,7.0,,,,,,,13:15:43
,,,,,98.0,65.0,7.0,,,,,,,13:15:44
,,,,,98.0,67.0,6.9,,,,,,,13:15:44
,,,,,98.0,67.0,6.9,,,,,,,13:15:45
,,,,,98.0,67.0,6.8,,,,,,,13:15:45
,,,,,98.0,67.0,6.8,,,,,,,13:15:46
,,,,,98.0,67.0,6.7,,,,,,,13:15:46
,,,,,98.0,67.0,6.6,,,,,,,13:15:48
,,,,,98.0,67.0,6.6,,,,,,,13:15:48
,,,,,98.0,67.0,6.6,,,,,,,13:15:49
,,,,,98.0,67.0,6.6,,,,,,,13:15:49
,,,,,98.0,67.0,6.5,,,,,,,13:15:49
,,,,,98.0,67.0,6.5,,,,,,,13:15:50
,,,,,98.0,67.0,6.3,,,,,,,13:15:50
,,,,,98.0,67.0,6.3,,,,,,,13:15:51
,,,,,98.0,66.0,6.2,,,,,,,13:15:51
,,,,,98.0,66.0,6.2,,,,,,,13:15:52
,,,,,98.0,66.0,6.1,,,,,,,13:15:52
,,,,,98.0,66.0,6.1,,,,,,,13:15:53
,,,,,98.0,66.0,6.1,,,,,,,13:15:53
,,,,,99.0,66.0,6.0,,,,,,,13:15:54
,,,,,99.0,66.0,6.0,,,,,,,13:15:54
,,,,,99.0,66.0,6.0,,,44.0,,,,13:15:54
,,,,,99.0,66.0,6.0,,,44.0,,,,13:15:55
,,,,,99.0,66.0,5.9,,,44.0,,,,13:15:55
,,,,,99.0,66.0,5.9,,,44.0,,,,13:15:56
,,,,,99.0,66.0,5.9,98.0,67.0,88.0,,,,13:15:56
,,,,,99.0,66.0,5.9,98.0,67.0,88.0,,,,13:15:57
,,,,,99.0,66.0,5.9,98.0,67.0,88.0,,,,13:15:57
,,,,,99.0,66.0,5.9,98.0,67.0,88.0,,,,13:15:58
,,,,,99.0,67.0,5.9,98.0,70.0,72.0,,,,13:15:58
,,,,,99.0,67.0,5.9,98.0,70.0,72.0,,,,13:15:59
,,,,,99.0,67.0,5.9,98.0,70.0,72.0,,,,13:15:59
,,,,,99.0,67.0,5.9,98.0,70.0,72.0,,,,13:16:00
,,,,,99.0,68.0,5.9,98.0,72.0,75.0,,,,13:16:00
,,,,,99.0,68.0,5.9,98.0,72.0,75.0,,,,13:16:01
,,,,,99.0,69.0,5.9,98.0,72.0,75.0,,,,13:16:01
,,,,,99.0,69.0,5.9,98.0,72.0,75.0,,,,13:16:02
,,,,,99.0,69.0,5.9,98.0,71.0,75.0,,,,13:16:02
,,,,,99.0,69.0,5.9,98.0,71.0,75.0,,,,13:16:03
,,,,,98.0,71.0,6.0,98.0,71.0,75.0,,,,13:16:03
,,,,,98.0,71.0,6.0,98.0,71.0,75.0,,,,13:16:04
,,,,,98.0,72.0,6.1,98.0,71.0,74.0,,,,13:16:04
,,,,,98.0,72.0,6.1,98.0,71.0,74.0,,,,13:16:05
,,,,,98.0,72.0,6.1,98.0,71.0,74.0,,,,13:16:05
,,,,,98.0,72.0,6.1,98.0,71.0,74.0,,,,13:16:06
,,,,,98.0,72.0,6.1,97.0,70.0,77.0,,,,13:16:06
,,,,,98.0,72.0,6.1,97.0,70.0,77.0,,,,13:16:07
,,,,,98.0,72.0,6.2,97.0,70.0,77.0,,,,13:16:07
,,,,,98.0,72.0,6.2,97.0,70.0,77.0,,,,13:16:08
