Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,,,19.0,,,,,,,13:19:03
,,,,,,,19.0,,,,,,,13:19:03
,,,,,,,,,,255.0,,,,13:19:12
,,,,,,,,,,255.0,,,,13:19:12
,,,,,,,,,,255.0,,,,13:19:13
,,,,,,,,,,255.0,,,,13:19:13
,,,,,,,,,,249.0,,,,13:19:14
,,,,,,,,,,249.0,,,,13:19:14
,,,,,,,,,,249.0,,,,13:19:15
,,,,,,,,,,249.0,,,,13:19:15
,,,,,,,,,,255.0,,,,13:19:16
,,,,,,,,,,255.0,,,,13:19:16
,,,,,,,,,,255.0,,,,13:19:17
,,,,,,,,,,255.0,,,,13:19:17
,,,,,,,,,,28.0,,,,13:19:18
,,,,,,,,,,28.0,,,,13:19:18
,,,,,,,,,,28.0,,,,13:19:19
,,,,,,,,,,28.0,,,,13:19:19
,,,,,,,,97.0,82.0,35.0,,,,13:19:20
,,,,,,,,97.0,82.0,35.0,,,,13:19:20
,,,,,,,,97.0,82.0,35.0,,,,13:19:21
,,,,,,,,97.0,82.0,35.0,,,,13:19:21
,,,,,,,,97.0,83.0,39.0,,,,13:19:22
,,,,,,,,97.0,83.0,39.0,,,,13:19:22
,,,,,,,,97.0,83.0,39.0,,,,13:19:23
,,,,,,,,97.0,83.0,39.0,,,,13:19:23
,,,,,,,3.8,95.0,84.0,57.0,,,,13:19:24
,,,,,,,3.8,95.0,84.0,57.0,,,,13:19:24
,,,,,99.0,83.0,2.0,95.0,84.0,57.0,,,,13:19:25
,,,,,99.0,83.0,2.0,95.0,84.0,57.0,,,,13:19:25
,,,,,99.0,83.0,2.8,96.0,82.0,89.0,,,,13:19:26
,,,,,99.0,83.0,2.8,96.0,82.0,89.0,,,,13:19:26
,,,,,99.0,82.0,3.2,96.0,82.0,89.0,,,,13:19:27
,,,,,99.0,82.0,3.2,96.0,82.0,89.0,,,,13:19:27
,,,,,99.0,82.0,3.2,96.0,81.0,255.0,,,,13:19:28
,,,,,99.0,82.0,3.2,96.0,81.0,255.0,,,,13:19:28
,,,,,99.0,82.0,3.5,96.0,81.0,255.0,,,,13:19:29
,,,,,99.0,82.0,3.5,96.0,81.0,255.0,,,,13:19:29
,,,,,99.0,82.0,3.7,96.0,81.0,255.0,,,,13:19:30
,,,,,99.0,82.0,3.7,96.0,81.0,255.0,,,,13:19:30
,,,,,99.0,82.0,3.8,96.0,81.0,255.0,,,,13:19:31
,,,,,99.0,82.0,3.8,96.0,81.0,255.0,,,,13:19:31
,,,,,99.0,82.0,3.9,97.0,83.0,54.0,,,,13:19:32
,,,,,99.0,82.0,3.9,97.0,83.0,54.0,,,,13:19:32
,,,,,99.0,82.0,4.0,97.0,83.0,54.0,,,,13:19:33
,,,,,99.0,82.0,4.0,97.0,83.0,54.0,,,,13:19:33
,,,,,98.0,82.0,4.0,98.0,83.0,54.0,,,,13:19:34
,,,,,98.0,82.0,4.0,98.0,83.0,54.0,,,,13:19:34
,,,,,98.0,83.0,4.7,98.0,83.0,54.0,,,,13:19:35
,,,,,98.0,83.0,4.7,98.0,83.0,54.0,,,,13:19:35
,,,,,98.0,83.0,5.0,98.0,80.0,64.0,,,,13:19:36
,,,,,98.0,83.0,5.0,98.0,80.0,64.0,,,,13:19:36
,,,,,98.0,82.0,5.2,98.0,80.0,64.0,,,,13:19:37
,,,,,98.0,82.0,5.2,98.0,80.0,64.0,,,,13:19:37
,,,,,98.0,81.0,5.7,98.0,80.0,47.0,,,,13:19:38
,,,,,98.0,81.0,5.7,98.0,80.0,47.0,,,,13:19:38
,,,,,98.0,81.0,5.7,98.0,80.0,47.0,,,,13:19:39
,,,,,98.0,81.0,5.7,98.0,80.0,47.0,,,,13:19:39
,,,,,98.0,80.0,6.1,98.0,79.0,30.0,,,,13:19:40
,,,,,98.0,80.0,6.1,98.0,79.0,30.0,,,,13:19:40
,,,,,98.0,79.0,6.3,98.0,79.0,30.0,,,,13:19:41
,,,,,98.0,79.0,6.3,98.0,79.0,30.0,,,,13:19:41
,,,,,98.0,79.0,5.6,98.0,80.0,18.0,,,,13:19:42
,,,,,98.0,79.0,5.6,98.0,80.0,18.0,,,,13:19:42
,,,,,98.0,79.0,4.6,98.0,80.0,18.0,,,,13:19:43
,,,,,98.0,79.0,4.6,98.0,80.0,18.0,,,,13:19:43
,,,,,98.0,78.0,3.8,98.0,80.0,15.0,,,,13:19:44
,,,,,98.0,78.0,3.8,98.0,80.0,15.0,,,,13:19:44
,,,,,98.0,78.0,3.6,98.0,80.0,15.0,,,,13:19:45
,,,,,98.0,78.0,3.6,98.0,80.0,15.0,,,,13:19:45
,,,,,98.0,80.0,3.1,98.0,79.0,14.0,,,,13:19:46
,,,,,98.0,80.0,3.1,98.0,79.0,14.0,,,,13:19:46
,,,,,98.0,79.0,2.8,98.0,79.0,14.0,,,,13:19:47
,,,,,98.0,79.0,2.8,98.0,79.0,14.0,,,,13:19:47
,,,,,98.0,80.0,2.9,98.0,79.0,14.0,,,,13:19:48
,,,,,98.0,80.0,2.9,98.0,79.0,14.0,,,,13:19:48
,,,,,98.0,80.0,2.7,98.0,79.0,14.0,,,,13:19:48
,,,,,98.0,80.0,2.7,98.0,79.0,19.0,,,,13:19:49
,,,,,98.0,79.0,2.7,98.0,79.0,19.0,,,,13:19:49
,,,,,98.0,79.0,2.7,98.0,79.0,19.0,,,,13:19:50
,,,,,98.0,79.0,2.7,98.0,79.0,19.0,,,,13:19:51
,,,,,98.0,79.0,2.7,98.0,79.0,19.0,,,,13:19:51
,,,,,98.0,79.0,2.6,98.0,83.0,15.0,,,,13:19:52
,,,,,98.0,79.0,2.6,98.0,83.0,15.0,,,,13:19:52
,,,,,98.0,81.0,2.5,98.0,83.0,15.0,,,,13:19:53
