Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,,,,,,255.0,,,,15:15:18
,,,,,,,,,,255.0,,,,15:15:18
,,,,,,,,,,255.0,,,,15:15:19
,,,,,,,,,,255.0,,,,15:15:19
,,,,,,,,83.0,180.0,93.0,,,,15:15:20
,,,,,,,,83.0,180.0,93.0,,,,15:15:20
,,,,,,,2.6,83.0,180.0,93.0,,,,15:15:21
,,,,,,,2.6,83.0,180.0,93.0,,,,15:15:21
,,,,,98.0,71.0,1.3,91.0,180.0,255.0,,,,15:15:22
,,,,,98.0,71.0,1.3,91.0,180.0,255.0,,,,15:15:22
,,,,,98.0,71.0,1.3,91.0,180.0,255.0,,,,15:15:23
,,,,,98.0,71.0,1.3,91.0,180.0,255.0,,,,15:15:23
,,,,,98.0,71.0,1.7,91.0,180.0,255.0,,,,15:15:24
,,,,,98.0,71.0,1.7,91.0,180.0,255.0,,,,15:15:24
,,,,,98.0,71.0,1.9,91.0,180.0,255.0,,,,15:15:25
,,,,,98.0,71.0,1.9,91.0,180.0,255.0,,,,15:15:25
,,,,,98.0,71.0,2.0,91.0,180.0,255.0,,,,15:15:26
,,,,,98.0,71.0,2.0,91.0,180.0,255.0,,,,15:15:26
,,,,,98.0,71.0,2.0,91.0,180.0,255.0,,,,15:15:27
,,,,,98.0,71.0,2.0,91.0,180.0,255.0,,,,15:15:27
,,,,,98.0,71.0,2.0,,,255.0,,,,15:15:28
,,,,,98.0,71.0,2.0,,,255.0,,,,15:15:28
,,,,,98.0,71.0,2.0,,,255.0,,,,15:15:29
,,,,,98.0,71.0,2.0,,,255.0,,,,15:15:29
,,,,,98.0,71.0,2.0,,,188.0,,,,15:15:30
,,,,,98.0,71.0,2.0,,,188.0,,,,15:15:30
,,,,,98.0,72.0,2.0,,,188.0,,,,15:15:31
,,,,,98.0,72.0,2.0,,,188.0,,,,15:15:31
,,,,,97.0,74.0,2.0,,,188.0,,,,15:15:32
,,,,,97.0,74.0,2.0,,,188.0,,,,15:15:32
,,,,,97.0,74.0,2.0,,,188.0,,,,15:15:33
,,,,,97.0,74.0,2.0,,,188.0,,,,15:15:33
,,,,,97.0,74.0,1.9,98.0,71.0,65.0,,,,15:15:34
,,,,,97.0,74.0,1.9,98.0,71.0,65.0,,,,15:15:34
,,,,,97.0,75.0,1.9,98.0,71.0,65.0,,,,15:15:35
,,,,,97.0,75.0,1.9,98.0,71.0,65.0,,,,15:15:35
,,,,,97.0,75.0,1.9,98.0,72.0,66.0,,,,15:15:36
,,,,,97.0,75.0,1.9,98.0,72.0,66.0,,,,15:15:36
,,,,,97.0,75.0,1.8,98.0,72.0,66.0,,,,15:15:37
,,,,,97.0,75.0,1.8,98.0,72.0,66.0,,,,15:15:37
,,,,,97.0,75.0,1.9,98.0,72.0,66.0,,,,15:15:38
,,,,,97.0,75.0,1.9,98.0,72.0,66.0,,,,15:15:38
,,,,,97.0,75.0,1.9,98.0,72.0,66.0,,,,15:15:39
,,,,,97.0,75.0,1.9,98.0,74.0,70.0,,,,15:15:39
,,,,,97.0,75.0,1.9,98.0,74.0,70.0,,,,15:15:40
,,,,,97.0,75.0,1.9,98.0,74.0,70.0,,,,15:15:40
,,,,,97.0,75.0,1.9,98.0,74.0,70.0,,,,15:15:41
,,,,,97.0,75.0,1.9,98.0,74.0,70.0,,,,15:15:41
,,,,,96.0,74.0,1.9,97.0,74.0,79.0,,,,15:15:42
,,,,,96.0,74.0,1.9,97.0,74.0,79.0,,,,15:15:42
,,,,,96.0,74.0,1.9,97.0,74.0,79.0,,,,15:15:43
,,,,,96.0,74.0,1.9,97.0,74.0,79.0,,,,15:15:43
,,,,,96.0,74.0,1.9,97.0,75.0,72.0,,,,15:15:44
,,,,,96.0,74.0,1.9,97.0,75.0,72.0,,,,15:15:44
,,,,,96.0,74.0,2.0,97.0,75.0,72.0,,,,15:15:45
,,,,,96.0,74.0,2.0,97.0,75.0,72.0,,,,15:15:45
,,,,,96.0,76.0,2.0,97.0,78.0,72.0,,,,15:15:46
,,,,,96.0,76.0,2.0,97.0,78.0,72.0,,,,15:15:46
,,,,,96.0,76.0,2.0,97.0,78.0,72.0,,,,15:15:47
,,,,,96.0,76.0,2.0,97.0,78.0,72.0,,,,15:15:47
,,,,,96.0,78.0,2.0,97.0,79.0,78.0,,,,15:15:48
,,,,,96.0,78.0,2.0,97.0,79.0,78.0,,,,15:15:48
,,,,,96.0,80.0,2.0,97.0,79.0,78.0,,,,15:15:49
,,,,,96.0,80.0,2.0,97.0,79.0,78.0,,,,15:15:49
,,,,,95.0,81.0,2.0,97.0,79.0,82.0,,,,15:15:50
,,,,,95.0,81.0,2.0,97.0,79.0,82.0,,,,15:15:50
,,,,,95.0,81.0,2.0,97.0,79.0,82.0,,,,15:15:51
,,,,,95.0,81.0,2.0,97.0,79.0,82.0,,,,15:15:51
