Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,5.350468,,,,,,,,,,,,,13:39:52
,5.282434,146.453282,99.804966,,,,,,,,,,,13:39:53
,5.332446,146.382186,99.803474,,,,,,,,,,,13:39:53
,5.441201,146.382186,99.800785,,,,,,,,,,,13:39:54
,5.441201,146.431772,99.800962,,,,,,,,,,,13:39:54
,5.441201,146.431772,99.800962,,,,,,,,,,,13:39:55
,,146.431772,100.0,,,,,,,,,,,13:39:55
,,146.431772,100.0,,,,,,,,,,,13:39:56
,,146.431772,100.0,,,,,,,,,,,13:39:56
,,146.431772,100.0,,,,,,,,,,,13:39:57
,,146.431772,100.0,,,,,,,,,,,13:39:57
,,146.431772,100.0,,,,,,,,,,,13:39:58
,,146.431772,100.0,,,,,,,,,,,13:39:58
,,146.431772,100.0,,,,,,,,,,,13:39:59
,,146.431772,100.0,,,,,,,,,,,13:39:59
,,146.431772,100.0,,,,,,,,,,,13:40:00
,,146.431772,100.0,,,,,,,,,,,13:40:00
,,146.431772,100.0,,,,,,,,,,,13:40:01
,,146.431772,100.0,,,,,,,,,,,13:40:01
,,146.431772,100.0,,,,,,,,,,,13:40:02
,,146.431772,100.0,,,,,,,,,,,13:40:02
,,146.431772,100.0,,,,,,,,,,,13:40:03
,,146.431772,100.0,,,,,,,,,,,13:40:03
,,146.431772,100.0,,,,,,,,,,,13:40:04
,,146.431772,100.0,,,,,,,,,,,13:40:04
,,146.431772,100.0,,,,,,,,,,,13:40:05
,,146.431772,100.0,,,,,,,,,,,13:40:05
,,146.431772,100.0,,,,,,,,,,,13:40:06
,,146.431772,100.0,,,,,,,,,,,13:40:06
,,146.431772,100.0,,,,,,,,,,,13:40:07
,,146.431772,100.0,,,,,,,,,,,13:40:07
,,146.431772,100.0,,,,,,,,,,,13:40:08
,,146.431772,100.0,,,,,,,,,,,13:40:08
,,146.431772,100.0,,,,,,,255.0,,,,13:40:09
,,146.431772,100.0,,,,,,,255.0,,,,13:40:09
,,146.431772,100.0,,,,,,,255.0,,,,13:40:10
,,146.431772,100.0,,,,,,,255.0,,,,13:40:10
,,,,,,,,,,255.0,,,,13:40:11
,,,,,,,,,,255.0,,,,13:40:11
,,,,,,,,,,255.0,,,,13:40:12
,,,,,,,,,,255.0,,,,13:40:12
,,,,,,,,,,255.0,,,,13:40:13
,,,,,,,,,,255.0,,,,13:40:13
