Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,113.191704,,,51.0,,,,,,,,,,10:17:59
,113.191704,,,,,,,,,,,,,10:17:59
,113.191742,105.635119,96.983606,,,,,,,,,,,10:17:59
,113.190437,105.635119,96.983631,,,,,,,,,,,10:18:00
,113.191017,105.635119,96.98362,,,,,,,,,,,10:18:01
,113.193039,105.635119,96.983582,,,,,,,,,,,10:18:01
,,105.635119,100.0,,,,,,,,,,,10:18:01
,,,,,,,,,,255.0,,,,10:36:13
,,,,,,,,,,255.0,,,,10:36:13
,,,,,,,,,,255.0,,,,10:36:14
,,,,,,,,,,255.0,,,,10:36:15
,,,,,,,,,,8.0,,,,10:36:15
,,,,,,,,,,8.0,,,,10:36:15
,,,,,,,,,,8.0,,,,10:36:16
,,,,,,,,,,8.0,,,,10:36:17
,,,,,,,,,,8.0,,,,10:36:17
,,,,,,,,,,8.0,,,,10:36:17
,,,,,,,,,,8.0,,,,10:36:18
,,,,,,,,,,8.0,,,,10:36:19
,,,,,,,,99.0,58.0,4.0,,,,10:36:19
,,,,,,,,99.0,58.0,4.0,,,,10:36:19
,,,,,,,,99.0,58.0,4.0,,,,10:36:20
,,,,,,,,99.0,58.0,4.0,,,,10:36:21
,,,,,,,,100.0,61.0,3.0,,,,10:36:21
,,,,,,,,100.0,61.0,3.0,,,,10:36:21
,,,,,,,,100.0,61.0,3.0,,,,10:36:22
,,,,,,,,100.0,61.0,3.0,,,,10:36:23
,,,,,,,,100.0,63.0,3.0,,,,10:36:23
,,,,,,,,100.0,63.0,3.0,,,,10:36:23
,,,,,,,,100.0,63.0,3.0,,,,10:36:24
,,,,,,,,100.0,63.0,3.0,,,,10:36:25
,,,,,,,,100.0,64.0,3.0,,,,10:36:25
,,,,,,,,100.0,64.0,3.0,,,,10:36:25
,,,,,,,,100.0,64.0,3.0,,,,10:36:26
,,,,,,,,100.0,64.0,3.0,,,,10:36:27
,,,,,,,,100.0,72.0,4.0,,,,10:36:27
,,,,,,,,100.0,72.0,4.0,,,,10:36:27
,,,,,,,,100.0,72.0,4.0,,,,10:36:28
,,,,,,,,100.0,72.0,4.0,,,,10:36:29
,,,,,,,,100.0,79.0,4.0,,,,10:36:29
,,,,,95.0,,,100.0,79.0,4.0,,,,10:36:29
,,,,,95.0,,,100.0,79.0,4.0,,,,10:36:30
,,,,,95.0,,0.6,100.0,79.0,4.0,,,,10:36:31
,,,,,95.0,,0.6,100.0,85.0,3.0,,,,10:36:31
,,,,,95.0,78.0,0.3,100.0,85.0,3.0,,,,10:36:31
,,,,,95.0,78.0,0.3,100.0,85.0,3.0,,,,10:36:32
,,,,,95.0,78.0,0.4,100.0,85.0,3.0,,,,10:36:33
,,,,,95.0,78.0,0.4,100.0,85.0,10.0,,,,10:36:33
,,,,,95.0,78.0,0.4,100.0,85.0,10.0,,,,10:36:33
,,,,,95.0,78.0,0.4,100.0,85.0,10.0,,,,10:36:34
,,,,,100.0,82.0,0.5,100.0,85.0,10.0,,,,10:36:35
,,,,,100.0,82.0,0.5,100.0,83.0,8.0,,,,10:36:35
