Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,97.0,94.0,7.1,,,,15:45:11
,,,,,98.0,94.0,7.2,,,,15:45:11
,5.235234,280.881608,99.963964,39.0,98.0,94.0,7.3,,,,15:45:12
,5.235234,279.793982,99.963606,39.0,98.0,94.0,7.3,,,,15:45:12
,,279.793982,100.0,39.0,98.0,96.0,7.3,,,,15:45:13
,5.235234,279.793982,99.963606,39.0,98.0,98.0,7.3,,,,15:45:13
,,244.884919,100.0,,98.0,98.0,7.3,,,,15:45:14
,5.235234,244.884919,99.948844,39.0,98.0,100.0,7.2,,,,15:45:14
,5.235234,244.884919,99.948844,39.0,97.0,100.0,7.2,,,255.0,15:45:15
,5.235234,232.157531,99.941338,39.0,97.0,96.0,7.1,97.0,98.0,36.0,15:45:15
,5.235234,224.999989,99.936421,39.0,97.0,97.0,7.1,97.0,92.0,33.0,15:45:16
,5.235234,224.999989,99.936421,39.0,97.0,90.0,7.1,97.0,93.0,28.0,15:45:16
,5.235234,224.999989,99.936421,39.0,97.0,90.0,7.1,97.0,94.0,36.0,15:45:17
,,,,,97.0,87.0,7.1,97.0,96.0,32.0,15:45:17
,,,,,97.0,85.0,7.1,97.0,97.0,34.0,15:45:18
,,,,,97.0,85.0,7.1,97.0,96.0,24.0,15:45:18
,,,,,97.0,88.0,7.1,97.0,96.0,24.0,15:45:19
,,,,,97.0,90.0,7.0,98.0,96.0,23.0,15:45:19
,,,,,97.0,90.0,7.0,98.0,97.0,33.0,15:45:20
,,,,,97.0,93.0,7.0,98.0,98.0,36.0,15:45:20
,,,,,97.0,95.0,7.1,98.0,98.0,36.0,15:45:21
,,,,,97.0,95.0,7.1,98.0,98.0,36.0,15:45:21
,,,,,97.0,94.0,7.1,98.0,98.0,36.0,15:45:22
,,,,,97.0,95.0,7.1,98.0,98.0,27.0,15:45:22
,,,,,97.0,95.0,7.1,98.0,98.0,27.0,15:45:23
,,,,,98.0,96.0,7.1,98.0,98.0,27.0,15:45:23
,,,,,98.0,98.0,7.1,98.0,98.0,27.0,15:45:24
,,,,,98.0,98.0,7.1,98.0,98.0,26.0,15:45:24
,,,,,98.0,98.0,7.0,98.0,98.0,26.0,15:45:25
,,,,,98.0,98.0,6.9,98.0,98.0,26.0,15:45:25
,,,,,98.0,98.0,6.9,98.0,98.0,26.0,15:45:26
,,,,,98.0,96.0,6.8,98.0,97.0,32.0,15:45:26
,,,,,98.0,96.0,6.8,98.0,97.0,32.0,15:45:27
,,,,,98.0,96.0,6.7,98.0,97.0,32.0,15:45:27
,,,,,98.0,96.0,6.6,98.0,97.0,32.0,15:45:28
,,,,,98.0,96.0,6.6,98.0,96.0,32.0,15:45:28
,,,,,98.0,96.0,6.5,98.0,96.0,32.0,15:45:29
,,,,,98.0,98.0,6.5,98.0,96.0,32.0,15:45:29
,,,,,98.0,99.0,6.5,98.0,96.0,32.0,15:45:30
,,,,,98.0,99.0,6.4,98.0,96.0,29.0,15:45:30
,,,,,98.0,99.0,6.4,98.0,96.0,29.0,15:45:31
,,,,,98.0,99.0,6.4,98.0,96.0,29.0,15:45:31
,,,,,98.0,99.0,6.3,98.0,96.0,29.0,15:45:32
,,,,,98.0,98.0,6.2,98.0,97.0,28.0,15:45:32
,,,,,98.0,97.0,6.1,98.0,97.0,28.0,15:45:33
,,,,,98.0,96.0,6.1,98.0,97.0,28.0,15:45:33
,,,,,98.0,96.0,6.1,98.0,97.0,28.0,15:45:34
,,,,,98.0,96.0,6.1,98.0,97.0,28.0,15:45:34
,,,,,98.0,96.0,6.0,98.0,97.0,28.0,15:45:35
,,,,,98.0,96.0,6.0,98.0,97.0,28.0,15:45:35
,,,,,98.0,98.0,6.0,98.0,97.0,28.0,15:45:36
,,,,,98.0,98.0,6.0,98.0,98.0,36.0,15:45:36
,,,,,98.0,99.0,6.0,98.0,98.0,36.0,15:45:37
,,,,,98.0,99.0,6.0,98.0,98.0,36.0,15:45:37
,,,,,98.0,100.0,5.9,98.0,98.0,36.0,15:45:38
,,,,,98.0,100.0,5.9,98.0,97.0,36.0,15:45:38
,,,,,98.0,100.0,5.9,98.0,97.0,36.0,15:45:39
,,,,,98.0,100.0,5.9,98.0,97.0,36.0,15:45:39
,,,,,98.0,100.0,5.9,98.0,97.0,36.0,15:45:40
,,,,,98.0,100.0,5.9,98.0,97.0,36.0,15:45:40
,,,,,98.0,98.0,5.8,98.0,97.0,36.0,15:45:41
,,,,,98.0,98.0,5.8,98.0,97.0,36.0,15:45:41
,,,,,98.0,97.0,5.8,98.0,96.0,33.0,15:45:42
,,,,,98.0,97.0,5.8,98.0,95.0,36.0,15:45:42
,,,,,98.0,96.0,5.8,98.0,95.0,36.0,15:45:43
,,,,,98.0,96.0,5.8,98.0,95.0,36.0,15:45:43
,,,,,98.0,95.0,5.8,98.0,95.0,36.0,15:45:44
,,,,,98.0,95.0,5.8,98.0,95.0,38.0,15:45:44
,,,,,98.0,95.0,5.8,98.0,95.0,38.0,15:45:45
,,,,,98.0,95.0,5.8,98.0,95.0,38.0,15:45:45
,,,,,98.0,94.0,5.8,98.0,95.0,38.0,15:45:46
,,,,,98.0,94.0,5.8,98.0,95.0,38.0,15:45:46
