Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,,,,100.0,67.0,20.0,13:52:42
,,,,,100.0,67.0,1.5,100.0,67.0,21.0,13:52:42
,,,,,100.0,67.0,1.5,100.0,67.0,21.0,13:52:43
,,,,,100.0,65.0,1.5,100.0,67.0,21.0,13:52:43
,,,,,100.0,64.0,1.5,100.0,67.0,21.0,13:52:44
,,,,,100.0,64.0,1.5,100.0,67.0,21.0,13:52:44
,,,,,100.0,64.0,1.5,100.0,67.0,21.0,13:52:45
,,,,,100.0,65.0,1.5,100.0,66.0,21.0,13:52:45
,,,,,100.0,65.0,1.5,100.0,66.0,21.0,13:52:46
,,,,,100.0,65.0,1.5,100.0,66.0,21.0,13:52:46
,,,,,100.0,65.0,1.5,100.0,66.0,21.0,13:52:47
,,,,,100.0,65.0,1.5,100.0,66.0,20.0,13:52:47
,,,,,100.0,65.0,1.5,100.0,66.0,20.0,13:52:48
,,,,,100.0,65.0,1.5,100.0,66.0,20.0,13:52:48
,,,,,100.0,66.0,1.5,100.0,66.0,20.0,13:52:49
,,,,,100.0,66.0,1.5,100.0,65.0,21.0,13:52:49
,,,,,100.0,66.0,1.5,100.0,65.0,21.0,13:52:50
,,,,,100.0,66.0,1.5,100.0,65.0,21.0,13:52:50
,,,,,100.0,65.0,1.5,100.0,65.0,21.0,13:52:51
,,,,,100.0,65.0,1.5,100.0,67.0,20.0,13:52:51
,,,,,100.0,65.0,1.5,100.0,67.0,20.0,13:52:52
,,,,,100.0,65.0,1.5,100.0,67.0,20.0,13:52:52
,,,,,100.0,65.0,1.5,100.0,67.0,20.0,13:52:53
,,,,,100.0,65.0,1.5,100.0,67.0,20.0,13:52:53
,,,,,100.0,66.0,1.5,100.0,67.0,20.0,13:52:54
,,,,,100.0,66.0,1.5,100.0,67.0,20.0,13:52:54
,,,,,100.0,67.0,1.5,100.0,67.0,20.0,13:52:55
,,,,,100.0,67.0,1.5,100.0,68.0,19.0,13:52:55
,,,,,100.0,67.0,1.5,100.0,68.0,19.0,13:52:56
,,,,,100.0,67.0,1.5,100.0,68.0,19.0,13:52:56
,,,,,100.0,68.0,1.5,100.0,68.0,19.0,13:52:57
,,,,,100.0,68.0,1.5,100.0,69.0,19.0,13:52:57
,,,,,100.0,68.0,1.5,100.0,69.0,19.0,13:52:58
,,,,,100.0,68.0,1.5,100.0,69.0,19.0,13:52:58
,,,,,100.0,70.0,1.5,100.0,69.0,19.0,13:52:59
,,,,,100.0,70.0,1.5,100.0,70.0,18.0,13:52:59
,,,,,100.0,70.0,1.5,100.0,70.0,18.0,13:53:00
,,,,,100.0,70.0,1.5,100.0,70.0,18.0,13:53:00
,,,,,100.0,72.0,1.5,100.0,70.0,18.0,13:53:01
,,,,,100.0,72.0,1.5,100.0,71.0,18.0,13:53:01
