Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,24.204006,139.766962,99.378659,67.5,,,,,,,,,,11:05:01
,24.204006,139.766962,99.378659,67.5,,,,,,,,,,11:05:01
,24.204006,139.489239,99.375038,67.5,,,,,,,,,,11:05:02
,22.330692,139.489239,99.408294,50.0,,,,,,,,,,11:05:02
,22.330692,139.489239,99.408294,50.0,,,,,,,,,,11:05:03
,22.330692,139.489239,99.408294,50.0,,,,,,,,,,11:05:03
,22.330692,139.489239,99.408294,50.0,,,,,,,,,,11:05:04
,23.93545,140.048116,99.38695,45.0,,,,,,,,,,11:05:04
,23.93545,140.048116,99.38695,45.0,,,,,,,,,,11:05:05
,24.101559,139.686206,99.379397,45.0,,,,,,,,,,11:05:05
,24.101559,139.686206,99.379397,45.0,,,,,,,,,,11:05:06
,21.365166,139.547727,99.426486,45.0,,,,,,,,,,11:05:06
,21.365166,139.547727,99.426486,45.0,,,,,,,,,,11:05:07
,21.365166,139.547727,99.426486,45.0,,,,,,,,,,11:05:07
,21.72143,139.547727,99.42001,55.0,,,,,,,,,,11:05:08
,21.72143,140.273574,99.428674,37.5,,,,,,,,,,11:05:08
,23.154566,140.273574,99.403384,37.5,,,,,,,,,,11:05:09
,23.154566,140.273574,99.403384,37.5,,,,,,,,,,11:05:09
,23.192259,139.617091,99.394508,40.0,,,,,,,,,,11:05:10
,23.192259,139.617091,99.394508,37.5,,,,,,,,,,11:05:10
,23.192259,139.617091,99.394508,50.0,,,,,,,,,,11:05:11
,26.395418,139.617091,99.338968,35.0,,,,,,,,,,11:05:11
,26.395418,138.945757,99.329544,35.0,,,,,,,,,,11:05:12
,26.395418,138.945757,99.329544,37.5,,,,,,,,,,11:05:12
,26.395418,138.945757,99.329544,37.5,,,,,,,,,,11:05:13
,26.395418,138.892961,99.328795,12.5,,,,,,,,,,11:05:13
,22.63641,139.629354,99.404548,35.0,,,,,,,,,,11:05:14
,22.63641,139.629354,99.404548,32.5,,,,,,,,,,11:05:14
,26.006819,139.629354,99.345752,27.5,,,,,,,,,,11:05:15
,26.006819,138.892961,99.335521,37.5,,,,,,,,,,11:05:15
,29.804426,138.957813,99.272117,30.0,,,,,,,,,,11:05:16
,29.804426,138.957813,99.272117,30.0,,,,,,,,,,11:05:16
,29.804426,138.25412,99.261099,12.5,,,,,,,,,,11:05:17
,29.804426,138.25412,99.261099,12.5,,,,,,,,,,11:05:17
,29.804426,138.25412,99.261099,12.5,,,,,,,,,,11:05:18
,29.804426,138.25412,99.261099,12.5,,,,,,,,,,11:05:18
,29.804426,138.25412,99.261099,12.5,,,,,,,,,,11:05:19
,29.804426,138.25412,99.261099,17.5,,,,,,,,,,11:05:19
,32.326984,138.25412,99.219185,15.0,,,,,,,,,,11:05:20
,32.326984,137.207597,99.201341,15.0,,,,,,,,,,11:05:20
,32.326984,137.207597,99.201341,15.0,,,,,,,,,,11:05:21
,32.326984,137.207597,99.201341,15.0,,,,,,,,,,11:05:21
,32.326984,137.207597,99.201341,15.0,,,,,,,,,,11:05:22
,32.326984,137.207597,99.201341,15.0,,,,,,,,,,11:05:22
,32.326984,137.207597,99.201341,15.0,,,,,,,,,,11:05:23
,32.326984,137.207597,99.201341,15.0,,,,,,,,,,11:05:23
,32.326984,137.207597,99.201341,15.0,,,,,,,,,,11:05:24
