Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,53.0,,,,,,,11:11:12
,,,,53.0,,,,,,,11:11:12
,,,,55.0,,,,,,,11:11:13
,,,,55.0,,,,,,,11:11:14
,,,,55.0,,,,,,,11:11:15
,,,,52.0,,,,,,,11:11:38
,,,,52.0,,,,,,,11:11:38
,,,,56.0,,,,,,,11:11:39
,,,,57.0,,,,,,,11:11:40
,,,,30.0,,,,,,,11:11:42
,,,,30.0,,,,,,,11:11:43
,,,,33.0,,,,,,,11:11:43
,,,,33.0,,,,,,,11:11:44
,,,,33.0,,,,,,,11:11:44
,,,,33.0,,,,,,,11:11:45
,,,,33.0,,,,,,,11:11:45
,,,,33.0,,,,,,,11:11:46
,15.829393,149.747865,99.731681,29.0,,,,,,,11:11:46
,15.829393,149.747865,99.731681,29.0,,,,,,,11:11:47
,15.880542,149.753998,99.731134,33.0,,,,,,,11:11:47
,15.880542,149.753998,99.731134,33.0,,,,,,,11:11:48
,15.751481,149.73261,99.732486,34.0,,,,,,,11:11:48
,15.79563,149.729049,99.731968,32.0,,,,,,,11:11:49
,15.79563,149.729049,99.731968,32.0,,,,,,,11:11:49
,15.79563,149.684105,99.731739,29.0,,,,,,,11:11:50
,15.83234,149.684105,99.731323,29.0,,,,,,,11:11:50
,15.83234,149.684105,99.731323,29.0,,,,,,,11:11:51
,15.83234,149.684105,99.731323,29.0,,,,,,,11:11:51
,15.83234,149.684105,99.731323,29.0,,,,,,,11:11:52
,15.83234,149.684105,99.731323,29.0,,,,,,,11:11:52
,15.83234,149.684105,99.731323,29.0,,,,,,,11:11:53
,15.83234,149.684105,99.731323,29.0,,,,,,,11:11:53
,15.562643,149.684105,99.734388,26.0,,,,,,,11:11:54
,15.562643,149.791416,99.734928,26.0,,,,,,,11:11:54
,15.852596,149.797628,99.731672,39.0,,,,,,,11:11:55
,15.852596,149.797628,99.731672,39.0,,,,,,,11:11:55
,15.852596,149.678328,99.731064,26.0,,,,,,,11:11:56
,15.852596,149.678328,99.731064,26.0,,,,,,,11:11:56
,15.306459,149.678328,99.737287,38.0,,,,,,,11:11:57
,15.306459,149.678328,99.737287,38.0,,,,,,,11:11:57
,15.306459,149.786791,99.737826,28.0,,,,,,,11:11:58
,,,,,,,,,,225.0,11:20:03
,,,,,,,,,,225.0,11:20:04
,,,,,,,,,,225.0,11:20:04
,,,,,,,,,,225.0,11:20:05
,,,,,,,,,,225.0,11:20:05
,,,,,,,,,,225.0,11:20:06
,,,,,,,,,,225.0,11:20:06
,,,,,,,,,,225.0,11:20:07
,,,,,86.0,,,,,,11:20:22
,,,,,86.0,,,,,,11:20:22
,,,,,86.0,,20.0,,,,11:20:23
,,,,,86.0,,20.0,,,,11:20:23
,,,,,86.0,,20.0,,,,11:20:24
,,,,,86.0,,20.0,,,,11:20:24
,,,,,86.0,,20.0,,,,11:20:25
,,,,,86.0,,20.0,,,,11:20:25
,,,,,88.0,,16.0,,,,11:20:26
,,,,,88.0,,16.0,,,,11:20:26
,,,,,88.0,,2.4,,,,11:20:27
,,,,,88.0,,2.4,,,,11:20:27
,,,,,88.0,73.0,2.4,,,,11:20:28
,,,,,88.0,73.0,2.4,,,,11:20:28
,,,,,90.0,73.0,1.3,,,,11:20:29
,,,,,90.0,73.0,1.3,,,,11:20:29
,,,,,92.0,73.0,2.9,,,,11:20:30
,,,,,92.0,73.0,2.9,,,,11:20:30
,,,,,93.0,74.0,2.4,,,,11:20:31
,,,,,93.0,74.0,2.4,,,255.0,11:20:31
,,,,,93.0,75.0,3.8,,,255.0,11:20:32
,,,,,93.0,75.0,3.8,,,255.0,11:20:32
,,,,,93.0,75.0,3.8,,,255.0,11:20:33
,,,,,93.0,75.0,3.8,,,191.0,11:20:33
,,,,,94.0,75.0,2.7,,,191.0,11:20:34
,,,,,94.0,75.0,2.7,,,191.0,11:20:34
,,,,,95.0,77.0,2.6,,,191.0,11:20:35
,,,,,95.0,77.0,2.6,97.0,93.0,48.0,11:20:35
,,,,,97.0,75.0,2.5,97.0,93.0,48.0,11:20:36
,,,,,97.0,75.0,2.5,97.0,93.0,48.0,11:20:36
,,,,,97.0,74.0,2.4,97.0,93.0,48.0,11:20:37
,,,,,97.0,74.0,2.4,98.0,86.0,35.0,11:20:37
,,,,,98.0,75.0,2.3,98.0,86.0,35.0,11:20:38
,,,,,98.0,75.0,2.3,98.0,86.0,35.0,11:20:38
,,,,,98.0,75.0,2.3,98.0,86.0,35.0,11:20:39
,,,,,98.0,75.0,2.3,98.0,88.0,28.0,11:20:39
,,,,,98.0,76.0,2.0,98.0,88.0,28.0,11:20:40
,,,,,98.0,76.0,2.0,98.0,88.0,28.0,11:20:40
,,,,,98.0,77.0,1.8,98.0,88.0,28.0,11:20:41
,,,,,98.0,77.0,1.8,98.0,84.0,27.0,11:20:41
,,,,,98.0,80.0,1.7,98.0,84.0,27.0,11:20:42
,,,,,98.0,80.0,1.7,98.0,84.0,27.0,11:20:42
,,,,,98.0,80.0,1.6,98.0,84.0,27.0,11:20:43
,,,,,98.0,80.0,1.6,98.0,82.0,32.0,11:20:43
,,,,,98.0,80.0,1.6,98.0,82.0,32.0,11:20:44
,,,,,98.0,80.0,1.6,98.0,82.0,32.0,11:20:44
,,,,,98.0,80.0,1.6,98.0,82.0,32.0,11:20:45
,,,,,98.0,80.0,1.6,98.0,80.0,32.0,11:20:45
,,,,,98.0,80.0,1.6,98.0,80.0,32.0,11:20:46
,,,,,98.0,80.0,1.6,98.0,80.0,32.0,11:20:46
,,,,,98.0,79.0,1.6,98.0,80.0,32.0,11:20:47
,,,,,98.0,79.0,1.6,98.0,79.0,40.0,11:20:47
,,,,,97.0,79.0,1.6,98.0,79.0,40.0,11:20:48
,,,,,97.0,79.0,1.6,98.0,79.0,40.0,11:20:48
,,,,,97.0,79.0,1.6,98.0,79.0,40.0,11:20:49
,,,,,97.0,79.0,1.6,98.0,82.0,25.0,11:20:49
,,,,,97.0,79.0,1.6,98.0,82.0,25.0,11:20:50
,,,,,97.0,79.0,1.6,98.0,82.0,25.0,11:20:50
