Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,99.0,65.0,2.8,92.0,77.0,21.0,15:26:39
,,,,,99.0,67.0,2.8,96.0,75.0,26.0,15:26:40
,,,,,99.0,67.0,2.8,97.0,75.0,18.0,15:26:40
,,,,,99.0,67.0,3.1,97.0,75.0,18.0,15:26:41
,,,,,99.0,67.0,3.1,97.0,75.0,18.0,15:26:41
,,,,,99.0,67.0,3.1,97.0,75.0,18.0,15:26:42
,,,,,99.0,76.0,3.1,98.0,72.0,15.0,15:26:42
,,,,,99.0,76.0,3.1,98.0,72.0,15.0,15:26:43
,,,,,99.0,74.0,3.1,98.0,72.0,15.0,15:26:43
,,,,,99.0,74.0,3.1,98.0,72.0,15.0,15:26:44
,,,,,99.0,74.0,3.1,98.0,72.0,14.0,15:26:44
,,,,,99.0,74.0,3.1,98.0,72.0,14.0,15:26:45
,,,,,99.0,72.0,3.1,98.0,72.0,14.0,15:26:45
,,,,,99.0,72.0,3.1,98.0,72.0,14.0,15:26:46
,,,,,99.0,68.0,3.1,98.0,72.0,14.0,15:26:46
,,,,,99.0,68.0,3.1,97.0,72.0,17.0,15:26:47
,,,,,99.0,68.0,3.1,97.0,72.0,17.0,15:26:47
,,,,,99.0,68.0,3.1,97.0,72.0,17.0,15:26:48
,,,,,99.0,68.0,3.1,97.0,72.0,17.0,15:26:48
,,,,,99.0,68.0,3.1,97.0,72.0,17.0,15:26:49
,,,,,99.0,68.0,3.1,97.0,72.0,17.0,15:26:49
,,,,,99.0,68.0,3.1,97.0,72.0,17.0,15:26:50
,,,,,99.0,68.0,3.1,97.0,72.0,17.0,15:26:50
,,,,,99.0,68.0,3.1,97.0,72.0,17.0,15:26:51
,,,,,99.0,68.0,3.1,97.0,72.0,17.0,15:26:51
,,,,,99.0,68.0,3.1,98.0,74.0,21.0,15:26:52
,,,,,99.0,68.0,3.1,97.0,75.0,15.0,15:26:52
,,,,,99.0,68.0,3.1,97.0,75.0,15.0,15:26:53
,,,,,99.0,69.0,3.0,97.0,75.0,15.0,15:26:53
,,,,,99.0,69.0,3.0,97.0,75.0,15.0,15:26:54
,,,,,99.0,70.0,2.8,98.0,77.0,13.0,15:26:54
,,,,,99.0,70.0,2.8,98.0,77.0,13.0,15:26:55
,,,,,99.0,70.0,2.8,98.0,77.0,13.0,15:26:55
,,,,,99.0,70.0,2.8,98.0,77.0,13.0,15:26:56
,,,,,99.0,74.0,2.8,99.0,77.0,18.0,15:26:56
,,,,,99.0,74.0,2.8,99.0,77.0,18.0,15:26:57
