Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,,,,,,255.0,,,,09:04:56
,,,,,98.0,84.0,5.2,,,255.0,,,,09:04:57
,,,,,98.0,84.0,5.2,,,255.0,,,,09:04:57
,,,,,98.0,84.0,2.8,,,255.0,,,,09:04:58
,,,,,98.0,84.0,2.8,,,44.0,,,,09:04:58
,,,,,98.0,83.0,3.6,,,44.0,,,,09:04:59
,,,,,98.0,83.0,3.6,,,44.0,,,,09:04:59
,,,,,98.0,83.0,3.8,,,44.0,,,,09:05:00
,,,,,98.0,83.0,3.8,98.0,78.0,50.0,,,,09:05:00
,,,,,98.0,83.0,3.9,98.0,78.0,50.0,,,,09:05:01
,,,,,98.0,83.0,3.9,98.0,78.0,50.0,,,,09:05:01
,,,,,98.0,83.0,3.9,98.0,78.0,50.0,,,,09:05:02
,,,,,98.0,83.0,3.9,98.0,81.0,49.0,,,,09:05:02
,,,,,98.0,82.0,4.0,98.0,81.0,49.0,,,,09:05:03
,,,,,98.0,82.0,4.0,98.0,81.0,49.0,,,,09:05:03
,,,,,99.0,81.0,4.0,98.0,81.0,49.0,,,,09:05:04
,,,,,99.0,81.0,4.0,98.0,81.0,47.0,,,,09:05:04
,,,,,99.0,81.0,3.9,98.0,81.0,47.0,,,,09:05:05
,,,,,99.0,81.0,3.9,98.0,81.0,47.0,,,,09:05:05
,,,,,99.0,81.0,3.9,98.0,81.0,47.0,,,,09:05:06
,,,,,99.0,81.0,3.9,98.0,80.0,45.0,,,,09:05:06
,,,,,99.0,82.0,3.8,98.0,80.0,45.0,,,,09:05:07
,,,,,99.0,82.0,3.8,98.0,80.0,45.0,,,,09:05:07
,,,,,99.0,82.0,3.8,98.0,80.0,45.0,,,,09:05:08
,,,,,99.0,82.0,3.8,98.0,80.0,40.0,,,,09:05:08
,,,,,99.0,81.0,3.7,98.0,80.0,40.0,,,,09:05:09
,,,,,99.0,81.0,3.7,98.0,80.0,40.0,,,,09:05:09
,,,,,99.0,82.0,3.5,98.0,80.0,40.0,,,,09:05:10
,,,,,99.0,82.0,3.5,98.0,82.0,41.0,,,,09:05:10
,,,,,99.0,81.0,3.4,98.0,82.0,41.0,,,,09:05:11
,,,,,99.0,81.0,3.4,98.0,82.0,41.0,,,,09:05:11
,,,,,99.0,82.0,3.3,98.0,82.0,41.0,,,,09:05:12
,,,,,99.0,82.0,3.3,98.0,82.0,41.0,,,,09:05:12
,,,,,99.0,82.0,3.3,98.0,82.0,41.0,,,,09:05:13
,,,,,99.0,82.0,3.3,98.0,82.0,41.0,,,,09:05:13
,,,,,99.0,83.0,3.3,98.0,82.0,32.0,,,,09:05:13
,,,,,99.0,83.0,3.3,98.0,82.0,35.0,,,,09:05:14
,,,,,99.0,82.0,3.3,98.0,82.0,35.0,,,,09:05:15
,,,,,99.0,82.0,3.3,98.0,82.0,35.0,,,,09:05:15
,,,,,99.0,83.0,3.1,98.0,82.0,35.0,,,,09:05:16
,,,,,99.0,83.0,3.1,98.0,82.0,47.0,,,,09:05:16
,,,,,99.0,84.0,3.0,98.0,82.0,47.0,,,,09:05:17
,,,,,99.0,84.0,3.0,98.0,82.0,47.0,,,,09:05:17
,,,,,99.0,83.0,3.0,98.0,82.0,47.0,,,,09:05:18
,,,,,99.0,83.0,3.0,98.0,81.0,50.0,,,,09:05:18
,,,,,99.0,83.0,3.0,98.0,81.0,50.0,,,,09:05:19
,,,,,99.0,83.0,3.0,98.0,81.0,50.0,,,,09:05:19
,,,,,99.0,83.0,3.2,98.0,81.0,50.0,,,,09:05:20
,,,,,99.0,83.0,3.2,98.0,82.0,46.0,,,,09:05:20
,,,,,99.0,82.0,3.5,98.0,82.0,46.0,,,,09:05:21
,,,,,99.0,82.0,3.5,98.0,82.0,46.0,,,,09:05:21
,,,,,99.0,81.0,3.7,98.0,82.0,46.0,,,,09:05:22
,,,,,99.0,81.0,3.7,98.0,82.0,41.0,,,,09:05:22
,,,,,99.0,81.0,3.8,98.0,82.0,41.0,,,,09:05:23
,,,,,99.0,81.0,3.8,98.0,82.0,41.0,,,,09:05:23
,,,,,99.0,81.0,3.6,98.0,82.0,41.0,,,,09:05:24
,,,,,99.0,81.0,3.6,98.0,83.0,39.0,,,,09:05:24
,,,,,99.0,81.0,3.6,98.0,83.0,39.0,,,,09:05:25
,,,,,99.0,81.0,3.6,98.0,83.0,39.0,,,,09:05:25
,,,,,99.0,82.0,3.5,98.0,83.0,39.0,,,,09:05:26
,,,,,99.0,82.0,3.5,98.0,85.0,39.0,,,,09:05:26
,,,,,99.0,83.0,3.3,98.0,85.0,39.0,,,,09:05:27
,,,,,99.0,83.0,3.3,98.0,85.0,39.0,,,,09:05:27
,,,,,99.0,85.0,3.3,98.0,85.0,39.0,,,,09:05:28
,,,,,99.0,85.0,3.3,98.0,85.0,39.0,,,,09:05:28
,,,,,99.0,87.0,3.2,98.0,85.0,39.0,,,,09:05:29
,,,,,99.0,87.0,3.2,98.0,85.0,39.0,,,,09:05:29
,,,,,99.0,87.0,3.2,98.0,87.0,37.0,,,,09:05:29
,,,,,99.0,87.0,3.2,98.0,88.0,39.0,,,,09:05:30
,,,,,99.0,88.0,3.1,98.0,88.0,39.0,,,,09:05:31
,,,,,99.0,88.0,3.1,98.0,88.0,39.0,,,,09:05:31
,,,,,99.0,89.0,3.1,98.0,88.0,39.0,,,,09:05:32
,,,,,99.0,89.0,3.1,98.0,89.0,40.0,,,,09:05:32
,,,,,99.0,91.0,3.1,98.0,89.0,40.0,,,,09:05:33
,,,,,99.0,91.0,3.1,98.0,89.0,40.0,,,,09:05:33
,,,,,99.0,92.0,3.1,98.0,89.0,40.0,,,,09:05:34
,,,,,99.0,92.0,3.1,98.0,89.0,34.0,,,,09:05:34
,,,,,99.0,91.0,3.1,98.0,89.0,34.0,,,,09:05:35
,,,,,99.0,91.0,3.1,98.0,89.0,34.0,,,,09:05:35
,,,,,99.0,91.0,3.1,98.0,89.0,34.0,,,,09:05:36
,,,,,99.0,91.0,3.1,98.0,87.0,39.0,,,,09:05:36
,,,,,99.0,90.0,3.1,98.0,87.0,39.0,,,,09:05:37
,,,,,99.0,90.0,3.1,98.0,87.0,39.0,,,,09:05:37
,,,,,99.0,90.0,3.0,98.0,87.0,39.0,,,,09:05:38
,,,,,99.0,90.0,3.0,98.0,87.0,33.0,,,,09:05:38
,,,,,99.0,89.0,2.9,98.0,87.0,33.0,,,,09:05:39
,,,,,99.0,89.0,2.9,98.0,87.0,33.0,,,,09:05:39
,,,,,99.0,88.0,2.7,98.0,87.0,33.0,,,,09:05:40
,,,,,99.0,88.0,2.7,98.0,87.0,31.0,,,,09:05:40
,,,,,99.0,87.0,2.6,98.0,87.0,31.0,,,,09:05:41
,,,,,99.0,87.0,2.6,98.0,87.0,31.0,,,,09:05:41
,,,,,99.0,87.0,2.6,98.0,87.0,31.0,,,,09:05:42
,,,,,99.0,87.0,2.6,98.0,88.0,34.0,,,,09:05:42
,,,,,99.0,86.0,2.6,98.0,88.0,34.0,,,,09:05:43
,,,,,99.0,86.0,2.6,98.0,88.0,34.0,,,,09:05:43
,,,,,99.0,87.0,2.5,98.0,88.0,34.0,,,,09:05:44
,,,,,99.0,87.0,2.5,98.0,89.0,41.0,,,,09:05:44
,,,,,99.0,88.0,2.5,98.0,89.0,41.0,,,,09:05:45
,,,,,99.0,88.0,2.5,98.0,89.0,41.0,,,,09:05:45
,,,,,99.0,89.0,2.6,98.0,89.0,41.0,,,,09:05:46
,,,,,99.0,89.0,2.6,98.0,88.0,42.0,,,,09:05:46
,,,,,99.0,89.0,2.7,98.0,88.0,42.0,,,,09:05:47
,,,,,99.0,89.0,2.7,98.0,88.0,42.0,,,,09:05:47
,,,,,99.0,89.0,2.7,98.0,88.0,42.0,,,,09:05:48
,,,,,99.0,89.0,2.7,98.0,85.0,46.0,,,,09:05:48
,,,,,99.0,89.0,2.8,98.0,85.0,46.0,,,,09:05:49
,,,,,99.0,89.0,2.8,98.0,85.0,46.0,,,,09:05:49
,,,,,99.0,88.0,3.0,98.0,85.0,46.0,,,,09:05:50
,,,,,99.0,88.0,3.0,98.0,84.0,47.0,,,,09:05:50
,,,,,99.0,86.0,3.1,98.0,84.0,47.0,,,,09:05:51
,,,,,99.0,86.0,3.1,98.0,84.0,47.0,,,,09:05:51
,,,,,99.0,84.0,3.3,98.0,84.0,47.0,,,,09:05:52
,,,,,99.0,84.0,3.3,98.0,85.0,47.0,,,,09:05:52
,,,,,99.0,83.0,3.3,98.0,85.0,47.0,,,,09:05:53
,,,,,99.0,83.0,3.3,98.0,85.0,47.0,,,,09:05:53
,,,,,99.0,83.0,3.3,98.0,85.0,47.0,,,,09:05:54
,,,,,99.0,83.0,3.3,98.0,85.0,48.0,,,,09:05:54
,,,,,99.0,83.0,3.5,98.0,85.0,48.0,,,,09:05:55
,,,,,99.0,83.0,3.5,98.0,85.0,48.0,,,,09:05:55
,,,,,99.0,83.0,3.6,98.0,85.0,48.0,,,,09:05:56
,,,,,99.0,83.0,3.6,98.0,86.0,48.0,,,,09:05:56
,,,,,99.0,83.0,3.6,98.0,86.0,48.0,,,,09:05:57
,,,,,99.0,83.0,3.6,98.0,86.0,48.0,,,,09:05:57
,,,,,99.0,84.0,3.7,98.0,86.0,48.0,,,,09:05:58
