Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,99,100,0.1,100,100,9,14:28:09
,,,,,99,100,0.1,100,98,10,14:28:10
,,,,,99,100,0.1,100,96,10,14:28:10
,,,,,99,100,0.1,100,96,10,14:28:11
,,,,,99,99,0.1,100,96,10,14:28:11
,,,,,99,98,0.1,100,95,9,14:28:12
,,,,,99,98,0.1,100,95,9,14:28:12
,,,,,99,97,0.1,100,95,9,14:28:13
,,,,,99,97,0.1,100,95,9,14:28:13
,,,,,100,95,0.1,100,96,9,14:28:14
,,,,,100,95,0.1,100,96,9,14:28:14
,,,,,100,96,0.1,100,96,9,14:28:15
,,,,,100,96,0.1,100,96,9,14:28:15
,,,,,100,96,0.1,100,98,8,14:28:16
,,,,,100,96,0.1,100,98,8,14:28:16
,,,,,99,96,0.1,100,98,8,14:28:17
,,,,,99,96,0.1,100,98,8,14:28:17
,,,,,99,96,0.1,100,95,9,14:28:18
,,,,,99,96,0.1,100,95,9,14:28:18
,,,,,99,96,0.1,100,95,9,14:28:19
,,,,,99,96,0.1,100,95,9,14:28:19
,,,,,99,95,0.1,100,94,9,14:28:20
,,,,,99,95,0.1,100,94,9,14:28:20
,,,,,99,94,0.1,100,94,9,14:28:21
,,,,,99,94,0.1,100,94,9,14:28:21
,,,,,99,94,0.1,100,94,9,14:28:22
,,,,,99,94,0.1,100,94,9,14:28:22
,,,,,99,92,0.1,100,94,9,14:28:23
,,,,,99,92,0.1,100,94,9,14:28:23
,,,,,99,92,0.1,100,93,10,14:28:24
,,,,,99,92,0.1,100,93,10,14:28:24
,,,,,99,92,0.1,100,93,10,14:28:25
,,,,,99,92,0.1,100,93,10,14:28:25
,,,,,99,92,0.1,100,93,10,14:28:26
,,,,,99,92,0.1,100,93,10,14:28:26
,,,,,99,92,0.1,100,93,10,14:28:27
,,,,,99,92,0.1,100,93,10,14:28:27
,,,,,99,92,0.1,100,93,9,14:28:28
,,,,,99,92,0.1,100,93,9,14:28:28
,,,,,99,92,0.1,100,93,9,14:28:29
,,,,,99,92,0.1,100,93,9,14:28:29
,,,,,99,91,0.1,100,93,9,14:28:30
,,,,,99,91,0.1,100,93,9,14:28:30
,,,,,99,92,0.1,100,93,9,14:28:31
,,,,,99,92,0.1,100,93,9,14:28:31
,,,,,99,93,0.1,100,93,9,14:28:32
,,,,,99,93,0.1,100,93,9,14:28:32
,,,,,99,93,0.1,100,93,9,14:28:33
,,,,,99,93,0.1,100,93,9,14:28:33
,,,,,99,93,0.1,100,93,10,14:28:34
,,,,,99,93,0.1,100,93,10,14:28:34
,,,,,99,94,0.1,100,93,10,14:28:35
,,,,,99,94,0.1,100,93,10,14:28:35
,,,,,99,94,0.1,100,92,10,14:28:36
,,,,,99,94,0.1,100,92,10,14:28:36
,,,,,99,93,0.1,100,92,10,14:28:37
,,,,,99,93,0.1,100,92,10,14:28:37
,,,,,99,93,0.1,100,92,10,14:28:38
,,,,,99,93,0.1,100,92,10,14:28:38
,,,,,99,93,0.1,100,92,10,14:28:39
,,,,,99,93,0.1,100,92,10,14:28:39
,,,,,99,92,0.1,100,93,11,14:28:40
,,,,,99,92,0.1,100,93,11,14:28:40
,,,,,99,92,0.1,100,93,11,14:28:41
,,,,,99,92,0.1,100,93,11,14:28:41
,,,,,100,92,0.1,100,93,11,14:28:42
,,,,,100,92,0.1,100,93,11,14:28:42
,,,,,100,98,0.1,100,93,11,14:28:43
,,,,,100,98,0.1,100,93,11,14:28:43
,,,,,100,94,0.1,100,94,11,14:28:44
,,,,,100,94,0.1,100,94,11,14:28:44
,,,,,100,94,0.1,100,94,11,14:28:45
,,,,,100,94,0.1,100,94,11,14:28:45
,,,,,100,94,0.1,100,96,13,14:28:46
,,,,,100,94,0.1,100,96,13,14:28:46
,,,,,100,94,0.1,100,96,13,14:28:47
,,,,,100,94,0.1,100,96,13,14:28:47
,,,,,100,95,0.1,100,96,15,14:28:48
,,,,,100,95,0.1,100,96,15,14:28:48
,,,,,99,95,0.1,100,96,15,14:28:49
,,,,,99,95,0.1,100,96,15,14:28:49
,,,,,99,96,0.1,100,94,10,14:28:50
,,,,,99,96,0.1,100,94,10,14:28:50
,,,,,99,96,0.1,100,94,10,14:28:51
,,,,,99,96,0.1,100,94,10,14:28:51
,,,,,99,96,0.1,100,92,12,14:28:52
,,,,,99,96,0.1,100,92,12,14:28:52
,,,,,99,102,0.1,100,92,12,14:28:53
,,,,,99,102,0.1,100,92,12,14:28:53
,,,,,100,102,0.1,100,91,11,14:28:54
,,,,,100,102,0.1,100,91,11,14:28:54
,,,,,100,96,0.1,100,91,11,14:28:55
,,,,,100,96,0.1,100,91,11,14:28:55
,,,,,100,96,0.1,100,92,11,14:28:56
,,,,,100,96,0.1,100,92,11,14:28:56
,,,,,100,96,0.1,100,92,11,14:28:57
,,,,,100,96,0.1,100,92,11,14:28:57
,,,,,99,96,0.1,100,93,11,14:28:58
,,,,,99,96,0.1,100,93,11,14:28:58
,,,,,99,96,0.1,100,93,11,14:28:59
,,,,,99,96,0.1,100,93,11,14:28:59
,,,,,99,94,0.1,100,95,9,14:29:00
,,,,,99,94,0.1,100,95,9,14:29:00
,,,,,99,95,0.1,100,95,9,14:29:01
,,,,,99,95,0.1,100,95,9,14:29:01
,,,,,99,95,0.1,100,95,9,14:29:02
