Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,,,,,,255.0,,,,09:21:11
,,,,,,,,,,255.0,,,,09:21:12
,,,,,,,,,,255.0,,,,09:21:12
,,,,,,,,,,255.0,,,,09:21:13
,,,,,,,,,,255.0,,,,09:21:15
,,,,,,,,,,255.0,,,,09:21:16
,,,,,,,,,,255.0,,,,09:21:16
,,,,,,,,,,255.0,,,,09:21:17
,,,,,,,,,,76.0,,,,09:21:17
,,,,,,,,,,76.0,,,,09:21:18
,,,,,,,,,,76.0,,,,09:21:18
,,,,,,,,,,76.0,,,,09:21:19
,,,,,,,,96.0,59.0,57.0,,,,09:21:19
,,,,,,,,96.0,59.0,57.0,,,,09:21:20
,,,,,,,,96.0,59.0,57.0,,,,09:21:20
,,,,,,,,96.0,59.0,57.0,,,,09:21:21
,,,,,,,,96.0,55.0,63.0,,,,09:21:21
,,,,,,,,96.0,55.0,63.0,,,,09:21:22
,,,,,,,,96.0,55.0,63.0,,,,09:21:22
,,,,,,,,96.0,55.0,63.0,,,,09:21:23
,,,,,,,,96.0,56.0,56.0,,,,09:21:23
,,,,,,,,96.0,56.0,56.0,,,,09:21:24
,,,,,,,,96.0,56.0,56.0,,,,09:21:24
,,,,,,,,96.0,56.0,56.0,,,,09:21:25
,,,,,,,,96.0,57.0,66.0,,,,09:21:25
,,,,,74.0,,20.0,96.0,57.0,66.0,,,,09:21:26
,,,,,74.0,,20.0,96.0,57.0,66.0,,,,09:21:26
,,,,,74.0,,20.0,96.0,57.0,66.0,,,,09:21:27
,,,,,74.0,,20.0,96.0,57.0,66.0,,,,09:21:27
,,,,,74.0,,20.0,96.0,57.0,66.0,,,,09:21:28
,,,,,74.0,,20.0,96.0,57.0,66.0,,,,09:21:28
,,,,,74.0,,20.0,96.0,57.0,66.0,,,,09:21:29
,,,,,74.0,,20.0,96.0,57.0,51.0,,,,09:21:29
,,,,,75.0,,20.0,96.0,57.0,51.0,,,,09:21:30
,,,,,75.0,,20.0,96.0,57.0,51.0,,,,09:21:30
,,,,,76.0,,20.0,96.0,57.0,51.0,,,,09:21:31
,,,,,76.0,,20.0,96.0,59.0,255.0,,,,09:21:31
