Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,,,,,,,97.0,,455.0,13:11:46
,,,,,,,,,,,97.0,,455.0,13:11:46
,,,,,,,,,,,97.0,,456.0,13:11:47
,,,,,,,,,,,97.0,,456.0,13:11:47
,,,,,,,,,,,97.0,63.0,443.0,13:11:48
,,,,,,,,,,,97.0,63.0,443.0,13:11:49
,,,,,,,,,,255.0,97.0,62.0,439.0,13:11:49
,,,,,,,,,,255.0,97.0,62.0,439.0,13:11:49
,,,,,,,,,,255.0,97.0,62.0,444.0,13:11:50
,,,,,,,6.3,,,255.0,97.0,62.0,444.0,13:11:50
,,,,,,,6.3,,,4.0,97.0,62.0,446.0,13:11:51
,,,,,99.0,61.0,3.4,,,4.0,97.0,62.0,446.0,13:11:51
,,,,,99.0,61.0,3.4,,,4.0,97.0,62.0,434.0,13:11:52
,,,,,99.0,63.0,4.7,,,4.0,97.0,62.0,434.0,13:11:52
,,,,,99.0,63.0,4.7,,,4.0,97.0,62.0,441.0,13:11:53
,,,,,99.0,64.0,5.2,,,4.0,97.0,62.0,441.0,13:11:53
,,,,,99.0,64.0,5.2,,,4.0,97.0,62.0,445.0,13:11:54
,,,,,99.0,64.0,5.2,,,72.0,97.0,62.0,445.0,13:11:54
,,,,,99.0,64.0,5.2,98.0,61.0,75.0,97.0,62.0,443.0,13:11:55
,,,,,99.0,64.0,5.6,98.0,61.0,75.0,97.0,62.0,443.0,13:11:55
,,,,,99.0,64.0,5.6,98.0,61.0,75.0,97.0,62.0,434.0,13:11:56
,,,,,99.0,63.0,5.7,98.0,61.0,75.0,97.0,62.0,434.0,13:11:56
,,,,,99.0,63.0,5.7,98.0,62.0,82.0,97.0,62.0,409.0,13:11:57
,,,,,99.0,63.0,5.8,98.0,62.0,82.0,97.0,62.0,409.0,13:11:57
,,,,,99.0,63.0,5.8,98.0,62.0,82.0,97.0,62.0,392.0,13:11:58
,,,,,99.0,63.0,6.1,98.0,62.0,82.0,97.0,62.0,392.0,13:11:58
,,,,,99.0,63.0,6.1,98.0,62.0,84.0,98.0,62.0,379.0,13:11:59
,,,,,99.0,63.0,6.3,98.0,62.0,84.0,98.0,62.0,379.0,13:11:59
,,,,,99.0,63.0,6.3,98.0,62.0,84.0,98.0,62.0,363.0,13:12:00
,,,,,99.0,63.0,6.3,98.0,62.0,84.0,98.0,62.0,363.0,13:12:00
