Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,,,,,,,98.0,47.0,71.0,11:17:13
,,,,,,,,,,,98.0,47.0,71.0,11:17:13
,,,,,,,,,,,98.0,47.0,71.0,11:17:14
,,,,,,,,,,,98.0,47.0,71.0,11:17:14
,,,,,,,,,,,98.0,47.0,71.0,11:17:15
,,,,,,,,,,,98.0,47.0,71.0,11:17:15
,,,,,,,,,,,98.0,47.0,71.0,11:17:16
,,,,,,,,,,,98.0,47.0,71.0,11:17:16
,,,,,,,,,,,98.0,47.0,71.0,11:17:17
,,,,,,,,,,,98.0,47.0,71.0,11:17:17
,,,,,,,,,,,98.0,47.0,71.0,11:17:18
,,,,,,,,,,,98.0,47.0,71.0,11:17:18
,,,,,,,,,,,98.0,47.0,71.0,11:17:19
,,,,,,,,,,,98.0,47.0,71.0,11:17:19
,,,,,,,,,,,98.0,47.0,71.0,11:17:20
,,,,,,,,,,,98.0,47.0,71.0,11:17:20
,,,,,,,,,,,98.0,47.0,71.0,11:17:21
,,,,,,,,,,,98.0,47.0,71.0,11:17:21
,,,,,,,,,,,98.0,47.0,71.0,11:17:22
,,,,,,,,,,,98.0,47.0,71.0,11:17:22
,,,,,,,,,,,98.0,47.0,71.0,11:17:23
,,,,,,,,,,,98.0,47.0,71.0,11:17:23
,,,,,,,,,,,98.0,47.0,71.0,11:17:24
,,,,,,,,,,,98.0,47.0,71.0,11:17:24
,,,,,,,,,,,98.0,47.0,71.0,11:17:25
,,,,,,,,,,,98.0,47.0,71.0,11:17:25
,,,,,,,,,,,98.0,47.0,71.0,11:17:26
,,,,,,,,,,,98.0,47.0,71.0,11:17:26
,,,,,,,,,,,98.0,47.0,71.0,11:17:27
,,,,,,,,,,,98.0,47.0,71.0,11:17:27
,,,,,,,,,,,98.0,47.0,71.0,11:17:28
,,,,,,,,,,,98.0,47.0,71.0,11:17:28
,,,,,,,,,,,98.0,47.0,71.0,11:17:29
,,,,,,,,,,,98.0,47.0,71.0,11:17:29
,,,,,,,,,,,98.0,47.0,71.0,11:17:30
,,,,,,,,,,,98.0,47.0,71.0,11:17:30
,,,,,,,,,,,98.0,47.0,71.0,11:17:31
,,,,,,,,,,,98.0,47.0,71.0,11:17:31
,,,,,,,,,,,98.0,47.0,71.0,11:17:32
,,,,,,,,,,,98.0,47.0,71.0,11:17:32
,,,,,,,,,,,98.0,47.0,71.0,11:17:33
,,,,,,,,,,,98.0,47.0,71.0,11:17:33
,,,,,,,,,,,98.0,47.0,71.0,11:17:34
,,,,,,,,,,,98.0,47.0,71.0,11:17:34
,,,,,,,,,,,98.0,47.0,71.0,11:17:35
,,,,,,,,,,,98.0,47.0,71.0,11:17:35
,,,,,,,,,,,98.0,47.0,71.0,11:17:36
,,,,,,,,,,,98.0,47.0,71.0,11:17:36
,,,,,,,,,,,98.0,47.0,71.0,11:17:37
,,,,,,,,,,,98.0,47.0,71.0,11:17:37
,,,,,,,,,,,98.0,47.0,71.0,11:17:38
,,,,,,,,,,,98.0,47.0,71.0,11:17:38
,,,,,,,,,,,98.0,47.0,71.0,11:17:39
,,,,,,,,,,,98.0,47.0,71.0,11:17:39
,,,,,,,,,,,98.0,47.0,71.0,11:17:40
,,,,,,,,,,,98.0,47.0,71.0,11:17:40
,,,,,,,,,,,98.0,47.0,71.0,11:17:41
,,,,,,,,,,,98.0,47.0,71.0,11:17:41
,,,,,,,,,,,98.0,47.0,71.0,11:17:42
,,,,,,,,,,,98.0,47.0,71.0,11:17:42
,,,,,,,,,,,98.0,47.0,71.0,11:17:43
,,,,,,,,,,,98.0,47.0,71.0,11:17:43
,,,,,,,,,,,98.0,47.0,71.0,11:17:44
,,,,,,,,,,,98.0,47.0,71.0,11:17:44
,,,,,,,,,,,98.0,47.0,71.0,11:17:45
,,,,,,,,,,,98.0,47.0,71.0,11:17:45
,,,,,,,,,,,98.0,47.0,71.0,11:17:46
,,,,,,,,,,,98.0,47.0,71.0,11:17:46
,,,,,,,,,,,98.0,47.0,71.0,11:17:47
,,,,,,,,,,,98.0,47.0,71.0,11:17:47
,,,,,,,,,,,98.0,47.0,71.0,11:17:48
,,,,,,,,,,,98.0,47.0,71.0,11:17:48
,,,,,,,,,,,98.0,47.0,71.0,11:17:49
,,,,,,,,,,,98.0,47.0,71.0,11:17:49
,,,,,,,,,,,98.0,47.0,71.0,11:17:50
,,,,,,,,,,,98.0,47.0,71.0,11:17:50
,,,,,,,,,,,98.0,47.0,71.0,11:17:51
,,,,,,,,,,,98.0,47.0,71.0,11:17:51
,,,,,,,,,,,98.0,47.0,71.0,11:17:52
,,,,,,,,,,,98.0,47.0,71.0,11:17:52
,,,,,,,,,,,98.0,47.0,71.0,11:17:53
,,,,,,,,,,,98.0,47.0,71.0,11:17:53
,,,,,,,,,,,98.0,47.0,71.0,11:17:54
,,,,,,,,,,,98.0,47.0,71.0,11:17:54
,,,,,,,,,,,98.0,47.0,71.0,11:17:55
,,,,,,,,,,,98.0,47.0,71.0,11:17:55
,,,,,,,,,,,98.0,47.0,71.0,11:17:56
,,,,,,,,,,,98.0,47.0,71.0,11:17:56
,,,,,,,,,,,98.0,47.0,71.0,11:17:57
,,,,,,,,,,,98.0,47.0,71.0,11:17:57
,,,,,,,,,,,98.0,47.0,71.0,11:17:58
,,,,,,,,,,,98.0,47.0,71.0,11:17:58
,,,,,,,,,,,98.0,47.0,71.0,11:17:59
,,,,,,,,,,,98.0,47.0,71.0,11:17:59
,,,,,,,,,,,98.0,47.0,71.0,11:18:00
,,,,,,,,,,,98.0,47.0,71.0,11:18:00
,,,,,,,,,,,98.0,47.0,71.0,11:18:01
,,,,,,,,,,,98.0,47.0,71.0,11:18:01
,,,,,,,,,,,98.0,47.0,71.0,11:18:02
,,,,,,,,,,,98.0,47.0,71.0,11:18:02
,,,,,,,,,,,98.0,47.0,71.0,11:18:03
,,,,,,,,,,,98.0,47.0,71.0,11:18:03
,,,,,,,,,,,98.0,47.0,71.0,11:18:04
,,,,,,,,,,,98.0,47.0,71.0,11:18:04
,,,,,,,,,,,98.0,47.0,71.0,11:18:05
,,,,,,,,,,,98.0,47.0,71.0,11:18:05
,,,,,,,,,,,98.0,47.0,71.0,11:18:06
,,,,,,,,,,,98.0,47.0,71.0,11:18:06
,,,,,,,,,,,98.0,47.0,71.0,11:18:07
,,,,,,,,,,,98.0,47.0,71.0,11:18:07
,,,,,,,,,,,98.0,47.0,71.0,11:18:08
,,,,,,,,,,,98.0,47.0,71.0,11:18:08
,,,,,,,,,,,98.0,47.0,71.0,11:18:09
,,,,,,,,,,,98.0,47.0,71.0,11:18:09
,,,,,,,,,,,98.0,47.0,71.0,11:18:10
,,,,,,,,,,,98.0,47.0,71.0,11:18:10
,,,,,,,,,,,98.0,47.0,71.0,11:18:11
,,,,,,,,,,,98.0,47.0,71.0,11:18:11
,,,,,,,,,,,98.0,47.0,71.0,11:18:12
,,,,,,,,,,,98.0,47.0,71.0,11:18:12
,,,,,,,,,,,98.0,47.0,71.0,11:18:13
,,,,,,,,,,,98.0,47.0,71.0,11:18:13
,,,,,,,,,,,98.0,47.0,71.0,11:18:14
,,,,,,,,,,,98.0,47.0,71.0,11:18:14
,,,,,,,,,,,98.0,47.0,71.0,11:18:15
,,,,,,,,,,,98.0,47.0,71.0,11:18:15
,,,,,,,,,,,98.0,47.0,71.0,11:18:16
,,,,,,,,,,,98.0,47.0,71.0,11:18:16
