Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,98.0,72.0,12.0,,,,,,,14:16:24
,,,,,98.0,72.0,12.0,,,,,,,14:16:25
,,,,,98.0,72.0,6.3,,,,,,,14:16:25
,,,,,98.0,72.0,6.3,,,,,,,14:16:26
,,,,,98.0,74.0,8.9,,,,,,,14:16:26
,,,,,98.0,74.0,8.9,,,,,,,14:16:27
,,,,,98.0,72.0,10.0,,,,,,,14:16:27
,,,,,98.0,72.0,10.0,,,,,,,14:16:28
,,,,,98.0,72.0,11.0,,,,,,,14:16:28
,,,,,98.0,72.0,11.0,,,,,,,14:16:29
,,,,,98.0,72.0,11.0,,,,,,,14:16:29
,,,,,98.0,72.0,11.0,,,,,,,14:16:30
,,,,,98.0,71.0,11.0,,,,,,,14:16:30
,,,,,98.0,71.0,11.0,,,,,,,14:16:31
,,,,,98.0,71.0,11.0,,,,,,,14:16:31
,,,,,98.0,71.0,11.0,,,,,,,14:16:32
,,,,,98.0,70.0,11.0,,,,,,,14:16:32
,,,,,98.0,70.0,11.0,,,,,,,14:16:33
,,,,,98.0,70.0,11.0,,,,,,,14:16:33
,,,,,98.0,70.0,11.0,,,,,,,14:16:34
,,,,,98.0,71.0,11.0,,,,,,,14:16:34
,,,,,98.0,71.0,11.0,,,,,,,14:16:35
,,,,,98.0,71.0,11.0,,,,,,,14:16:35
,,,,,98.0,71.0,11.0,,,,,,,14:16:36
,,,,,98.0,71.0,11.0,,,,,,,14:16:36
,,,,,98.0,71.0,11.0,,,,,,,14:16:37
,,,,,98.0,71.0,11.0,,,,,,,14:16:37
,,,,,98.0,71.0,11.0,,,,,,,14:16:38
,,,,,98.0,71.0,12.0,,,,,,,14:16:38
,,,,,98.0,71.0,12.0,,,,,,,14:16:39
,,,,,98.0,71.0,11.0,,,,,,,14:16:39
,,,,,98.0,71.0,11.0,,,,,,,14:16:40
,,,,,98.0,71.0,12.0,,,,,,,14:16:40
,,,,,98.0,71.0,12.0,,,,,,,14:16:41
,,,,,98.0,70.0,12.0,,,,,,,14:16:41
,,,,,98.0,70.0,12.0,,,,,,,14:16:42
,,,,,98.0,70.0,12.0,,,,,,,14:16:42
,,,,,98.0,70.0,12.0,,,,,,,14:16:43
,,,,,98.0,70.0,12.0,,,,,,,14:16:43
,,,,,98.0,70.0,12.0,,,,,,,14:16:44
,,,,,98.0,70.0,11.0,,,,,,,14:16:44
,,,,,98.0,70.0,11.0,,,,,,,14:16:45
,,,,,98.0,70.0,11.0,,,,,,,14:16:45
,,,,,98.0,70.0,11.0,,,,,,,14:16:46
,,,,,98.0,70.0,11.0,,,,,,,14:16:46
,,,,,98.0,70.0,11.0,,,,,,,14:16:47
,,,,,98.0,69.0,10.0,,,,,,,14:16:47
,,,,,98.0,69.0,10.0,,,,,,,14:16:48
,,,,,98.0,68.0,10.0,,,,,,,14:16:48
,,,,,98.0,68.0,10.0,,,,,,,14:16:49
,,,,,98.0,68.0,10.0,,,,,,,14:16:49
,,,,,98.0,68.0,10.0,,,,,,,14:16:50
,,,,,98.0,68.0,10.0,,,,,,,14:16:50
,,,,,98.0,68.0,10.0,,,,,,,14:16:51
,,,,,98.0,68.0,10.0,,,,,,,14:16:51
,,,,,98.0,68.0,10.0,,,,,,,14:16:52
,,,,,98.0,67.0,10.0,,,,,,,14:16:52
,,,,,98.0,67.0,10.0,,,,,,,14:16:53
,,,,,98.0,67.0,10.0,,,,,,,14:16:53
,,,,,98.0,67.0,10.0,,,,,,,14:16:54
,,,,,98.0,67.0,8.7,,,,,,,14:16:54
,,,,,98.0,67.0,8.7,,,,,,,14:16:55
,,,,,98.0,67.0,7.8,,,,,,,14:16:55
,,,,,98.0,67.0,7.8,,,,,,,14:16:56
,,,,,98.0,67.0,7.8,,,,,,,14:16:56
,,,,,98.0,67.0,7.8,,,,,,,14:16:57
,,,,,98.0,67.0,7.4,,,,,,,14:16:57
,,,,,98.0,67.0,7.4,,,,,,,14:16:58
,,,,,98.0,67.0,7.4,,,,,,,14:16:58
,,,,,98.0,67.0,7.4,,,,,,,14:16:59
,,,,,98.0,67.0,7.5,,,,,,,14:16:59
,,,,,98.0,67.0,7.5,,,,,,,14:17:00
,,,,,98.0,68.0,7.9,,,,,,,14:17:00
,,,,,98.0,68.0,7.9,,,,,,,14:17:01
,,,,,98.0,69.0,8.0,,,,,,,14:17:01
,,,,,98.0,69.0,8.0,,,,,,,14:17:02
,,,,,98.0,69.0,8.0,,,,,,,14:17:02
,,,,,98.0,69.0,8.0,,,,,,,14:17:03
,,,,,98.0,69.0,7.9,,,,,,,14:17:03
,,,,,98.0,69.0,7.9,,,,,,,14:17:04
,,,,,98.0,69.0,7.7,,,,,,,14:17:04
,,,,,98.0,69.0,7.7,,,,,,,14:17:05
,,,,,98.0,68.0,7.6,,,,,,,14:17:05
,,,,,98.0,68.0,7.6,,,,,,,14:17:06
,,,,,98.0,68.0,7.6,,,,,,,14:17:06
,,,,,98.0,68.0,7.6,,,,,,,14:17:07
,,,,,98.0,69.0,7.7,,,,,,,14:17:07
,,,,,98.0,69.0,7.7,,,,,,,14:17:08
,,,,,98.0,69.0,7.7,,,,,,,14:17:08
,,,,,98.0,69.0,7.7,,,,,,,14:17:09
,,,,,98.0,68.0,7.8,,,,,,,14:17:09
,,,,,98.0,68.0,7.8,,,,,,,14:17:10
,,,,,98.0,68.0,7.9,,,,,,,14:17:10
,,,,,98.0,68.0,7.9,,,,,,,14:17:11
,,,,,98.0,67.0,7.9,,,,,,,14:17:11
,,,,,98.0,67.0,7.9,,,,,,,14:17:12
,,,,,98.0,67.0,7.7,,,,,,,14:17:12
,,,,,98.0,67.0,7.7,,,,,,,14:17:13
,,,,,98.0,66.0,7.6,,,,,,,14:17:13
,,,,,98.0,66.0,7.6,,,,,,,14:17:14
,,,,,98.0,66.0,7.5,,,,,,,14:17:14
,,,,,98.0,66.0,7.5,,,,,,,14:17:15
,,,,,98.0,67.0,7.4,,,,,,,14:17:15
,,,,,98.0,67.0,7.4,,,,,,,14:17:16
,,,,,98.0,67.0,7.5,,,,,,,14:17:16
,,,,,98.0,67.0,7.5,,,,,,,14:17:17
