Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,,,,,,255.0,,,,14:59:53
,,,,,,,,,,255.0,,,,14:59:53
,,,,,100.0,89.0,2.1,,,255.0,,,,14:59:54
,,,,,100.0,89.0,2.1,,,255.0,,,,14:59:54
,,,,,100.0,89.0,2.1,,,255.0,,,,14:59:55
,,,,,100.0,89.0,2.1,,,255.0,,,,14:59:55
,,,,,100.0,89.0,2.9,,,255.0,,,,14:59:56
,,,,,100.0,89.0,2.9,,,255.0,,,,14:59:56
,,,,,100.0,89.0,3.1,,,52.0,,,,14:59:57
,,,,,100.0,89.0,3.1,,,52.0,,,,14:59:57
,,,,,100.0,91.0,3.2,,,52.0,,,,14:59:58
,,,,,100.0,91.0,3.2,,,52.0,,,,14:59:58
,,,,,100.0,91.0,3.6,,,,,,,14:59:59
,,,,,100.0,91.0,3.6,,,,,,,14:59:59
,,,,,100.0,91.0,3.6,,,,,,,15:00:00
,,,,,100.0,91.0,3.6,,,,,,,15:00:00
,,,,,100.0,91.0,4.0,,,,,,,15:00:01
,,,,,100.0,91.0,4.0,,,,,,,15:00:01
,,,,,100.0,91.0,4.1,,,,,,,15:00:02
,,,,,100.0,91.0,4.1,,,,,,,15:00:02
,,,,,100.0,91.0,4.1,,,,,,,15:00:03
,,,,,100.0,91.0,4.1,,,,,,,15:00:03
,,,,,100.0,92.0,4.3,,,,,,,15:00:04
,,,,,100.0,92.0,4.3,,,,,,,15:00:04
,,,,,100.0,92.0,4.3,,,,,,,15:00:05
,,,,,100.0,92.0,4.3,,,,,,,15:00:05
,,,,,100.0,92.0,4.5,,,,,,,15:00:06
,,,,,100.0,92.0,4.5,,,,,,,15:00:06
,,,,,100.0,93.0,4.5,,,255.0,,,,15:00:07
,,,,,100.0,93.0,4.5,,,255.0,,,,15:00:07
,,,,,100.0,95.0,4.6,,,255.0,,,,15:00:08
,,,,,100.0,95.0,4.6,,,255.0,,,,15:00:08
,,,,,100.0,93.0,4.6,98.0,82.0,39.0,,,,15:00:09
,,,,,100.0,93.0,4.6,98.0,82.0,39.0,,,,15:00:09
,,,,,100.0,93.0,4.6,98.0,82.0,39.0,,,,15:00:10
,,,,,100.0,93.0,4.6,98.0,82.0,39.0,,,,15:00:10
,,,,,100.0,92.0,4.6,98.0,84.0,40.0,,,,15:00:11
,,,,,100.0,92.0,4.6,98.0,84.0,40.0,,,,15:00:11
,,,,,100.0,90.0,4.7,98.0,84.0,40.0,,,,15:00:12
,,,,,100.0,90.0,4.7,98.0,84.0,40.0,,,,15:00:12
,,,,,100.0,89.0,4.8,98.0,84.0,45.0,,,,15:00:13
,,,,,100.0,89.0,4.8,98.0,84.0,45.0,,,,15:00:13
,,,,,100.0,88.0,4.8,98.0,84.0,45.0,,,,15:00:14
,,,,,100.0,88.0,4.8,98.0,84.0,45.0,,,,15:00:14
,,,,,100.0,86.0,4.8,98.0,86.0,43.0,,,,15:00:15
,,,,,100.0,86.0,4.8,98.0,86.0,43.0,,,,15:00:15
,,,,,100.0,86.0,4.8,98.0,86.0,43.0,,,,15:00:16
,,,,,100.0,86.0,4.8,98.0,86.0,43.0,,,,15:00:16
,,,,,100.0,86.0,4.6,98.0,87.0,42.0,,,,15:00:17
,,,,,100.0,86.0,4.6,98.0,87.0,42.0,,,,15:00:17
,,,,,100.0,86.0,4.6,98.0,87.0,42.0,,,,15:00:18
,,,,,100.0,86.0,4.6,98.0,87.0,42.0,,,,15:00:18
,,,,,100.0,87.0,4.0,98.0,87.0,45.0,,,,15:00:19
,,,,,100.0,87.0,4.0,98.0,87.0,45.0,,,,15:00:19
,,,,,100.0,88.0,3.6,98.0,87.0,45.0,,,,15:00:20
,,,,,100.0,88.0,3.6,98.0,87.0,45.0,,,,15:00:20
,,,,,100.0,88.0,3.6,98.0,87.0,45.0,,,,15:00:21
,,,,,100.0,88.0,3.6,98.0,87.0,45.0,,,,15:00:21
,,,,,100.0,88.0,3.5,98.0,87.0,45.0,,,,15:00:22
,,,,,100.0,88.0,3.5,98.0,87.0,45.0,,,,15:00:22
,,,,,100.0,87.0,3.4,98.0,85.0,48.0,,,,15:00:23
,,,,,100.0,87.0,3.4,98.0,85.0,48.0,,,,15:00:23
