Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,99.0,89.0,1.8,99.0,90.0,19.0,10:30:35
,,,,,99.0,90.0,1.8,99.0,88.0,28.0,10:30:36
,,,,,99.0,91.0,1.8,99.0,88.0,28.0,10:30:36
,,,,,99.0,91.0,1.8,99.0,88.0,28.0,10:30:37
,,,,,99.0,91.0,1.8,99.0,88.0,28.0,10:30:37
,,,,,99.0,90.0,1.8,99.0,88.0,28.0,10:30:38
,,,,,99.0,89.0,1.8,99.0,88.0,28.0,10:30:38
,,,,,99.0,89.0,1.8,99.0,88.0,28.0,10:30:39
,,,,,99.0,87.0,1.8,99.0,88.0,28.0,10:30:39
,,,,,99.0,87.0,1.8,99.0,85.0,31.0,10:30:40
,,,,,99.0,87.0,1.8,99.0,85.0,31.0,10:30:40
,,,,,99.0,87.0,1.8,99.0,85.0,31.0,10:30:41
,,,,,99.0,87.0,1.8,99.0,85.0,31.0,10:30:41
,,,,,99.0,87.0,1.8,99.0,85.0,28.0,10:30:42
,,,,,99.0,86.0,1.8,99.0,85.0,28.0,10:30:42
,,,,,99.0,86.0,1.8,99.0,85.0,28.0,10:30:43
,,,,,99.0,85.0,1.9,99.0,85.0,28.0,10:30:43
,,,,,99.0,85.0,1.9,99.0,86.0,18.0,10:30:44
,,,,,99.0,84.0,1.9,99.0,86.0,18.0,10:30:44
,,,,,99.0,84.0,1.9,99.0,86.0,18.0,10:30:45
,,,,,99.0,84.0,1.9,99.0,86.0,18.0,10:30:45
,,,,,99.0,84.0,1.9,99.0,85.0,19.0,10:30:46
,,,,,99.0,85.0,2.0,99.0,85.0,19.0,10:30:46
,,,,,99.0,85.0,2.0,99.0,85.0,19.0,10:30:47
,,,,,99.0,85.0,2.0,99.0,85.0,19.0,10:30:47
,,,,,99.0,85.0,2.0,99.0,85.0,28.0,10:30:48
,,,,,99.0,85.0,2.0,99.0,85.0,28.0,10:30:48
,,,,,99.0,85.0,2.0,99.0,85.0,28.0,10:30:49
,,,,,99.0,85.0,2.0,99.0,85.0,28.0,10:30:49
,,,,,99.0,85.0,2.0,99.0,84.0,21.0,10:30:50
,,,,,99.0,85.0,2.0,99.0,84.0,21.0,10:30:50
,,,,,99.0,85.0,2.0,99.0,84.0,21.0,10:30:51
,,,,,99.0,85.0,2.0,99.0,84.0,21.0,10:30:51
,,,,,99.0,85.0,2.0,99.0,84.0,23.0,10:30:52
,,,,,99.0,84.0,2.0,99.0,84.0,23.0,10:30:52
,,,,,99.0,84.0,2.0,99.0,84.0,23.0,10:30:53
,,,,,99.0,84.0,2.0,99.0,84.0,23.0,10:30:53
,,,,,99.0,84.0,2.0,98.0,85.0,29.0,10:30:54
,,,,,99.0,84.0,2.0,98.0,85.0,29.0,10:30:54
,,,,,99.0,84.0,2.0,98.0,85.0,29.0,10:30:55
,,,,,99.0,84.0,2.1,98.0,85.0,29.0,10:30:55
,,,,,99.0,84.0,2.1,98.0,85.0,29.0,10:30:56
,,,,,99.0,84.0,2.1,98.0,85.0,29.0,10:30:56
,,,,,99.0,84.0,2.1,98.0,85.0,29.0,10:30:57
,,,,,99.0,85.0,2.2,98.0,84.0,38.0,10:30:57
,,,,,99.0,85.0,2.2,98.0,84.0,33.0,10:30:58
,,,,,99.0,85.0,2.2,98.0,84.0,33.0,10:30:58
,,,,,99.0,85.0,2.2,98.0,84.0,33.0,10:30:59
,,,,,99.0,85.0,2.2,98.0,84.0,33.0,10:31:00
,,,,,99.0,85.0,2.2,98.0,84.0,27.0,10:31:00
,,,,,99.0,85.0,2.3,98.0,84.0,27.0,10:31:00
,,,,,99.0,85.0,2.3,98.0,84.0,27.0,10:31:01
