Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,,,,100.0,76.0,20.0,10:14:39
,,,,51.0,,,,,,,10:14:54
,,,,51.0,,,,,,,10:14:54
,,,,51.0,,,,,,,10:14:55
,,,,51.0,,,,,,,10:14:55
,,,,41.0,,,,,,,10:14:56
,,,,41.0,,,,,,,10:14:56
,,,,52.0,,,,,,,10:14:57
,,,,41.0,,,,,,,10:14:57
,17.066643,155.098989,99.635818,21.0,,,,,,,10:14:58
,,155.098989,100.0,,,,,,,,10:14:58
,,155.098989,100.0,,,,,,,,10:14:59
,,155.098989,100.0,,,,,,,,10:14:59
,,155.098989,100.0,,,,,,,,10:15:00
,,155.098989,100.0,,,,,,,,10:15:00
,,155.098989,100.0,,,,,,,,10:15:01
,,155.098989,100.0,,,,,,,,10:15:01
,,155.098989,100.0,,,,,,,,10:15:02
,,155.098989,100.0,,,,,,,,10:15:02
,,155.098989,100.0,,,,,,,,10:15:03
,,155.098989,100.0,,,,,,,,10:15:03
,,155.098989,100.0,,,,,,,,10:15:04
,,155.098989,100.0,,,,,,,,10:15:04
,,155.098989,100.0,,,,,,,,10:15:05
,,155.098989,100.0,,,,,,,,10:15:05
,,155.098989,100.0,,,,,,,,10:15:06
,,155.098989,100.0,,,,,,,,10:15:06
,,,,,,,,,,255.0,10:22:55
,,,,,,,,,,255.0,10:22:56
,,,,,,,,,,255.0,10:22:56
,,,,,,,,,,255.0,10:22:57
,,,,,,,,,,255.0,10:22:57
,,,,,,,,,,255.0,10:22:58
,,,,,,,,,,255.0,10:22:58
,,,,,,,,,,255.0,10:22:59
,,,,,,,,,,27.0,10:22:59
,,,,,,,,,,27.0,10:23:00
,,,,,,,,,,27.0,10:23:00
,,,,,,,,,,27.0,10:23:01
,,,,,,,,98.0,64.0,30.0,10:23:01
,,,,,,,,98.0,64.0,30.0,10:23:02
,,,,,,,,98.0,64.0,30.0,10:23:02
,,,,,,,,98.0,64.0,30.0,10:23:03
,,,,,,,,98.0,63.0,30.0,10:23:03
,,,,,,,,98.0,63.0,30.0,10:23:04
,,,,,,,,98.0,63.0,30.0,10:23:04
,,,,,,,,98.0,63.0,30.0,10:23:05
,,,,,,,,98.0,64.0,31.0,10:23:05
,,,,,,,,98.0,64.0,31.0,10:23:06
,,,,,,,,98.0,64.0,31.0,10:23:06
,,,,,,,,98.0,64.0,31.0,10:23:07
,,,,,,,,98.0,64.0,34.0,10:23:07
,,,,,,,,98.0,64.0,34.0,10:23:08
,,,,,,,,98.0,64.0,34.0,10:23:08
,,,,,,,,98.0,64.0,34.0,10:23:09
,,,,,,,,98.0,64.0,40.0,10:23:09
,,,,,,,,98.0,64.0,40.0,10:23:10
,,,,,99.0,64.0,,98.0,64.0,40.0,10:23:10
,,,,,99.0,64.0,,98.0,64.0,40.0,10:23:11
,,,,,99.0,64.0,2.8,97.0,64.0,41.0,10:23:11
,,,,,99.0,64.0,2.8,97.0,64.0,41.0,10:23:12
,,,,,99.0,64.0,3.4,97.0,64.0,41.0,10:23:12
,,,,,99.0,64.0,3.4,97.0,64.0,41.0,10:23:13
,,,,,99.0,64.0,3.4,97.0,64.0,36.0,10:23:14
,,,,,99.0,64.0,3.4,97.0,64.0,36.0,10:23:14
,,,,,99.0,64.0,3.7,97.0,64.0,36.0,10:23:14
,,,,,99.0,64.0,3.7,97.0,64.0,36.0,10:23:15
,,,,,99.0,64.0,3.9,97.0,64.0,36.0,10:23:15
,,,,,99.0,64.0,3.9,97.0,64.0,36.0,10:23:16
,,,,,99.0,64.0,4.3,97.0,64.0,36.0,10:23:16
,,,,,99.0,64.0,4.3,97.0,64.0,36.0,10:23:17
,,,,,99.0,64.0,4.4,97.0,64.0,37.0,10:23:17
,,,,,99.0,64.0,4.4,97.0,64.0,37.0,10:23:18
,,,,,99.0,64.0,4.5,97.0,64.0,37.0,10:23:18
,,,,,99.0,64.0,4.5,97.0,64.0,37.0,10:23:19
,,,,,99.0,64.0,4.5,97.0,64.0,36.0,10:23:20
,,,,,99.0,64.0,4.5,97.0,64.0,36.0,10:23:20
,,,,,99.0,64.0,4.5,97.0,64.0,36.0,10:23:20
,,,,,99.0,64.0,4.5,97.0,64.0,36.0,10:23:21
,,,,,99.0,64.0,4.6,97.0,64.0,35.0,10:23:21
,,,,,99.0,64.0,4.6,97.0,64.0,35.0,10:23:22
,,,,,99.0,64.0,4.7,97.0,64.0,35.0,10:23:22
,,,,,99.0,64.0,4.7,97.0,64.0,35.0,10:23:23
,,,,,99.0,64.0,4.7,97.0,63.0,36.0,10:23:23
,,,,,99.0,64.0,4.7,97.0,63.0,36.0,10:23:24
,,,,,99.0,64.0,4.8,97.0,63.0,36.0,10:23:24
,,,,,99.0,64.0,4.8,97.0,63.0,36.0,10:23:25
,,,,,99.0,64.0,4.8,97.0,63.0,36.0,10:23:25
,,,,,99.0,64.0,4.8,97.0,63.0,36.0,10:23:26
,,,,,99.0,63.0,4.8,97.0,63.0,36.0,10:23:26
,,,,,99.0,63.0,4.8,97.0,63.0,36.0,10:23:27
,,,,,99.0,63.0,4.9,97.0,63.0,39.0,10:23:27
,,,,,99.0,63.0,4.9,97.0,63.0,39.0,10:23:28
,,,,,99.0,63.0,4.9,97.0,63.0,39.0,10:23:28
,,,,,99.0,63.0,4.9,97.0,63.0,39.0,10:23:29
,,,,,99.0,63.0,4.9,97.0,62.0,37.0,10:23:29
,,,,,99.0,63.0,4.9,97.0,62.0,37.0,10:23:30
,,,,,99.0,63.0,4.9,97.0,62.0,37.0,10:23:30
,,,,,99.0,63.0,4.9,97.0,62.0,37.0,10:23:31
,,,,,99.0,63.0,4.9,97.0,62.0,38.0,10:23:31
,,,,,99.0,63.0,4.9,97.0,62.0,38.0,10:23:32
,,,,,99.0,62.0,4.9,97.0,62.0,38.0,10:23:32
,,,,,99.0,62.0,4.9,97.0,62.0,38.0,10:23:33
,,,,,99.0,62.0,5.0,97.0,63.0,35.0,10:23:33
,,,,,99.0,62.0,5.0,97.0,63.0,35.0,10:23:34
,,,,,99.0,63.0,5.0,97.0,63.0,35.0,10:23:34
,,,,,99.0,63.0,5.0,97.0,63.0,35.0,10:23:35
,,,,,99.0,63.0,5.0,97.0,63.0,35.0,10:23:35
,,,,,99.0,63.0,5.0,97.0,63.0,35.0,10:23:36
,,,,,99.0,63.0,4.9,97.0,63.0,35.0,10:23:36
,,,,,99.0,63.0,4.9,97.0,63.0,35.0,10:23:37
,,,,,99.0,63.0,4.9,97.0,64.0,34.0,10:23:37
,,,,,99.0,63.0,4.9,97.0,64.0,34.0,10:23:38
,,,,,99.0,63.0,4.9,97.0,64.0,34.0,10:23:38
,,,,,99.0,63.0,4.9,97.0,64.0,34.0,10:23:39
,,,,,99.0,64.0,4.8,97.0,65.0,32.0,10:23:39
,,,,,99.0,64.0,4.8,97.0,65.0,32.0,10:23:40
,,,,,99.0,65.0,4.8,97.0,65.0,32.0,10:23:40
,,,,,99.0,65.0,4.8,97.0,65.0,32.0,10:23:41
,,,,,99.0,65.0,4.8,97.0,65.0,34.0,10:23:41
,,,,,99.0,65.0,4.8,97.0,65.0,34.0,10:23:42
,,,,,99.0,65.0,4.8,97.0,65.0,34.0,10:23:42
,,,,,99.0,65.0,4.8,97.0,65.0,34.0,10:23:43
,,,,,99.0,66.0,4.8,97.0,65.0,37.0,10:23:43
,,,,,99.0,66.0,4.8,97.0,65.0,37.0,10:23:44
,,,,,99.0,66.0,4.8,97.0,65.0,37.0,10:23:44
,,,,,99.0,66.0,4.8,97.0,65.0,37.0,10:23:45
,,,,,99.0,66.0,4.8,97.0,65.0,35.0,10:23:45
,,,,,99.0,66.0,4.8,97.0,65.0,35.0,10:23:46
,,,,,99.0,66.0,4.7,97.0,65.0,35.0,10:23:46
,,,,,99.0,66.0,4.7,97.0,65.0,35.0,10:23:47
,,,,,99.0,66.0,4.7,97.0,61.0,43.0,10:23:47
,,,,,99.0,66.0,4.7,97.0,61.0,43.0,10:23:48
,,,,,99.0,66.0,4.7,97.0,61.0,43.0,10:23:48
,,,,,99.0,66.0,4.7,97.0,61.0,43.0,10:23:49
,,,,,99.0,63.0,4.7,97.0,62.0,39.0,10:23:50
,,,,,99.0,63.0,4.7,97.0,62.0,39.0,10:23:50
,,,,,99.0,63.0,4.7,97.0,62.0,39.0,10:23:51
,,,,,99.0,63.0,4.7,97.0,62.0,39.0,10:23:51
,,,,,99.0,62.0,4.7,97.0,62.0,38.0,10:23:51
,,,,,99.0,62.0,4.7,97.0,62.0,38.0,10:23:52
,,,,,99.0,62.0,4.7,97.0,62.0,38.0,10:23:52
,,,,,99.0,62.0,4.7,97.0,62.0,38.0,10:23:53
,,,,,99.0,62.0,4.7,97.0,63.0,43.0,10:23:53
,,,,,99.0,62.0,4.7,97.0,63.0,43.0,10:23:54
,,,,,99.0,61.0,4.7,97.0,63.0,43.0,10:23:54
,,,,,99.0,61.0,4.7,97.0,63.0,43.0,10:23:55
,,,,,99.0,61.0,4.6,97.0,62.0,43.0,10:23:55
,,,,,99.0,61.0,4.6,97.0,62.0,43.0,10:23:56
,,,,,99.0,61.0,4.6,97.0,62.0,43.0,10:23:56
,,,,,99.0,61.0,4.6,97.0,62.0,43.0,10:23:57
,,,,,99.0,63.0,4.7,97.0,62.0,38.0,10:23:57
,,,,,99.0,63.0,4.7,97.0,62.0,38.0,10:23:58
,,,,,99.0,63.0,4.7,97.0,62.0,38.0,10:23:58
,,,,,99.0,63.0,4.7,97.0,62.0,38.0,10:23:59
,,,,,99.0,63.0,4.7,97.0,62.0,39.0,10:23:59
,,,,,99.0,63.0,4.7,97.0,62.0,39.0,10:24:00
,,,,,99.0,63.0,4.7,97.0,62.0,39.0,10:24:00
,,,,,99.0,63.0,4.7,97.0,62.0,39.0,10:24:01
,,,,,99.0,63.0,4.7,97.0,62.0,37.0,10:24:01
,,,,,99.0,63.0,4.7,97.0,62.0,37.0,10:24:02
,,,,,99.0,62.0,4.7,97.0,62.0,37.0,10:24:02
,,,,,99.0,62.0,4.7,97.0,62.0,37.0,10:24:03
,,,,,99.0,62.0,4.6,97.0,62.0,39.0,10:24:03
,,,,,99.0,62.0,4.6,97.0,62.0,39.0,10:24:04
,,,,,99.0,62.0,4.6,97.0,62.0,39.0,10:24:04
,,,,,99.0,62.0,4.6,97.0,62.0,39.0,10:24:05
,,,,,99.0,62.0,4.7,97.0,62.0,39.0,10:24:05
,,,,,99.0,62.0,4.7,97.0,62.0,39.0,10:24:06
,,,,,99.0,62.0,4.7,97.0,62.0,39.0,10:24:06
,,,,,99.0,62.0,4.7,97.0,63.0,37.0,10:24:07
,,,,,99.0,63.0,4.8,97.0,63.0,39.0,10:24:07
,,,,,99.0,63.0,4.8,97.0,63.0,39.0,10:24:08
,,,,,99.0,63.0,4.9,97.0,63.0,39.0,10:24:08
,,,,,99.0,63.0,4.9,97.0,63.0,39.0,10:24:09
,,,,,99.0,63.0,4.9,97.0,63.0,37.0,10:24:09
,,,,,99.0,63.0,4.9,97.0,63.0,37.0,10:24:10
,,,,,99.0,63.0,4.9,97.0,63.0,37.0,10:24:10
,,,,,99.0,63.0,4.9,97.0,63.0,37.0,10:24:11
,,,,,99.0,63.0,5.0,97.0,63.0,38.0,10:24:11
,,,,,99.0,63.0,5.0,97.0,63.0,38.0,10:24:12
,,,,,99.0,64.0,5.0,97.0,63.0,38.0,10:24:12
,,,,,99.0,64.0,5.0,97.0,63.0,38.0,10:24:13
,,,,,99.0,63.0,5.1,97.0,64.0,41.0,10:24:13
,,,,,99.0,63.0,5.1,97.0,64.0,41.0,10:24:14
,,,,,99.0,63.0,5.1,97.0,64.0,41.0,10:24:14
,,,,,99.0,63.0,5.1,97.0,64.0,41.0,10:24:15
,,,,,99.0,63.0,5.2,97.0,64.0,35.0,10:24:15
,,,,,99.0,63.0,5.2,97.0,64.0,35.0,10:24:16
,,,,,99.0,64.0,5.2,97.0,64.0,35.0,10:24:16
