Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,100.0,94.0,0.6,100.0,95.0,6.0,,,,14:38:52
,,,,,100.0,94.0,0.6,100.0,94.0,3.0,,,,14:38:52
,,,,,100.0,94.0,0.6,100.0,94.0,3.0,,,,14:38:53
,,,,,100.0,95.0,0.6,100.0,93.0,3.0,,,,14:38:53
,,,,,100.0,95.0,0.6,100.0,93.0,2.0,,,,14:38:54
,,,,,100.0,94.0,0.6,100.0,95.0,2.0,,,,14:38:54
,,,,,,,,100.0,95.0,4.0,,,,14:38:55
,,,,,,,,100.0,101.0,3.0,,,,14:38:55
,,,,,,,,100.0,100.0,2.0,,,,14:38:56
,,,,,,,,100.0,95.0,3.0,,,,14:38:56
,,,,,,,,100.0,91.0,3.0,,,,14:38:57
,,,,,,,,100.0,90.0,3.0,,,,14:38:57
,,,,,,,,100.0,90.0,3.0,,,,14:38:58
,,,,,,,,100.0,93.0,3.0,,,,14:38:58
,,,,,,,,100.0,92.0,2.0,,,,14:38:59
,,,,,,,,100.0,91.0,2.0,,,,14:38:59
,,,,,,,,100.0,91.0,3.0,,,,14:39:00
,,,,,,,,100.0,92.0,2.0,,,,14:39:00
,,,,,,,,100.0,92.0,2.0,,,,14:39:01
,,,,,,,,100.0,92.0,2.0,,,,14:39:01
,,,,,,,,100.0,92.0,2.0,,,,14:39:02
,,,,,,,,100.0,91.0,2.0,,,,14:39:02
,,,,,,,,100.0,91.0,2.0,,,,14:39:03
,,,,,,,,100.0,89.0,2.0,,,,14:39:03
,,,,,,,,100.0,87.0,2.0,,,,14:39:04
,,,,,,,,100.0,89.0,2.0,,,,14:39:04
,,,,,,,,100.0,90.0,3.0,,,,14:39:05
,,,,,,,,100.0,89.0,3.0,,,,14:39:05
,,,,,,,,100.0,87.0,3.0,,,,14:39:06
,,,,,,,,100.0,86.0,8.0,,,,14:39:06
,,,,,,,,100.0,86.0,15.0,,,,14:39:07
,,,,,,,,100.0,86.0,20.0,,,,14:39:07
,,,,,,,,100.0,89.0,7.0,,,,14:39:08
,,,,,,,,100.0,93.0,3.0,,,,14:39:08
,,,,,,,,100.0,95.0,3.0,,,,14:39:09
,,,,,,,,100.0,95.0,3.0,,,,14:39:09
,,,,,,,,100.0,96.0,2.0,,,,14:39:10
,,,,,,,,100.0,94.0,2.0,,,,14:39:10
,,,,,,,,100.0,93.0,3.0,,,,14:39:11
,,,,,,,,100.0,92.0,3.0,,,,14:39:11
,,,,,,,,100.0,90.0,2.0,,,,14:39:12
,,,,,,,,100.0,90.0,2.0,,,,14:39:12
,,,,,,,,100.0,90.0,7.0,,,,14:39:13
,,,,,,,,100.0,90.0,3.0,,,,14:39:13
,,,,,,,,100.0,91.0,3.0,,,,14:39:14
