Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,,,,,,2.0,13:20:17
,,,,,,,,,,2.0,13:20:18
,,,,,,,,,,2.0,13:20:18
,,,,,,,,,,2.0,13:20:19
,,,,,,,,,,2.0,13:20:19
,,,,,,,,,,2.0,13:20:20
,,,,,,,,,,2.0,13:20:20
,,,,,,,,97.0,74.0,13.0,13:20:21
,,,,,,,,97.0,72.0,15.0,13:20:21
,,,,,,,,97.0,73.0,15.0,13:20:22
,,,,,,,,96.0,71.0,13.0,13:20:22
,,,,,,,,96.0,71.0,13.0,13:20:23
,,,,,,,,96.0,69.0,14.0,13:20:23
,,,,,,,,96.0,69.0,14.0,13:20:24
,,,,,,,,96.0,69.0,14.0,13:20:24
,,,,,,,,96.0,69.0,14.0,13:20:25
,,,,,,,,96.0,71.0,14.0,13:20:25
,,,,,,,,96.0,71.0,14.0,13:20:26
,,,,,,,,96.0,71.0,14.0,13:20:26
,,,,,,,,96.0,71.0,14.0,13:20:27
,,,,,,,,96.0,71.0,14.0,13:20:27
,,,,,,,,96.0,71.0,14.0,13:20:28
,,,,,,,,96.0,71.0,14.0,13:20:28
,,,,,,,,96.0,71.0,14.0,13:20:29
,,,,,,,,97.0,72.0,13.0,13:20:29
,,,,,,,,97.0,72.0,13.0,13:20:30
,,,,,,,,97.0,72.0,13.0,13:20:30
,,,,,,,,97.0,72.0,13.0,13:20:31
,,,,,,,,96.0,71.0,13.0,13:20:31
,,,,,,,,96.0,71.0,13.0,13:20:32
,,,,,,,,96.0,71.0,13.0,13:20:32
,,,,,,,,96.0,71.0,13.0,13:20:33
,,,,,,,,96.0,70.0,13.0,13:20:33
,,,,,,,,96.0,70.0,13.0,13:20:34
,,,,,,,,96.0,70.0,13.0,13:20:34
,,,,,,,,96.0,70.0,13.0,13:20:35
,,,,,,,,96.0,69.0,14.0,13:20:35
,,,,,,,,96.0,69.0,14.0,13:20:36
,,,,,,,,96.0,69.0,14.0,13:20:36
,,,,,,,,96.0,69.0,14.0,13:20:37
,,,,,,,,96.0,70.0,24.0,13:20:37
,,,,,,,,96.0,70.0,24.0,13:20:38
,,,,,,,,96.0,70.0,24.0,13:20:38
,,,,,,,,96.0,70.0,24.0,13:20:39
,,,,,,,,96.0,71.0,19.0,13:20:39
,,,,,,,,96.0,71.0,19.0,13:20:40
,,,,,,,,96.0,71.0,19.0,13:20:40
,,,,,,,,96.0,71.0,19.0,13:20:41
,,,,,,,,96.0,75.0,30.0,13:20:41
,,,,,,,,96.0,75.0,30.0,13:20:42
,,,,,,,,96.0,75.0,30.0,13:20:42
,,,,,,,,96.0,75.0,30.0,13:20:43
,,,,,,,,96.0,73.0,33.0,13:20:43
,,,,,,,,96.0,73.0,33.0,13:20:44
,,,,,,,,96.0,73.0,33.0,13:20:44
,,,,,,,,96.0,73.0,33.0,13:20:45
,,,,,,,,96.0,72.0,18.0,13:20:45
,,,,,,,,96.0,72.0,18.0,13:20:46
,,,,,,,,96.0,72.0,18.0,13:20:46
,,,,,,,,96.0,72.0,18.0,13:20:47
,,,,,,,,96.0,72.0,18.0,13:20:47
,,,,,,,,96.0,72.0,18.0,13:20:48
,,,,,,,,96.0,72.0,18.0,13:20:48
,,,,,,,,96.0,72.0,18.0,13:20:49
,,,,,73.0,,20.0,97.0,73.0,16.0,13:20:49
,,,,,,,,97.0,73.0,16.0,13:20:50
,,,,,,,,97.0,73.0,16.0,13:20:50
,,,,,,,,97.0,73.0,16.0,13:20:51
,,,,,,,,97.0,73.0,16.0,13:20:51
,,,,,,,,97.0,73.0,16.0,13:20:52
,,,,,,,,97.0,73.0,16.0,13:20:52
,,,,,,,,97.0,72.0,14.0,13:20:53
,,,,,,,,97.0,70.0,19.0,13:20:53
,,,,,,,,97.0,70.0,19.0,13:20:54
,,,,,,,,97.0,70.0,19.0,13:20:54
,,,,,,,,97.0,70.0,19.0,13:20:55
,,,,,,,,97.0,68.0,25.0,13:20:55
,,,,,,,,97.0,68.0,25.0,13:20:56
,,,,,,,,97.0,68.0,25.0,13:20:56
,,,,,,,,97.0,68.0,25.0,13:20:57
,,,,,,,,96.0,69.0,23.0,13:20:57
,,,,,,,,96.0,69.0,23.0,13:20:58
,,,,,,,,96.0,69.0,23.0,13:20:58
,,,,,,,,96.0,69.0,23.0,13:20:59
,,,,,,,,96.0,71.0,20.0,13:20:59
,,,,,,,,96.0,71.0,20.0,13:21:00
,,,,,98.0,81.0,0.5,96.0,71.0,20.0,13:21:00
,,,,,98.0,81.0,0.5,96.0,71.0,20.0,13:21:01
,,,,,98.0,79.0,0.6,96.0,74.0,15.0,13:21:01
,,,,,98.0,79.0,0.6,96.0,74.0,15.0,13:21:02
,,,,,99.0,78.0,0.7,96.0,74.0,15.0,13:21:02
,,,,,99.0,78.0,0.7,96.0,74.0,15.0,13:21:03
,,,,,100.0,78.0,0.7,97.0,75.0,15.0,13:21:03
,,,,,100.0,78.0,0.7,97.0,75.0,15.0,13:21:04
,,,,,100.0,79.0,0.7,97.0,75.0,15.0,13:21:04
,,,,,100.0,80.0,0.7,97.0,75.0,15.0,13:21:05
,,,,,100.0,82.0,0.7,97.0,75.0,16.0,13:21:05
,,,,,100.0,84.0,0.7,97.0,75.0,16.0,13:21:06
,,,,,100.0,86.0,0.6,97.0,75.0,16.0,13:21:06
,,,,,100.0,86.0,0.6,97.0,75.0,16.0,13:21:07
,,,,,99.0,86.0,0.6,97.0,75.0,16.0,13:21:07
,,,,,98.0,88.0,0.6,97.0,75.0,16.0,13:21:08
,,,,,98.0,88.0,0.6,97.0,75.0,16.0,13:21:08
,,,,,98.0,88.0,0.6,97.0,75.0,16.0,13:21:09
,,,,,98.0,88.0,0.6,97.0,76.0,17.0,13:21:09
,,,,,97.0,91.0,0.6,97.0,76.0,17.0,13:21:10
,,,,,97.0,91.0,0.6,97.0,76.0,17.0,13:21:10
,,,,,97.0,91.0,0.6,97.0,76.0,17.0,13:21:11
,,,,,97.0,90.0,0.6,97.0,76.0,18.0,13:21:11
,,,,,97.0,90.0,0.6,97.0,76.0,18.0,13:21:12
,,,,,97.0,90.0,0.6,97.0,76.0,18.0,13:21:12
,,,,,98.0,89.0,0.6,97.0,76.0,18.0,13:21:13
,,,,,99.0,89.0,0.6,97.0,75.0,15.0,13:21:13
,,,,,99.0,88.0,0.6,97.0,75.0,15.0,13:21:14
,,,,,99.0,87.0,0.6,97.0,75.0,15.0,13:21:14
,,,,,99.0,85.0,0.6,97.0,75.0,15.0,13:21:15
,,,,,99.0,85.0,0.6,97.0,75.0,15.0,13:21:15
,,,,,99.0,90.0,0.6,97.0,75.0,15.0,13:21:16
,,,,,99.0,90.0,0.6,97.0,75.0,15.0,13:21:16
,,,,,99.0,89.0,0.6,97.0,75.0,15.0,13:21:17
,,,,,98.0,80.0,0.7,96.0,75.0,15.0,13:21:17
,,,,,98.0,78.0,0.7,96.0,75.0,15.0,13:21:18
,,,,,98.0,78.0,0.7,96.0,75.0,15.0,13:21:18
,,,,,98.0,78.0,0.7,96.0,75.0,15.0,13:21:19
,,,,,98.0,79.0,0.7,96.0,74.0,15.0,13:21:19
,,,,,99.0,84.0,0.7,96.0,74.0,15.0,13:21:20
,,,,,100.0,80.0,0.6,96.0,74.0,15.0,13:21:20
,,,,,100.0,79.0,0.6,96.0,74.0,15.0,13:21:21
,,,,,100.0,79.0,0.6,96.0,72.0,17.0,13:21:21
,,,,,100.0,78.0,0.6,96.0,72.0,17.0,13:21:22
,,,,,100.0,77.0,0.6,96.0,72.0,17.0,13:21:22
,,,,,100.0,76.0,0.6,96.0,72.0,17.0,13:21:23
,,,,,100.0,76.0,0.6,96.0,71.0,15.0,13:21:23
,,,,,100.0,76.0,0.6,96.0,71.0,15.0,13:21:24
,,,,,100.0,76.0,0.6,96.0,71.0,15.0,13:21:24
,,,,,100.0,76.0,0.7,96.0,71.0,15.0,13:21:25
,,,,,100.0,75.0,0.7,96.0,70.0,24.0,13:21:25
,,,,,99.0,74.0,0.7,96.0,70.0,24.0,13:21:26
,,,,,99.0,74.0,0.7,96.0,70.0,24.0,13:21:26
,,,,,99.0,74.0,0.7,96.0,70.0,24.0,13:21:27
,,,,,100.0,74.0,0.7,96.0,70.0,24.0,13:21:27
,,,,,100.0,74.0,0.7,96.0,70.0,24.0,13:21:28
,,,,,100.0,75.0,0.7,96.0,70.0,24.0,13:21:28
,,,,,100.0,76.0,0.7,96.0,70.0,24.0,13:21:29
,,,,,100.0,76.0,0.7,95.0,73.0,17.0,13:21:29
,,,,,100.0,76.0,0.7,95.0,73.0,17.0,13:21:30
,,,,,100.0,77.0,0.7,95.0,73.0,17.0,13:21:30
,,,,,100.0,77.0,0.7,95.0,73.0,17.0,13:21:31
