Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,28.0,,,,,,,,,,12:51:22
,,,,21.0,,,,,,,,,,12:51:23
,85.790489,,,15.0,,,,,,,,,,12:51:24
,85.790489,,,15.0,,,,,,,,,,12:51:25
,,138.488388,100.0,,,,,,,,,,,12:51:25
,,138.488388,100.0,,,,,,,,,,,12:51:26
,92.818748,136.933348,98.532648,,,,,,,,,,,12:51:27
,92.818748,136.933348,98.532648,9.0,,,,,,,,,,12:51:27
,93.414688,136.933348,98.526301,14.0,,,,,,,,,,12:51:28
,93.414688,136.933348,98.526301,14.0,,,,,,,,,,12:51:28
,94.20256,135.94229,98.483527,12.0,,,,,,,,,,12:51:29
,94.20256,135.94229,98.483527,12.0,,,,,,,,,,12:51:29
,94.20256,135.94229,98.483527,17.0,,,,,,,,,,12:51:30
,94.20256,135.94229,98.483527,12.0,,,,,,,,,,12:51:30
,94.20256,135.804125,98.478649,15.0,,,,,,,,,,12:51:31
,94.20256,135.804125,98.478649,12.0,,,,,,,,,,12:51:31
,94.20256,135.804125,98.478649,9.0,,,,,,,,,,12:51:32
,94.20256,135.804125,98.478649,12.0,,,,,,,,,,12:51:32
,94.20256,135.804125,98.478649,9.0,,,,,,,,,,12:51:33
,94.20256,135.804125,98.478649,11.0,,,,,,,,,,12:51:33
,94.20256,135.804125,98.478649,11.0,,,,,,,,,,12:51:34
,94.20256,135.804125,98.478649,9.0,,,,,,,,,,12:51:34
,94.20256,135.804125,98.478649,11.0,,,,,,,,,,12:51:35
,95.056488,135.804125,98.469346,11.0,,,,,,,,,,12:51:35
,95.056488,135.804125,98.469346,11.0,,,,,,,,,,12:51:36
,95.056488,135.804125,98.469346,11.0,,,,,,,,,,12:51:36
,95.056488,135.804125,98.469346,11.0,,,,,,,,,,12:51:37
,95.056488,137.075276,98.513762,13.0,,,,,,,,,,12:51:37
,95.056488,137.075276,98.513762,11.0,,,,,,,,,,12:51:38
,95.056488,139.439119,98.591999,10.0,,,,,,,,,,12:51:38
,95.056488,139.439119,98.591999,11.0,,,,,,,,,,12:51:39
,95.056488,139.439119,98.591999,12.0,,,,,,,,,,12:51:39
,93.005714,139.439119,98.612467,9.0,,,,,,,,,,12:51:40
,93.005714,135.028106,98.464208,7.0,,,,,,,,,,12:51:40
,93.005714,135.028106,98.464208,6.0,,,,,,,,,,12:51:41
,93.005714,135.028106,98.464208,9.0,,,,,,,,,,12:51:41
,93.005714,135.028106,98.464208,9.0,,,,,,,,,,12:51:42
,93.005714,135.028106,98.464208,9.0,,,,,,,,,,12:51:42
,93.005714,134.028246,98.42777,9.0,,,,,,,,,,12:51:43
,93.005714,134.028246,98.42777,8.0,,,,,,,,,,12:51:43
,93.005714,134.028246,98.42777,8.0,,,,,,,,,,12:51:44
,93.005714,134.028246,98.42777,8.0,,,,,,,,,,12:51:44
,93.005714,134.028246,98.42777,8.0,,,,,,,,,,12:51:45
,93.005714,134.028246,98.42777,8.0,,,,,,,,,,12:51:45
,93.005714,134.028246,98.42777,5.0,,,,,,,,,,12:51:46
,93.005714,134.028246,98.42777,7.0,,,,,,,,,,12:51:46
,93.005714,134.028246,98.42777,7.0,,,,,,,,,,12:51:47
,93.005714,134.028246,98.42777,8.0,,,,,,,,,,12:51:47
,93.005714,134.028246,98.42777,6.0,,,,,,,,,,12:51:48
,110.94326,134.028246,98.228442,5.0,,,,,,,,,,12:51:48
,110.94326,131.640551,98.124259,5.0,,,,,,,,,,12:51:49
,110.94326,131.640551,98.124259,5.0,,,,,,,,,,12:51:49
,110.94326,131.640551,98.124259,5.0,,,,,,,,,,12:51:50
,110.94326,131.640551,98.124259,5.0,,,,,,,,,,12:51:50
,110.94326,131.640551,98.124259,5.0,,,,,,,,,,12:51:51
,110.94326,131.640551,98.124259,5.0,,,,,,,,,,12:51:51
,110.94326,131.640551,98.124259,6.0,,,,,,,,,,12:51:52
,110.94326,131.640551,98.124259,6.0,,,,,,,,,,12:51:52
,110.94326,131.640551,98.124259,6.0,,,,,,,,,,12:51:53
,110.94326,131.640551,98.124259,31.0,,,,,,,,,,12:51:53
,110.223633,132.268859,98.160558,33.0,,,,,,,,,,12:51:54
,113.142372,132.268859,98.127685,35.0,,,,,,,,,,12:51:54
,113.142372,132.268859,98.127685,35.0,,,,,,,,,,12:51:55
,101.773254,131.194638,98.211886,55.0,,,,,,,,,,12:51:55
,113.142372,131.194638,98.078495,6.0,,,,,,,,,,12:51:56
,113.142372,131.194638,98.078495,4.0,,,,,,,,,,12:51:56
,113.142372,131.194638,98.078495,6.0,,,,,,,,,,12:51:57
,113.142372,131.194638,98.078495,9.0,,,,,,,,,,12:51:57
,113.142372,131.194638,98.078495,56.0,,,,,,,,,,12:51:58
,113.142372,131.194638,98.078495,48.0,,,,,,,,,,12:51:58
,113.142372,131.194638,98.078495,44.0,,,,,,,,,,12:51:59
,113.142372,131.194638,98.078495,35.0,,,,,,,,,,12:51:59
,95.703651,131.194638,98.285147,40.0,,,,,,,,,,12:52:00
,95.703651,131.194638,98.285147,50.0,,,,,,,,,,12:52:00
,98.479202,131.194638,98.251458,44.0,,,,,,,,,,12:52:01
,98.479202,131.194638,98.251458,50.0,,,,,,,,,,12:52:01
,101.137123,131.194638,98.219494,48.0,,,,,,,,,,12:52:02
,101.137123,131.194638,98.219494,46.0,,,,,,,,,,12:52:02
,104.08075,131.194638,98.184422,43.0,,,,,,,,,,12:52:03
,101.555275,131.194638,98.214491,43.0,,,,,,,,,,12:52:03
,101.555275,131.194638,98.214491,43.0,,,,,,,,,,12:52:04
,101.555275,131.700542,98.236102,47.0,,,,,,,,,,12:52:04
,101.555275,131.700542,98.236102,47.0,,,,,,,,,,12:52:05
,113.406906,131.339186,98.082174,44.0,,,,,,,,,,12:52:05
,113.406906,131.339186,98.082174,44.0,,,,,,,,,,12:52:06
,113.406906,131.339186,98.082174,54.0,,,,,,,,,,12:52:06
,113.618187,131.339186,98.07975,57.0,,,,,,,,,,12:52:07
,113.618187,131.339186,98.07975,,,,,,,,,,,12:52:07
,102.204956,130.567041,98.179317,,,,,,,,,,,12:52:08
,102.204956,130.567041,98.179317,58.0,,,,,,,,,,12:52:08
,102.204956,130.567041,98.179317,56.0,,,,,,,,,,12:52:09
,102.204956,130.567041,98.179317,,,,,,,,,,,12:52:09
,110.048195,130.567041,98.085405,,,,,,,,,,,12:52:10
,113.223694,130.567041,98.04803,56.0,,,,,,,,,,12:52:10
,113.223694,130.567041,98.04803,57.0,,,,,,,,,,12:52:11
,113.194389,130.567041,98.048373,,,,,,,,,,,12:52:11
,113.19529,130.567041,98.048363,,,,,,,,,,,12:52:12
,113.195374,130.567041,98.048362,58.0,,,,,,,,,,12:52:12
,113.193634,130.567041,98.048382,,,,,,,,,,,12:52:13
,113.194641,128.650268,97.954499,,,,,,,,,,,12:52:13
,113.193054,128.454104,97.944585,,,,,,,,,,,12:52:14
,113.193161,128.454104,97.944584,,,,,,,,,,,12:52:14
,113.193039,128.454104,97.944586,,,,,,,,,,,12:52:15
,113.195137,128.454104,97.94456,20.0,,,,,,,,,,12:52:15
,113.195564,126.960609,97.866848,23.0,,,,,,,,,,12:52:16
,113.196259,127.104467,97.874487,31.0,,,,,,,,,,12:52:16
,113.193268,127.730139,97.90738,,,,,,,,,,,12:52:17
