Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,45.0,,,,,,,,,,12:58:26
,35.211258,,,29.0,,,,,,,,,,12:58:28
,35.211258,,,31.0,,,,,,,,,,12:58:28
,,,,21.0,,,,,,,,,,12:58:29
,,,,24.0,,,,,,,,,,12:58:30
,37.348858,,,12.0,,,,,,,,,,12:58:31
,36.045361,142.333247,99.140772,14.0,,,,,,,,,,12:58:31
,37.348858,142.333247,99.120009,12.0,,,,,,,,,,12:58:32
,36.074188,142.539014,99.144016,12.0,,,,,,,,,,12:58:32
,36.074188,142.539014,99.144016,12.0,,,,,,,,,,12:58:33
,36.074188,142.40194,99.14155,12.0,,,,,,,,,,12:58:33
,36.074188,142.40194,99.14155,12.0,,,,,,,,,,12:58:34
,36.074188,142.40194,99.14155,12.0,,,,,,,,,,12:58:34
,36.074188,142.40194,99.14155,11.0,,,,,,,,,,12:58:35
,36.074188,142.40194,99.14155,11.0,,,,,,,,,,12:58:35
,36.074188,142.40194,99.14155,11.0,,,,,,,,,,12:58:36
,44.880539,140.847579,98.972325,12.0,,,,,,,,,,12:58:36
,44.880539,140.847579,98.972325,12.0,,,,,,,,,,12:58:37
,43.302849,140.920569,98.998346,13.0,,,,,,,,,,12:58:37
,43.302849,140.920569,98.998346,13.0,,,,,,,,,,12:58:38
,43.302849,140.920569,98.998346,13.0,,,,,,,,,,12:58:38
,43.302849,140.920569,98.998346,13.0,,,,,,,,,,12:58:39
,44.880539,140.847579,98.972325,12.0,,,,,,,,,,12:58:39
,44.880539,140.847579,98.972325,10.0,,,,,,,,,,12:58:40
,41.645924,141.590796,99.038168,10.0,,,,,,,,,,12:58:40
,41.645924,141.488421,99.036068,10.0,,,,,,,,,,12:58:41
,41.645924,141.423249,99.034727,10.0,,,,,,,,,,12:58:41
,41.283066,141.422475,99.040376,11.0,,,,,,,,,,12:58:42
,41.645924,141.41633,99.034585,10.0,,,,,,,,,,12:58:42
,41.381935,141.41633,99.038705,15.0,,,,,,,,,,12:58:43
,41.381935,141.41633,99.038705,10.0,,,,,,,,,,12:58:43
,41.381935,141.41633,99.038705,10.0,,,,,,,,,,12:58:44
,41.381935,141.41633,99.038705,10.0,,,,,,,,,,12:58:44
,40.464516,141.621984,99.057227,9.0,,,,,,,,,,12:58:45
,40.464516,141.621984,99.057227,9.0,,,,,,,,,,12:58:45
,40.464516,141.621984,99.057227,9.0,,,,,,,,,,12:58:46
,40.464516,141.621984,99.057227,9.0,,,,,,,,,,12:58:46
,39.607922,141.702284,99.072279,10.0,,,,,,,,,,12:58:47
,39.607922,141.702284,99.072279,10.0,,,,,,,,,,12:58:47
,39.607922,141.702284,99.072279,10.0,,,,,,,,,,12:58:48
,39.607922,141.702284,99.072279,10.0,,,,,,,,,,12:58:48
,39.153366,141.764951,99.080676,10.0,,,,,,,,,,12:58:49
,39.153366,141.764951,99.080676,17.0,,,,,,,,,,12:58:49
,38.667023,141.715151,99.087409,57.0,,,,,,,,,,12:58:50
,39.153366,141.715151,99.079704,10.0,,,,,,,,,,12:58:50
,39.153366,141.715151,99.079704,20.0,,,,,,,,,,12:58:51
,39.153366,141.715151,99.079704,41.0,,,,,,,,,,12:58:51
,40.384628,141.715151,99.060341,38.0,,,,,,,,,,12:58:52
,40.384628,141.715151,99.060341,18.0,,,,,,,,,,12:58:52
,38.102695,141.635439,99.094863,34.0,,,,,,,,,,12:58:53
,38.362629,141.627601,99.090562,35.0,,,,,,,,,,12:58:53
,40.384628,141.627601,99.058592,4.0,,,,,,,,,,12:58:54
,40.384628,141.627601,99.058592,,,,,,,,,,,12:58:54
,,141.627601,100.0,,,,,,,,,,,12:58:55
,,141.627601,100.0,,,,,,,,,,,12:58:55
,,141.627601,100.0,,,,,,,,,,,12:58:56
,,141.627601,100.0,,,,,,,,,,,12:58:56
,,141.627601,100.0,,,,,,,,,,,12:58:57
,,141.627601,100.0,,,,,,,,,,,12:58:57
,,141.627601,100.0,,,,,,,,,,,12:58:58
,,141.627601,100.0,,,,,,,,,,,12:58:58
,,141.627601,100.0,,,,,,,,,,,12:58:59
,,141.627601,100.0,,,,,,,,,,,12:58:59
,,141.627601,100.0,,,,,,,,,,,12:59:00
,,141.627601,100.0,,,,,,,,,,,12:59:00
,,141.627601,100.0,,,,,,,,,,,12:59:01
,,141.627601,100.0,,,,,,,,,,,12:59:01
,,141.627601,100.0,,,,,,,,,,,12:59:02
,,141.627601,100.0,,,,,,,,,,,12:59:02
,,141.627601,100.0,,,,,,,,,,,12:59:03
,,141.627601,100.0,,,,,,,,,,,12:59:03
,,141.627601,100.0,,,,,,,,,,,12:59:04
,,141.627601,100.0,,,,,,,,,,,12:59:04
,,141.627601,100.0,,,,,,,,,,,12:59:05
,,141.627601,100.0,,,,,,,,,,,12:59:05
,,141.627601,100.0,,,,,,,,,,,12:59:06
,,141.627601,100.0,,,,,,,,,,,12:59:06
,,141.627601,100.0,,,,,,,,,,,12:59:07
,,141.627601,100.0,,,,,,,,,,,12:59:07
,,141.627601,100.0,,,,,,,,,,,12:59:08
,,141.627601,100.0,,,,,,,,,,,12:59:08
,,141.627601,100.0,,,,,,,,,,,12:59:09
,,141.627601,100.0,,,,,,,,,,,12:59:09
,,141.627601,100.0,,,,,,,,,,,12:59:10
,,141.627601,100.0,,,,,,,,,,,12:59:10
,,141.627601,100.0,,,,,,,,,,,12:59:11
,,141.627601,100.0,,,,,,,,,,,12:59:11
,,141.627601,100.0,,,,,,,,,,,12:59:12
,,141.627601,100.0,,,,,,,,,,,12:59:12
,,141.627601,100.0,,,,,,,,,,,12:59:13
,,141.627601,100.0,,,,,,,,,,,12:59:13
,,141.627601,100.0,40.0,,,,,,,,,,12:59:14
,,141.627601,100.0,41.0,,,,,,,,,,12:59:14
,,141.627601,100.0,41.0,,,,,,,,,,12:59:15
,,141.627601,100.0,40.0,,,,,,,,,,12:59:15
,57.106895,139.12428,98.745204,22.0,,,,,,,,,,12:59:16
,57.106895,139.09052,98.744269,22.0,,,,,,,,,,12:59:16
,57.106895,139.09052,98.744269,19.0,,,,,,,,,,12:59:17
,57.106895,139.09052,98.744269,35.0,,,,,,,,,,12:59:17
,57.106895,139.09052,98.744269,30.0,,,,,,,,,,12:59:18
,57.106895,139.09052,98.744269,16.0,,,,,,,,,,12:59:18
,57.106895,139.09052,98.744269,11.0,,,,,,,,,,12:59:19
,57.106895,139.09052,98.744269,16.0,,,,,,,,,,12:59:19
,57.106895,139.09052,98.744269,16.0,,,,,,,,,,12:59:20
,57.106895,139.09052,98.744269,35.0,,,,,,,,,,12:59:20
