Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,,,,,,95.0,11:09:57
,,,,,,,,,,249.0,11:09:57
,,,,,,,,,,249.0,11:09:58
,,,,,,,,,,249.0,11:09:58
,,,,,,,,,,249.0,11:09:59
,,,,,,,,,,255.0,11:09:59
,,,,,,,,,,18.0,11:10:00
,,,,,,,,,,4.0,11:10:00
,,,,,,,,,,37.0,11:10:01
,,,,,,,,,,71.0,11:10:01
,,,,,,,,,,74.0,11:10:02
,,,,,,,,,,74.0,11:10:02
,,,,,,,,,,74.0,11:10:03
,,,,,,,,,,255.0,11:10:03
,,,,,,,,,,66.0,11:10:04
,,,,,,,,,,131.0,11:10:04
,,,,,,,,,,149.0,11:10:05
,,,,,,,,,,255.0,11:10:05
,,,,,,,,,,255.0,11:10:06
,,,,,,,,,,227.0,11:10:06
,,,,,,,,,,11.0,11:10:07
,,,,,,,,,,2.0,11:10:07
,,,,,,,,,,2.0,11:10:08
,,,,,,,,,,107.0,11:10:08
,,,,,,,,,,19.0,11:10:09
,,,,,,,,,,2.0,11:10:09
,,,,,,,,,,1.0,11:10:10
,,,,,,,,,,5.0,11:10:10
,,,,,,,,,,11.0,11:10:11
,,,,,,,,,,9.0,11:10:11
,,,,,,,,,,9.0,11:10:12
,,,,,,,,,,9.0,11:10:12
,,,,,,,,,,9.0,11:10:13
,,,,,,,,,,2.0,11:10:13
,,,,,,,,,,5.0,11:10:14
,,,,,,,,,,5.0,11:10:14
,,,,,,,,,,10.0,11:10:15
,,,,,,,,,,9.0,11:10:15
,,,,,,,,,,18.0,11:10:16
,,,,,,,,,,12.0,11:10:16
,,,,,,,,,,9.0,11:10:17
,,,,,,,,,,10.0,11:10:17
,,,,,,,,,,4.0,11:10:18
,,,,,,,,,,2.0,11:10:18
,,,,,,,,,,3.0,11:10:19
,,,,,,,,,,3.0,11:10:19
,,,,,,,,,,2.0,11:10:20
,,,,,,,,,,2.0,11:10:20
,,,,,,,,,,1.0,11:10:21
,,,,,,,,,,3.0,11:10:21
,,,,,,,,,,1.0,11:10:22
,,,,,,,,,,2.0,11:10:23
,,,,,,,,,,1.0,11:10:23
,,,,,,,,,,1.0,11:10:24
,,,,,,,,,,1.0,11:10:24
,,,,,,,,,,1.0,11:10:25
,,,,,,,,,,1.0,11:10:25
,,,,,,,,,,1.0,11:10:26
,,,,,,,,,,1.0,11:10:26
,,,,,,,,,,1.0,11:10:27
,,,,,,,,,,1.0,11:10:27
,,,,,,,,,,1.0,11:10:28
,,,,,,,,,,1.0,11:10:28
,,,,,,,,,,1.0,11:10:29
,,,,,,,,,,1.0,11:10:29
,,,,,,,,,,1.0,11:10:30
,,,,,,,,,,1.0,11:10:30
,,,,,,,,,,1.0,11:10:31
,,,,,,,,,,1.0,11:10:33
,,,,,,,,,,1.0,11:10:34
,,,,,,,,,,2.0,11:10:35
,,,,,,,,,,2.0,11:10:36
,,,,,,,,,,1.0,11:10:36
,,,,,,,,,,1.0,11:10:42
,,,,,,,,,,1.0,11:10:42
,,,,,,,,,,1.0,11:10:43
,,,,,,,,,,1.0,11:10:46
,,,,,,,,,,1.0,11:10:46
,,,,,,,,,,1.0,11:10:47
,,,,,,,,,,1.0,11:10:47
,,,,,,,,,,1.0,11:10:48
,,,,,,,,,,1.0,11:10:49
,,,,,,,,,,35.0,11:10:56
,,,,,,,,,,35.0,11:10:56
,,,,,,,,,,1.0,11:10:57
,,,,,,,,,,23.0,11:10:59
,,,,,,,,,,255.0,11:11:00
,,,,,,,,,,91.0,11:11:00
,,,,,,,,,,255.0,11:11:01
,,,,,,,,,,255.0,11:11:01
,,,,,,,,,,63.0,11:11:02
,,,,,,,,,,255.0,11:11:02
,,,,,,,,,,216.0,11:11:03
,,,,,,,,,,255.0,11:11:03
,,,,,,,,,,80.0,11:11:04
,,,,,,,,,,255.0,11:11:04
,,,,,,,,,,255.0,11:11:05
,,,,,,,,,,255.0,11:11:05
,,,,,,,,,,91.0,11:11:06
,,,,,,,,96.0,64.0,29.0,11:11:06
,,,,,,,,97.0,65.0,27.0,11:11:07
,,,,,,,,97.0,66.0,26.0,11:11:07
,,,,,,,,97.0,66.0,26.0,11:11:08
,,,,,,,,97.0,66.0,26.0,11:11:08
,,,,,,,,97.0,66.0,26.0,11:11:09
,,,,,,,,98.0,67.0,46.0,11:11:09
,,,,,,,,98.0,68.0,35.0,11:11:10
,,,,,,,,98.0,68.0,34.0,11:11:10
,,,,,,,,98.0,67.0,32.0,11:11:11
,,,,,,,,98.0,67.0,28.0,11:11:11
,,,,,,,,98.0,67.0,28.0,11:11:12
,,,,,,,,98.0,67.0,25.0,11:11:12
,,,,,,,,98.0,67.0,26.0,11:11:13
,,,,,,,,98.0,67.0,26.0,11:11:13
,,,,,,,,98.0,66.0,29.0,11:11:14
,,,,,,,,98.0,66.0,32.0,11:11:14
,,,,,,,,98.0,66.0,34.0,11:11:15
,,,,,,,,98.0,66.0,37.0,11:11:15
,,,,,,,,98.0,64.0,36.0,11:11:16
,,,,,,,,98.0,63.0,30.0,11:11:16
,,,,,,,,98.0,63.0,32.0,11:11:17
,,,,,,,,98.0,63.0,36.0,11:11:17
,,,,,,,,98.0,62.0,44.0,11:11:18
,,,,,,,,98.0,62.0,43.0,11:11:18
,,,,,,,,98.0,61.0,47.0,11:11:19
,,,,,,,,98.0,60.0,48.0,11:11:19
,,,,,,,,98.0,60.0,48.0,11:11:20
,,,,,,,,98.0,60.0,48.0,11:11:20
,,,,,,,,98.0,60.0,38.0,11:11:21
,,,,,,,,98.0,60.0,39.0,11:11:21
,,,,,,,,98.0,60.0,39.0,11:11:22
,,,,,,,,98.0,60.0,39.0,11:11:22
,,,,,,,,98.0,60.0,39.0,11:11:23
,,,,,,,,98.0,59.0,34.0,11:11:23
,,,,,,,,98.0,59.0,33.0,11:11:24
,,,,,,,,98.0,59.0,31.0,11:11:24
,,,,,,,,98.0,59.0,28.0,11:11:25
,,,,,,,,98.0,58.0,35.0,11:11:25
,,,,,,,,98.0,59.0,43.0,11:11:26
,,,,,,,,98.0,59.0,47.0,11:11:26
,,,,,,,,98.0,58.0,47.0,11:11:27
,,,,,,,,98.0,58.0,47.0,11:11:27
,,,,,,,,98.0,58.0,40.0,11:11:28
,,,,,,,,98.0,58.0,37.0,11:11:28
,,,,,,,,98.0,58.0,42.0,11:11:29
