Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,,,,98.0,74.0,76.0,,,,13:12:39
,,,,,,,,98.0,74.0,76.0,,,,13:12:40
,,,,,,,,98.0,74.0,76.0,,,,13:12:40
,,,,,,,,98.0,74.0,76.0,,,,13:12:41
,,,,,,,,98.0,74.0,76.0,,,,13:12:41
,,,,,,,,98.0,74.0,76.0,,,,13:12:42
,,,,,,,,98.0,74.0,76.0,,,,13:12:43
,,,,,,,,98.0,74.0,76.0,,,,13:12:43
,,,,,,,,98.0,74.0,76.0,,,,13:12:44
,,,,,,,,98.0,74.0,76.0,,,,13:12:45
,,,,,,,,98.0,74.0,76.0,,,,13:12:45
,,,,,,,,98.0,74.0,76.0,,,,13:12:46
,,,,,,,,98.0,74.0,76.0,,,,13:12:46
,,,,,,,,98.0,74.0,76.0,,,,13:12:47
,,,,,,,,98.0,74.0,76.0,,,,13:12:48
,,,,,,,,98.0,74.0,76.0,,,,13:12:48
,,,,,,,,98.0,74.0,76.0,,,,13:12:49
,,,,,,,,98.0,74.0,76.0,,,,13:12:49
,,,,,,,,98.0,74.0,76.0,,,,13:12:50
,,,,,,,,98.0,74.0,76.0,,,,13:12:51
,,,,,,,,98.0,74.0,76.0,,,,13:12:51
,,,,,,,,98.0,74.0,76.0,,,,13:12:52
,,,,,,,,98.0,74.0,76.0,,,,13:12:53
,,,,,,,,98.0,74.0,76.0,,,,13:12:53
,,,,,,,,98.0,74.0,76.0,,,,13:12:54
,,,,,,,,98.0,74.0,76.0,,,,13:12:54
,,,,,,,,98.0,74.0,76.0,,,,13:12:55
,,,,,,,,98.0,74.0,76.0,,,,13:12:56
,,,,,,,,98.0,74.0,76.0,,,,13:12:56
,,,,,,,,98.0,74.0,76.0,,,,13:12:57
,,,,,,,,98.0,74.0,76.0,,,,13:12:57
,,,,,,,,98.0,74.0,76.0,,,,13:12:58
,,,,,,,,98.0,74.0,76.0,,,,13:12:59
,,,,,,,,98.0,74.0,76.0,,,,13:12:59
,,,,,,,,98.0,74.0,76.0,,,,13:13:00
,,,,,,,,98.0,74.0,76.0,,,,13:13:00
,,,,,,,,98.0,74.0,76.0,,,,13:13:01
,,,,,,,,98.0,74.0,76.0,,,,13:13:02
,,,,,,,,98.0,74.0,76.0,,,,13:13:02
,,,,,,,,98.0,74.0,76.0,,,,13:13:03
,,,,,,,,98.0,74.0,76.0,,,,13:13:04
,,,,,,,,98.0,74.0,76.0,,,,13:13:04
,,,,,,,,98.0,74.0,76.0,,,,13:13:05
,,,,,,,,98.0,74.0,76.0,,,,13:13:05
,,,,,,,,98.0,74.0,76.0,,,,13:13:06
,,,,,,,,98.0,74.0,76.0,,,,13:13:07
,,,,,,,,98.0,74.0,76.0,,,,13:13:07
,,,,,,,,98.0,74.0,76.0,,,,13:13:08
,,,,,,,,98.0,74.0,76.0,,,,13:13:08
,,,,,,,,98.0,74.0,76.0,,,,13:13:09
,,,,,,,,98.0,74.0,76.0,,,,13:13:10
,,,,,,,,98.0,74.0,76.0,,,,13:13:10
,,,,,,,,98.0,74.0,76.0,,,,13:13:11
,,,,,,,,98.0,74.0,76.0,,,,13:13:12
,,,,,,,,98.0,74.0,76.0,,,,13:13:12
,,,,,,,,98.0,74.0,76.0,,,,13:13:13
,,,,,,,,98.0,74.0,76.0,,,,13:13:13
,,,,,,,,98.0,74.0,76.0,,,,13:13:14
,,,,,,,,98.0,74.0,76.0,,,,13:13:15
,,,,,,,,98.0,74.0,76.0,,,,13:13:15
,,,,,,,,98.0,74.0,76.0,,,,13:13:16
,,,,,,,,98.0,74.0,76.0,,,,13:13:16
,,,,,,,,98.0,74.0,76.0,,,,13:13:17
,,,,,,,,98.0,74.0,76.0,,,,13:13:18
