Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,95.0,,0.6,,,,14:40:42
,,,,,95.0,,0.6,,,,14:40:42
,,,,,95.0,,0.6,,,,14:40:43
,,,,,95.0,,0.6,,,,14:40:43
,,,,,97.0,66.0,0.7,,,,14:40:44
,,,,,97.0,66.0,0.6,,,,14:40:44
,,,,,97.0,66.0,0.6,,,,14:40:45
,,,,,98.0,66.0,0.7,,,,14:40:45
,,,,,99.0,68.0,0.7,,,,14:40:46
,,,,,100.0,68.0,0.7,,,,14:40:46
,,,,,100.0,69.0,0.7,,,,14:40:47
,,,,,100.0,69.0,0.7,,,,14:40:47
,,,,,100.0,69.0,0.7,,,,14:40:48
,,,,,100.0,69.0,0.7,,,,14:40:48
,,,,,100.0,70.0,0.7,,,,14:40:49
,,,,,100.0,70.0,0.7,,,,14:40:49
,,,,,100.0,70.0,0.7,,,,14:40:50
,,,,,100.0,70.0,0.7,100.0,69.0,5.0,14:40:50
,,,,,100.0,70.0,0.7,100.0,70.0,4.0,14:40:51
,,,,,100.0,71.0,0.7,100.0,70.0,4.0,14:40:51
,,,,,100.0,71.0,0.7,100.0,70.0,4.0,14:40:52
,,,,,100.0,71.0,0.7,100.0,70.0,4.0,14:40:52
,,,,,100.0,71.0,0.7,100.0,70.0,4.0,14:40:53
,,,,,100.0,71.0,0.7,100.0,70.0,4.0,14:40:53
,,,,,100.0,71.0,0.7,100.0,70.0,4.0,14:40:54
,,,,,100.0,71.0,0.7,100.0,72.0,4.0,14:40:54
,,,,,100.0,71.0,0.7,100.0,72.0,4.0,14:40:55
,,,,,100.0,71.0,0.7,100.0,72.0,4.0,14:40:55
,,,,,100.0,72.0,0.7,100.0,72.0,4.0,14:40:56
,,,,,100.0,72.0,0.7,100.0,73.0,4.0,14:40:56
,,,,,100.0,72.0,0.7,100.0,73.0,4.0,14:40:57
,,,,,100.0,72.0,0.7,100.0,73.0,4.0,14:40:57
,,,,,100.0,73.0,0.7,100.0,73.0,4.0,14:40:58
,,,,,100.0,73.0,0.7,100.0,71.0,4.0,14:40:58
,,,,,100.0,73.0,0.7,100.0,71.0,4.0,14:40:59
,,,,,100.0,73.0,0.7,100.0,71.0,4.0,14:40:59
,,,,,100.0,73.0,0.7,100.0,71.0,4.0,14:41:00
,,,,,100.0,73.0,0.7,100.0,70.0,4.0,14:41:00
,,,,,100.0,73.0,0.7,100.0,70.0,4.0,14:41:01
,,,,,100.0,73.0,0.7,100.0,70.0,4.0,14:41:01
,,,,,100.0,74.0,0.7,100.0,70.0,4.0,14:41:02
,,,,,100.0,74.0,0.7,100.0,70.0,4.0,14:41:02
,,,,,100.0,73.0,0.7,100.0,70.0,4.0,14:41:03
,,,,,100.0,73.0,0.7,100.0,70.0,4.0,14:41:03
,,,,,100.0,73.0,0.7,100.0,70.0,4.0,14:41:04
,,,,,100.0,73.0,0.7,100.0,71.0,4.0,14:41:04
,,,,,100.0,72.0,0.7,100.0,71.0,4.0,14:41:05
,,,,,100.0,72.0,0.7,100.0,71.0,4.0,14:41:05
,,,,,100.0,72.0,0.7,100.0,71.0,4.0,14:41:06
,,,,,100.0,72.0,0.7,100.0,72.0,4.0,14:41:06
,,,,,100.0,72.0,0.7,100.0,72.0,4.0,14:41:07
,,,,,100.0,72.0,0.7,100.0,72.0,4.0,14:41:07
,,,,,100.0,72.0,0.7,100.0,72.0,4.0,14:41:08
,,,,,100.0,72.0,0.7,100.0,72.0,4.0,14:41:08
