Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,99.0,79.0,6.8,97,76.0,73.0,,,,15:46:07
,,,,,99.0,79.0,6.9,98,77.0,71.0,,,,15:46:07
,,,,,99.0,77.0,6.9,98,77.0,71.0,,,,15:46:08
,,,,,99.0,73.0,6.9,98,77.0,71.0,,,,15:46:08
,,,,,99.0,75.0,7.3,98,77.0,71.0,,,,15:46:09
,,,,,99.0,75.0,7.3,98,82.0,66.0,,,,15:46:09
,,,,,99.0,75.0,7.3,98,82.0,66.0,,,,15:46:10
,,,,,99.0,78.0,7.5,98,82.0,66.0,,,,15:46:10
,113.215561,,,,99.0,78.0,7.5,98,82.0,66.0,,,,15:46:11
,113.209068,,,,99.0,80.0,7.5,98,82.0,66.0,,,,15:46:11
,113.211823,,,,99.0,80.0,7.5,98,82.0,66.0,,,,15:46:12
,113.212112,,,,99.0,81.0,7.3,98,82.0,66.0,,,,15:46:12
,113.212334,78.960834,90.815478,142.5,99.0,81.0,7.3,98,81.0,74.0,,,,15:46:13
,113.211945,78.960834,90.815501,,99.0,80.0,7.2,98,78.0,72.0,,,,15:46:13
,,78.960834,100.0,,99.0,80.0,7.2,98,78.0,72.0,,,,15:46:14
,,78.960834,100.0,,99.0,79.0,7.1,98,78.0,72.0,,,,15:46:14
,,78.960834,100.0,,99.0,79.0,7.1,98,78.0,72.0,,,,15:46:15
,,78.960834,100.0,,99.0,79.0,7.1,97,80.0,61.0,,,,15:46:15
,,78.960834,100.0,,99.0,79.0,7.1,97,80.0,61.0,,,,15:46:16
,,78.960834,100.0,,99.0,80.0,7.2,97,80.0,61.0,,,,15:46:16
,,78.960834,100.0,,99.0,80.0,7.2,97,80.0,61.0,,,,15:46:17
,,78.960834,100.0,,99.0,81.0,7.2,97,81.0,68.0,,,,15:46:17
,,78.960834,100.0,,99.0,81.0,7.2,97,81.0,68.0,,,,15:46:18
,,78.960834,100.0,,99.0,82.0,6.9,97,81.0,68.0,,,,15:46:18
,,78.960834,100.0,,99.0,82.0,6.9,97,81.0,68.0,,,,15:46:19
,,78.960834,100.0,,99.0,80.0,6.7,97,80.0,80.0,,,,15:46:19
,,,,,99.0,80.0,6.7,97,80.0,80.0,,,,15:46:20
,,,,,99.0,79.0,6.7,97,80.0,80.0,,,,15:46:20
,,,,,99.0,79.0,6.7,97,80.0,80.0,,,,15:46:21
,,,,,99.0,79.0,6.7,97,78.0,80.0,,,,15:46:21
