Sample,ETCO2,ETO2,ScalcO2,RR,dev55_SpO2,dev55_HR,dev55_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,27.315754,,,22.0,,,,,,,13:36:33
,27.315754,121.5204,98.982064,22.0,,,,,,,13:36:33
,27.315754,121.5204,98.982064,22.0,,,,,,,13:36:34
,27.315754,121.5204,98.982064,22.0,,,,,,,13:36:34
,27.315754,121.5204,98.982064,22.0,,,,,,,13:36:35
,27.315754,121.5204,98.982064,22.0,,,,,,,13:36:35
,27.315754,121.5204,98.982064,22.0,,,,,,,13:36:36
,27.129013,121.5204,98.986957,20.0,,,,,,,13:36:36
,27.129013,121.512694,98.986768,20.0,,,,,,10.0,13:36:37
,27.129013,121.512694,98.986768,20.0,,,,,,94.0,13:36:37
,27.129013,121.512694,98.986768,20.0,,,,,,94.0,13:36:38
,27.129013,121.512694,98.986768,20.0,,,,,,94.0,13:36:38
,28.504045,121.512694,98.950969,21.0,,,,,,94.0,13:36:39
,28.504045,120.573504,98.926696,21.0,,,,,,94.0,13:36:39
,28.504045,120.573504,98.926696,21.0,,,,,,94.0,13:36:40
,28.504045,120.573504,98.926696,21.0,,,,,,94.0,13:36:40
,27.25824,120.573504,98.959918,23.0,,,,,,94.0,13:36:41
,27.25824,125.086031,99.06645,23.0,,,,,,255.0,13:36:41
,27.25824,125.086031,99.06645,23.0,,,,,,255.0,13:36:42
,27.543011,125.086031,99.059658,25.0,,,,,,255.0,13:36:42
,27.543011,124.99999,99.057752,25.0,,,,,,255.0,13:36:43
,27.543011,124.99999,99.057752,25.0,,,,,,134.0,13:36:43
,27.543011,124.99999,99.057752,25.0,,,,,,134.0,13:36:44
,27.839563,124.99999,99.050687,26.0,,,,,,134.0,13:36:44
,27.839563,124.088774,99.03001,26.0,,,,,,134.0,13:36:45
,27.839563,124.088774,99.03001,26.0,,,,,,135.0,13:36:45
,27.839563,124.088774,99.03001,26.0,,,,,,135.0,13:36:46
,27.335421,124.088774,99.042318,30.0,,,,,,135.0,13:36:46
,27.335421,124.415237,99.049692,30.0,,,,,,135.0,13:36:47
,27.335421,124.415237,99.049692,30.0,,,,,,9.0,13:36:47
,27.335421,124.415237,99.049692,30.0,,,,,,9.0,13:36:48
,27.282837,124.415237,99.050969,31.0,,,,,,9.0,13:36:48
,27.282837,124.6712,99.056689,31.0,,,,,,9.0,13:36:49
,27.282837,124.6712,99.056689,31.0,,,,,,4.0,13:36:49
,27.282837,124.6712,99.056689,31.0,,,,,,4.0,13:36:50
,26.935541,124.6712,99.065088,31.0,,,,,,4.0,13:36:50
,26.935541,126.639141,99.107155,31.0,,,,,,4.0,13:36:51
,26.935541,126.639141,99.107155,31.0,,,,,,4.0,13:36:52
,26.935541,126.639141,99.107155,31.0,,,,,,4.0,13:36:52
,27.520771,126.639141,99.09371,31.0,,,,,,4.0,13:36:52
,27.520771,124.616369,99.049725,31.0,,,,,,4.0,13:36:53
,27.520771,124.616369,99.049725,31.0,,,,,,215.0,13:36:53
,26.304148,124.616369,99.079256,32.0,,,,,,215.0,13:36:54
,26.304148,128.000654,99.148907,32.0,,,,,,215.0,13:36:54
,26.304148,128.000654,99.148907,32.0,,,,,,215.0,13:36:55
,26.787067,128.000654,99.138099,33.0,,,,,,7.0,13:36:55
,26.787067,125.520796,99.087091,33.0,,,,,,7.0,13:36:56
,26.787067,125.520796,99.087091,33.0,,,,,,7.0,13:36:56
,26.787067,125.520796,99.087091,33.0,,,,,,7.0,13:36:57
,26.787067,125.520796,99.087091,33.0,,,,91.0,84.0,4.0,13:36:57
,26.191431,125.520796,99.101289,32.0,,,,91.0,84.0,4.0,13:36:58
,26.191431,131.584573,99.217506,32.0,,,,91.0,84.0,4.0,13:36:58
,26.191431,131.584573,99.217506,32.0,,,,91.0,84.0,4.0,13:36:59
,26.191431,131.584573,99.217506,32.0,,,,91.0,84.0,4.0,13:36:59
,28.293655,124.19358,99.021422,32.0,,,,92.0,82.0,7.0,13:37:00
,28.293655,124.19358,99.021422,32.0,,,,92.0,82.0,7.0,13:37:00
,28.293655,124.19358,99.021422,32.0,,,,92.0,82.0,7.0,13:37:01
,27.771139,124.19358,99.034081,33.0,,,,92.0,82.0,7.0,13:37:01
,27.771139,126.086626,99.076166,33.0,,,,94.0,82.0,4.0,13:37:02
,27.771139,126.086626,99.076166,33.0,,,,94.0,82.0,4.0,13:37:02
,28.855148,126.086626,99.051219,33.0,,,,94.0,82.0,4.0,13:37:03
,28.855148,123.812848,98.998869,33.0,,,,94.0,82.0,4.0,13:37:03
,28.855148,123.812848,98.998869,33.0,,,,94.0,82.0,4.0,13:37:04
,28.855148,123.812848,98.998869,33.0,,,,94.0,82.0,4.0,13:37:04
,23.938013,130.29572,99.243102,33.0,,,,94.0,82.0,4.0,13:37:05
,23.938013,130.29572,99.243102,33.0,,,,94.0,82.0,4.0,13:37:05
,23.938013,130.29572,99.243102,33.0,,,,94.0,82.0,4.0,13:37:06
,24.95034,130.29572,99.221127,36.0,,,,94.0,82.0,4.0,13:37:06
,24.95034,128.11443,99.181676,36.0,,,,94.0,82.0,4.0,13:37:07
,24.95034,128.11443,99.181676,36.0,,,,94.0,82.0,4.0,13:37:07
,24.95034,128.11443,99.181676,37.0,,,,97.0,81.0,3.0,13:37:08
,24.95034,128.11443,99.181676,37.0,,,,97.0,81.0,3.0,13:37:08
,24.95034,128.11443,99.181676,37.0,,,,97.0,81.0,3.0,13:37:09
,24.95034,128.11443,99.181676,37.0,,,,97.0,81.0,3.0,13:37:09
,24.95034,128.11443,99.181676,37.0,,,,97.0,81.0,3.0,13:37:10
,24.95034,128.11443,99.181676,37.0,,,,97.0,81.0,3.0,13:37:10
,24.95034,128.11443,99.181676,37.0,,,,97.0,81.0,3.0,13:37:11
,27.151432,128.11443,99.132255,30.0,,,,97.0,81.0,3.0,13:37:11
,27.151432,121.714342,98.99111,30.0,,,,97.0,81.0,3.0,13:37:12
,27.151432,121.714342,98.99111,30.0,,,,97.0,81.0,3.0,13:37:12
,29.021738,121.714342,98.942816,30.0,,,,97.0,81.0,3.0,13:37:13
,29.021738,122.314459,98.958051,30.0,,,,97.0,81.0,3.0,13:37:13
,29.021738,122.314459,98.958051,30.0,,,,100.0,78.0,4.0,13:37:14
,29.021738,122.314459,98.958051,30.0,,,,100.0,78.0,4.0,13:37:14
,29.021738,122.314459,98.958051,30.0,,,,100.0,78.0,4.0,13:37:15
,29.021738,122.314459,98.958051,30.0,,,,100.0,78.0,4.0,13:37:15
,29.021738,122.314459,98.958051,30.0,,,,100.0,77.0,9.0,13:37:16
,29.021738,122.314459,98.958051,30.0,,,,100.0,77.0,9.0,13:37:16
,29.021738,122.314459,98.958051,30.0,,,,100.0,77.0,9.0,13:37:17
,29.021738,122.314459,98.958051,30.0,,,,100.0,77.0,9.0,13:37:17
,29.021738,122.314459,98.958051,30.0,,,,100.0,77.0,9.0,13:37:18
,29.021738,122.314459,98.958051,30.0,,,,100.0,77.0,9.0,13:37:18
,29.021738,122.314459,98.958051,30.0,,,,100.0,77.0,9.0,13:37:19
,29.021738,122.314459,98.958051,30.0,,,,100.0,77.0,9.0,13:37:19
,29.021738,122.314459,98.958051,30.0,,,,100.0,77.0,4.0,13:37:20
,29.021738,122.314459,98.958051,30.0,,,,100.0,77.0,4.0,13:37:20
,,,,,,,,100.0,77.0,4.0,13:37:21
,,,,,,,,100.0,77.0,4.0,13:37:21
,,,,,,,,100.0,77.0,4.0,13:37:22
,,,,,,,,100.0,77.0,4.0,13:37:22
