Sample,ETCO2,ETO2,ScalcO2,RR,dev55_SpO2,dev55_HR,dev55_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,,,,,,53.0,15:14:17
,,,,,,,,,,255.0,15:14:17
,,,,,,,,,,4.0,15:14:17
,,,,,,,,,,4.0,15:14:18
,,,,,93.0,82.0,1.5,,,4.0,15:14:18
,,,,,93.0,82.0,0.8,,,145.0,15:14:19
,,,,,93.0,82.0,1.1,,,145.0,15:14:19
,,,,,93.0,82.0,1.2,,,145.0,15:14:20
,,,,,95.0,82.0,1.3,,,145.0,15:14:20
,,,,,95.0,82.0,1.3,,,166.0,15:14:21
,,,,,96.0,82.0,1.3,,,166.0,15:14:21
,,,,,96.0,82.0,1.3,,,166.0,15:14:22
,,,,,98.0,86.0,1.4,,,166.0,15:14:22
,,,,,98.0,86.0,1.4,,,20.0,15:14:23
,,,,,99.0,87.0,1.4,,,20.0,15:14:23
,,,,,99.0,87.0,1.4,,,20.0,15:14:24
,,,,,99.0,86.0,1.4,,,20.0,15:14:24
,,,,,99.0,86.0,1.4,,,17.0,15:14:25
,,,,,99.0,86.0,1.4,,,17.0,15:14:25
,,,,,99.0,86.0,1.4,,,17.0,15:14:26
,,,,,100.0,85.0,1.4,,,17.0,15:14:26
,,,,,100.0,85.0,1.4,,,17.0,15:14:27
,,,,,100.0,85.0,1.5,,,17.0,15:14:27
,,,,,100.0,85.0,1.5,,,17.0,15:14:28
,,,,,100.0,84.0,1.5,,,17.0,15:14:28
,,,,,100.0,84.0,1.5,100.0,84.0,12.0,15:14:29
,,,,,100.0,82.0,1.5,100.0,84.0,12.0,15:14:29
,,,,,100.0,82.0,1.5,100.0,84.0,12.0,15:14:30
,,,,,100.0,82.0,1.5,100.0,84.0,12.0,15:14:30
,,,,,100.0,82.0,1.5,100.0,83.0,11.0,15:14:31
,,,,,100.0,82.0,1.5,100.0,83.0,11.0,15:14:31
,,,,,100.0,82.0,1.5,100.0,83.0,11.0,15:14:32
,,,,,100.0,81.0,1.5,100.0,83.0,11.0,15:14:32
,,,,,100.0,81.0,1.5,100.0,83.0,11.0,15:14:33
,,,,,100.0,82.0,1.5,100.0,83.0,11.0,15:14:33
,,,,,100.0,82.0,1.5,100.0,83.0,11.0,15:14:34
,,,,,100.0,82.0,1.5,100.0,81.0,13.0,15:14:34
,,,,,100.0,82.0,1.4,100.0,81.0,13.0,15:14:35
,,,,,100.0,82.0,1.4,100.0,81.0,13.0,15:14:35
,,,,,100.0,80.0,1.5,100.0,81.0,13.0,15:14:36
,,,,,100.0,80.0,1.5,100.0,81.0,11.0,15:14:36
,,,,,100.0,80.0,1.5,100.0,81.0,11.0,15:14:37
,,,,,100.0,80.0,1.5,100.0,81.0,11.0,15:14:37
,,,,,100.0,81.0,1.4,100.0,81.0,11.0,15:14:38
,,,,,100.0,81.0,1.4,100.0,80.0,11.0,15:14:38
,,,,,100.0,79.0,1.5,100.0,80.0,11.0,15:14:39
,,,,,100.0,79.0,1.5,100.0,80.0,11.0,15:14:39
,,,,,100.0,79.0,1.5,100.0,80.0,11.0,15:14:40
,,,,,100.0,79.0,1.5,100.0,80.0,13.0,15:14:40
,,,,,100.0,79.0,1.5,100.0,80.0,13.0,15:14:41
,,,,,100.0,79.0,1.5,100.0,80.0,13.0,15:14:41
,,,,,100.0,81.0,1.5,100.0,80.0,13.0,15:14:42
,,,,,100.0,81.0,1.5,100.0,80.0,13.0,15:14:42
,,,,,100.0,81.0,1.5,100.0,80.0,13.0,15:14:43
,,,,,100.0,81.0,1.5,100.0,80.0,13.0,15:14:43
,,,,,100.0,78.0,1.5,100.0,79.0,12.0,15:14:44
,,,,,100.0,78.0,1.5,100.0,78.0,11.0,15:14:44
,,,,,100.0,79.0,1.5,100.0,78.0,11.0,15:14:45
,,,,,100.0,79.0,1.5,100.0,78.0,11.0,15:14:45
,,,,,100.0,78.0,1.5,100.0,78.0,11.0,15:14:46
,,,,,100.0,78.0,1.5,100.0,78.0,11.0,15:14:46
,,,,,100.0,78.0,1.5,100.0,78.0,11.0,15:14:47
,,,,,100.0,78.0,1.5,100.0,78.0,11.0,15:14:47
,,,,,100.0,78.0,1.5,100.0,78.0,11.0,15:14:48
,,,,,100.0,78.0,1.5,100.0,81.0,13.0,15:14:48
,,,,,100.0,78.0,1.5,100.0,81.0,13.0,15:14:49
,,,,,100.0,78.0,1.5,100.0,81.0,13.0,15:14:49
,,,,,100.0,78.0,1.5,100.0,81.0,13.0,15:14:50
,,,,,100.0,78.0,1.5,100.0,81.0,11.0,15:14:50
,,,,,100.0,79.0,1.4,100.0,81.0,11.0,15:14:51
,,,,,100.0,79.0,1.4,100.0,81.0,11.0,15:14:51
,,,,,100.0,79.0,1.4,100.0,81.0,11.0,15:14:52
,,,,,100.0,79.0,1.4,99.0,80.0,11.0,15:14:52
,,,,,100.0,81.0,1.4,99.0,80.0,11.0,15:14:53
,,,,,100.0,81.0,1.4,99.0,80.0,11.0,15:14:53
,,,,,100.0,82.0,1.4,99.0,80.0,11.0,15:14:54
,,,,,100.0,82.0,1.4,99.0,81.0,11.0,15:14:54
,,,,,100.0,82.0,1.4,99.0,81.0,11.0,15:14:55
,,,,,100.0,82.0,1.4,99.0,81.0,11.0,15:14:55
,,,,,100.0,82.0,1.4,99.0,81.0,11.0,15:14:56
,,,,,100.0,82.0,1.4,99.0,81.0,10.0,15:14:56
,,,,,100.0,82.0,1.4,99.0,81.0,10.0,15:14:57
,,,,,100.0,82.0,1.4,99.0,81.0,10.0,15:14:57
,,,,,100.0,82.0,1.4,99.0,81.0,10.0,15:14:58
,,,,,100.0,82.0,1.4,99.0,79.0,11.0,15:14:58
,,,,,100.0,79.0,1.4,99.0,79.0,11.0,15:14:59
,,,,,100.0,79.0,1.4,99.0,79.0,11.0,15:14:59
,,,,,100.0,80.0,1.4,99.0,79.0,11.0,15:15:00
,,,,,100.0,80.0,1.4,99.0,78.0,10.0,15:15:00
